,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
965,965,1.3934670558668592e-24,5.3091273707481874e-24,3.4867824952764472,0.0012522560385305704,False,False
1843,1843,2.566184907529468e-23,9.690123162274124e-23,2.5897331749591883,-0.002715799846002902,False,False
137,137,3.8117839510548966e-25,1.4560327885110596e-24,2.4753765762511013,0.0008682615793639617,False,False
1689,1689,1.5523759078334856e-41,6.970426164069266e-41,2.2942129674755964,-0.003165025749992021,False,False
1605,1605,5.207070286756559e-14,1.799136741687249e-13,2.050746918224073,-0.0033632398617116886,False,False
49,49,1.9670742944336004e-42,8.913399245616681e-42,1.8705464512582193,-0.00034768300014142387,False,False
2239,2239,2.7161377753351317e-46,1.2836778530564763e-45,1.8666921467261184,-0.002330597946735964,False,False
966,966,3.648052754633518e-17,1.296697074940393e-16,1.8640257747336475,-0.002543443141855388,False,False
1826,1826,7.239516876709087e-09,2.2312446614820947e-08,1.834432359575105,0.0016369435825414557,False,False
2288,2288,2.3523197039265846e-24,8.939417261528941e-24,1.7615802291978118,0.002137863906684005,False,False
2290,2290,1.275615015960931e-16,4.496467182152071e-16,1.6916204145321265,0.005205983022010221,False,False
59,59,4.2276480930459333e-13,1.4406038507646763e-12,1.6615040086978525,0.0009080280585027859,False,False
189,189,1.0765880695249007e-07,3.201716823997901e-07,1.6501993902017,0.0031340944045009423,False,False
2280,2280,7.378059275891941e-12,2.4521926014386655e-11,1.640401358873612,0.0003295226801087875,False,False
2019,2019,2.6020220616607323e-17,9.282213316116651e-17,1.6238210808605558,-0.0021077270738358842,False,False
1690,1690,5.36540287347579e-19,1.9491451320044243e-18,1.594969066450606,-0.003982947109087754,False,False
578,578,4.9388014974377474e-12,1.6488597125303976e-11,1.5913238352144843,0.005555656955498225,False,False
775,775,6.2314156688754354e-21,2.308969001900411e-20,1.585598992115455,-0.0007606350078837791,False,False
170,170,3.036312927981295e-34,1.2764556331796718e-33,1.5511432018271407,-0.0009800894935944287,False,False
884,884,6.48727665234825e-13,2.208054713780918e-12,1.5471638679232844,-0.00032138695124005407,False,False
2737,2737,1.5533843199335002e-19,5.69894272133823e-19,1.530361838100254,-0.003845353332552605,False,False
234,234,3.5557656100117196e-27,1.3941231612304864e-26,1.5151823718787165,-0.0038435960565324436,False,False
1283,1283,1.1766670703859742e-15,4.1329560531426885e-15,1.502685747003892,-0.0028384492077974154,False,False
2893,2893,1.7685249389693766e-17,6.324074721519409e-17,1.4857720478715357,0.004579337506708963,False,False
1636,1636,3.637104750160061e-19,1.3245309077883511e-18,1.4688829177372893,-0.0027716392259092945,False,False
2369,2369,2.6167276950764116e-11,8.60071738536743e-11,1.4503795285466226,0.004925764525039426,False,False
1691,1691,9.721021411331518e-13,3.297370462723651e-12,1.4404453452383283,-0.0029549837800667356,False,False
555,555,1.2812526073908562e-05,3.453912569242563e-05,1.4335676703517701,-0.00636540812484172,False,False
2794,2794,5.649754352293051e-10,1.7895913465961338e-09,1.4325538339685484,-0.004697161932171915,False,False
2059,2059,2.135488230224942e-09,6.6507125575106276e-09,1.4181448945301054,0.0015467055179821327,False,False
2701,2701,6.201807856276173e-08,1.8611694355336382e-07,1.3987233235568437,-0.004111922574411948,False,False
56,56,3.21902896830965e-19,1.1766105884166308e-18,1.3719277621350676,-0.0013784275786199326,False,False
14,14,7.523542519208164e-06,2.0542662554746856e-05,1.3216017970988692,-0.00578849248444714,False,False
1050,1050,5.538440570242183e-07,1.6068515750223655e-06,1.312170859044108,-0.0009000302743907731,False,False
2007,2007,2.725721053430734e-12,9.130857885533203e-12,1.2967744273032058,-0.00468278341684634,False,False
1766,1766,3.6721252487675474e-10,1.1719212621873206e-09,1.296583237011832,0.0005697410568886395,False,False
41,41,2.820258824457116e-08,8.541355296927267e-08,1.273143102791281,-0.0020860747371068346,False,False
1606,1606,1.1048109124980164e-06,3.162081763060861e-06,1.2726649446671834,-0.004733447345410681,False,False
184,184,9.692421083451405e-08,2.894075027734786e-07,1.2601417692988246,0.0002161380979920336,False,False
2129,2129,6.816228045924653e-12,2.2705459977894918e-11,1.2520642164682811,-0.0035549781029606763,False,False
1863,1863,2.504455623367145e-19,9.165504673432413e-19,1.2156511147658589,0.002557048358106763,False,False
1213,1213,2.5432461426842462e-11,8.368464026038629e-11,1.2137317497953022,-0.0014432067801917652,False,False
2527,2527,1.9734406012336357e-08,6.001200516866219e-08,1.205634096492439,-0.000723235313180276,False,False
776,776,1.2117805994204583e-12,4.091655084277497e-12,1.1889731807857669,0.0004921784200170158,False,False
2875,2875,0.00046512930907847115,0.0011205387900526805,1.1744878375508225,-0.00950237789889773,False,False
1005,1005,9.521272223704722e-05,0.000241737689991066,1.1698134747283235,-0.0018291139781521086,False,False
126,126,1.4685793652948148e-10,4.732620582187851e-10,1.1528353696047855,-0.00867636311537129,False,False
2446,2446,1.2681777115954562e-07,3.763951448015314e-07,1.1351552828616307,0.004643463587350095,False,False
1900,1900,1.4344401779810953e-06,4.089739143369732e-06,1.128023525274206,-0.005668665501123376,False,False
1344,1344,7.183843985587596e-07,2.076109926896201e-06,1.116582219535437,-0.005442806322948867,False,False
1030,1030,8.51962428420245e-07,2.4492059258248233e-06,1.112052487404241,-0.0034213829884657044,False,False
190,190,3.168001467906818e-10,1.0132142625805425e-09,1.1089469174043582,-0.0017813616335636264,False,False
294,294,1.8932916219600164e-12,6.363861306882592e-12,1.1004091984550457,0.00048052224305479693,False,False
2081,2081,0.0012170723611394647,0.0028220865373921335,1.0967723528847197,-0.003966339632825304,False,False
2507,2507,1.1902631479065698e-10,3.844070754066049e-10,1.094655902136455,-0.0015293490766789424,False,False
240,240,2.212402615379792e-06,6.2299914254717476e-06,1.0849799136610818,-0.00331851847873665,False,False
2661,2661,0.00033384629247317806,0.0008141789614300678,1.075545374719568,-0.0014927377466577695,False,False
1145,1145,9.066099085395971e-09,2.788412651342512e-08,1.068320927384774,-0.0002553822452803461,False,False
517,517,1.649637854020155e-06,4.676337297738129e-06,1.0603956426860275,-0.00314754820464189,False,False
2080,2080,1.4591643202508408e-08,4.446406265405027e-08,1.0547557786668857,1.2592788315265568e-05,False,False
459,459,2.7250580475693e-09,8.460222055633558e-09,1.0500339855821461,-0.0028285410561209538,False,False
1846,1846,1.5300912616835896e-13,5.256146834116775e-13,1.0391878567098203,-0.005513153349359831,False,False
657,657,0.00010490020344398104,0.0002658785685924302,1.0314223059366168,-0.002485039348670492,False,False
388,388,6.0732496286853815e-06,1.669018972031316e-05,1.0291827539033462,-0.001548617047247593,False,False
