,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
562,562,3.414383430168416e-36,2.242011066535367e-35,7.865053998904144,-0.002023184477542274,False,False
58,58,1.5741099732977764e-30,9.53460898111796e-30,6.521433799117479,-0.004873188119932339,False,False
1729,1729,1.0815485562368516e-27,6.281871066361988e-27,4.971009672205162,-0.004781934116737805,False,False
552,552,2.509454145940857e-44,1.8855847861145476e-43,4.619768766703709,0.0007470095871224269,False,False
460,460,1.3971592970829136e-18,6.842852794953939e-18,4.485352900300672,-0.005690996627359812,False,False
2597,2597,2.726620061266905e-45,2.0803620416041579e-44,4.467533916237066,-0.0005675498425412612,False,False
559,559,1.2498172366234752e-32,7.728036579788489e-32,4.320028393845053,0.00530408420589672,False,False
2230,2230,4.647913507065307e-56,4.130241703284381e-55,3.9741651345801765,-0.0003392784236754768,False,False
2663,2663,4.5056566579691015e-26,2.5423553157513867e-25,3.952810445188807,-0.001442426945552978,False,False
1231,1231,1.8819291314944513e-18,9.171700594869509e-18,3.9410178111410725,-0.003935331825293592,False,False
1104,1104,1.504894649706837e-25,8.364283371404292e-25,3.8916163751221773,0.0002886977364052398,False,False
2678,2678,1.3476435361432527e-26,7.647812648705878e-26,3.61122992611162,0.0003956505049265112,False,False
446,446,2.44969439165412e-54,2.10744723316795e-53,3.52380892905781,-0.00033309967745803054,False,False
2056,2056,1.2797173780500156e-60,1.2173721724527072e-59,3.410904617690717,-0.0004019928897861097,False,False
1327,1327,9.193757623325936e-22,4.7621418195517236e-21,3.329418383173122,0.00039412143054443766,False,False
1338,1338,2.969160609875023e-36,1.9539841884942504e-35,3.3006235281377165,0.0016521872666575635,False,False
640,640,1.5622311663598787e-23,8.415067335310563e-23,3.2854330892886923,-0.0057941725118263315,False,False
1540,1540,3.4859664075213438e-40,2.45756491627633e-39,3.2518223585968387,-0.00042234314640010595,False,False
90,90,2.037798323377696e-16,9.406198170738728e-16,3.169232743182151,0.006952218528708246,False,False
1955,1955,4.0352770874853166e-21,2.075684990581702e-20,3.128314120315377,0.004006785372700969,False,False
1517,1517,6.690726542052948e-44,5.002034351842104e-43,3.085675338395396,-0.0013171435935740786,False,False
457,457,3.273354698661354e-30,1.966663308831356e-29,3.0796970803718864,0.0016626413025000505,False,False
83,83,6.027113873443388e-49,4.7575728660585045e-48,2.9480437511354416,-0.0053750689992239226,False,False
1128,1128,1.9113927697237251e-19,9.53447687485717e-19,2.9400603641807033,0.0045289929194034465,False,False
193,193,3.343578216280607e-22,1.756414185118733e-21,2.9274870289973287,-0.003093195776782064,False,False
2124,2124,1.3892672724639492e-70,1.4673826564672602e-69,2.8899491564335045,-0.0024105779642854576,False,False
1509,1509,6.593215789550708e-60,6.192615336514716e-59,2.88939812402014,0.00037369799145606925,False,False
1660,1660,4.6938401379158325e-28,2.742385340420116e-27,2.877166404828608,-0.005930890003425747,False,False
198,198,1.9747026919342898e-14,8.556084072497769e-14,2.8540248365207983,0.002195607712757359,False,False
43,43,1.1194714035845425e-18,5.491886158411442e-18,2.829245591636051,-0.0028436845569428763,False,False
2651,2651,5.628791130585982e-14,2.410714585220663e-13,2.7967717522577256,-0.002180975428365957,False,False
395,395,1.2932830164172013e-22,6.8543999870111665e-22,2.7490357068794244,0.0022686280373653235,False,False
116,116,5.549463642923816e-31,3.3682634135374e-30,2.7365563548402885,-0.0017336447456822671,False,False
2358,2358,6.170585385802765e-14,2.63894775577271e-13,2.728358522315105,0.004489012874101191,False,False
2493,2493,2.6582240042514277e-34,1.696690074111449e-33,2.713213183229041,-0.002772575249642143,False,False
2047,2047,3.5188744065492734e-15,1.5564857285600958e-14,2.709103602698481,-0.0015605816601087924,False,False
1565,1565,1.7621428729615143e-35,1.1444288942997318e-34,2.7032860866472634,0.0006488342809023474,False,False
1656,1656,7.789925811026931e-33,4.8470649490834233e-32,2.6579259217997886,-0.003209953518145209,False,False
1584,1584,3.600695147723328e-51,2.9768421165578936e-50,2.6377948553789463,0.006018416751630423,False,False
1588,1588,4.6143527879313655e-17,2.1704277455753237e-16,2.6370575748240954,0.0057114700322398754,False,False
1264,1264,5.38689269883188e-68,5.5708353763529685e-67,2.625747982603116,0.0006352173832519818,False,False
893,893,6.346876316908034e-15,2.786616702453113e-14,2.6247921661795,-0.0015866101140545995,False,False
1678,1678,4.790377310736191e-27,2.73946818078324e-26,2.6079537915853304,0.0017482855417287283,False,False
1478,1478,5.666012554911095e-32,3.4745300130115966e-31,2.604277981531572,0.0060528631532717585,False,False
