,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1685,1685,1.3861783936997933e-19,3.9866060780048317e-19,12.07568777299031,-0.0006016887844465541,False,False
2236,2236,1.0268448900247937e-15,2.9304573399938346e-15,7.97056476922462,0.005403845853842709,False,False
358,358,2.293094251867012e-26,6.672454646609109e-26,7.218860980220683,0.0018538708561036642,False,False
2125,2125,6.720573648560561e-16,1.9216437946943877e-15,6.5850327190504006,-0.0005945494552576569,False,False
1907,1907,1.0616501762202834e-19,3.056234454919303e-19,5.8178187490810505,0.0004903676134084601,False,False
1906,1906,1.308458789545261e-21,3.770393871233334e-21,5.434637548464732,-0.0012946131329503799,False,False
1029,1029,6.997480834813817e-17,2.0027505417287762e-16,4.620105317604942,0.0019341437057382523,False,False
1938,1938,1.0395600516453555e-05,2.675988060089692e-05,4.60091053246118,-0.004008045765609055,False,False
2166,2166,8.932051636237639e-08,2.4321402987480104e-07,4.416862740704441,-0.0005540109775058625,False,False
2895,2895,1.7667562523864248e-08,4.8598077452112224e-08,4.414718145935892,-0.0004842801284940905,False,False
837,837,2.6288792175796935e-09,7.292068708202365e-09,4.405746208414357,-0.0010771664047329356,False,False
2488,2488,3.874452776232226e-06,1.0104899683530094e-05,4.400934467731409,-0.0026240120104245312,False,False
1982,1982,1.4615683866397205e-07,3.94716557920536e-07,4.154528141946276,-0.0017754424466699297,False,False
455,455,6.183356176188806e-09,1.7103635723139216e-08,4.087885093151396,-0.002260087715250333,False,False
1633,1633,0.00018809288982190857,0.00046482905661234355,4.065410953233995,-0.004145543376192695,False,False
2621,2621,1.0230253497432198e-05,2.635711144130101e-05,4.002217435038072,0.006363871559008924,False,False
2368,2368,3.5392928540170974e-11,9.966433767289132e-11,3.95725656923072,-0.001719658795267309,False,False
440,440,0.00038715834429990886,0.0009449720114162249,3.8631693657470576,-0.010687069588384775,False,False
2676,2676,3.538572159965999e-08,9.697582798503309e-08,3.795070128762503,0.0035414568587627568,False,False
806,806,0.0019009267198457286,0.004370217276918762,3.7857950039662907,-0.011651987923379417,False,False
1358,1358,3.954527852774859e-18,1.1340133977812348e-17,3.4976916764693806,0.0019023952722840255,False,False
1968,1968,1.799396162874424e-08,4.9450072327882324e-08,3.300454377826135,0.0024820863549374246,False,False
685,685,3.419858265904717e-10,9.557569993601883e-10,3.2740684517865453,0.0007414731091107199,False,False
683,683,2.6974604633285384e-05,6.89583346697597e-05,3.106392290756643,0.0030103700444956173,False,False
2751,2751,5.4070326287480235e-08,1.479085054573653e-07,3.080663876644916,0.0018345221753768644,False,False
2039,2039,9.97144044990986e-05,0.0002505947100366847,3.0711465225146024,-0.0022174497495439597,False,False
748,748,4.811479101877942e-05,0.00012195106724486535,3.0182667975087543,-0.001941582762011134,False,False
1393,1393,3.7645562887420696e-06,9.826915624438403e-06,2.933122848736946,-0.003820076175610776,False,False
684,684,5.380993299217337e-05,0.00013615335133910535,2.911561401769119,0.0004030969826823044,False,False
784,784,1.1631779469973859e-07,3.152796480993828e-07,2.8967539923006753,0.000636617491392128,False,False
610,610,3.5032976116848635e-09,9.708484884669164e-09,2.8292280285796387,0.005543818559087837,False,False
210,210,8.66195479397609e-09,2.3892826978179398e-08,2.79701568227183,0.0002437123354371122,False,False
463,463,3.3201928066933913e-06,8.689887345913567e-06,2.654707543609373,-0.0004575205083851195,False,False
1584,1584,4.839398597566135e-12,1.36533603018786e-11,2.624994888713783,0.006018558678206612,False,False
1164,1164,1.1148184233589945e-06,2.9385267145022165e-06,2.5953579197886687,0.00261161967437432,False,False
915,915,8.028679219567051e-08,2.1921913453242877e-07,2.545066774689149,-0.002271494924114108,False,False
1116,1116,0.0027206152474533517,0.006192320593896893,2.5334715740373763,0.0034618409175577987,False,False
2485,2485,4.526388699541419e-05,0.0001149214855452432,2.482050225801206,0.0015695595691191627,False,False
1569,1569,9.582113298768914e-07,2.5324766046968957e-06,2.402878841066754,0.001817406795752892,False,False
909,909,6.184993998386103e-06,1.6060421861076076e-05,2.392301206923871,0.0015036768641458257,False,False
2306,2306,0.0012237948760640536,0.002853278234216898,2.2782229235072897,0.005786627737848317,False,False
1477,1477,0.001529142249855489,0.0035291556746275985,2.246241653189951,-0.006254840461377351,False,False
439,439,0.0020155267590291005,0.0046229392741873035,2.2416613662210882,-0.003270044789155712,False,False
1762,1762,0.005659297867593949,0.01258186971611898,2.153208232755113,-0.005404042650542512,False,False
