,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
812,812,3.7375697237760025e-63,2.822673521671037e-62,3.4021074363761925,0.0023616469398230547,False,False
741,741,3.165972145443493e-77,2.6544082846543185e-76,2.972202232031779,0.0010623868943053644,False,False
313,313,4.184878048093923e-93,4.2830062230147464e-92,2.7564905038131213,-0.0004888852449924028,False,False
2961,2961,0.0,0.0,2.674410660427158,0.0002141230806618627,False,False
2926,2926,1.542048851898903e-38,8.619210908542268e-38,2.6499841956268,-0.0029724204477948254,False,False
2960,2960,6.778955280514111e-214,1.812607141672602e-212,2.6390793346792045,-0.0020675307678428706,False,False
1172,1172,9.6179437277044e-165,1.7841285614891662e-163,2.6052079857777994,0.0006916464451260235,False,False
1653,1653,3.533855398541214e-135,5.091496515956468e-134,2.534446594742467,0.001278823237461417,False,False
651,651,2.179143504896499e-129,3.0652596789255017e-128,2.4972542823507324,0.0045147183899038115,False,False
164,164,3.783586177865283e-109,4.528098296735548e-108,2.401842631403378,0.0028711653901290594,False,False
487,487,1.3819409413972955e-83,1.2659261463170286e-82,2.3646624276651558,0.0018864448630983438,False,False
872,872,1.9613220108140298e-210,5.061916285300905e-209,2.3174621653479064,0.002497959825380487,False,False
2897,2897,0.0,0.0,2.300620869064094,-0.004238400000596224,False,False
1457,1457,2.7771830447413743e-116,3.615210209119473e-115,2.2518959697980305,-0.001423136020503469,False,False
2594,2594,2.566834338954225e-143,3.9886724178094975e-142,2.2258254771551833,0.0026956583642585748,False,False
1832,1832,1.144318853887517e-127,1.579692259692163e-126,2.1581321491220864,-0.0001271443714682477,False,False
2152,2152,3.48788895146031e-102,3.9212327302781067e-101,2.1206233510315595,0.00259195795736435,False,False
1264,1264,2.661401852831089e-205,6.528132809258406e-204,1.999677667012291,0.0006307098999180499,False,False
142,142,1.42199557040987e-82,1.2906675391365424e-81,1.977126957865858,0.0021554574696066864,False,False
1310,1310,2.1499370663256656e-107,2.542236339782699e-106,1.9251578746141593,0.002958099775802192,False,False
897,897,6.398216206702345e-64,4.881723830717882e-63,1.921491317361379,-0.0023936922669335198,False,False
1631,1631,1.8829219456233215e-62,1.400629657796997e-61,1.9044054993692443,0.0028085448839051223,False,False
1297,1297,2.1547738301453613e-87,2.0630221702811073e-86,1.9038433418281522,-0.0038787862902526678,False,False
849,849,1.6100639431949815e-155,2.7782963856992475e-154,1.885225787228397,0.004773355350205136,False,False
1192,1192,1.6711528663868326e-41,9.821745955319047e-41,1.8742856429650856,-0.0026296503726236063,False,False
2498,2498,9.89843206771809e-105,1.1520998579210703e-103,1.7846577336322715,-0.00041538835666887416,False,False
1400,1400,3.807555548803562e-73,3.0876570679915223e-72,1.7846464956409291,0.003607462939390623,False,False
1387,1387,6.324134557569826e-50,4.107227870211651e-49,1.777594269112661,0.005293811550189844,False,False
2801,2801,4.83173127606358e-69,3.793803816761033e-68,1.7553226018172527,0.00035012267603124966,False,False
1122,1122,5.553200414760779e-78,4.682357622446021e-77,1.754740607152275,0.004111031321103638,False,False
1696,1696,6.853408662688312e-82,6.145292118084263e-81,1.730532436705983,0.003895712562677109,False,False
1909,1909,5.348962972929262e-83,4.869853406028849e-82,1.6827214102509418,-1.593730284097858e-05,False,False
2350,2350,1.9551212774468078e-139,2.960612220133738e-138,1.6747552464181572,-0.0008905843551641479,False,False
1629,1629,1.0477887474623409e-60,7.640877155941592e-60,1.6532046351970937,-0.005307040970547128,False,False
1555,1555,0.0,0.0,1.6505425641145088,0.0014251180153633906,False,False
2880,2880,2.265504931097892e-136,3.2960875664208546e-135,1.6353798749349244,0.000495094475553199,False,False
