,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1603,1603,1.2948331244749775e-147,1.085611500972241e-146,2.900428110407925,-0.004457493357693909,False,False
850,850,1.292356108876188e-56,6.247089464404765e-56,2.4784832896668894,0.001977629524356407,False,False
982,982,3.036481858809262e-155,2.6902322856554895e-154,2.232945292865241,-0.0022865376653423697,False,False
1954,1954,1.9525537112659065e-48,8.767291096879289e-48,2.054961946961057,0.00043080971260522904,False,False
2792,2792,3.366007179377317e-164,3.1025805305564835e-163,2.0498969530912197,-0.0015392410686893912,False,False
913,913,2.96682137304787e-110,2.0621840363480279e-109,1.9472930656144214,-0.0029846256888030887,False,False
2644,2644,1.0314734070007704e-52,4.7834579249660724e-52,1.8969231603545418,-0.0062606632699669755,False,False
2467,2467,2.28629655551244e-68,1.2074249424841499e-67,1.8546371383647333,0.001451789491398181,False,False
192,192,5.662123196054439e-62,2.8531717565177546e-61,1.826410813633803,-0.0026269266921222466,False,False
908,908,4.809864053770337e-32,1.7494701607341127e-31,1.766464530100147,-0.0015617541556507443,False,False
2174,2174,2.7223871045796627e-44,1.1659516488300777e-43,1.7615822489862485,-0.0031077834197755956,False,False
983,983,1.2377152376257752e-119,8.938050669764721e-119,1.7558448647578024,0.0019046240551105174,False,False
665,665,3.68595278094591e-35,1.3813014966979117e-34,1.7294336798580543,0.0034785508208166407,False,False
1355,1355,6.114360512402783e-56,2.9222901772643255e-55,1.7280701745297247,-0.004206645777526694,False,False
979,979,6.198436927271353e-170,5.915421479145138e-169,1.7211781498407352,-0.0006565976475036324,False,False
817,817,1.3185062855885667e-115,9.33968175567271e-115,1.713584857831166,-0.0001898216649165417,False,False
2020,2020,4.288778711357269e-36,1.6277615364844467e-35,1.7030076050228617,-0.0010945686248218858,False,False
966,966,2.4059815429707595e-91,1.481525564219339e-90,1.6413505751270974,-0.002546692482461199,False,False
1145,1145,1.1474151814368807e-84,6.8384101576398835e-84,1.6256990279496644,-0.00025913291440167463,False,False
49,49,6.045782314816036e-138,4.849697813614593e-137,1.5885260824167542,-0.0003465413835331138,False,False
218,218,5.211465967207126e-58,2.5482093889078663e-57,1.5787744108260857,0.006718097421801933,False,False
87,87,4.1863770330595523e-81,2.431539537009932e-80,1.561992867764532,0.003068488668402588,False,False
251,251,8.760232523920744e-63,4.4445077147003025e-62,1.5538899212925044,-0.004230877428351272,False,False
992,992,9.24708295635391e-127,6.913184436891286e-126,1.5506434558495166,0.000637452905460141,False,False
2302,2302,7.6022760956124055e-137,6.033036217052839e-136,1.5387304541003948,-0.004217323706005558,False,False
1268,1268,5.130341237395205e-56,2.4559439988046722e-55,1.5363905952014303,0.0003188170646345363,False,False
993,993,2.8079285770602377e-111,1.9655500039421665e-110,1.5309167475131424,-0.0011878025251142836,False,False
981,981,3.4593801653927806e-152,2.9934228369929365e-151,1.5035433707391663,-0.0027524991441907863,False,False
668,668,1.477890805869885e-46,6.488727680209791e-46,1.4986877845573565,-0.003769728012857739,False,False
1481,1481,1.5273926802091567e-44,6.551013691995342e-44,1.4809833960274177,0.002557900600167185,False,False
1454,1454,1.9310317632457024e-28,6.664304968968889e-28,1.4726413963579197,-0.0005671063091135069,False,False
1795,1795,8.917034749141174e-42,3.6707016831416097e-41,1.449209128328224,-0.004736098115847794,False,False
393,393,2.5871070898389595e-38,1.0183731886793145e-37,1.4445297974912594,0.0023827359878099454,False,False
2866,2866,3.532811334673102e-30,1.2527340551146674e-29,1.4317237005851229,0.002900856007350742,False,False
2466,2466,5.205687398320361e-78,2.9429486091837773e-77,1.4315118878272117,0.003283142787603485,False,False
1378,1378,7.430425119821983e-60,3.6878765477644892e-59,1.3958288145625817,-0.002208190177008861,False,False
206,206,2.3151495531331604e-58,1.1376430254468908e-57,1.387593452198305,0.0026010046788771495,False,False
673,673,2.384961288287546e-31,8.548991671059707e-31,1.3747675544458735,0.005343846614912025,False,False
1178,1178,2.669233635305594e-38,1.0493093284221196e-37,1.3580540614258687,0.0003156740499734925,False,False
676,676,7.709559361726588e-64,3.958818717232615e-63,1.3569857831283476,-0.007244546718151241,False,False
1672,1672,7.931074569820194e-58,3.871616665004332e-57,1.3330848005687856,-0.0010040506398793607,False,False
636,636,3.725633957482811e-41,1.5273040864377047e-40,1.3267107715008215,0.0013440216469810806,False,False
298,298,9.377709856863516e-18,2.6814106796889127e-17,1.3074139069279898,-0.007820191312978175,False,False
2549,2549,6.394198139771816e-37,2.4519354107031976e-36,1.3013806238615053,0.004677242823482024,False,False
2330,2330,6.629576814201511e-41,2.6954224636369977e-40,1.2958680558917128,-0.002609225093654438,False,False
1636,1636,1.910048219759199e-87,1.1593094307250107e-86,1.2667562113020925,-0.0027681656022805964,False,False
1290,1290,5.553352311939934e-28,1.901078392368826e-27,1.2655641713330588,0.005723700195020115,False,False
2764,2764,1.1958632634730814e-43,5.084988776487258e-43,1.253753422675176,-0.006737119217514645,False,False
139,139,5.46999968094304e-52,2.513151556197979e-51,1.249009232881005,-0.0017628543379408466,False,False
