,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2071,2071,2.235533413844282e-110,1.3909985686142198e-109,3.6320551413836335,-8.499204385566117e-06,False,False
371,371,3.4044968392283366e-194,3.22828965457818e-193,3.3449115208929654,0.002192266921444641,False,False
2507,2507,1.5033294831717292e-271,1.931550608681252e-270,3.33422146090184,-0.0015170117288516305,False,False
2408,2408,0.0,0.0,3.295639157853543,-0.002730282925666412,False,False
1078,1078,5.171250248793925e-150,3.996945504796971e-149,2.963059908409262,0.002053534190206166,False,False
775,775,2.465423987608632e-222,2.5948150337668154e-221,2.82329733652343,-0.000778430534156771,False,False
792,792,2.245959854361783e-134,1.5684726700578284e-133,2.808447365547693,-0.0030000610634009564,False,False
1690,1690,4.873135297053955e-238,5.541557686458289e-237,2.7746066994260934,-0.003961687654464495,False,False
1689,1689,0.0,0.0,2.7683345942638256,-0.003173239840655366,False,False
1763,1763,6.133859360394841e-90,3.34042102415631e-89,2.7174054524806897,0.003988457304986932,False,False
578,578,2.241808213514881e-130,1.5331075524682412e-129,2.709295008639976,0.005557681664253369,False,False
1062,1062,6.752415286653794e-266,8.528156838633387e-265,2.62201946188229,7.883306164360032e-05,False,False
1630,1630,5.539215813089297e-138,3.9807245843218003e-137,2.5985877608578964,-0.004132682827499262,False,False
2410,2410,2.440753599653987e-154,1.9369402897788858e-153,2.5551781735227723,-0.004830178236815981,False,False
231,231,1.7308861412865418e-166,1.4594517236756978e-165,2.5247951433543596,0.0009822322879934203,False,False
2696,2696,2.881447013001605e-128,1.9480944725714724e-127,2.451954336959734,-0.004095681154457943,False,False
184,184,3.576486163464389e-85,1.875443627767192e-84,2.37353811637257,0.00020480653082868144,False,False
372,372,4.41070354396465e-96,2.522344531500401e-95,2.3719471586140166,0.005520979766750176,False,False
2007,2007,8.249369511877029e-150,6.3595139509742915e-149,2.34430070026276,-0.004696474634500326,False,False
2579,2579,1.285033699108789e-129,8.747660593933223e-129,2.33907551261533,0.001210095016902335,False,False
2737,2737,8.093658068465707e-202,7.876058081051218e-201,2.331032797692309,-0.0038478325286601042,False,False
1691,1691,3.155245612973872e-122,2.071851544094348e-121,2.3308913150896853,-0.0029425026024675477,False,False
1851,1851,3.0321774671193e-81,1.5705938433525448e-80,2.3233171991456874,0.0007153513747225268,False,False
137,137,2.7036972106533953e-147,2.052320542511324e-146,2.3226501429364848,0.0008699108395427008,False,False
1363,1363,6.270387234027624e-163,5.183985880388298e-162,2.3015031669353094,-0.0003373995423316886,False,False
2804,2804,2.8540629954132195e-132,1.9745592005562786e-131,2.26949587886757,-0.0013419876868093414,False,False
517,517,4.728304830048852e-75,2.3546323381854017e-74,2.1779689371039286,-0.0031408319567761724,False,False
516,516,1.278024928283538e-112,8.019403778320383e-112,2.1753436810575444,-0.004013976283397405,False,False
612,612,1.5435605181459872e-60,6.951878024062655e-60,2.145009235988,-0.004505900646647503,False,False
2288,2288,1.302540875757157e-217,1.3470178812708161e-216,2.13947305533769,0.002142207703523937,False,False
234,234,1.9799661759286857e-298,2.852689131143854e-297,2.137869639585865,-0.0038435033389500155,False,False
1863,1863,2.6184864869019214e-285,3.5007513032094155e-284,2.135812619592389,0.002553335932904424,False,False
133,133,1.0707190646089584e-92,5.951112703669267e-92,2.128987746066875,-0.004076741454077926,False,False
2925,2925,2.178093045841141e-120,1.4207868483640674e-119,2.1223986231344885,-0.0016778027995745862,False,False
2637,2637,1.428833319545425e-94,8.047015735124899e-94,2.1170263473249085,-0.0013417199072314444,False,False
2239,2239,0.0,0.0,2.1049542078791603,-0.002330266705061909,False,False
1301,1301,0.0,0.0,2.0791317195933154,0.0004446814323447769,False,False
59,59,1.3230536151638712e-100,7.745213273779822e-100,2.0742886505238136,0.0009222938533132545,False,False
1206,1206,3.0010849125027423e-105,1.806738340833294e-104,2.0636814404875126,-0.004659722594849321,False,False
1039,1039,1.2783608633385124e-108,7.839204633034513e-108,2.0463099297527765,-0.0030898921814737426,False,False
2252,2252,1.7569141442889229e-81,9.116295769666999e-81,2.0369824076875696,0.004577579229862436,False,False
877,877,5.998883670689656e-76,3.00247668374484e-75,1.9998523637643628,-0.002175548467590417,False,False
454,454,8.356897956997012e-73,4.099714567994568e-72,1.999376235169907,-0.0030925550371512234,False,False
778,778,4.322413489084613e-109,2.6616023310379943e-108,1.9924547960731622,0.000216769443935224,False,False
1852,1852,6.825077685770581e-66,3.1850362533596047e-65,1.9755908894452188,-0.0002908343092282023,False,False
2525,2525,1.124886926608764e-65,5.233016298079642e-65,1.9329594429883814,0.003165882548077186,False,False
1761,1761,0.0,0.0,1.9214200144292228,0.000434410904342708,False,False
1636,1636,2.613517781004948e-145,1.9637774111449836e-144,1.870478041127995,-0.00277032585691284,False,False
1921,1921,1.1420655276291741e-57,5.006869255544149e-57,1.843461740645644,0.003030672721331132,False,False
