,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
286,286,4.796923800130484e-11,1.1641267243489188e-10,7.458622924241538,-0.0032509976736206075,False,False
686,686,6.252569825792369e-17,1.5997954519785994e-16,6.949977484667542,-0.001195800772994653,False,False
2781,2781,2.5955585001072237e-16,6.618228203022543e-16,6.38943775078172,-0.00013445236619548905,False,False
1537,1537,1.564756120766362e-16,3.9967264771381775e-16,6.343941638351389,0.0001363576012344452,False,False
481,481,4.3605330396381235e-10,1.047092399809543e-09,5.940176098945348,0.005589008064124989,False,False
404,404,5.02481059945752e-13,1.2438396880058315e-12,5.930493873747556,-0.00022217072113811867,False,False
194,194,1.7934410689781355e-27,4.761120834281848e-27,5.627537014843548,-0.0011902897425091086,False,False
185,185,2.4512038805197296e-13,6.118732647083732e-13,5.306386324939462,-0.002121466937778858,False,False
168,168,1.3439451241740948e-14,3.3976398028523963e-14,4.944283225639394,-0.001738378356246583,False,False
169,169,5.146625996518568e-15,1.3044565292627762e-14,4.941994139747495,0.0028440890445413976,False,False
65,65,1.7685022132783627e-07,4.0283304443669847e-07,4.873232424248202,0.004279056532064,False,False
2738,2738,5.681311672220876e-28,1.5122989276369111e-27,4.738333213873108,-0.00036344842922535203,False,False
1939,1939,6.147963206903397e-23,1.600627613867481e-22,4.7188622988267594,0.001437675463128727,False,False
1595,1595,5.94340792243484e-14,1.4949181960836108e-13,4.714899305290157,-0.004206619594293743,False,False
1265,1265,6.0624349302299065e-09,1.4314484385777535e-08,4.648418389108533,-0.004518592247737272,False,False
2823,2823,4.73596021847278e-08,1.0938778154418063e-07,4.530848229403774,0.0052034516216328194,False,False
967,967,8.649539988635112e-14,2.1718980276031316e-13,4.519793111379324,-0.0028026719316926706,False,False
51,51,1.4165572416388413e-09,3.3715652711981405e-09,4.389741977220968,-0.002264650253001406,False,False
914,914,1.220213547481438e-08,2.8651849754152753e-08,4.354067125533217,-0.0031546750684613824,False,False
758,758,2.580108750835081e-10,6.215716536102696e-10,4.346624289455442,-0.0014096412431279957,False,False
859,859,8.700597119889895e-14,2.182871703451666e-13,4.339862768023518,-0.0029656235301709203,False,False
2197,2197,1.295762652385003e-17,3.3297173612802504e-17,4.25622470538893,-0.0027822758959180115,False,False
2769,2769,4.558255003463692e-15,1.1573054619572487e-14,4.245029622374389,-0.0008493384257668543,False,False
739,739,3.8053848514578508e-06,8.416082145400075e-06,4.201682134212371,0.0013604402546440958,False,False
1256,1256,2.367874316224864e-20,6.127158649132865e-20,4.191067438731962,0.0022018060329371284,False,False
226,226,7.522096273368761e-07,1.6900516078242605e-06,4.058374537017076,-0.008633117287762629,False,False
1189,1189,1.8101323026378165e-23,4.716832900991255e-23,3.980155291485391,0.0014227462470592037,False,False
2152,2152,2.7842386425136183e-13,6.932567358205049e-13,3.9266367371748405,0.0025850785747451683,False,False
969,969,4.5872919833695676e-17,1.174726713256331e-16,3.9006503039917595,-0.006132737044396439,False,False
163,163,1.8381191692372242e-17,4.719323264962008e-17,3.7986328128609093,-0.005280648997436417,False,False
687,687,9.4290581115149e-14,2.363635513089208e-13,3.791845995871356,-0.0017605911113936171,False,False
1599,1599,8.88977141816362e-09,2.0890610901907854e-08,3.7332446341344347,-0.010559165099598944,False,False
1813,1813,2.6962036462253896e-13,6.71900287321323e-13,3.722090461492968,-0.002190785506322686,False,False
2925,2925,1.030349871220087e-14,2.6092819264344866e-14,3.6448998927341663,-0.0016802881782686254,False,False
1933,1933,2.7076781016552705e-07,6.148728849053438e-07,3.623292077127474,-0.0011975400227702865,False,False
1850,1850,1.802185729650702e-08,4.211722240632507e-08,3.604555262636454,-0.0012252653833223414,False,False
254,254,1.141449758529905e-09,2.723330292055272e-09,3.527670394383175,0.008526879266492858,False,False
2700,2700,3.1033304362587616e-05,6.569675274476465e-05,3.511483384260835,0.00018588905779776772,False,False
2714,2714,5.33045618733055e-08,1.2292769202794928e-07,3.4427134876610475,0.0013594918572814416,False,False
1149,1149,1.2091975363521082e-09,2.882649227223339e-09,3.387322959215494,-0.00396268116256155,False,False
196,196,8.17165658987841e-07,1.8332181979409767e-06,3.2929856439155496,-0.0005999052135596153,False,False
355,355,8.885242464791933e-09,2.0890610901907854e-08,3.19435431483079,-0.0026686959396982853,False,False
423,423,3.6690505676780723e-09,8.677085326588461e-09,3.182380628734588,-0.000800851431786668,False,False
1600,1600,7.944959359457102e-10,1.9016644660377967e-09,3.1803351262042625,-0.003933928757646358,False,False
2125,2125,9.649733162721883e-13,2.3847134077400956e-12,3.112815970241791,-0.0005952510009243931,False,False
2266,2266,1.0579740303653896e-05,2.2841777942479804e-05,3.0397302760039024,-0.0005108357864701376,False,False
2716,2716,9.664080001603081e-05,0.00020016042878407499,3.031642455271657,-0.00255142010826267,False,False
683,683,2.1411599990228057e-08,4.99603999771988e-08,2.9664209008615794,0.003009798046326942,False,False
2170,2170,1.1018426569574796e-07,2.527255800502163e-07,2.9070666709625548,0.004887905783094596,False,False
2585,2585,2.6644872294754496e-06,5.932631730745037e-06,2.892089239008793,0.0018704481494291733,False,False
1601,1601,5.623520791425455e-06,1.2317793143137084e-05,2.8824113709847423,0.0006161272438171639,False,False
698,698,1.8857763830539452e-08,4.403606848862399e-08,2.877310786951236,-0.0023146207021434687,False,False
1761,1761,1.04236110197267e-34,2.880565875842537e-34,2.864369694413088,0.000438292020808529,False,False
1057,1057,6.060839105507968e-05,0.0001263242307945762,2.855185972685448,0.004733175904631753,False,False
1111,1111,3.8242347486156296e-07,8.66437307930625e-07,2.8247204064641394,0.001271279918681073,False,False
1419,1419,9.523453123685222e-08,2.1911324706277317e-07,2.818671367334739,-0.003918433408323204,False,False
2896,2896,2.0202723655992207e-06,4.505010053417346e-06,2.775560165196212,-0.0033960978454032984,False,False
2331,2331,6.602046379227735e-17,1.6877582819593382e-16,2.76641861885466,-0.0033305146570266606,False,False
2954,2954,2.7188172232918325e-11,6.630607657132423e-11,2.759295965430863,-0.001465741367567153,False,False
772,772,1.0492386315540098e-06,2.350294534680982e-06,2.699874371405471,3.175929829080191e-05,False,False
53,53,2.16179558546492e-05,4.599433188286654e-05,2.6984612867035724,-0.0036527739878869365,False,False
1255,1255,3.44254781538587e-07,7.805562961088818e-07,2.6732544232487805,0.0009426353364083895,False,False
684,684,2.8575496646203232e-06,6.34820913517449e-06,2.6666972937921054,0.00040338133082105324,False,False
2595,2595,2.4328491789594123e-11,5.938072667065408e-11,2.6645758364004593,0.0029562449425623322,False,False
