,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1853,1853,7.138452405653438e-35,2.3805535662898207e-34,3.6307195624100452,0.00100821485182078,False,False
1603,1603,2.4789359707432214e-25,7.624333638513866e-25,3.005937217501652,-0.004450517275525336,False,False
982,982,2.0686803712232576e-30,6.609088634866124e-30,2.5417403937453176,-0.0022789767597727346,False,False
2792,2792,9.178716656730833e-33,2.9936737403491337e-32,2.4067004849345888,-0.0015367716695501108,False,False
913,913,9.284802714029803e-21,2.7695773321849704e-20,2.2505471797352654,-0.0029875905070189954,False,False
979,979,3.6282832899485895e-35,1.2126964870008348e-34,2.2370188900569508,-0.0006542424925545642,False,False
1845,1845,9.768601760129612e-07,2.382350864754699e-06,2.1574161987826894,-0.0024160727097043864,False,False
1183,1183,2.546950896217096e-10,6.773611344061237e-10,2.0037963182840692,-0.004233776010858472,False,False
1939,1939,2.1265979905900178e-28,6.6720325962697395e-28,1.9975189804152877,0.001438232147000713,False,False
983,983,5.296011498340398e-19,1.5593811634002285e-18,1.9568033911295437,0.0019099761989631809,False,False
1355,1355,5.123810995024376e-10,1.3517752029539864e-09,1.9033338795025614,-0.004200738594292919,False,False
2736,2736,4.465658618962795e-09,1.1626381386913664e-08,1.8620373892540103,-0.00620605823103637,False,False
412,412,3.0887692401141852e-31,9.953818788989035e-31,1.8594727288761512,-0.002643406245117611,False,False
993,993,1.5831745444354339e-21,4.765580170268121e-21,1.7374048909785573,-0.0011933024592197883,False,False
992,992,3.2600661393073866e-23,9.91380768592656e-23,1.7141503834778054,0.0006428060647663764,False,False
1079,1079,2.213150556494769e-20,6.58179444055759e-20,1.7124821393360024,-0.0037600590330121317,False,False
2333,2333,4.069286552291428e-08,1.0384903256406672e-07,1.7003336872915844,-0.002989723089418258,False,False
1080,1080,2.941033504620435e-17,8.516085308988733e-17,1.678808198301884,-0.003626651444978596,False,False
817,817,1.18552926963407e-16,3.406244794069622e-16,1.6603886773578507,-0.0001924744611535691,False,False
56,56,4.575414464980461e-18,1.3313558953001969e-17,1.652146207608985,-0.0013783570738946293,False,False
981,981,3.8750018990277323e-25,1.1893490833830723e-24,1.6346381191362112,-0.002757807566733483,False,False
2607,2607,2.8046414118420106e-15,7.942915754147985e-15,1.6304948414268052,-0.0011263917951761342,False,False
2927,2927,2.3082120331773202e-05,5.360542499585514e-05,1.563304415185795,0.004935352762949596,False,False
1378,1378,1.618277337273118e-10,4.3154062327283146e-10,1.553308619932588,-0.00220596136819489,False,False
1846,1846,2.098045274927175e-17,6.081053101546734e-17,1.5487912537570736,-0.005514434909255489,False,False
218,218,6.452894723187191e-09,1.674142616994719e-08,1.5426556332875427,0.006715349033061181,False,False
1301,1301,9.654988899893497e-24,2.942095180172885e-23,1.5052717543923855,0.00044396136186716307,False,False
2764,2764,2.906067755088004e-08,7.454804751167845e-08,1.4814345750449684,-0.006729035354062534,False,False
2330,2330,2.7858714571950735e-07,6.930818512116494e-07,1.4379389372653768,-0.002616451999375923,False,False
1795,1795,2.2164007047998465e-06,5.343848328063318e-06,1.3840960862373473,-0.004734863965332931,False,False
219,219,6.671352278870925e-06,1.5752246271828882e-05,1.3793482910217247,0.001309413209190575,False,False
192,192,4.5394672482389967e-07,1.119961661909671e-06,1.3619507744611663,-0.0026358826930713637,False,False
1952,1952,2.8799363673579627e-21,8.633991048806499e-21,1.3568044301102418,-0.004256765427918072,False,False
1268,1268,3.612648541789613e-08,9.243397303475494e-08,1.3415720856057327,0.00030992669073657154,False,False
2866,2866,9.544116198630197e-05,0.0002129844878010107,1.3041136825979005,0.002898225801305284,False,False
1576,1576,6.915566367845075e-08,1.754307776048221e-07,1.3020542674765012,-0.0008168953102980886,False,False
702,702,3.252985318665529e-06,7.805060974777113e-06,1.2851401644200482,0.0044924015068134315,False,False
2660,2660,0.0003008294412339652,0.0006521999865466827,1.2749542144663124,0.00047516119915182956,False,False
69,69,8.004525870076882e-10,2.104289883293905e-09,1.2613683018664648,-0.0027164264321684157,False,False
2041,2041,7.618918503920322e-10,2.0064729476162835e-09,1.2367160020117893,0.0006058715233437581,False,False
2186,2186,0.0010886064625489384,0.00226417938391398,1.1990778571803435,-0.004521796310674204,False,False
492,492,4.638077973430967e-06,1.1030300821428774e-05,1.1961687309308937,0.0026869329941734254,False,False
1156,1156,0.0001396630335209871,0.0003084225323588465,1.1846032469056564,0.0036910545291083258,False,False
1205,1205,0.0007213304498679333,0.0015205318005738822,1.1762570650682003,0.0015165826302907636,False,False
980,980,9.658986013679818e-14,2.6867732416683883e-13,1.1696450143627672,-0.004660516348315898,False,False
2302,2302,8.071355571982215e-13,2.2222433522860125e-12,1.1594620311097588,-0.004213213182755386,False,False
591,591,0.0005579429438462877,0.001186228264567179,1.149489129199478,0.0015012779524649898,False,False
418,418,1.7926382933990886e-11,4.84126520000773e-11,1.141760712738861,-0.0032608758012680865,False,False
2174,2174,1.7249863548713125e-05,4.015497648045534e-05,1.123447176439325,-0.0031114850023168635,False,False
301,301,3.081776551610332e-05,7.118064439828378e-05,1.121233627880552,0.0007634317754477407,False,False
317,317,1.4621660415046577e-10,3.902615837397324e-10,1.1149590298096057,-0.0010437365620246677,False,False
87,87,4.8092341349741946e-08,1.2231197011656734e-07,1.0900789302843443,0.0030675861913607803,False,False
965,965,3.6979148591067016e-06,8.822677895360685e-06,1.057230136732319,0.001252574104254332,False,False
347,347,2.9448570207120718e-08,7.547785524588453e-08,1.0439954422650513,-0.004981192784777622,False,False
850,850,0.00028748142493411315,0.0006241732766674819,1.0178708218197732,0.001984441928442394,False,False
986,986,0.0013912224344653247,0.0028754513826553508,1.009726783880635,-0.008988107038925766,False,False
676,676,9.095033487660172e-07,2.2199061999486344e-06,1.0082941334649718,-0.007236911037733451,False,False
564,564,0.0013312386502305031,0.002759159437069925,0.9785654421948994,0.002887481509336854,False,False
1878,1878,0.0007891164657424982,0.001658709398246271,0.971706994431262,-0.002738380648355831,False,False
2197,2197,1.0020287463059801e-05,2.349147961323972e-05,0.9636980579757621,-0.0027834961194064763,False,False
126,126,6.249613326479487e-07,1.5355010225986025e-06,0.9587453634024801,-0.008676349606178916,False,False
668,668,9.935121896586575e-05,0.00022121111619706642,0.9575077943856666,-0.0037763815628187283,False,False
299,299,7.806517437832793e-07,1.9085456141258425e-06,0.9530481519027696,-0.007482843030877973,False,False
1882,1882,1.0254172669763557e-06,2.4966681282902576e-06,0.932913384495898,0.0015170386078108737,False,False
419,419,1.495773569417407e-07,3.752710020313494e-07,0.9262858882704417,-5.756592253357154e-05,False,False
636,636,0.0001241975082933691,0.0002748830757753315,0.9232157623161547,0.001348430584391696,False,False
1722,1722,3.314694622706363e-06,7.94028542388417e-06,0.9231269285743333,0.0032743016676287707,False,False
334,334,4.046986766660328e-12,1.0969366870728636e-11,0.9156371820451618,-0.0005941785972443181,False,False
747,747,0.0002118596903500329,0.00046303355004337083,0.9017451043850917,-0.0003390652899609814,False,False
1367,1367,6.796177216870392e-05,0.00015315910386994172,0.894303708997921,0.0037817130087437834,False,False
1022,1022,0.000427561448635717,0.0009195669417034841,0.8861463689817146,0.003728865906171626,False,False
2133,2133,1.425458493466016e-08,3.682124289475314e-08,0.8776516947370455,-0.0008618403278868837,False,False
2020,2020,0.0013887746878012367,0.00287239252501329,0.8667165107624163,-0.0011065790668896825,False,False
483,483,1.2860779503960077e-05,3.0055742966735046e-05,0.8625991453296762,-0.000610773248879756,False,False
2008,2008,2.6921083326148893e-06,6.464544928156142e-06,0.8617109043158012,-0.0007802629900142185,False,False
411,411,0.0005281319768884104,0.0011285066288011533,0.8549188014629872,0.001156091012816328,False,False
2762,2762,0.008140370122486766,0.01538892899588581,0.8500888710114572,-0.00099878079589439,False,False
439,439,0.003922821464253717,0.007710552388016578,0.8479634294670343,-0.0032700166916398983,False,False
253,253,0.002443371222190103,0.0049099023611782165,0.8403079912578528,-0.0027337323316631453,False,False
2489,2489,0.0009269159214623995,0.0019360214320199873,0.8354831372336801,-0.0017746098773715137,False,False
2702,2702,0.0016987285250523523,0.0034747251980395463,0.8340728361650387,-0.005435162298916758,False,False
424,424,0.0002723994275834016,0.0005927283732166686,0.8292052004487529,0.0047334692113449785,False,False
2659,2659,0.0009004075286241898,0.001883304823789003,0.8237114907797121,0.004532883916446089,False,False
1438,1438,6.714622042012323e-05,0.00015143615669219282,0.8214712333488502,-0.0036482157767885534,False,False
593,593,0.0015415520981773058,0.0031685087447300858,0.8195805293122526,-0.006104825839289961,False,False
