,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2408,2408,0.0,0.0,3.8281652813316485,-0.002730214461017913,False,False
1853,1853,2.442404623072591e-195,2.6456412121457846e-194,3.669556630211499,0.000982794704167643,False,False
2410,2410,3.5080700443235734e-203,3.929038449642402e-202,3.2966353082396296,-0.0048284167953865365,False,False
2071,2071,4.4534882094168526e-92,2.7480151778688603e-91,3.2738182194648413,-1.7522094277050426e-06,False,False
1852,1852,1.2173147466695788e-78,6.829849089064858e-78,2.754433967520851,-0.00029119409356440085,False,False
371,371,4.619116490852965e-134,3.588884226400943e-133,2.734807409519086,0.00217679926901174,False,False
2007,2007,2.183896344042185e-132,1.6835855452252483e-131,2.6728087763958164,-0.00469640812561941,False,False
792,792,2.0755483294961207e-116,1.477272767852395e-115,2.667260863304043,-0.003002755499478635,False,False
2804,2804,3.214168388629186e-126,2.3849129443628564e-125,2.584766385870222,-0.0013435655779426223,False,False
2925,2925,1.2178330990771734e-113,8.464938262438058e-113,2.5736868066727236,-0.0016765170802926013,False,False
516,516,6.3005683346481105e-106,4.192844577855514e-105,2.5501723819932653,-0.004013971404942737,False,False
1078,1078,2.1148297037786636e-87,1.275775317238836e-86,2.3876790512489205,0.0020412361292004647,False,False
2507,2507,2.719882228961853e-122,1.9883276984134926e-121,2.3813658583564705,-0.0015211684432456171,False,False
1689,1689,1.170233413982521e-192,1.2630010082545898e-191,2.3437404022840798,-0.0031678552119128837,False,False
1843,1843,4.947733220674059e-92,3.0466539831868477e-91,2.2842949134191337,-0.0027141358998672253,False,False
578,578,1.2380259629188014e-76,6.85533779466978e-76,2.2456349763273455,0.0055476416488152575,False,False
231,231,2.484940651858742e-99,1.603326924938423e-98,2.13263546047047,0.000987288330083453,False,False
1761,1761,1.273842423487587e-308,2.4392027825233276e-307,2.1165645900307153,0.00043486015071316983,False,False
1935,1935,1.4827600713759662e-40,5.995683776354043e-40,2.0900096786921956,-0.004333847653910969,False,False
1690,1690,7.740951655890252e-114,5.405916356395828e-113,2.084904274273863,-0.0039758002237504225,False,False
1851,1851,1.4581638837638552e-56,6.946758277706456e-56,2.0729710699377226,0.0007106122906345227,False,False
1630,1630,1.9123020337393186e-76,1.05496513682868e-75,2.048118297767081,-0.004128639780037267,False,False
137,137,1.6804772218152019e-87,1.0158159662622238e-86,1.9626299329108958,0.000869849201839714,False,False
1062,1062,1.379912085318252e-129,1.0474626775510414e-128,1.9607331470034457,6.831745518659157e-05,False,False
2412,2412,2.2479761516938857e-45,9.59999024205389e-45,1.9456736904100418,-0.000834526666918467,False,False
1846,1846,3.669890853579894e-156,3.2514137472910826e-155,1.9260261585865583,-0.0055073166926200776,False,False
234,234,7.05072349292784e-192,7.554710226357338e-191,1.9095013990588876,-0.0038435423388080495,False,False
2737,2737,1.0981201746024937e-113,7.65075276577512e-113,1.8921840951059206,-0.003847543328810491,False,False
412,412,1.2911305354326366e-154,1.1304057313168333e-153,1.8607053124115116,-0.0026474531260866283,False,False
1939,1939,4.288962292889453e-138,3.4127721408299986e-137,1.8518454138612293,0.0014424867083436196,False,False
