,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
662,662,9.614635273152289e-44,3.3259018054447544e-43,11.036098840646147,0.0007346764815033737,False,False
840,840,6.331965137319908e-13,1.7830429343041258e-12,7.100255595134114,0.0024208678511562255,False,False
2656,2656,1.7175453286145963e-10,4.638466365175725e-10,5.8985061413164726,-0.003625792747311527,False,False
1487,1487,7.935531399650067e-13,2.2303652645986174e-12,3.39608019420032,-0.0032172748540609634,False,False
755,755,1.239655336035931e-12,3.4677634659327456e-12,3.3274077613780295,0.003086233956734955,False,False
2536,2536,2.2558503151137573e-09,6.004810524894737e-09,3.1878553853780582,-0.005735930768966087,False,False
512,512,1.3782889960256402e-06,3.4004669494630926e-06,3.113438573638396,-0.0013260448982635462,False,False
1449,1449,7.336998329036245e-27,2.2472870010918033e-26,2.7814007789877055,0.000543674961822838,False,False
1865,1865,1.2868706909560275e-27,3.9579608401632014e-27,2.6969335567542716,-0.001095903245766605,False,False
2547,2547,4.67172176033356e-09,1.235799481699644e-08,2.6641114467975875,6.485852077830513e-05,False,False
1718,1718,4.1719670417871964e-11,1.142119965106151e-10,2.662504511111781,0.0006097101751668141,False,False
726,726,1.6136778113633631e-16,4.695486023653394e-16,2.634712347681508,0.0027170255787441447,False,False
2546,2546,2.0484769880579732e-07,5.174365702600906e-07,2.591444404350695,-0.001324635123392592,False,False
1982,1982,1.7885393923424004e-08,4.648323044196361e-08,2.3498676117270922,-0.0002771228276197174,False,False
2583,2583,1.1406584611793738e-21,3.402486746512946e-21,2.33254468844255,-0.0006055867243214982,False,False
2249,2249,3.671410175472722e-08,9.442587002428976e-08,2.313789848019937,1.4680468202661959e-05,False,False
1907,1907,1.4011293780889125e-15,4.049222973873313e-15,2.306369892699199,0.00255218823519674,False,False
1711,1711,6.000259193487506e-09,1.5815958513562095e-08,2.181281341434245,0.00040370876784301185,False,False
1108,1108,4.0832996942196566e-09,1.0820744189682089e-08,2.135395706102601,-0.004432938801926213,False,False
620,620,1.041136649351945e-05,2.506158617418145e-05,2.128919488436892,-0.0025544872974122175,False,False
1906,1906,6.668607464387952e-18,1.9519158732054676e-17,2.1033621705263883,-0.002194264499695678,False,False
1391,1391,1.8161985783943175e-20,5.3904773806743346e-20,2.0942698544705736,0.0015085559119239703,False,False
167,167,6.400372785459191e-40,2.161127011062899e-39,2.0115755104809683,0.0018398800331717183,False,False
1821,1821,3.506938428540419e-24,1.0621013526436698e-23,1.9926737582036143,0.001722581398215807,False,False
2555,2555,8.490349082102913e-13,2.3834693079256776e-12,1.9647879194847657,-0.004903041764293068,False,False
1871,1871,2.0555004941728686e-05,4.9080655403902446e-05,1.9548540127930982,-0.004535866187348105,False,False
2072,2072,5.571113196097503e-05,0.00013133490044493556,1.8009430239458446,0.000202418778369537,False,False
2031,2031,5.2836962583626224e-11,1.440037694657508e-10,1.7574320534258683,0.0012979412631734324,False,False
1358,1358,2.1938012636035963e-15,6.321555485801431e-15,1.7434143954281383,-0.0014331443554126554,False,False
1699,1699,1.647440951636663e-05,3.9495999551353925e-05,1.7281013551186877,-0.002196928092928332,False,False
2368,2368,1.556761147071911e-07,3.9390171223439314e-07,1.69048300676679,-0.001474258630315638,False,False
1751,1751,0.00010431299454665956,0.00024301488839441568,1.6596225341169315,0.0035160237397035537,False,False
1063,1063,9.785748938615641e-17,2.850255431777353e-16,1.6512241988765048,0.0011427845904672337,False,False
2950,2950,5.223739781962613e-13,1.4765771117014321e-12,1.5670833647804323,-0.0005878386490738069,False,False
2965,2965,4.333966661724939e-21,1.2888991034067753e-20,1.5196967210309433,0.0019319929908517294,False,False
2135,2135,1.6252579113340234e-06,3.993183345065713e-06,1.4989562320083654,0.004233354668789538,False,False
2452,2452,0.0008951761716390556,0.0019666046465023814,1.4383317542894654,0.0024574767463121008,False,False
1564,1564,2.2844287222188695e-11,6.277948562542226e-11,1.43608706469438,0.0007184899698604335,False,False
2655,2655,0.0009318276690498604,0.0020440979465927464,1.413882838111363,0.003908825885964836,False,False
1569,1569,8.719303671737535e-08,2.2175572662996575e-07,1.4039111110239757,0.0035733883609121446,False,False
1041,1041,1.8219453079672473e-08,4.7310005897172265e-08,1.394736408812253,-0.0001901353143959996,False,False
303,303,3.5092930123898327e-12,9.752417285368e-12,1.3772705291479765,-0.0014722273739084986,False,False
