,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2738,2738,3.4480956802352983e-225,2.5584869947345914e-223,4.754837444315446,0.0004170753508994998,False,False
194,194,9.459654632234198e-141,3.0517668422251198e-139,4.503530985482895,0.00010881319431828296,False,False
969,969,1.1402694950280823e-124,3.1048806066452736e-123,4.033881719160232,0.002559890410624009,False,False
2781,2781,5.907121161060138e-62,6.493457631861663e-61,3.868303807017482,0.00020199709681737246,False,False
1600,1600,1.7707135025950438e-70,2.2081838973538195e-69,3.70325316412276,-0.0017047270538727705,False,False
559,559,1.1661595227297046e-51,1.0331825264064965e-50,3.663443982526099,0.005326308343711332,False,False
33,33,6.27984709105981e-56,6.071200705623947e-55,3.610896156156416,9.915333559040729e-06,False,False
859,859,4.431025014834862e-69,5.412050306185132e-68,3.580438885914638,-0.001928586638081719,False,False
683,683,1.7728959863748558e-71,2.2486988408378512e-70,3.5765845800389227,0.002859811384149036,False,False
34,34,1.4769007492597172e-49,1.2524118353722402e-48,3.557257242290141,0.0008515211580577449,False,False
35,35,3.0670023496618093e-54,2.8625355263510224e-53,3.480357680269129,0.00018251140260418589,False,False
1850,1850,1.808457250531908e-46,1.4665303605406292e-45,3.3514399043900793,0.00213277470213279,False,False
1595,1595,4.131303388133924e-71,5.195639176263342e-70,3.325636103094142,-0.003321747760088898,False,False
1729,1729,9.468955366907502e-32,5.521386940860799e-31,3.30845266613704,0.006857473414818835,False,False
1256,1256,4.4082047583875956e-77,6.085372894369481e-76,3.2971250906442267,-8.632545868312094e-05,False,False
1939,1939,1.4304202024690833e-111,3.144805304391288e-110,3.1566883037713502,-0.0007508910361788725,False,False
868,868,4.232789593074807e-36,2.80422310541206e-35,3.123745164047254,-0.0008060832077893196,False,False
686,686,1.9442023172503844e-32,1.161044764104455e-31,3.0938928830883197,0.0004181889202530299,False,False
2055,2055,4.393216524569936e-44,3.395590272115513e-43,3.038752205965795,0.0008481848549238211,False,False
196,196,4.317815613057518e-34,2.6866408259024555e-33,2.9690787933031944,0.00394158624619027,False,False
967,967,1.446129416840902e-56,1.411878983284144e-55,2.950246674223114,-0.00020923035809513116,False,False
2769,2769,1.125512497045462e-68,1.357935402939403e-67,2.7492960207603008,-0.0031283078259426514,False,False
163,163,6.550465241589896e-84,1.0125927519291048e-82,2.7418813918526888,-0.003026309539723746,False,False
591,591,3.4269125437526025e-31,1.9597449768511993e-30,2.740718128074542,-0.005038856337980346,False,False
1599,1599,9.908857549826447e-38,6.807752131454836e-37,2.690777671555553,-0.0002617732946822021,False,False
1537,1537,9.95324581943713e-36,6.49257881144822e-35,2.6900802819063045,0.003588763880088613,False,False
232,232,1.1582843195040855e-82,1.718893930144063e-81,2.688507250651875,0.0023315151006403426,False,False
1602,1602,1.336178157752707e-37,9.158837811108624e-37,2.6341040028895026,0.002515922895881567,False,False
1601,1601,2.9251783690761995e-25,1.4740117825837283e-24,2.586030794257679,0.0002719193713987475,False,False
1813,1813,3.9253410555604976e-53,3.5847422316626334e-52,2.5664372945460845,-0.0002835423940492389,False,False
2266,2266,5.0605260581757233e-26,2.5985538651670497e-25,2.5027026443599456,-0.001896826225370185,False,False
1645,1645,1.3816224362673678e-20,6.299009816960902e-20,2.4598345981456413,0.001192899191738898,False,False
1189,1189,1.0797402091258374e-81,1.5864697726165768e-80,2.4430186048093367,-0.0036951296750592603,False,False
404,404,5.4858694781457207e-36,3.594273865593046e-35,2.4338707024995823,0.0009422927382236428,False,False
2294,2294,7.242858397768845e-26,3.680959541879783e-25,2.40327564593856,0.0013701179729401509,False,False
2411,2411,1.6166029387182461e-24,7.957010816112363e-24,2.3987893951867068,0.0037879084437079016,False,False
2370,2370,4.994829090240273e-58,5.0769358698058666e-57,2.3781306067197647,0.004146605888964722,False,False
185,185,2.7500759860844612e-36,1.8342079835277935e-35,2.3777031277176714,-0.0025962460197082766,False,False
1111,1111,3.5885257429960103e-32,2.117444215747944e-31,2.273671991155339,0.0042249870553621345,False,False
1761,1761,1.4195017620470753e-171,6.288180939933909e-170,2.2647590708912415,-0.0029037519416705657,False,False
2954,2954,4.2618287838561426e-60,4.469649410065382e-59,2.263935010645174,-0.0002077326904551622,False,False
1149,1149,7.131653682368515e-42,5.304949405832018e-41,2.2462397721297074,-0.0033625144567118372,False,False
1336,1336,6.920192449085882e-69,8.383318852606898e-68,2.242852345406506,7.957289329327787e-05,False,False
2700,2700,1.1455972172838025e-18,4.892277037263779e-18,2.241927385088961,-0.0022825952067168035,False,False
2823,2823,5.800190576463077e-23,2.754394500950786e-22,2.240971532387755,-0.002594263691741476,False,False
2585,2585,7.406436238397362e-26,3.757658590694593e-25,2.1903583926022057,0.002017526168682223,False,False
226,226,1.9186934934325242e-22,9.082427892356829e-22,2.1665674278818465,-0.001447780681619635,False,False
355,355,6.686586761127345e-37,4.510406706142264e-36,2.1303527831156885,-0.003151637589237014,False,False
65,65,3.4184705816890227e-19,1.487686317661733e-18,2.1299571370273784,-0.004894643492753609,False,False
129,129,3.258910935467153e-33,1.990215567174179e-32,2.121091025603834,-0.003300297965566327,False,False
2197,2197,4.092961679144072e-40,2.9272072924577362e-39,2.1062635574830706,-0.002315516630379384,False,False
2399,2399,2.7006604877946263e-20,1.22002440300981e-19,2.1004745462126184,0.0022246249508525266,False,False
2409,2409,1.3475352744162499e-28,7.325063542980641e-28,2.073757686336022,0.001520614531154714,False,False
1837,1837,1.826657447647634e-17,7.540360646200525e-17,2.069448313022509,0.0062691580565687,False,False
415,415,4.703783717445282e-61,5.09519345743708e-60,2.0459208069126693,0.0014821007893167145,False,False
684,684,6.687463059267099e-29,3.6688337079306376e-28,2.0118768586413642,0.004603478465382281,False,False
481,481,1.1276552151182633e-19,4.95834174588297e-19,1.9888239870267008,0.0010426893133897025,False,False
1253,1253,1.4535411433344105e-118,3.536155830669287e-117,1.9661321392429456,-0.009692388776779843,False,False
286,286,7.347730977434013e-19,3.1651764210484978e-18,1.9462146887106198,0.00054427137315783,False,False
876,876,6.16963068721626e-16,2.4253594542593193e-15,1.946020579416832,0.003918779337478376,False,False
687,687,7.136510210963217e-39,4.983802895562076e-38,1.9395710781810427,0.000817274937300768,False,False
168,168,1.5543329220062942e-34,9.94237093214371e-34,1.9361544170944238,-0.0003419621771016835,False,False
2357,2357,1.303083497286304e-38,9.057498407367097e-38,1.9358055408818473,-0.0029962323890199895,False,False
56,56,3.76399594994148e-91,6.38373713110075e-90,1.9266485019937658,-0.0031894569280985583,False,False
2716,2716,3.906268751286925e-16,1.5437823773394932e-15,1.9192683663565675,0.00027930177699036184,False,False
2822,2822,1.174175194150982e-15,4.585463126631729e-15,1.9002400889706483,0.0010700940792238867,False,False
1265,1265,1.903987901329203e-20,8.640727968111735e-20,1.8881601928386231,-0.0015533375873864365,False,False
739,739,1.5827006346711649e-15,6.1485019420209655e-15,1.8643184502405967,-0.004731432084924785,False,False
2824,2824,1.693581428792292e-19,7.424741034941688e-19,1.8604371269653224,0.0029165023994265175,False,False
235,235,2.1848168015704953e-16,8.704075526256684e-16,1.8283221535730825,-0.0001490206957998584,False,False
548,548,6.140300730303079e-53,5.5393351269117136e-52,1.8132525795627958,-0.0010048635256773783,False,False
2041,2041,8.97246884909462e-48,7.376810954047876e-47,1.8026405929770897,-0.000984385870531809,False,False
2923,2923,1.6018204815839054e-43,1.2221602029154323e-42,1.8018301610124892,0.0029456338710672283,False,False
2623,2623,6.582938743054057e-44,5.048620720771173e-43,1.790767359528751,0.00472542555678135,False,False
2714,2714,1.0379139554639033e-26,5.404436175117308e-26,1.7659674881466232,0.002154301599195366,False,False
914,914,2.0130968267831054e-20,9.108035643128441e-20,1.7525721961456184,-0.0015219496609785686,False,False
911,911,1.0814023089832563e-23,5.2530311834080275e-23,1.7517456434947285,-0.0001309922305681617,False,False
1255,1255,2.74478623418896e-27,1.4547367041201487e-26,1.7444878748572334,-0.0009088769843014193,False,False
979,979,4.587644531562925e-86,7.204301042158075e-85,1.7321474021677052,-0.002945077125330783,False,False
2331,2331,1.693972310078028e-58,1.74573257510819e-57,1.7200449346563689,-0.004881751687548053,False,False
2595,2595,1.2714331108922395e-39,8.979120534124753e-39,1.70778483698383,-0.0015089129285676267,False,False
169,169,2.2949274183166203e-30,1.292475251909626e-29,1.7024641573131234,-0.0011563592934020275,False,False
913,913,8.648539070681554e-54,7.971696882541258e-53,1.702109119284634,-0.002176571556266384,False,False
1765,1765,9.035804069223369e-100,1.6973586378136052e-98,1.6970888395604062,0.0011784700410952496,False,False
803,803,2.6709264685245496e-19,1.165780846850127e-18,1.6786438064009124,-0.0021912072625012383,False,False
896,896,3.195128368677929e-34,2.0006626578557157e-33,1.6766598561926072,-0.0017489455048590383,False,False
1259,1259,1.6300579155326795e-13,5.965489387547464e-13,1.6746436068363015,-0.0038549091784003675,False,False
2152,2152,1.4402562883098922e-32,8.635718512532848e-32,1.6636452588741066,0.008228136860771564,False,False
1058,1058,6.4588339685104005e-50,5.540410178768459e-49,1.6537211911352252,0.00397148932444722,False,False
418,418,1.6079969340318003e-65,1.8426775676472525e-64,1.643014148529134,-0.0009362396065845085,False,False
2019,2019,2.338211914930544e-56,2.2753485126274933e-55,1.6427784369008254,-0.003972271841309282,False,False
