,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
185,185,2.5360702534355247e-80,2.6691689759562543e-79,6.323171320478976,-0.002593405759519593,False,False
1537,1537,3.568495546473907e-70,3.299468779418865e-69,5.5687511009424915,0.0035891850084528963,False,False
1939,1939,5.939365285802463e-142,1.1017522605163568e-140,5.11410147349748,-0.0007510275111230168,False,False
168,168,1.130511988298414e-79,1.1773191513226993e-78,5.052352156098925,-0.0003431461867101984,False,False
169,169,2.5811207564468657e-78,2.6599883351160754e-77,4.810923708924704,-0.0011478715355274713,False,False
2738,2738,1.8810371130109433e-154,3.772241994200324e-153,4.625582821604079,0.00041775772153934687,False,False
683,683,1.3766431250012867e-68,1.2610730848777219e-67,4.2719887728874975,0.00286042135200585,False,False
194,194,2.605448194705276e-109,3.596730345062911e-108,4.255668414740377,0.00010169688983925618,False,False
226,226,7.202726535401028e-36,4.0719414013467147e-35,4.250505568116656,-0.0014477984075271406,False,False
65,65,5.40286262059024e-31,2.750548243209577e-30,4.219957370109921,-0.004895547276854251,False,False
1850,1850,1.8501927047479237e-46,1.2122233880114431e-45,4.174165608082034,0.0021329029172064175,False,False
163,163,6.732788867013248e-111,9.381651341453201e-110,4.154647525450072,-0.003026742364244824,False,False
2294,2294,1.3085566400046771e-35,7.369632082606986e-35,4.047047394168118,0.0013701188855054919,False,False
232,232,3.022563046865692e-107,4.0409761815753935e-106,4.046985512660554,0.002332307018356152,False,False
1256,1256,7.154865658038372e-76,7.102221161557822e-75,4.023127294662021,-8.599853304167362e-05,False,False
1595,1595,1.3529139603815076e-65,1.1741077878398581e-64,3.9085454363025085,-0.0033216915215198324,False,False
1837,1837,7.1622348548893e-26,3.2014326881493136e-25,3.696377836530663,0.00626903534464191,False,False
859,859,2.9510715814158973e-57,2.217412773074021e-56,3.6437134825097193,-0.001924212121646316,False,False
2197,2197,6.062729068303539e-60,4.798447966593308e-59,3.5221231645193543,-0.0023193983175273485,False,False
