,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
509,509,4.8307620494143706e-48,2.9023687778667717e-47,2.8956177287910028,0.0002810596377790277,False,False
1544,1544,2.0510545729203218e-83,1.6909805478965317e-82,2.862341445236041,-0.0010350254002343753,False,False
2124,2124,1.1152722743934094e-134,1.2214494872323392e-133,2.8356043666490525,-0.0018069108111484732,False,False
2138,2138,1.1744155939493908e-104,1.0961212210194315e-103,2.790205198017422,0.0005418486087230452,False,False
2576,2576,7.963988572530918e-71,5.924089745180893e-70,2.767079704041203,-0.0014096398428991054,False,False
446,446,1.826446725128956e-71,1.3746076276761608e-70,2.7475874349302436,0.0014033510237884995,False,False
2471,2471,4.902307693255569e-74,3.7694428066275986e-73,2.690967177626202,0.0017145804737540848,False,False
1241,1241,3.5850356544360792e-31,1.747189790207928e-30,2.4150657674272544,0.0017508653390504794,False,False
820,820,3.8573324782587854e-35,2.026294300083553e-34,2.4070760446585306,0.0026883086134167206,False,False
2583,2583,1.3481471591243297e-113,1.3382276816993348e-112,2.327078752628009,-0.0006052326824897217,False,False
2258,2258,1.1207155301205923e-34,5.825365487562028e-34,2.2412924170802886,0.0011481637000036946,False,False
1540,1540,2.735214332841558e-56,1.8242957617693808e-55,2.205764417078544,0.0018083906652406456,False,False
1517,1517,7.746910919560184e-57,5.201998101641319e-56,2.198125878852039,0.00033230161825935356,False,False
552,552,2.4607308776757924e-36,1.3159368008904057e-35,2.189023531790546,0.004814094957716508,False,False
1159,1159,1.232532683362332e-69,9.099893045321895e-69,2.1856353217401145,-0.000882093327360077,False,False
2056,2056,9.529996995635355e-74,7.289956464702509e-73,2.1021174212339013,-0.0017064347762011517,False,False
2577,2577,2.5687183700577714e-38,1.4144631024733704e-37,2.0835201941773094,0.002081193501073107,False,False
525,525,1.5394788811124451e-65,1.103665052932787e-64,2.0812962636775567,-0.0016044301287963456,False,False
596,596,1.66978337417567e-30,8.058401714720958e-30,2.0710793010866655,-0.003916539644452547,False,False
2423,2423,1.9245571367327325e-139,2.1636687809934662e-138,2.044140269184672,-0.001557970733261152,False,False
2495,2495,9.186425554917089e-70,6.799329438153097e-69,2.01839876860401,-0.00494497321931941,False,False
1555,1555,2.6489243760506714e-273,5.4979073763065684e-272,1.9984078116118142,0.000811088084466555,False,False
2047,2047,8.979251138142552e-19,3.5112539364963236e-18,1.962089595668632,-0.004108223433691584,False,False
79,79,6.03750478909499e-34,3.089536933454126e-33,1.9549770798159352,-2.5753428986061838e-05,False,False
37,37,2.611331035988881e-124,2.7290248291602106e-123,1.945589284549673,-0.0033095848761642895,False,False
1842,1842,2.318767534273351e-80,1.8752321639573038e-79,1.9339914356337993,-0.0042528657143534945,False,False
