,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2714,2714,3.1081375032162026e-182,4.0283633666138383e-181,6.145352244878656,0.0021642966866776414,False,False
194,194,2.3769060936364536e-296,5.304253598430823e-295,5.365325173740991,0.0001249283869985754,False,False
2738,2738,0.0,0.0,5.110302516475825,0.00041704128028573206,False,False
967,967,4.339346905962902e-171,5.278353121679464e-170,5.06422534923883,-0.00023356294305645897,False,False
1537,1537,1.3002140808249188e-124,1.2289921630217704e-123,4.901896143687987,0.003590676164554066,False,False
1850,1850,2.2856930871141685e-115,2.001161381284617e-114,4.809550199043105,0.002104469990449602,False,False
163,163,0.0,0.0,4.785691959546741,-0.0030481544817001216,False,False
481,481,4.69278663181933e-91,3.397119688595066e-90,4.780911685642636,0.0010686151481942227,False,False
2700,2700,2.565910523588684e-70,1.5416239744961974e-69,4.619071985711811,-0.002310412236068579,False,False
969,969,8.60019341337549e-237,1.5284655120298476e-235,4.613425370701815,0.0025601225224943167,False,False
1599,1599,1.0035916311786635e-105,8.116239676671043e-105,4.492760983118636,-0.00029099646654039135,False,False
1256,1256,2.9267863069510296e-199,4.196474279724955e-198,4.490395302636982,-6.11821535855539e-05,False,False
1595,1595,3.1946777894997416e-148,3.4354361156649396e-147,4.351338241206195,-0.0032962446531024994,False,False
2781,2781,1.8199738079765657e-127,1.7537929422319633e-126,4.263247969635708,0.00020390024648436755,False,False
1939,1939,4.995025498527769e-246,9.15138004915458e-245,4.112971399623114,-0.0007679127636604985,False,False
1265,1265,1.0031121875844819e-76,6.47225428858857e-76,3.934488014161547,-0.0015772984396277279,False,False
2823,2823,9.168696025428966e-70,5.453444850395425e-69,3.873519417381042,-0.0025834493258821076,False,False
2716,2716,6.3878449563220374e-55,3.1971541029281295e-54,3.858664281551321,0.00027870104501950127,False,False
540,540,1.5115048078481392e-58,7.954160052647655e-58,3.8329591203673403,-4.68064612854438e-05,False,False
2266,2266,1.548826353457906e-72,9.556999203873316e-72,3.8191156187367414,-0.0019000655478911832,False,False
1602,1602,1.004217746619669e-90,7.2167512638430445e-90,3.8013065142702587,0.002532467930067832,False,False
185,185,2.7935131597063123e-86,1.9508581312960785e-85,3.7312916569266585,-0.002593016012969712,False,False
2170,2170,2.512809209673369e-92,1.86450443357764e-91,3.726715316825272,0.003598859060287042,False,False
859,859,3.730729156522245e-113,3.209508445379137e-112,3.671441441826883,-0.0019101496223801195,False,False
1600,1600,3.1731743479983244e-108,2.6529525253124017e-107,3.6274692025005453,-0.0016878363566726617,False,False
226,226,1.1194354083797497e-62,6.2102510132170045e-62,3.5959423264701598,-0.0014477539644323426,False,False
2197,2197,2.2192875423696307e-138,2.287099106164258e-137,3.4912860517825433,-0.0023222901139468496,False,False
51,51,1.115087303560085e-75,7.102101109369811e-75,3.488561126415526,-0.004796518147599044,False,False
1813,1813,6.116035895658735e-123,5.708300169281486e-122,3.346959759022332,-0.0002918539940681558,False,False
1169,1169,1.1769074216663527e-56,6.012153575741368e-56,3.313703188978725,0.0008319214823416937,False,False
2370,2370,4.0350493048625507e-134,4.059669944688831e-133,3.3112795073480674,0.0041504970315787565,False,False
35,35,7.901597742850552e-59,4.1655314566217476e-58,3.2908443567898975,0.00018592687917037137,False,False
548,548,1.5092301800372932e-164,1.7566255585688965e-163,3.2346053259037824,-0.0010135047929917054,False,False
168,168,1.1225295152568044e-114,9.799022356712339e-114,3.2116071931422137,-0.0003441038140587563,False,False
129,129,9.7751513850803e-89,6.89136563204711e-88,3.1679025749439926,-0.00330679440461221,False,False
2822,2822,1.0672245306971173e-44,4.741800010642281e-44,3.1674634279939298,0.0010699473739161254,False,False
2585,2585,3.308470654862905e-62,1.8285923470452703e-61,3.1423196692397153,0.002025531700860169,False,False
33,33,6.1437125020634535e-58,3.2046640959796714e-57,3.136395073834118,-2.9605260785242615e-07,False,False
2060,2060,1.0021835020182848e-65,5.7982078635287895e-65,3.095022287782078,-0.003284593736696817,False,False
34,34,9.095480405861022e-54,4.499230974099253e-53,3.0917269765790163,0.0008497725408742572,False,False
65,65,1.9842720173759164e-46,8.977620956664208e-46,3.072654487559295,-0.004899298104133747,False,False
1149,1149,2.1581842140413663e-97,1.6812311672637206e-96,3.0680216027869793,-0.003362061789198543,False,False
355,355,3.3974666459288854e-90,2.429802651835405e-89,3.035455967668756,-0.00313995908243693,False,False
2042,2042,1.897394266059008e-77,1.2376848750907991e-76,3.005559723644695,-0.006528992035543517,False,False
2294,2294,2.1753593795529007e-55,1.0999091377364581e-54,2.999479086230187,0.0013701026574235026,False,False
1601,1601,1.3847074862112737e-51,6.69350459132746e-51,2.977600385855856,0.0002719257729016482,False,False
169,169,2.384538735129528e-87,1.6731231597788272e-86,2.94964882490751,-0.001154095789970458,False,False
876,876,2.156762210662737e-41,9.210460778772668e-41,2.9246632848176315,0.0039010056029097004,False,False
1189,1189,6.315792668079861e-193,8.800597483033345e-192,2.914640509450167,-0.0036954894986799373,False,False
868,868,3.314604772521191e-55,1.6702456646592353e-54,2.9126929671628807,-0.0008060407106286818,False,False
1111,1111,8.966949458816324e-68,5.280536903525169e-67,2.8556314453723872,0.0042249692702083196,False,False
2331,2331,4.319065590435149e-221,6.8550730868510816e-220,2.81666690550809,-0.004891853688300293,False,False
415,415,5.773823864152156e-159,6.515859022358782e-158,2.7921762186237795,0.001482176163830999,False,False
758,758,2.675613373104568e-67,1.572518909183041e-66,2.7617759337584737,0.0004489191549876051,False,False
