,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1603,1603,0.0,0.0,3.422508346263467,-0.003428122176406312,False,False
2792,2792,0.0,0.0,3.159499298393438,-0.001397568394623988,False,False
913,913,0.0,0.0,2.82092455638297,-0.002139859172116218,False,False
979,979,0.0,0.0,2.8042063808665727,-0.002957585278244357,False,False
412,412,0.0,0.0,2.496846608225778,-0.0027541573195878494,False,False
982,982,0.0,0.0,2.46180735738911,-0.003585923298691479,False,False
983,983,0.0,0.0,2.421389058925985,-0.00018970833359896466,False,False
981,981,0.0,0.0,2.293982322617416,-0.002580051916197021,False,False
1846,1846,0.0,0.0,2.288675593695646,-0.005288252058873497,False,False
393,393,1.2030639697442951e-180,6.775510174954588e-180,2.219582552611755,0.0032057755254740056,False,False
993,993,0.0,0.0,2.21389758009616,-0.0031420701585466865,False,False
992,992,0.0,0.0,2.1234502271765625,-0.0038875322488051284,False,False
2467,2467,5.230532603992454e-200,3.2074836298862816e-199,2.0976893866093653,0.0010429487728182696,False,False
251,251,9.559979372303951e-248,7.040699448386632e-247,2.024557741428757,0.0067186585916893665,False,False
2174,2174,6.936984384466052e-147,3.3369480799181914e-146,1.9823643025369202,0.0020011730996372518,False,False
49,49,0.0,0.0,1.9493286925784674,-0.0045236827222123605,False,False
2333,2333,8.624192140050175e-169,4.645481356019768e-168,1.9410461585977339,0.00029078445657608476,False,False
1378,1378,4.227017707926647e-231,2.938123783870325e-230,1.9064386164614793,0.003954711645407366,False,False
1954,1954,1.4257419876481072e-123,6.232109306832963e-123,1.8945252492492244,0.001227112235026459,False,False
56,56,0.0,0.0,1.8750892211523265,-0.0032008517434813227,False,False
2302,2302,0.0,0.0,1.8151474199165083,0.0013496919171559207,False,False
218,218,4.636371817629544e-171,2.5249085421512818e-170,1.7658483135748764,-0.0002267157985207241,False,False
817,817,1.3736962169925768e-298,1.1615756045680821e-297,1.726017335864448,-0.0009478858473742358,False,False
1355,1355,1.6273120459116775e-149,7.943852224121479e-149,1.6904108432495721,0.005156360136699227,False,False
1974,1974,1.0237595867603944e-127,4.521604841525075e-127,1.6863492687200492,-0.0009896333829211984,False,False
492,492,8.61058230877069e-153,4.273613426827995e-152,1.6708857818841056,0.0006319768058153652,False,False
2764,2764,4.552721350039095e-152,2.2483322740292905e-151,1.6608610529012164,-0.002645310291001887,False,False
1952,1952,0.0,0.0,1.650811687403591,-0.0028060457061788585,False,False
980,980,0.0,0.0,1.6363926512063374,-0.004434240055038924,False,False
206,206,1.8742389204633322e-196,1.1352532889663613e-195,1.624309902580814,0.0029480530977840716,False,False
2020,2020,1.3199226501198744e-95,5.0483639504584886e-95,1.616474759968469,0.0028049600662758134,False,False
1301,1301,0.0,0.0,1.5570384479902837,-0.0015423109147411698,False,False
965,965,6.401823167459505e-151,3.145796549837717e-150,1.55350028116083,-0.002197181793971513,False,False
1454,1454,1.0146706911530427e-80,3.589442921742826e-80,1.5064179451974946,-0.0031959508623282396,False,False
1795,1795,1.2574694203466069e-95,4.8157022446306186e-95,1.4583438605290429,-0.0031664144358297883,False,False
989,989,2.4551395675169975e-199,1.5024441724516388e-198,1.4552131205994834,0.0027382298139732378,False,False
676,676,1.5078867175894486e-172,8.242003274043247e-172,1.4407061367741447,-0.003154885771958403,False,False
747,747,1.264961768091514e-105,5.02597928741046e-105,1.4219971223381067,0.00016230448849186008,False,False
1024,1024,3.1356891158481528e-102,1.2326788471307706e-101,1.420374670256614,-0.0054859417874065855,False,False
192,192,1.4420440279861939e-123,6.29409805156327e-123,1.4088779148927006,0.00017528155770004522,False,False
128,128,1.4361887612642426e-92,5.423165704112306e-92,1.3983547264430325,0.0016047219832250534,False,False
1831,1831,6.654550979848919e-156,3.35896382792374e-155,1.3946623234225022,-0.000624400130376214,False,False
1145,1145,4.30906542601494e-161,2.2358926895825774e-160,1.375558205718396,0.0012258011350163786,False,False
966,966,1.5702022027175284e-225,1.0713471580840516e-224,1.3679042951988554,-0.0018880633951388268,False,False
2607,2607,4.707809367638747e-211,3.050824935185983e-210,1.3624441308802266,-0.0068232896811996555,False,False
1183,1183,1.3768629990288192e-107,5.537302684441104e-107,1.356929636167299,-0.0016616468527553344,False,False
2620,2620,2.5402866943610076e-107,1.0188609336301988e-106,1.3348259690494944,0.0011738628102225604,False,False
334,334,0.0,0.0,1.3255173704503398,-0.0002648007475125197,False,False
1080,1080,1.6260383781358208e-190,9.575559337910944e-190,1.32460998460993,-0.00039749509922309273,False,False
346,346,6.154609986048315e-88,2.263554205525576e-87,1.2818918481481418,-0.0020512221983856396,False,False
917,917,2.2264785159970893e-122,9.618905728499798e-122,1.2743530531410647,-0.004984019831587583,False,False
126,126,3.6767886579157226e-163,1.928040412843439e-162,1.2538979364720213,0.0014690043131919475,False,False
986,986,1.1505256140415103e-54,3.438831845392953e-54,1.2284657225038758,-0.004006591727877477,False,False
2736,2736,1.2351727117742483e-91,4.622941498796934e-91,1.2238945257586413,-0.0066120875209708385,False,False
593,593,4.646148363016358e-81,1.6455570813165335e-80,1.2238460857701343,0.0019201995792515816,False,False
1576,1576,2.980457663167235e-117,1.2565338557216412e-116,1.2217852015414716,0.000613449107949568,False,False
69,69,2.864331264301231e-141,1.3451479734882996e-140,1.2047655888082325,-0.0036266528301254902,False,False
702,702,6.822794964124865e-88,2.5061949818716087e-87,1.1998319708730516,0.002005575721147901,False,False
2712,2712,1.3638839715994575e-95,5.2097910266501796e-95,1.190085886031307,-0.001561338289637601,False,False
906,906,2.1322949182189204e-73,7.191649224174723e-73,1.181111283114586,0.0007263828208999498,False,False
1787,1787,5.509341545078577e-72,1.8414105524541913e-71,1.1532972975380151,-2.8057697078337496e-05,False,False
1755,1755,3.0378900669771465e-47,8.619940457732477e-47,1.1524449730181705,9.588548496071436e-05,False,False
988,988,1.5730808652817896e-90,5.865457296678833e-90,1.1468487596737935,0.0015173646864389753,False,False
347,347,2.092364294324364e-156,1.0597503797874936e-155,1.140644781139099,-0.0002847221741837658,False,False
87,87,1.7526334586523904e-128,7.775509873363669e-128,1.1332237673755736,-0.00028516884931332337,False,False
2459,2459,3.712004124562181e-87,1.3551326250554186e-86,1.1282293911945176,-0.0027423304552944977,False,False
253,253,5.4640404421028776e-61,1.7142993691502475e-60,1.1131551870888021,-0.0009049777619649993,False,False
636,636,6.222909061203558e-79,2.165251359162035e-78,1.109398967755886,-0.001265258714242025,False,False
1672,1672,7.87754016355991e-119,3.344855394198256e-118,1.0983477656957799,0.0036029257513555193,False,False
2330,2330,6.066380720064258e-79,2.1132650207923375e-78,1.09770652300758,-0.005401360125125251,False,False
418,418,1.640439009123015e-175,9.06670945824415e-175,1.0406809617144905,-0.0009209050270543376,False,False
2281,2281,4.082351379475393e-40,1.0770150128251526e-39,1.037900975026908,-0.005805276813959634,False,False
2199,2199,1.0405244554864241e-79,3.6461352820350726e-79,1.022091819186104,0.0018049387796012506,False,False
2270,2270,6.647722484794398e-79,2.3103560111088726e-78,1.0195131166935247,-0.0038191426522568017,False,False
318,318,2.616804863979446e-138,1.2211756031904083e-137,1.0025697298958225,0.0030313034464909336,False,False
1290,1290,3.931813635689718e-48,1.1210012363810838e-47,0.9908413300245706,-0.00011025430940830167,False,False
1132,1132,3.0867438793888137e-55,9.30097038987411e-55,0.95922484028417,0.005417275634958987,False,False
1143,1143,1.0019846964194105e-50,2.9155789989929514e-50,0.9546815638474114,-0.003965740562234199,False,False
46,46,3.827500759371085e-121,1.643997431810909e-120,0.9435016005263874,-0.004739956495642857,False,False
1079,1079,2.18790241008709e-150,1.0733379096096667e-149,0.9255812931527483,-0.0010983167819363301,False,False
1383,1383,4.892351750207041e-34,1.2243254632895865e-33,0.9204068242639498,-0.004852664306769276,False,False
1751,1751,2.351467011608919e-51,6.855750580015002e-51,0.9183660190097754,0.0035149980178699747,False,False
1835,1835,2.6720137787979116e-147,1.2895181943857238e-146,0.9170810613827697,-0.0026408920990679333,False,False
2354,2354,1.1672267995936258e-65,3.7614865811008487e-65,0.8702764774005776,0.0028707521322812943,False,False
2644,2644,1.3638161072291554e-49,3.9299089381127505e-49,0.8698446773343815,0.0010157830168709137,False,False
564,564,2.9003382721882658e-39,7.584320697669403e-39,0.8441032009387799,-0.0067816212275358945,False,False
234,234,7.0842509408946675e-155,3.557708425139657e-154,0.8363209913616957,-0.0018469405208790327,False,False
991,991,6.984283300470622e-41,1.8508350746247148e-40,0.8355983847562641,-0.0021862254196113387,False,False
198,198,1.995889803074044e-43,5.409863868058231e-43,0.834332893415553,0.0021362859128776016,False,False
1074,1074,2.327802114060627e-50,6.75358423707912e-50,0.8284668419792013,0.004127404351043463,False,False
411,411,2.127442329841138e-52,6.282834661660197e-52,0.8255656639545677,0.0028630346527869707,False,False
704,704,1.7758702417655714e-66,5.747854828309941e-66,0.8220214804195628,0.006612750908304623,False,False
1953,1953,2.7946206177512243e-50,8.092130725351838e-50,0.8167482746785666,0.0045517908112072125,False,False
2702,2702,1.857525186745513e-44,5.104754402093224e-44,0.8140825167179039,-0.0019566595344703425,False,False
1636,1636,2.451511684208103e-105,9.714401440226501e-105,0.8140449922532688,0.0012282438990404813,False,False
2688,2688,2.0517335870127088e-44,5.633251883675967e-44,0.8088578342695113,-0.006115103113726476,False,False
256,256,9.035135662733509e-50,2.6060527353734746e-49,0.8018723773182117,0.0014497214266874017,False,False
491,491,1.0901473200823837e-62,3.4531027171873154e-62,0.8009829690392747,-0.003971176692593906,False,False
2419,2419,2.8608439616174607e-56,8.699779588197359e-56,0.8008603400347516,0.002281723552654987,False,False
2250,2250,1.8174914609275853e-34,4.559860233333114e-34,0.7923734100479257,0.00611809360595203,False,False
1618,1618,3.007225472536067e-56,9.135563155053272e-56,0.7887046223951418,-0.0063192125454288525,False,False
2660,2660,1.1555566000813406e-35,2.9288573774905374e-35,0.7883538476553337,-0.00025706926386096646,False,False
1213,1213,5.027373466118813e-80,1.7721192930452065e-79,0.7824201828521326,-0.0018122829292325504,False,False
2466,2466,1.3257227580581235e-79,4.6400296532034326e-79,0.7731585946357,-0.0037669385692415194,False,False
1481,1481,9.219736173697641e-45,2.5384208686024677e-44,0.77083723193339,-0.005611666134735523,False,False
414,414,7.141191242986342e-69,2.3497844356079227e-68,0.7644585297743345,-0.0010506773385027604,False,False
356,356,1.4646165813546053e-46,4.0970612756460586e-46,0.7629212306028502,0.0009424232301257947,False,False
2169,2169,2.349358302128566e-51,6.855750580015002e-51,0.7612055209289271,-0.00034377713430180576,False,False
1178,1178,8.402383753715371e-44,2.2900160680465767e-43,0.7610917597798392,-0.0036684699640151565,False,False
1878,1878,1.59727464852251e-39,4.1953196078007167e-39,0.7569148762573704,6.824379043246509e-05,False,False
1042,1042,2.054478150825492e-40,5.4249921278025455e-40,0.75197220236073,7.042037870838569e-05,False,False
911,911,1.3555007991625962e-43,3.677446409428323e-43,0.7430417022450397,-0.00013179225699033736,False,False
1306,1306,3.849198857108025e-49,1.104876422427139e-48,0.7430031996290778,-0.0005974538157002829,False,False
1373,1373,1.1494474796267923e-47,3.274050018745028e-47,0.7394160446164176,0.003517329019251763,False,False
1649,1649,4.165120766157233e-45,1.1521042342921404e-44,0.7368720691831682,0.0029440997805626964,False,False
2197,2197,5.418474177982329e-62,1.7090362763285393e-61,0.7310964859956282,-0.0023217678885061634,False,False
2424,2424,1.2044023717858286e-48,3.4471226995760264e-48,0.7264430170497872,-0.0008344801945021595,False,False
2489,2489,1.3914340704584742e-38,3.613102643150264e-38,0.712170069365526,-0.005695777367900775,False,False
2805,2805,1.8158312940666373e-28,4.301186975889688e-28,0.7035551466652531,-0.006010850779763328,False,False
279,279,9.138120727925984e-29,2.1697553856387458e-28,0.7031674655234613,0.0020087723868136287,False,False
2893,2893,6.785305598065522e-80,2.386112205575648e-79,0.7006698447890772,-0.0002807576822715027,False,False
459,459,2.5869227537887564e-71,8.626951385668573e-71,0.6993758876324193,0.0007464739905750743,False,False
139,139,7.551313764794433e-57,2.3081667614737254e-56,0.6984887930575822,9.390164918748542e-05,False,False
2041,2041,1.1106735699556748e-69,3.6668288716667885e-69,0.6938856317243475,-0.0009867230198373489,False,False
878,878,5.175686962644924e-49,1.4841969956647473e-48,0.690123895510459,-0.00019039067837692963,False,False
1150,1150,6.860952327319647e-35,1.727167642704386e-34,0.6875940575885563,-0.0010517427401595322,False,False
497,497,6.047770120565492e-39,1.5745422559507352e-38,0.6868153658283411,0.0008206335913652288,False,False
212,212,7.809271746490685e-52,2.290308156480667e-51,0.6853925479832953,-0.00074074564617874,False,False
1287,1287,5.2562307212299015e-39,1.370869312883159e-38,0.6814518584467263,0.003917513976606966,False,False
252,252,4.356434823546637e-27,1.0181022485264897e-26,0.6812143020357642,0.0007090201033408128,False,False
496,496,1.1875599112693813e-40,3.1414240790084883e-40,0.6805870947442121,0.00112117831265331,False,False
2288,2288,5.277598792516181e-84,1.9055855494146014e-83,0.676883698270171,-0.0009739488700945369,False,False
483,483,1.0107974333319417e-57,3.1056384908169803e-57,0.6627365505205581,0.00170152951814663,False,False
1166,1166,1.0814212360320373e-23,2.4260455242200202e-23,0.6462451421910101,-0.007636476340557637,False,False
380,380,2.247298978327228e-74,7.605454239082339e-74,0.6455260289831743,-0.0075850320596253,False,False
1882,1882,3.617731757331053e-55,1.0878852944030968e-54,0.6403826513329771,0.0006199613346880226,False,False
1845,1845,2.8055246060577174e-28,6.640189019760211e-28,0.6342725215810752,-0.0018239449420551501,False,False
299,299,1.5117067008497157e-55,4.573644738146745e-55,0.6340095869801952,-0.005386391417822038,False,False
1796,1796,1.10367896410272e-33,2.7596623129375507e-33,0.621548156742532,-0.004340092014930824,False,False
419,419,2.2159102646687967e-59,6.893943045636256e-59,0.6180297840413013,-0.0012064723592169306,False,False
1134,1134,1.4504053366439648e-28,3.4410895596796863e-28,0.6085655599537185,0.005019670915204322,False,False
190,190,5.617888789284312e-54,1.6707308543683205e-53,0.6014692601839379,-0.006310323652707211,False,False
1107,1107,3.5874668246224645e-33,8.925064153796709e-33,0.6009949589051474,-0.005966646402087775,False,False
1262,1262,3.3994693110034796e-20,7.295462700692934e-20,0.5958910297754919,-0.005760258132507863,False,False
709,709,7.039806439320632e-24,1.584089879598456e-23,0.5941444760880281,-0.005547589186129406,False,False
2887,2887,1.7885717465919312e-31,4.379934772182221e-31,0.5903168409593411,-8.86118216293641e-06,False,False
2400,2400,1.1409050818922221e-40,3.0207014121820834e-40,0.5781967398518335,0.0038223025450867844,False,False
1268,1268,1.5993774316515607e-41,4.272684263854034e-41,0.5714918376614406,0.0028508777108006873,False,False
673,673,7.278930731643373e-26,1.6773188207699945e-25,0.5602316659316204,0.0033478186537682086,False,False
668,668,6.127209216669197e-32,1.5091748510435001e-31,0.5554877986049197,0.0009024372080872166,False,False
2947,2947,1.7177327415928582e-26,4.001751002392153e-26,0.5471020159146325,0.005337467275421448,False,False
2763,2763,5.792824550288685e-29,1.3798638254620238e-28,0.5464458107358076,0.007038378769933247,False,False
1619,1619,1.0948955424665016e-24,2.484441873119707e-24,0.5425533677072634,0.002167619358094869,False,False
2375,2375,9.793311092015998e-23,2.167527764437247e-22,0.5379004173966039,-0.0007987319859671625,False,False
2762,2762,1.1016910992978254e-20,2.3815143355542213e-20,0.5315382578187782,0.0029474812760483422,False,False
2331,2331,2.3747577028026745e-54,7.069489329908062e-54,0.528487484447412,-0.004879105697600236,False,False
1101,1101,3.1403613399310743e-23,6.992192390784267e-23,0.5264174717021092,-0.0018771738156152344,False,False
2598,2598,1.9126453464912303e-26,4.452338343832135e-26,0.5225744871218326,0.004562516225238952,False,False
1295,1295,2.378352626278499e-24,5.384401674137746e-24,0.5158279060108948,-0.002780663937219322,False,False
968,968,4.9872692705992746e-24,1.1239343352421145e-23,0.5154323566628259,0.0015779483913722393,False,False
644,644,8.388521636743817e-23,1.8579949416310186e-22,0.5132661868050884,-0.00746111313415853,False,False
1990,1990,1.414036437299641e-19,3.0214975852450215e-19,0.5120062822133012,-0.005096645025325391,False,False
2343,2343,4.3559239155879667e-20,9.334571972176957e-20,0.5050679646317116,-0.002617099193462584,False,False
2320,2320,1.4300416460127015e-24,3.2424473684993873e-24,0.5047902368356284,0.0009843699472610531,False,False
1099,1099,3.831483997482997e-31,9.344161466334869e-31,0.5003986114757261,-0.008053995171219044,False,False
581,581,1.7994946884881525e-21,3.924247050281291e-21,0.4945638796924338,-0.003119751291134964,False,False
1253,1253,8.692744581248853e-66,2.804354990994195e-65,0.48675367456446383,-0.009691583613652969,False,False
2257,2257,3.9088345380698e-23,8.69020292808327e-23,0.48493777156026857,0.0015844154452782921,False,False
594,594,5.098138989264119e-28,1.2018488101775937e-27,0.48325681044350655,-0.005029247863753715,False,False
