,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1415,1415,5.008077067984535e-85,3.135859227379346e-84,4.182756568762029,-0.002690563749719821,False,False
966,966,8.255068945773208e-100,5.606646368662444e-99,3.0113118285131635,-0.0019130201987853784,False,False
1224,1224,5.639974766245622e-69,3.2129453178919398e-68,2.574145941231491,-0.001540854953999582,False,False
775,775,3.953209580174467e-99,2.666619553172231e-98,2.5231517120766904,-0.0020146530065809423,False,False
255,255,2.916178780198977e-44,1.3133867404598732e-43,2.4870984139093313,-0.00032665776879440417,False,False
1223,1223,1.1036628773101997e-61,5.849413249744058e-61,2.3808633761079987,-0.002713643395721603,False,False
1689,1689,7.750756945717028e-123,5.883439031940701e-122,2.293943828063141,-0.0005084793538656773,False,False
2239,2239,2.4094196844597235e-149,2.1474947818247626e-148,2.2762632241963705,-0.004834676718667958,False,False
2466,2466,1.704603075764278e-65,9.300113839831575e-65,2.1550363055472785,-0.0037675687180158055,False,False
137,137,2.8879058383392692e-62,1.536076080320959e-61,2.119338960409856,-0.0005986732564982195,False,False
49,49,2.350919372194334e-142,2.016626790945891e-141,2.0936898682572855,-0.004498706979165941,False,False
59,59,1.2118934395753885e-44,5.483078854664258e-44,1.9520247933844772,0.00011522018285956871,False,False
2288,2288,2.0567282988216525e-86,1.298802040617588e-85,1.9436765593438854,-0.0009759887943051986,False,False
1636,1636,7.88403965355773e-75,4.6244722710986846e-74,1.9317998728063848,0.0012306170211352652,False,False
730,730,9.922897622637682e-30,3.8001496959985345e-29,1.9163688812861532,2.294805536319673e-05,False,False
1691,1691,4.117260899186404e-46,1.8858071525903156e-45,1.8944700831267312,-0.0034287269483858802,False,False
414,414,3.2775432145730293e-43,1.4584330226166044e-42,1.8933362700339302,-0.0010509994158535273,False,False
1690,1690,1.4197343639236596e-65,7.788856917052536e-65,1.87049908616128,0.002299902601222233,False,False
1606,1606,7.687369538431444e-24,2.709752112834267e-23,1.86052076427822,0.0014526427233468343,False,False
1283,1283,2.728340592580448e-54,1.3564011522242495e-53,1.83535805115482,-0.0017207590341691906,False,False
917,917,1.2179276617775354e-37,5.120126487472698e-37,1.8175345095509658,-0.004971053337477908,False,False
1227,1227,9.511633461666348e-33,3.784253098421678e-32,1.7993538768757278,0.0035860778242916003,False,False
2893,2893,1.5182028233179714e-63,8.177905589124753e-63,1.7731318527377118,-0.0002709071645992083,False,False
2129,2129,4.076150144771715e-52,1.9832809228987625e-51,1.7723822475433237,-0.0036111793399147014,False,False
376,376,7.466568571979967e-19,2.4514132214199715e-18,1.7592515091986232,0.00042641031008700155,False,False
555,555,2.739814678720551e-16,8.559757859413259e-16,1.7386563704358737,-0.00440214963302586,False,False
717,717,2.0871302495702324e-23,7.313580378659326e-23,1.7298800460486097,-0.0016351710124537806,False,False
1127,1127,4.623608652768085e-35,1.8798452714268049e-34,1.7121283596024548,-0.0007705858936569738,False,False
1890,1890,1.483330979025363e-21,5.0661983265216074e-21,1.7056716874962932,0.0021849434969856453,False,False
2280,2280,6.022773948336771e-32,2.355150603249478e-31,1.7006830391436796,-0.00837510627938395,False,False
1053,1053,3.0587866370230517e-16,9.526210638703481e-16,1.6702148144132103,-0.003956660700717292,False,False
2794,2794,1.497754182731909e-29,5.721151112417381e-29,1.6579445032553546,0.003185602963616689,False,False
843,843,1.805195811737368e-22,6.237277263371954e-22,1.652614439109453,-0.003248187334001106,False,False
472,472,2.0762646370715633e-18,6.761587516044429e-18,1.6384952190581956,0.003854953552255641,False,False
1971,1971,4.4522729447071654e-21,1.5119389130309916e-20,1.6326678509539507,-0.002750796448113284,False,False
877,877,1.1185160933189189e-28,4.207548498061535e-28,1.6303945802440027,0.0008165607540938525,False,False
2737,2737,2.35767376764639e-55,1.1840229682528742e-54,1.6297826377563291,0.00024385805262512085,False,False
234,234,4.743637526759505e-89,3.014800038420174e-88,1.6059196821732105,-0.0018472035973811814,False,False
776,776,1.9112918263870768e-50,9.120119197293962e-50,1.6024239440011705,0.0025540795817376493,False,False
1228,1228,1.6544952942265502e-20,5.58016140143682e-20,1.5994933905336008,0.00047472923992195916,False,False
1766,1766,2.860316916762968e-32,1.124426570722184e-31,1.5803452009315966,0.0018557210197382556,False,False
205,205,1.389843011963914e-26,5.1370536232987506e-26,1.5792135120932564,-0.004421412399580101,False,False
2369,2369,1.191995119450753e-32,4.7171220193731137e-32,1.5506722898158254,-0.002281489961003474,False,False
2633,2633,1.970723774771909e-24,7.030178081157482e-24,1.546030869060846,-0.0011571279229400967,False,False
2446,2446,2.291518047441767e-25,8.29417751805752e-25,1.5393490501668736,0.0045350721487617115,False,False
1634,1634,1.748869681012438e-26,6.432026286548842e-26,1.5259541290034597,-0.0014897100274894465,False,False
1826,1826,1.8009936552737131e-16,5.66845086834823e-16,1.5205964985914924,0.0013316446489383751,False,False
190,190,1.8981331180882175e-41,8.23634370538864e-41,1.5153799933807026,-0.006323218984617287,False,False
388,388,3.52273269236969e-23,1.2286099448828718e-22,1.5123191469317308,-0.003445192064529241,False,False
2120,2120,1.0374720277777332e-32,4.111104110072512e-32,1.5088240389148726,-0.00250045730531878,False,False
1863,1863,3.818187282647316e-79,2.315399780418524e-78,1.506537916532616,-0.004336258014232368,False,False
2290,2290,5.059662918401663e-32,1.9837621587603878e-31,1.4523803742029051,-0.0040812279369285605,False,False
1605,1605,4.010461802061085e-23,1.3970716700137676e-22,1.4331393717448566,0.0006228547569886653,False,False
1455,1455,2.6867352604901527e-20,9.010429664559067e-20,1.4317446408164798,-0.006318258128173493,False,False
1840,1840,1.0161856288000508e-18,3.3289613093582234e-18,1.4256399621084415,-0.004820777658696047,False,False
212,212,1.2160084398565666e-21,4.1627601493590424e-21,1.423879375711559,-0.0007420828340376669,False,False
1900,1900,1.438369714882331e-22,4.981425103583148e-22,1.4131849543478967,-0.0020221592888425635,False,False
2082,2082,6.983868986061317e-16,2.161430985467152e-15,1.3976038992312934,0.0012834800750156994,False,False
127,127,1.417112581958252e-18,4.632147734859132e-18,1.375103026088791,0.0017195757456571637,False,False
1823,1823,8.471990038780574e-19,2.778438280121629e-18,1.3698628638582062,0.0032339647106653024,False,False
2954,2954,5.696727095254291e-29,2.1566181146319817e-28,1.3604429300058714,-0.00020768806214802558,False,False
2283,2283,1.4161131525895062e-17,4.553655294567339e-17,1.3510207758306414,-0.0011087775878872164,False,False
1213,1213,2.723676162804457e-30,1.0512185762293406e-29,1.3318322885437568,-0.0017999869616622168,False,False
39,39,1.3090666365838768e-20,4.425181978793788e-20,1.3281008871135287,0.002036116988875153,False,False
101,101,5.185535710449095e-17,1.646060961348975e-16,1.3234771120472508,-0.0013727689342192349,False,False
2955,2955,3.620796647130162e-11,9.832135817641647e-11,1.3200202876371974,-0.0036835225263157963,False,False
75,75,3.506652905777693e-10,9.202250949909985e-10,1.3152926867789552,0.0024331340634939297,False,False
2646,2646,1.728087089588688e-13,5.018554287572628e-13,1.3067242994936925,0.0019534204014392187,False,False
884,884,1.6740029014336399e-25,6.0738882780624e-25,1.3055045394147373,0.0005216433353648926,False,False
1705,1705,7.452806292085376e-33,2.9771102388841714e-32,1.3027260710114943,-0.005011977145692001,False,False
2059,2059,1.0865706468014198e-21,3.72395113130094e-21,1.2964037583358976,0.003695946739553966,False,False
2151,2151,1.4066303789722439e-15,4.317351566483578e-15,1.292857629918962,-0.0017974092738903304,False,False
422,422,4.033830864453649e-13,1.1556380314380725e-12,1.2777228301447212,-0.002596438371941878,False,False
189,189,8.929284419135608e-15,2.6851181515698565e-14,1.2737541726013628,0.001011511864838899,False,False
2763,2763,1.7904677860078113e-16,5.641304022156246e-16,1.2613668784748964,0.007036167956016721,False,False
2637,2637,3.1828088483103497e-24,1.129973284902526e-23,1.2578995616115742,-0.0030190246308025945,False,False
1553,1553,4.6237806060651586e-94,3.016127656879427e-93,1.2490533336666139,0.0024260679557627438,False,False
1651,1651,1.634893197261793e-26,6.027780135991306e-26,1.2453717191983888,-0.003493949201081129,False,False
1843,1843,1.0759818473865267e-27,4.0169988969097e-27,1.2410575518684834,-0.0030581396944195875,False,False
1226,1226,3.0706652475856025e-14,9.095543368097873e-14,1.202075566514039,-0.0012992870256750408,False,False
2019,2019,3.8518961944625595e-35,1.5703884485116588e-34,1.1976222571578987,-0.003972281085602801,False,False
517,517,3.5839871264079256e-17,1.1462579516356382e-16,1.181804366479491,-0.00019919998011499844,False,False
170,170,3.713252394616945e-54,1.8429654025456677e-53,1.18113842547029,-0.003444094017857795,False,False
2527,2527,6.070837613641946e-19,1.999805331552641e-18,1.1694639414882761,0.0033557413822512356,False,False
998,998,2.247965026295225e-22,7.7580932535398e-22,1.159001627507134,-0.0029266490401630724,False,False
419,419,3.223547850994422e-31,1.2490195850850451e-30,1.1544638437662875,-0.0011930029298980382,False,False
2607,2607,1.005276633017133e-32,3.994191495039961e-32,1.153306456957788,-0.006836297971519697,False,False
357,357,1.5875759483599766e-19,5.270610083593301e-19,1.138363288852271,-0.0026654689817603525,False,False
2632,2632,2.3096601952293618e-10,6.093396852836219e-10,1.1254006568307167,0.0018666840768615375,False,False
829,829,4.014967257610281e-17,1.279959486636661e-16,1.12383816488811,-0.0038108326984250245,False,False
116,116,3.200788880671279e-19,1.0590793085654802e-18,1.0996942548187825,-0.0003566581300663259,False,False
1076,1076,9.067576752592469e-12,2.4965276253890955e-11,1.0996886593363644,-0.007045344706108886,False,False
791,791,3.706260916618767e-14,1.0956356972633965e-13,1.0893136366276435,-0.0021814045822705136,False,False
612,612,1.9696980419332262e-13,5.714627359196301e-13,1.0879041044423767,0.003891412380430031,False,False
442,442,5.407338699688457e-18,1.748255039289253e-17,1.0660303932444386,0.008333180216884697,False,False
1050,1050,2.207436438703138e-13,6.391874487874062e-13,1.0647729887832575,-0.005121171552902842,False,False
1844,1844,4.0033450523027615e-15,1.2099723131603457e-14,1.042898997777608,-0.005946474044753168,False,False
2711,2711,1.9823216346122637e-12,5.5557418428037764e-12,1.0363017016384624,-0.001637799773671472,False,False
1242,1242,7.149065482009816e-12,1.971972709164046e-11,1.0359813926847243,0.002278523023404289,False,False
1123,1123,2.406378773624674e-13,6.954364362334988e-13,1.0346856861420397,0.002252039386558065,False,False
498,498,5.694780045198081e-20,1.9012494009165246e-19,1.0343064355091762,-0.00017559771629475484,False,False
1882,1882,1.0555108672490291e-22,3.65976197896626e-22,1.0275215056261322,0.0006210851045238856,False,False
453,453,2.314179524563699e-15,7.030178944631585e-15,1.0239800005865531,0.002006268307425828,False,False
1385,1385,4.031347798766638e-12,1.1182280623120918e-11,1.0165166374388672,-0.004120329590449403,False,False
935,935,9.667577739885504e-10,2.4864272731351974e-09,1.0149646848080838,-0.007316231656971607,False,False
2501,2501,2.1503663030158e-20,7.23615327364047e-20,1.0034140619250527,0.0020205626079862595,False,False
2720,2720,9.88151323484598e-08,2.3766881102935876e-07,0.9972926075186759,-0.0016834600894717723,False,False
2554,2554,1.3498983288815969e-09,3.459843039827789e-09,0.997053596645061,0.003600219329809741,False,False
1363,1363,1.3612486899347042e-23,4.786950369343841e-23,0.9939753466938941,0.003314937761253503,False,False
578,578,3.92208865204626e-17,1.2516945289541184e-16,0.9916116161327249,0.0003301415659987565,False,False
2049,2049,2.1245207120191503e-12,5.937455247902861e-12,0.9819619786241385,0.001960677811318384,False,False
1479,1479,2.8674304042437617e-13,8.262653825044159e-13,0.9606076849272276,-0.0013962108937234027,False,False
125,125,5.66770968512945e-10,1.476888704606164e-09,0.9454612816985113,0.00021574840103943255,False,False
2694,2694,4.147497176355202e-12,1.148299591364015e-11,0.9404114767183352,-0.0029390482685540797,False,False
186,186,2.6815000944413567e-11,7.301552550735731e-11,0.9388403782533058,-0.00018464475020279775,False,False
786,786,5.053604466850881e-17,1.6058991496374105e-16,0.9375423291188103,-0.00549454448487806,False,False
2291,2291,1.61602878106596e-11,4.4246987289702666e-11,0.9286521891660726,-0.001400577672811292,False,False
1080,1080,3.855712773538869e-21,1.3108540105227222e-20,0.9225846042942352,-0.0003890732419345212,False,False
878,878,1.7417058383677155e-14,5.2058236941343196e-14,0.9145153321596078,-0.00018165621753068583,False,False
1027,1027,1.6167892920618857e-15,4.94704187509245e-15,0.909857983527014,-0.003946931956200399,False,False
99,99,3.859812630598194e-12,1.0716486330790868e-11,0.9087750369904345,0.0009898024948903636,False,False
