,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1540,1540,1.3362248459967563e-228,2.6796725289989005e-227,5.143990547994783,0.0017918519303635333,False,False
1327,1327,6.216555716055261e-69,4.830035959490056e-68,4.208853366688771,0.0023005001774786815,False,False
1151,1151,1.5160929233823912e-116,1.7306783833072836e-115,4.039752097035144,-0.006229599939959939,False,False
1197,1197,2.804611070726686e-244,5.988550833033672e-243,3.8703389314697203,-0.0021611677091157716,False,False
598,598,1.441020697437808e-133,1.867663506548216e-132,3.7753820537085967,-0.0013510098856085243,False,False
2056,2056,3.3903663868603755e-182,5.653150245057075e-181,3.557720095973733,-0.0017013480577457787,False,False
2124,2124,1.1173561586334508e-243,2.3687950563029155e-242,3.386089627958687,-0.0018095405951886537,False,False
2471,2471,2.7176501723800953e-129,3.389069626732825e-128,3.3432828666871264,0.001709223001260786,False,False
2130,2130,7.660478990193388e-84,6.726716462394667e-83,3.303768578904888,-0.005902246869538032,False,False
2230,2230,1.2980754154327437e-104,1.3285130458635806e-103,3.2105605765970147,0.0017579904001348914,False,False
1159,1159,2.1599329932762215e-154,3.096947402919723e-153,3.156573954119129,-0.0008884826880575722,False,False
2023,2023,2.6220314753585964e-92,2.494291480405229e-91,3.130431258322438,5.900167560468628e-06,False,False
2468,2468,1.8292768103185992e-80,1.560141831329196e-79,3.086039558685104,-0.002994589204710671,False,False
2667,2667,1.7863218713080152e-48,1.1232634139919892e-47,2.987371091088963,0.0009661913610363136,False,False
1742,1742,1.8599064148539663e-71,1.4799469810419763e-70,2.8765615270657645,0.0017172615633332111,False,False
1241,1241,3.314495167233381e-45,2.003548198849017e-44,2.825046010434512,0.0017505656066810378,False,False
1391,1391,2.886036227717505e-195,5.009213756646524e-194,2.8052604061019037,0.0015051336169381348,False,False
685,685,3.2486637394890607e-102,3.268486094509672e-101,2.692756995699273,0.004606442515166103,False,False
1066,1066,2.368483463272575e-70,1.8646310129954912e-69,2.6109193871898206,0.004137753228831097,False,False
2577,2577,1.730561477670939e-59,1.2200252887713414e-58,2.5294945155446076,0.002078258894323337,False,False
667,667,2.616970332456831e-65,1.9663716320840185e-64,2.528063979978104,-0.009385703125066456,False,False
788,788,2.6032076132216016e-52,1.6943684640442352e-51,2.486435152067363,0.002719738099910104,False,False
2708,2708,1.3460480737209534e-93,1.2929031335934594e-92,2.468000119430294,-0.007352518979957569,False,False
1842,1842,2.567354671033075e-156,3.753649587993186e-155,2.4575201604322574,-0.00425402126107343,False,False
457,457,9.4789946380572e-53,6.224260195963224e-52,2.435837950236537,-0.00496408533690006,False,False
1087,1087,2.527084159484375e-48,1.582359870326925e-47,2.4247604428925356,0.00047854489011908696,False,False
978,978,1.755766145670226e-30,8.599197888365068e-30,2.404908501626815,0.005246566251595263,False,False
2536,2536,3.625084621209616e-36,1.9456150372061737e-35,2.4027772173749136,-0.005728636365318961,False,False
2635,2635,3.0770795622111937e-28,1.4519510557460768e-27,2.3383652618884714,-0.0010325022552348448,False,False
1555,1555,0.0,0.0,2.297311377354023,0.000809548935408376,False,False
116,116,4.998322908828347e-54,3.318796956018464e-53,2.281007037778493,-0.0003628932917436531,False,False
1288,1288,1.2895015498361387e-100,1.2800135785664413e-99,2.2172593625937798,-0.0029780038834725762,False,False
4,4,4.9783774535625916e-26,2.2662307181248118e-25,2.215638555096386,-0.004720848957974456,False,False
980,980,5.271502354155303e-133,6.773081812611662e-132,2.2107104379188036,-0.004432710032568298,False,False
2045,2045,2.116726769789237e-27,9.80100632251865e-27,2.2026065831634014,-0.0026957433190495303,False,False
973,973,5.933648124452397e-151,8.346477551362423e-150,2.1955414391257158,-0.0036217254974839318,False,False
1509,1509,1.1735514326822805e-89,1.078359335046752e-88,2.182087376084622,0.0051294316328914895,False,False
626,626,3.0593582174673006e-65,2.2929735326876133e-64,2.1154133542892133,-0.0036175128474883467,False,False
430,430,1.6974084476344473e-61,1.2227932700434561e-60,2.113255313298958,-0.001490871976892294,False,False
