,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2207,2207,2.2474124228420964e-203,3.4206769594847915e-202,3.3109011777629163,-0.0028598675282681674,False,False
812,812,1.4665334297513282e-70,1.0694523880840153e-69,3.2093972859465785,-0.0006009878319497494,False,False
379,379,1.676764877706338e-36,8.886853851843591e-36,2.829028438010662,-0.0040252511386111856,False,False
682,682,0.0,0.0,2.5243909653142294,0.0026297226055344222,False,False
24,24,1.9344343543915205e-69,1.3935439718043767e-68,2.5048972612230274,0.000702321113631714,False,False
1597,1597,6.217397805624678e-212,1.0309070774912874e-210,2.356107290433889,0.0013440393464858695,False,False
514,514,4.9998529785407925e-88,4.145129508466221e-87,2.16855950292679,0.002537130775358269,False,False
2961,2961,1.2988997593386574e-173,1.7365470656383493e-172,2.1562243482632946,-8.976797064585984e-05,False,False
973,973,1.260532553603087e-181,1.7564603845511559e-180,2.13558239394192,-0.003621577888903403,False,False
2594,2594,4.627776868335666e-100,4.162194468248563e-99,2.11641077304735,0.0034121286457147078,False,False
742,742,1.4816139002659827e-37,7.937599379042304e-37,2.0675000089058244,0.003631059889848902,False,False
1920,1920,3.64860981403788e-86,2.97502030990781e-85,2.011765056482159,0.0009070728332112657,False,False
1964,1964,1.1109465474504514e-65,7.758327889018682e-65,1.9924262926360106,0.005109819044625416,False,False
1779,1779,2.3822741574244812e-60,1.6179839128686178e-59,1.9833421072111719,-0.0008124586453569088,False,False
974,974,4.751866109674714e-135,5.302082185531786e-134,1.9645917524454326,-1.1657307534329586e-05,False,False
2121,2121,8.646619845548219e-65,5.982090373330329e-64,1.9191143747033221,-0.0012179841738296088,False,False
1377,1377,3.7443014903807717e-224,6.61493263300603e-223,1.9115264464026767,-0.0017912053741949707,False,False
723,723,1.4709585773921187e-87,1.2093642819113043e-86,1.8534240103667519,0.003546609517795375,False,False
1864,1864,9.213674907099338e-58,6.131432090643684e-57,1.8491304527390462,0.00676398717847165,False,False
2748,2748,3.318686338356995e-43,1.9275657636484465e-42,1.8386967033295136,-0.002653590371145289,False,False
872,872,3.7439301228626038e-121,3.885309302327345e-120,1.8382161945519186,0.0030895850930228036,False,False
1151,1151,2.6709680829460305e-46,1.6015016707442058e-45,1.7613207896740455,-0.0062164326679547965,False,False
225,225,4.205114770199612e-56,2.7430287116379006e-55,1.758614648037177,0.0012426829379924738,False,False
2053,2053,3.135147580087343e-56,2.0495854664535757e-55,1.751621841514782,-0.003994346987965452,False,False
2897,2897,3.324383551021888e-222,5.838325668303529e-221,1.7228441860880772,-0.004670818655008929,False,False
2037,2037,5.160508989854712e-32,2.587228155724457e-31,1.722192108492873,0.003508449118399922,False,False
2960,2960,1.6441526260723432e-89,1.3784872864922922e-88,1.7181801697687262,0.0023045905542897933,False,False
171,171,1.9701124960290615e-73,1.4618234720535638e-72,1.7021393989801015,0.003586374214972203,False,False
267,267,7.141197067087528e-70,5.182169412008749e-69,1.6802747474385624,-0.0046152446545655,False,False
447,447,1.5129282386441724e-77,1.1633085524082653e-76,1.6752178985595807,0.0010847738473858566,False,False
303,303,8.222178339452624e-129,8.873972840543776e-128,1.6622531154112759,-0.0014663497295784034,False,False
1909,1909,6.027293333452337e-73,4.461098906156243e-72,1.6424388974651307,0.003051159289408769,False,False
1555,1555,1.1076056370084029e-296,2.833942698828396e-295,1.6327748886562814,0.0008096614658436099,False,False
