,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2408,2408,6.997368973783696e-114,4.933062022372924e-113,3.18265518224151,-0.0037447818820538353,False,False
371,371,1.716828114628049e-67,8.636518380027203e-67,3.0752591325598657,-0.0036036289558514754,False,False
2579,2579,9.288672831642882e-56,4.158187174104989e-55,3.0430866229092253,-0.0009693534920494976,False,False
2071,2071,2.762659233779927e-32,9.612629080725466e-32,2.9933416649813767,-0.0050964763486076835,False,False
2507,2507,2.8238230643668828e-71,1.465228471160998e-70,2.9629668174250243,-0.001671852951741732,False,False
1743,1743,1.5645377188041188e-77,8.631130017491868e-77,2.898867738688936,-0.002615863715940893,False,False
184,184,6.62887826492058e-34,2.350598648779484e-33,2.8119583752416837,-0.0006122438350351957,False,False
1078,1078,6.948242939004582e-37,2.549120524470408e-36,2.3745343393138376,-0.004685437800153257,False,False
1363,1363,9.372779858775051e-54,4.1212460179028667e-53,2.345354268669174,0.003314170121712756,False,False
2804,2804,6.146390349850727e-45,2.488743050253337e-44,2.2898065784800092,-0.0008208296553681872,False,False
775,775,6.371708819308204e-53,2.7688479905866396e-52,2.254828357299338,-0.0020145833451077066,False,False
2206,2206,3.560882637221808e-46,1.4577516782447345e-45,2.2381514173107138,0.00041852680646278784,False,False
1630,1630,2.709802942990195e-35,9.808164798530364e-35,2.1510677507904266,-0.0014656862896604457,False,False
2637,2637,3.2029753550146732e-34,1.138494713015994e-33,2.142891465810336,-0.003024453217557609,False,False
1689,1689,1.6475739060923045e-69,8.50434670135993e-69,2.1109157755238495,-0.000512412784704902,False,False
792,792,4.74209145541139e-33,1.6675980378745265e-32,2.100883979128901,-0.0007371331806049885,False,False
1690,1690,4.529558338790656e-49,1.9096206178310607e-48,2.0941173203870895,0.0023002571454062218,False,False
1851,1851,6.618455433975914e-24,2.0419517388815502e-23,2.036698553009549,-0.0020926415716410914,False,False
2139,2139,1.3922482375868055e-65,6.875528734039333e-65,2.0347608204514347,-0.0011772217192182553,False,False
209,209,1.2922040225772617e-20,3.8010520703759294e-20,2.01997362851772,-0.004126326657202134,False,False
2737,2737,1.4471410764985963e-50,6.180021172730696e-50,1.999445697350253,0.0002438170342623433,False,False
1761,1761,2.5568209636888468e-121,1.8691242906966742e-120,1.9679235884639712,-0.00290295406992133,False,False
372,372,3.568391613055325e-26,1.1339385768252895e-25,1.942920805769729,-0.002561268234596353,False,False
578,578,2.1630192591307396e-25,6.829618256489399e-25,1.8463020838383783,0.0003315191543625147,False,False
2239,2239,7.690346683294935e-93,4.7158985446321e-92,1.845873923623754,-0.004834784260661782,False,False
2080,2080,1.2668391672968126e-30,4.297118455470788e-30,1.8318933961596946,0.005962686645578607,False,False
