,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2594,2594,3.488049938828934e-129,3.7921363437524824e-128,2.748926349426729,0.0034130220542859593,False,False
682,682,2.5666132391260156e-219,4.051972390279795e-218,2.2353488793980367,0.002635719044374551,False,False
1683,1683,2.016804519867759e-66,1.5387855565469174e-65,2.2323722923554574,0.0020361962725153997,False,False
1457,1457,7.812110333094771e-77,6.422809825103956e-76,2.179260542935282,0.0017314007211362108,False,False
2389,2389,4.398807027699719e-82,3.751626223624358e-81,1.98555441947669,0.0019377322023609173,False,False
1779,1779,2.2469376936195963e-52,1.5295667602437986e-51,1.8935121908187749,-0.0008137650048751013,False,False
224,224,1.9358371085323679e-56,1.3582894889182194e-55,1.848127629963552,0.0034780150393273687,False,False
2777,2777,3.649738432364572e-33,2.0912014801656467e-32,1.8372767017003757,-0.0016721512901265029,False,False
164,164,2.5842399364205196e-54,1.7795879654979356e-53,1.7707788707563177,-0.0012716650242040398,False,False
83,83,2.6808139179315563e-77,2.2101821412280164e-76,1.7666211095548416,-0.0028653877139565055,False,False
1197,1197,2.0127496119425126e-81,1.7068116709272505e-80,1.7457902322914944,-0.002165157520493958,False,False
2961,2961,1.08968560388838e-117,1.1190958035781009e-116,1.737300370537917,-8.882868359646676e-05,False,False
2332,2332,1.703425194146572e-64,1.2767085798553097e-63,1.7169726097090665,0.0011766403023574026,False,False
2207,2207,1.97912226236321e-80,1.6640325424062343e-79,1.6759640506648068,-0.0028755882512626584,False,False
720,720,2.866186600127145e-28,1.5163710925449851e-27,1.627537543985219,0.0010860428330500826,False,False
2897,2897,2.283460243696822e-203,3.388655001646084e-202,1.6159783616062715,-0.004669676522048086,False,False
872,872,5.470128091401178e-100,5.18700964066412e-99,1.5907241053424919,0.003094834617205635,False,False
2960,2960,2.334707519238715e-73,1.8778894084283215e-72,1.5816194821981042,0.002313088962168884,False,False
2260,2260,6.641792402890445e-31,3.6915430434042774e-30,1.5459070670808994,0.0031575866399733907,False,False
2178,2178,3.7873102784902176e-58,2.7151538421640017e-57,1.5220250939787157,0.0001445455193832719,False,False
1122,1122,1.4654456620398323e-50,9.796042173275275e-50,1.5109827705229604,-0.0034023451884057365,False,False
2427,2427,1.0893786418109796e-71,8.622068823719967e-71,1.5033914509394182,0.0024414532949176247,False,False
2497,2497,6.823898510611651e-63,5.050705930048723e-62,1.4953036631257266,0.0007394735057588593,False,False
