,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1449,1449,0.0,0.0,3.3302853369672056,0.0005260684086231537,False,False
1907,1907,0.0,0.0,3.2709231065158795,0.0025739657690939527,False,False
1660,1660,1.314e-319,1.930695e-318,2.908709456633476,0.0002714244149473466,False,False
1821,1821,0.0,0.0,2.8865271665719376,0.0017323136481478818,False,False
1853,1853,1.2282827907918865e-230,1.3208490300979417e-229,2.7966742609361326,-0.00012718796593946813,False,False
1906,1906,0.0,0.0,2.668584581520987,-0.002189158588544002,False,False
2358,2358,3.0208462272182656e-130,2.075433241292549e-129,2.5154918923407554,-0.0009254211666682444,False,False
2031,2031,0.0,0.0,2.3514550226793753,0.0012993303465561323,False,False
1063,1063,0.0,0.0,2.2162201735493148,0.0011436628057204384,False,False
662,662,2.475742863869616e-132,1.7289423105800047e-131,2.077010805357815,0.0007246900819892627,False,False
210,210,1.03224187e-316,1.5092088e-315,1.9758001600845718,0.0020945401004396694,False,False
1569,1569,2.0763995003652322e-299,2.9346446271828615e-298,1.9552418108293481,0.0035788546999846182,False,False
397,397,1.4142238898973946e-248,1.646045688319791e-247,1.9249445516335955,-0.0035374636299968718,False,False
223,223,0.0,0.0,1.8913937192743624,0.0034611465705580505,False,False
2034,2034,4.979243687312997e-191,4.464771983064947e-190,1.8903117065498325,-0.004089182485636424,False,False
187,187,1.2821302148852029e-213,1.2600538005891662e-212,1.8653679286845952,0.0004627105156802466,False,False
1010,1010,6.61057682299357e-282,8.530518265497789e-281,1.8338171363168243,-0.0008805411949513037,False,False
683,683,4.622620985990907e-169,3.6881556683927457e-168,1.791165702251282,0.0028850004282869393,False,False
167,167,0.0,0.0,1.7848141733510625,0.0018374842777730202,False,False
2017,2017,0.0,0.0,1.7465727237934021,0.005749997458962611,False,False
1497,1497,0.0,0.0,1.7287595293645035,-0.00300844743753053,False,False
1336,1336,0.0,0.0,1.6798591110543186,9.955880989820365e-05,False,False
1791,1791,0.0,0.0,1.6777748533085124,-0.006534865710413507,False,False
1049,1049,5.953530663635001e-196,5.521899690521463e-195,1.6332716927900457,-0.0017049313675194869,False,False
1712,1712,8.195539400236009e-222,8.301829672320981e-221,1.6141954040286322,0.0033659863841996526,False,False
1812,1812,1.2090299491741906e-278,1.5467245211849127e-277,1.613050203803284,-0.005480387592268314,False,False
17,17,9.348180237172706e-174,7.750111436851561e-173,1.6093900045341274,0.0020529583291009137,False,False
2099,2099,5.816317252444674e-96,3.3325925878872186e-95,1.5457041893591466,0.00032873865598113255,False,False
2943,2943,5.99021754477741e-283,7.797791961797961e-282,1.5335600375528073,0.0023662690386937607,False,False
1411,1411,4.744709278932981e-131,3.274952823226299e-130,1.5307783149153424,0.005601563528687528,False,False
168,168,2.5506288211805044e-222,2.6104366694012886e-221,1.495673780539299,-0.000345259074134692,False,False
2547,2547,4.3943327204290934e-128,2.991371448218704e-127,1.491544380351842,5.290630121988077e-05,False,False
2932,2932,8.055873942992283e-123,5.337016487232387e-122,1.4734040211764239,-0.0009855688505819443,False,False
915,915,1.2298765518257656e-248,1.4371155928420757e-247,1.4564372286148308,0.004512105607933588,False,False
2236,2236,8.507671445857376e-137,6.084522614772215e-136,1.423207208392951,0.004908426946988613,False,False
1865,1865,3.3481625213721828e-261,4.039571692452292e-260,1.4218002774452785,-0.001112170214378816,False,False
857,857,2.2384177567758662e-170,1.8151977874619594e-169,1.4143752973318677,0.003048054025811431,False,False
1939,1939,3.1907582140790063e-164,2.5053360792027754e-163,1.381529867938522,-0.0007707201857554413,False,False
