,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1853,1853,2.697132300485559e-94,4.002544333920569e-93,2.7194335847632787,-9.163286705673318e-05,False,False
2423,2423,1.5441317118200089e-155,3.985202539723292e-154,2.5483722073399373,-0.0015579265175640344,False,False
1264,1264,2.2942049154665892e-132,4.795211400778054e-131,2.4248532866517123,-0.0008090881270580372,False,False
2591,2591,2.3869642641962556e-31,1.4852222088332256e-30,2.2493195407011175,-0.002487063313792181,False,False
1457,1457,5.106184141873242e-70,5.91998223948429e-69,2.2449523073181195,0.0017366286980487963,False,False
233,233,1.0037167143868378e-59,1.006429462263559e-58,2.15706318826842,0.0010146754810047912,False,False
1653,1653,3.6672206116831657e-69,4.235140379562504e-68,2.1501007017499263,-0.0032981714616669155,False,False
2880,2880,3.564201034470297e-114,6.186285772109849e-113,2.062356034690807,0.0015013622515915974,False,False
2389,2389,7.636130482008085e-59,7.5295798241196e-58,2.0048632758085763,0.0019378335586706843,False,False
1842,1842,6.648373158963241e-76,8.325895162786033e-75,2.0023155772196586,-0.00425318831201474,False,False
1945,1945,1.755732049747369e-51,1.5417197407249087e-50,2.0002838883895944,0.0024760045680681485,False,False
2961,2961,5.5759005422291496e-117,1.0152928103887187e-115,1.9942295549153675,-8.943632978439774e-05,False,False
1122,1122,1.6080936709211062e-59,1.6070107795602166e-58,1.982200674480769,-0.0033982838147063495,False,False
2152,2152,1.5056183731312654e-63,1.6074371695876244e-62,1.9709444234179427,0.008226143530462887,False,False
86,86,7.26545561342001e-33,4.6473862630669373e-32,1.9484022086021247,0.0020628250950382766,False,False
325,325,2.3154858906843548e-35,1.5478293071061182e-34,1.9142573266689802,-0.005537775333789064,False,False
1578,1578,4.368402730723527e-35,2.8940668091043364e-34,1.8867211118841551,-0.0008228900079787389,False,False
1683,1683,2.1488774673092263e-41,1.6311683690470033e-40,1.8744067563724978,0.0020373562831133077,False,False
1555,1555,3.061186220094408e-263,1.8928334794250422e-261,1.868495867178006,0.0008119926017219076,False,False
1832,1832,3.447171859981303e-66,3.8319123896721e-65,1.8635360796639904,0.0025022980847918402,False,False
109,109,1.2257867379432317e-71,1.461098408921892e-70,1.8538771147838236,0.0027278959085898745,False,False
504,504,1.0252151103780086e-23,5.385554774516689e-23,1.8464616756766923,0.0007353250695009573,False,False
1597,1597,3.80857879905033e-117,6.977692515790974e-116,1.8192182559805032,0.0013437853576063804,False,False
2594,2594,1.1584859490856838e-57,1.1236556525772252e-56,1.7969047404691278,0.0034086827654391527,False,False
2960,2960,4.768117757209575e-75,5.896572293082508e-74,1.7234915959666477,0.002314680290022275,False,False
2427,2427,1.5984008852579005e-80,2.0898915539407263e-79,1.7118870236040171,0.0024410609061787554,False,False
1172,1172,7.310711010042015e-64,7.833281688738158e-63,1.7047138247478548,0.0031636526381421688,False,False
2350,2350,2.603390436155215e-85,3.577251303013276e-84,1.696562940799128,0.0004109853370770668,False,False
793,793,1.990627371840181e-43,1.5588870816943687e-42,1.6603014777871161,-0.003177795615955825,False,False
395,395,4.168226506457826e-30,2.5507827363230573e-29,1.6409934558398096,-0.0026835602893127367,False,False
751,751,9.70140543186558e-44,7.637605125139798e-43,1.6277385917040776,0.004098397215588169,False,False
