,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2174,2174,4.996512944128668e-25,1.776006038104657e-24,4.933521283618281,-0.006485555902427893,False,False
2467,2467,1.895364896846247e-33,7.24928223432946e-33,4.56795605330285,0.0010936922785502422,False,False
1603,1603,3.155803574765004e-35,1.2291896338454765e-34,3.9228188005072524,-0.003145823450177899,False,False
1954,1954,1.5296256279505975e-13,4.871168308752547e-13,3.220857710647304,-0.0009582628196416294,False,False
986,986,9.555198259252033e-09,2.785837763601182e-08,2.8877982957189228,-0.0003056236769028173,False,False
1145,1145,3.3161157384100897e-25,1.1801236824461807e-24,2.7711010830005445,-0.0018923285847667242,False,False
2792,2792,1.947392108706426e-42,8.049943981393694e-42,2.642189890160541,0.0005511902800018056,False,False
218,218,1.374033004854781e-15,4.481461492757132e-15,2.6304906400049957,0.001374813896554617,False,False
2466,2466,9.130459466761313e-25,3.2415315427449252e-24,2.540715057365934,-0.0022321124723382324,False,False
1974,1974,2.842904904305815e-11,8.81686703864123e-11,2.534676389092694,-8.116927016190226e-05,False,False
850,850,1.6874017872356452e-10,5.141897848578435e-10,2.3701602279684195,0.00720445575230331,False,False
966,966,1.228046963117308e-21,4.248069215072459e-21,2.3435629927744137,-0.0015744364278796339,False,False
982,982,1.424495450045172e-26,5.1371840774411554e-26,2.3051357697070745,-0.0030943235592774416,False,False
1651,1651,3.3755456980846996e-19,1.1397747021519213e-18,2.256871610619058,-0.00014062691745423458,False,False
49,49,2.70257061600729e-39,1.0839499443661672e-38,2.2562952094210766,-0.002084760854535789,False,False
1795,1795,1.3577859938327506e-10,4.145996738369963e-10,2.253702167791006,0.005299417033624792,False,False
1290,1290,3.9119237928688605e-08,1.1207133028218898e-07,2.1838690484950307,-0.0032003731536892855,False,False
1481,1481,3.333851763233113e-11,1.0328676443920543e-10,2.171433710746323,0.0027012242332502363,False,False
747,747,4.1190623980979157e-11,1.2721516334604176e-10,2.163886120942847,0.0010826842174834332,False,False
251,251,1.0867271440013316e-15,3.5483016098965367e-15,2.1483724232345383,-0.0012204902829076672,False,False
2644,2644,4.676126105890536e-10,1.4090093687597065e-09,2.14021023075471,-0.0010591309264214935,False,False
917,917,2.500767997444863e-15,8.120655816648089e-15,2.113318831664837,0.0011192514184767384,False,False
1831,1831,4.019755516053424e-15,1.3010506403104212e-14,2.0746646066140215,0.001484771287670529,False,False
979,979,3.7330583624468213e-36,1.4675122145353863e-35,2.069486379635579,-0.0017810382233182723,False,False
393,393,8.9642404267337e-11,2.745703362904605e-10,2.060584473651016,-0.004511439817018587,False,False
992,992,7.970030344979401e-29,2.923986410865125e-28,2.0489211228584168,-0.00276002343067009,False,False
2250,2250,1.2856960396537586e-06,3.497658886977411e-06,2.024926145733893,-0.005776148033822485,False,False
2764,2764,1.0461685718392905e-12,3.3067394262183326e-12,1.9652332772926688,-0.0011120700024571037,False,False
2763,2763,1.537344772328043e-10,4.689454557317196e-10,1.964754539398932,-0.0028188771231640996,False,False
206,206,1.3558803582544182e-16,4.461477719843807e-16,1.9513654750509488,-5.20317641487791e-05,False,False
1636,1636,2.2858499590583004e-25,8.14454103059428e-25,1.928266350852119,-0.004712326399920615,False,False
1355,1355,1.0327622388884803e-10,3.156785092709587e-10,1.9218531476968665,0.0005364126222630588,False,False
993,993,1.2170630772351881e-24,4.3054150336520125e-24,1.8140643403620973,-0.004676329959945037,False,False
2646,2646,2.798003775442395e-07,7.761191780853299e-07,1.796935784681223,-0.002033344021265855,False,False
1392,1392,2.68001747693483e-05,6.769610103440489e-05,1.7700008964862242,-0.003928687828505931,False,False
983,983,2.9977240589566466e-20,1.0191575036636115e-19,1.7247961354307917,-0.0044800377691900355,False,False
2762,2762,1.7792317568438033e-05,4.560241670390681e-05,1.6935629325410917,0.0005948469652695479,False,False
817,817,9.521090766009898e-16,3.1121803296825308e-15,1.6561610413184376,0.004930652131834344,False,False
981,981,7.047616546579071e-29,2.588777959188946e-28,1.6306953254993979,-0.006524901827965445,False,False
1022,1022,1.426139093932483e-07,4.008315180673873e-07,1.62943369066809,0.0025403389493994697,False,False
1454,1454,2.8642316892890624e-06,7.686292634547864e-06,1.609020462187544,-0.0015927231400062816,False,False
1383,1383,0.00024478038607025904,0.0005779699171491876,1.6044484982384528,-0.004983289085126798,False,False
428,428,2.3101896926571974e-06,6.227650324983254e-06,1.5305372476397967,-0.0035498338131399842,False,False
212,212,3.457461087475584e-09,1.0220861063374037e-08,1.5078836555985917,0.0031045295903858136,False,False
668,668,2.136501138072519e-07,5.976564917812664e-07,1.4908860969511286,0.0031130623004390185,False,False
2688,2688,2.8641519993131312e-06,7.686292634547864e-06,1.4728104573191396,-0.002680478256834759,False,False
590,590,1.0767994718569909e-05,2.7985471387666803e-05,1.441396268386033,0.004263749265767331,False,False
255,255,2.6411387034552226e-08,7.59583301536347e-08,1.4250640298319068,-0.003557072925249497,False,False
1618,1618,4.9632190465577845e-08,1.4177896179194905e-07,1.4250204530559374,-0.0021804301685479283,False,False
2866,2866,8.09418112667216e-06,2.120346830005558e-05,1.4210978766179498,0.0042730057404637934,False,False
1143,1143,2.2912570031470404e-05,5.827292875184589e-05,1.4028960667313544,-0.003391534822385571,False,False
698,698,3.2280606640631333e-09,9.561760529879621e-09,1.3904136052324547,0.0007895361558726841,False,False
1101,1101,1.7929410725326743e-05,4.5914142392381165e-05,1.3891032181902296,0.004062650118001474,False,False
906,906,3.812924622005628e-06,1.0167798992015007e-05,1.3856898855725315,0.0010733264774792984,False,False
2714,2714,8.214007166091772e-08,2.3262569913130133e-07,1.3803973459962349,0.003063177385921486,False,False
1634,1634,1.1384808326179562e-08,3.316006978616383e-08,1.377602589017877,-0.0007966613091084733,False,False
1242,1242,5.770598011775453e-06,1.5224119910177372e-05,1.3762369523811102,0.00026282963864676396,False,False
2400,2400,3.351933587567793e-10,1.0151570293776746e-09,1.37101834340598,-0.00813498792787533,False,False
636,636,1.0965696672504602e-07,3.093744080227534e-07,1.36587990421073,-0.0015206899750437315,False,False
665,665,8.667446534862288e-05,0.00021172824127959892,1.3566039571224684,0.005896400404177455,False,False
198,198,8.862404859346095e-06,2.3134228339964127e-05,1.3409462585421346,0.0007117322447987339,False,False
1178,1178,1.0091503596642249e-06,2.7529028193781427e-06,1.3328812110672725,0.005042895010101975,False,False
989,989,1.2672268840008727e-11,3.942483639113826e-11,1.3314648120044053,-0.003191972299858616,False,False
2288,2288,1.1851323067046773e-14,3.815046297504861e-14,1.3131166413549373,-0.002291091802519076,False,False
908,908,0.0006595818802780962,0.0014978110334088672,1.302336797382155,0.0026471194629164984,False,False
2632,2632,0.00011875840653980585,0.00028820519264934074,1.2986197836799758,-0.005401690532139181,False,False
991,991,6.268282800376246e-05,0.00015375424257451818,1.294465331129107,-0.001402869764765584,False,False
935,935,3.7785548808424356e-05,9.424160408689369e-05,1.2919180314257321,0.0038667537284624697,False,False
2702,2702,5.250144171205585e-06,1.3875714960051806e-05,1.2887149991599185,-0.002046132459351542,False,False
1751,1751,1.4725210339959848e-05,3.7937868306424334e-05,1.285887592287204,-0.003607881550007761,False,False
1156,1156,3.173603202901876e-05,7.962176083020093e-05,1.2643886699144113,-0.0051035198706355905,False,False
492,492,7.090083917021113e-08,2.0137195278199677e-07,1.2632035888605688,0.00027275540302355633,False,False
2281,2281,0.0010329901211383109,0.0023017377474012814,1.2276141598134298,-0.002988876464122085,False,False
491,491,2.7103243139077876e-08,7.787262888362357e-08,1.2231938724698697,0.0008295276848316699,False,False
2887,2887,4.897063293340621e-06,1.2988814883498627e-05,1.2231219306490377,0.0005596437929407598,False,False
2893,2893,1.0914189558735777e-12,3.4460972989710407e-12,1.2225448307715376,-0.0007497542886589154,False,False
2333,2333,8.082229367692502e-07,2.208845005829774e-06,1.207788086485098,-0.003246356768912371,False,False
2828,2828,0.00016775472028642837,0.0004025028373566042,1.1962597239346309,-0.001694023786826572,False,False
782,782,5.725436967498439e-05,0.00014090461790659508,1.1949369946179293,-0.0002606609854068388,False,False
1672,1672,5.3821497236022815e-09,1.5800415805787905e-08,1.1746082767996797,-0.000748650130557972,False,False
1755,1755,0.0010938620591618622,0.002430076790114077,1.1679017975418147,-0.005339131851116827,False,False
2055,2055,1.1988266119880646e-05,3.104814471536279e-05,1.1643684337981515,-0.0001321819748881098,False,False
980,980,1.3519785103303894e-14,4.3474238555369396e-14,1.1633352033479123,-0.006883161243506775,False,False
1042,1042,3.535078203197687e-05,8.839184588955968e-05,1.1541707779393378,-0.004160651415341619,False,False
2419,2419,5.568202521246503e-07,1.5316427324429676e-06,1.1510404253066462,-0.0014763814307549262,False,False
1665,1665,2.094510045007353e-05,5.3452328577659705e-05,1.1506736492942837,0.0007340230007619338,False,False
1127,1127,6.22064511643679e-08,1.7701701539390595e-07,1.1433022320354118,0.0030245606522258735,False,False
1404,1404,0.0019750085894283,0.004241552455443701,1.1310170257356058,-0.0055622789527339424,False,False
234,234,6.334568121618907e-17,2.0889997983294352e-16,1.1296829220506943,-0.0010488535591575508,False,False
1914,1914,8.584617896108875e-06,2.2428825629974594e-05,1.1292409582129168,-0.003172318697728554,False,False
1706,1706,7.134890228893154e-07,1.955342031334707e-06,1.1263565155781878,0.00747756956100622,False,False
2470,2470,0.001824415566904407,0.003926660915570907,1.1254590556896003,-0.008079646425017847,False,False
1283,1283,3.4754909352141563e-09,1.0263937408672256e-08,1.1250873628880735,6.308943001653118e-05,False,False
593,593,3.1250972986914434e-05,7.85375849493328e-05,1.1176894969144628,-0.0008533025622258121,False,False
1878,1878,3.875923257445775e-05,9.658891879176374e-05,1.11586135559796,-0.0034109600741471678,False,False
56,56,2.653388759420314e-11,8.246343285821458e-11,1.103278433725414,-0.0022112093458030615,False,False
1823,1823,6.979717199422839e-05,0.0001709224475898266,1.101604431775771,0.0018065324778634506,False,False
1024,1024,3.0233215834868597e-05,7.604422423549999e-05,1.0893190626466878,0.0016074306153651596,False,False
731,731,0.004162117790908777,0.008674975845096383,1.0850138285054705,-0.005045326643599517,False,False
126,126,2.517147473547999e-09,7.49337382295934e-09,1.0848583105061989,-0.005731668820799974,False,False
673,673,2.7058543833537466e-05,6.829061062749931e-05,1.0767436950784908,-0.0014766393601289628,False,False
2489,2489,4.845506086209441e-05,0.00012004559318755945,1.0680732256454382,0.002193526621889521,False,False
279,279,0.000665504957394741,0.0015101060501128373,1.0575394613019438,-0.0016026712280627613,False,False
1869,1869,3.560904780994735e-05,8.896267163293244e-05,1.0535295104553903,0.003453931404125166,False,False
1150,1150,0.00012164041659268523,0.00029471735220170596,1.0508283835235899,-0.0006732075869132011,False,False
247,247,0.00010078143069785363,0.00024538087474260014,1.040595866579904,-0.004766754426816133,False,False
925,925,2.0174938373893555e-08,5.8304982564475236e-08,1.0402950709389667,-0.002184475549282244,False,False
1262,1262,0.004449239935998663,0.009240968600450686,1.0389351550766666,-0.008351590443080387,False,False
2206,2206,2.7148025158763795e-07,7.544507366218254e-07,1.034821066719594,-0.0030875410424415013,False,False
442,442,6.106665222358613e-07,1.676649618867749e-06,1.027442057031313,-0.005405513689778616,False,False
1023,1023,3.0536305543729354e-06,8.179761268392483e-06,1.0245294582837705,-0.0021499723601952963,False,False
1213,1213,3.807066896915118e-08,1.0917270096660937e-07,1.021643466125666,-0.00020033774860138366,False,False
1990,1990,0.0012798889950946851,0.002818034523324203,1.020620963429178,-0.0013417080391005462,False,False
2020,2020,0.0004179762278199626,0.0009729830934663915,1.010536381460656,-0.0069293150860293504,False,False
2459,2459,2.546489569157347e-05,6.448789284350687e-05,1.0059863093578632,-0.0005327873885921253,False,False
1413,1413,2.9149012864135777e-05,7.337936402099659e-05,1.003896926730603,-0.0016474251409400805,False,False
2330,2330,6.870523494160697e-06,1.8077760399529208e-05,1.0035190983136455,-0.006228484649070748,False,False
988,988,2.202466709187779e-05,5.6159116777227904e-05,0.9933593246568169,-0.0016951765874675087,False,False
2097,2097,6.108985628471173e-05,0.00015009494491144404,0.9905397550872466,-0.003024996040090399,False,False
2199,2199,9.629444433926595e-06,2.5092353889283698e-05,0.9882582379435512,-0.006416136396403956,False,False
1845,1845,0.0006356795846195557,0.0014479639348816895,0.986681006214416,-0.00031461394128664286,False,False
2549,2549,4.930361418595182e-05,0.0001218427368059159,0.9793377914230567,0.009418756786234132,False,False
1863,1863,5.1276052342930376e-14,1.643491612892196e-13,0.9768953979456237,0.0004094145800605639,False,False
66,66,0.001164520030796365,0.00257356325495429,0.9683708129956082,0.003444946232496822,False,False
1496,1496,0.0002367318247508215,0.0005598566182154886,0.9610544577291088,0.0005364452908103202,False,False
2805,2805,0.0025837796653527777,0.00548152826788209,0.9436351967839391,-0.0016161521493599155,False,False
879,879,0.0003766904428714161,0.0008817170618630623,0.9433630611112379,0.0004543441932325098,False,False
911,911,0.00010591127377744219,0.0002576595578454495,0.9390248981706937,-0.003431638212972473,False,False
1880,1880,0.0015042382549568722,0.003270753949239558,0.9384678745804527,-0.0016797278032897442,False,False
968,968,0.0006248931763622712,0.0014277774807107165,0.9321387867289421,-0.0026992659528034995,False,False
883,883,0.00015224741140086224,0.0003664803868919377,0.9297589324583507,-0.0012705882238758103,False,False
256,256,0.00021373604217639238,0.0005087157764070029,0.9153584038784747,-0.002911982992808531,False,False
1378,1378,8.415385262482103e-06,2.2006047100481836e-05,0.9132842357955149,0.0022708246275675425,False,False
2545,2545,0.0028170279148691875,0.00595508465194569,0.9132734219244744,0.003932445777930015,False,False
928,928,0.0003474649380984677,0.0008165288489914901,0.8938106733668131,-0.002348049227407897,False,False
1723,1723,0.0020276873030474923,0.004351537176749788,0.8894573628527519,0.0008412556052588499,False,False
1796,1796,0.00031842855013113514,0.0007494813138693173,0.8858173047002524,-0.002499575977513699,False,False
1535,1535,0.0037533782049488543,0.007856154098933851,0.8844559578885527,-0.005984506261525253,False,False
1134,1134,0.000787737903462809,0.00177525140279242,0.8837621953265384,-0.0032476074374842854,False,False
1463,1463,0.0004068935967773918,0.0009494183924805809,0.8833785031241502,0.0012173502977706916,False,False
2912,2912,0.00013390801270110432,0.000324175352118171,0.8816197009632945,-0.0012237756112372133,False,False
346,346,0.0003534237991689603,0.0008298748702005334,0.8769337652535489,-0.005938494599170306,False,False
1286,1286,0.00043102033887588976,0.001000992461489547,0.8761532045256201,-0.003752500919824585,False,False
1484,1484,0.0007377147408059374,0.0016663145743622697,0.8748101527043094,-0.0018875634838394185,False,False
2826,2826,2.4226585847145587e-05,6.145684341395564e-05,0.8743812880998046,-0.0066789845953110485,False,False
2164,2164,0.001213343798229598,0.002675486176185325,0.8722296978025711,-0.00021577146527347667,False,False
2354,2354,2.406642980789474e-05,6.110279184758904e-05,0.8691964384456893,0.003179599349125913,False,False
2290,2290,1.828129889538088e-06,4.946116237145893e-06,0.8599654429868933,-0.006025148665672301,False,False
439,439,0.0022890040077546484,0.004887599924471796,0.8559122129749732,-0.0032670333176009927,False,False
1398,1398,0.000502998940926656,0.0011626953712385632,0.852206549151531,-0.0005112253992364288,False,False
1736,1736,1.6060548862724037e-05,4.12350424087932e-05,0.8516969470900366,-0.003336999945031019,False,False
424,424,3.574859059813166e-05,8.923617905404103e-05,0.8449867476996358,-0.004208918851819439,False,False
144,144,0.000985578369184323,0.00220105086511593,0.8328315460079785,-0.005996017939330568,False,False
414,414,7.264864893021339e-06,1.9081521241139232e-05,0.827670376398801,0.0017091963116349007,False,False
1576,1576,4.896806882391699e-05,0.0001211143568911547,0.8224264948596941,-0.003481473401646105,False,False
1440,1440,0.0004715133024602866,0.0010907649896353317,0.8190776537206478,0.0007058573119524637,False,False
252,252,0.006145965027370915,0.012623684568330018,0.8177647391716719,-0.004825808724555451,False,False
1787,1787,0.0005352209987560372,0.001236214727087874,0.8151473121987932,0.002649726738027389,False,False
497,497,0.00026191773893504224,0.0006169617850469884,0.8106066724374603,-0.000793838186408129,False,False
2580,2580,0.0011167692092653844,0.0024772578573241115,0.8076497418026218,0.003412634913357064,False,False
1368,1368,0.0003583318932523667,0.0008400703468981235,0.8057307881040537,0.0007962600647110173,False,False
321,321,0.0011445450478628385,0.002533191425844075,0.8020771958910519,-0.0017896241501491727,False,False
356,356,0.0001371325043128442,0.0003311710925960306,0.8013756855442066,0.0002678907095259341,False,False
1306,1306,0.0001611602648675301,0.00038699325738416614,0.799567879664602,-0.0031049658677407676,False,False
2955,2955,0.005825687897172577,0.011990736254374624,0.7967687376534963,0.0007998830019818671,False,False
1132,1132,0.0003869470480742523,0.0009042982981766779,0.7925671249908696,0.00452933717044976,False,False
899,899,0.0012075356039006268,0.002664658492473651,0.7897674172341004,0.0017925334146010607,False,False
190,190,3.7714040522849443e-06,1.0066121607177802e-05,0.7848918523450316,-0.0038474536872426706,False,False
1029,1029,5.1814719738272035e-05,0.0001278354847740577,0.7687728294502643,0.003992365275152407,False,False
1911,1911,0.0008270898891352431,0.001862521085700608,0.7628259481834289,-0.004863117525479699,False,False
2316,2316,0.011723074548620626,0.023242541924052115,0.7491320905635985,0.0010829084184910411,False,False
1455,1455,0.00041298796483409914,0.0009628816022212147,0.7442639238256855,-0.004261962664105638,False,False
2227,2227,4.8686732189818244e-05,0.00012051895007454592,0.7430819794397995,-0.001739937273009911,False,False
216,216,0.0007406468896313978,0.0016716653752288889,0.7368301343040685,-0.005876533621107929,False,False
124,124,0.0047102363398764295,0.009776210808918351,0.7316117134349625,-0.0012095602781850804,False,False
2902,2902,0.00037934806531934325,0.0008872380282646264,0.7293925541101567,-0.0008146721247030795,False,False
2614,2614,0.0006321604061185019,0.0014421614799075431,0.7279006862385002,0.005761618259925445,False,False
2750,2750,0.0011717836636450326,0.0025876889238827805,0.7243711622090598,-0.0004056978908520562,False,False
1268,1268,0.0010591164860506495,0.0023581828436596607,0.7243326253309292,-0.003731052951219365,False,False
116,116,0.00022812133908666653,0.0005412183328610921,0.721238507628895,0.00430183322220512,False,False
1991,1991,0.0015157271383604007,0.0032909130553428452,0.7199396409050006,-0.0006243313825254129,False,False
584,584,0.023542271712411605,0.044307839215242645,0.719024692740543,0.0011631813738563332,False,False
674,674,0.0023572401802402316,0.005022461489557077,0.713870848795571,-0.004051294649184449,False,False
1508,1508,0.0015969528078642482,0.003449604027468041,0.713246010884143,0.0021110760576878917,False,False
2535,2535,0.0024977286342144946,0.005306555895739885,0.708785438368112,0.003533318039467325,False,False
1254,1254,0.007135328090964545,0.01449531401367746,0.7064171811698275,-0.005088477292961577,False,False
19,19,0.004056068749126295,0.008471788914431276,0.7005211009580087,-0.0016027881015233145,False,False
1153,1153,0.0013393052503939968,0.002937958598055715,0.6954737590540713,0.0012592967415101747,False,False
594,594,0.0011224799677927403,0.00248806612726576,0.6954109579473798,-0.0008526972015935538,False,False
2924,2924,0.02203204052799747,0.041703505285138075,0.6934240356638895,-0.01277225241029625,False,False
704,704,0.00014788101979650275,0.0003562588204188475,0.689543516038014,0.00024621131426722886,False,False
1649,1649,0.0006987026450139915,0.0015818073610995625,0.6870866553598363,-0.0021536472941373263,False,False
413,413,0.002384021912731867,0.005072241603575757,0.6835352764334952,0.0007093123500735408,False,False
2741,2741,0.018961517207069675,0.036284837569685875,0.6827310895889042,-0.006491476424465574,False,False
2607,2607,1.0000040019040845e-05,2.601237403725962e-05,0.6818031047952099,-0.0009049038121893905,False,False
323,323,0.0015027436827447615,0.003269899743685082,0.6795626055137453,-0.004678978060413769,False,False
1462,1462,0.005440579136679204,0.011213638109488803,0.6781221903501186,0.004404072258825006,False,False
1639,1639,0.001280895026148016,0.0028181589604205424,0.6776798395513766,0.007539166493791501,False,False
688,688,0.009779237200512214,0.019532150747725605,0.6759161111120796,-0.0027650568626454057,False,False
1619,1619,0.0021165910740601986,0.004535770619357884,0.6738582580776384,-0.004789175473299323,False,False
129,129,0.0038596219806722697,0.008072838645972726,0.6703736564540491,0.00690890784193353,False,False
2748,2748,0.0014720918635914317,0.0032126240081907127,0.6687717284193345,-0.0007742863634246054,False,False
2275,2275,0.013465700444033625,0.02641520087104547,0.6647991854788619,0.00044963565735588315,False,False
924,924,0.0008970724967077944,0.0020140023980550177,0.6647255970585095,0.005603958667032622,False,False
1256,1256,0.00021617409448687904,0.0005141063400937956,0.6630116016266975,0.0018596074156545968,False,False
2270,2270,0.0009283466122197423,0.002081067027997126,0.657739344351546,0.002287837209973259,False,False
1163,1163,0.010343398562181898,0.020575875960158092,0.6484622795859937,0.0016914382502316054,False,False
1331,1331,0.0023411126527920975,0.004991682725206139,0.6429923461405429,0.0008598269898517281,False,False
2723,2723,0.006445342055078283,0.013192948427222306,0.6428578706552791,-0.0033295379007146075,False,False
1793,1793,0.002816260818357964,0.00595508465194569,0.6375704746660686,-0.0009938689012692265,False,False
2704,2704,5.004949792049383e-07,1.3805474891080454e-06,0.6357196973088085,0.002983821537331635,False,False
1321,1321,0.0014797829760632686,0.0032270359095927857,0.6284610222354086,-0.004361842823706598,False,False
1953,1953,0.0029310045231775205,0.006182815511578452,0.6250178838822434,0.005730477728552605,False,False
51,51,0.004912209825214341,0.010174067523542335,0.6246812768851073,-0.0010186366393653593,False,False
1130,1130,0.012648615565938446,0.024944246511432098,0.6162332960980993,0.002939923288648589,False,False
1287,1287,0.007460344909107621,0.01508044285171457,0.614749599921636,-0.0036048693083124018,False,False
1664,1664,0.021116105077547426,0.04017474350651331,0.6141569255371242,-0.002213129598504575,False,False
2837,2837,0.03226046734664819,0.05903148402272,0.6133128306558461,-0.013207474037725214,False,False
299,299,3.991223056953331e-05,9.921231183448481e-05,0.6128634943058059,0.0012445747552465873,False,False
245,245,0.01620325248632352,0.03135023036467289,0.6108887022733805,0.004435831783038479,False,False
2115,2115,0.014679573334362308,0.028682668634883033,0.6096274147664106,0.003820531586965969,False,False
646,646,0.02830403184257098,0.052536814577079836,0.5999576002834562,0.0004975821651208739,False,False
2254,2254,0.00561315627482617,0.011561310078892486,0.5984917829967791,0.00745468467494929,False,False
163,163,0.00016887734948338443,0.0004048691221863368,0.5969655306874803,-0.0009156253702078921,False,False
880,880,0.0013046816285813346,0.0028641235751696754,0.5964173574856864,0.00177394882326702,False,False
274,274,0.010064865450520384,0.020062136102850573,0.5942173960601868,-0.003845813016058794,False,False
2279,2279,0.0378000308392798,0.06828392667740867,0.5891641433653066,-0.016252409805427786,False,False
2654,2654,0.006060208910446356,0.012456163466900821,0.5884923136298317,0.0034448541307380547,False,False
1438,1438,0.0006334781736271206,0.0014440577721392426,0.5878144772659137,-0.003002854891293669,False,False
1788,1788,0.0095964385757109,0.019205819078024242,0.5859805013036189,-0.0012426239415934785,False,False
1818,1818,0.007208560075800027,0.014624064459996228,0.5850769141971905,-0.0017227830732504416,False,False
2369,2369,0.0007098866172867609,0.001605902042764563,0.5847716130810656,-0.0005077014192390102,False,False
2735,2735,0.017168725528892686,0.033088816473865905,0.5844952323424544,0.0020995775253554298,False,False
1277,1277,0.0313055728408649,0.05750423002920218,0.5824143129747253,0.0018419875836793846,False,False
2556,2556,0.011289248518652607,0.0223973860985033,0.5819034394340723,0.0025067946480035177,False,False
878,878,0.001109712097055541,0.0024634446552437143,0.5815589039359602,-0.0016468996143733773,False,False
2678,2678,0.0015781597418262979,0.003413978217011991,0.5810245519765141,0.0011652369475492084,False,False
355,355,0.0023184507262912326,0.004946917149987332,0.579188127796467,-0.0018095915520101747,False,False
477,477,0.006233731495431728,0.012777427540360061,0.573996432090775,0.0034589503800979086,False,False
1373,1373,0.006572693898359221,0.013435093312899566,0.5735203901594518,0.002353628200645823,False,False
1233,1233,0.029373324875037514,0.05431777459757717,0.5680284080427026,0.0022841895313029017,False,False
938,938,0.017428477198603465,0.03354586272727307,0.5639353008972282,-0.0025291933410670894,False,False
2340,2340,0.03573470419070209,0.06494831723086578,0.5545825331560792,1.460132859119217e-05,False,False
1886,1886,0.008913835695291765,0.017887940732674752,0.5542903675508175,-6.214602176518331e-05,False,False
2343,2343,0.028802636281034032,0.0533581454670299,0.5530525880903892,-0.0033186802766375814,False,False
2784,2784,0.03157504222494359,0.05795592165963672,0.5525381611093694,0.005655920193986398,False,False
2951,2951,0.05182495646041852,0.09128573933206063,0.5520041925996452,-0.005560995844296939,False,False
2376,2376,0.028548802535562537,0.05292495060933767,0.5486531119911978,-0.002900470018910175,False,False
1312,1312,0.006224960399487703,0.012774989761018762,0.545598552986091,-0.003629117757335688,False,False
1166,1166,0.05443586752255014,0.09548797565421326,0.5405898753727242,-0.010000792383471499,False,False
2941,2941,0.020510590790804,0.03912302922050532,0.5389205408877871,0.0048801275153444075,False,False
1693,1693,0.043125504207800265,0.0773392728028708,0.5359471959868995,-0.0025942224481074914,False,False
583,583,0.0390256123799954,0.07024136903809966,0.5322371078089929,-0.0004751234839739391,False,False
2257,2257,0.010485748596377619,0.020845078254553766,0.5321796053403969,0.001176770880419072,False,False
2747,2747,0.0188761597158539,0.03614480131397057,0.5321351424192,0.005611565480900219,False,False
1466,1466,0.04695061309767141,0.08344276627178966,0.5316432962227926,-0.009647372172833301,False,False
1992,1992,0.03119733549170896,0.05740464459974718,0.5313359125042549,-0.0013179906331150803,False,False
191,191,0.015717688564914817,0.030550163497489968,0.5297463972837759,9.522585537978436e-06,False,False
2670,2670,0.04526518515129914,0.08088324474958208,0.527010771539152,0.00861333861108073,False,False
2214,2214,0.015711586339051148,0.030550163497489968,0.5211441950854502,0.0015132685736872523,False,False
1599,1599,0.017047755022511952,0.03287702203171896,0.5179091930251304,-0.00415889468704258,False,False
951,951,0.018327661831791228,0.03513985808575992,0.5175103444317554,-0.0007332795638694892,False,False
2709,2709,0.060736079836784904,0.10566511427642296,0.5163783137694992,0.0011413378186770167,False,False
185,185,0.00698151325795327,0.014221778551547909,0.51502233524341,-0.00044540747233728743,False,False
1531,1531,0.055822706171172694,0.09763216966177994,0.5130115276516305,0.0005998181452992598,False,False
493,493,0.012004948937663384,0.02376963872380582,0.5113004120054855,0.0038133323417757015,False,False
2629,2629,0.039794528248471565,0.0715819150554325,0.5104844675266597,-0.006077216222388437,False,False
2851,2851,0.007261466648442056,0.014701250349642581,0.508989998417409,-0.0013843337302180264,False,False
155,155,0.031631662032445836,0.05802396348102549,0.5085449056374579,-0.021688689117543788,False,False
1657,1657,0.0030490181573785574,0.006422630156919487,0.5069126804402878,5.831343347060961e-05,False,False
2478,2478,0.030432073796760183,0.05610086647750572,0.5063238622292757,-0.0002964051968191205,False,False
