,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1231,1231,1.205291103694341e-08,3.500297451824662e-08,5.487813070529823,-0.002905199488525809,False,False
460,460,4.184848202264972e-06,1.1149577616088362e-05,4.461457368784974,-0.008274934320839318,False,False
580,580,1.2208816791416163e-07,3.4281710725565914e-07,4.308040461404733,-0.0033629218991281405,False,False
2577,2577,5.504548106905896e-13,1.7161238215647792e-12,4.081061307281787,-0.0011265156341472974,False,False
1660,1660,8.95372239292495e-13,2.7826856609634818e-12,4.029752664281691,-0.0035569210488938414,False,False
446,446,8.27390368912386e-17,2.643374181842801e-16,4.020100766141776,0.0004071167353382342,False,False
2230,2230,5.521181413688971e-18,1.775391813199227e-17,3.953431169036735,0.0020183064712716386,False,False
869,869,7.351138811218502e-07,2.0146057240717002e-06,3.8376557999542107,-0.0009149804109733631,False,False
58,58,7.25665587014107e-08,2.051214725959876e-07,3.8295866647003063,0.004991318273544071,False,False
2138,2138,7.323348731763771e-27,2.4123972292868895e-26,3.813318769491338,-0.0017075306968763462,False,False
820,820,3.186037645272302e-11,9.668874980744574e-11,3.763092686738664,-0.002473112613207771,False,False
596,596,2.723819244605018e-10,8.15771495256074e-10,3.689253670616864,0.004058435162434617,False,False
2666,2666,2.2698503147206535e-09,6.696735322157952e-09,3.566871455403493,-0.004341779821376809,False,False
525,525,3.2542269618671996e-24,1.0625462731377171e-23,3.5554825004530564,0.002807425570628251,False,False
1678,1678,2.1592487792254622e-13,6.760179722300814e-13,3.54691596588617,0.00369506173392478,False,False
509,509,7.1290519142488e-11,2.148124475278217e-10,3.5431298742458894,0.003383437605110937,False,False
2471,2471,3.115521007855793e-17,9.975044607676368e-17,3.495959895969861,-0.00011976869064069971,False,False
2937,2937,5.677035875425426e-09,1.6616807177773833e-08,3.4276270652292897,-0.0035117415924496662,False,False
116,116,1.0582456099844696e-12,3.278573038031217e-12,3.3650531659263536,0.0043028854352941065,False,False
1197,1197,7.222808991691793e-25,2.3661475813842428e-24,3.3624462072531744,0.0031149242631317202,False,False
