,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
592,592,0.0,0.0,3.842382640998476,-0.003180511633278177,False,False
1391,1391,0.0,0.0,3.476810857875325,-0.0007082420670612433,False,False
2530,2530,0.0,0.0,3.46617736405296,0.004583807675699519,False,False
1063,1063,0.0,0.0,2.8236355619041835,0.005359036164133454,False,False
1449,1449,0.0,0.0,2.7315118510909637,0.0008489637929765675,False,False
2768,2768,0.0,0.0,2.7125173132077465,0.0019087075955851879,False,False
2031,2031,0.0,0.0,2.6578261852984326,0.0023626735292924944,False,False
169,169,2.596865389768548e-294,2.221180540874078e-293,2.6089984511560687,-0.0007704018939983931,False,False
1468,1468,0.0,0.0,2.44337125792216,-0.00374126513858819,False,False
1148,1148,0.0,0.0,2.4258539972652757,0.0007353003821514159,False,False
2950,2950,0.0,0.0,2.2058054201610156,-0.005829138607541945,False,False
1049,1049,0.0,0.0,2.2017438563804084,-0.0006865395016503323,False,False
168,168,3.2130556157077187e-253,2.3840872668551276e-252,2.1138123301711267,-0.0035201725849423326,False,False
1497,1497,0.0,0.0,1.9936941433637134,0.006546468558636567,False,False
2368,2368,4.4116772663688214e-296,3.7843520597059714e-295,1.961670855534986,0.0008467877561584569,False,False
2550,2550,0.0,0.0,1.897130582180398,-0.0036782672440548864,False,False
1770,1770,1.7597632856387868e-284,1.4348839098285493e-283,1.893520623343125,-0.003478390954984756,False,False
2301,2301,0.0,0.0,1.872434862416741,-0.005273918555456503,False,False
1108,1108,7.069178083698104e-254,5.311726722130626e-253,1.8624801733684158,-0.005434981500390665,False,False
2463,2463,0.0,0.0,1.8595924449245254,-0.0019122235144208022,False,False
1029,1029,1.3063847270216734e-187,7.63257848385891e-187,1.7543474360018003,0.003985078951670162,False,False
865,865,3.409757090346206e-222,2.321137395446683e-221,1.7428640791612808,0.00283040807930246,False,False
1641,1641,6.075784022336965e-231,4.293554042451456e-230,1.707337332751827,0.0012259795650542415,False,False
508,508,0.0,0.0,1.6853163839146297,-0.005214556216211835,False,False
1860,1860,0.0,0.0,1.668426311738695,-0.003939641524539336,False,False
1416,1416,0.0,0.0,1.6664868096403367,-0.0016399104423091698,False,False
2570,2570,1.3468899589816371e-272,1.0631833506003987e-271,1.6554979781634576,-0.0024578641140747953,False,False
2939,2939,0.0,0.0,1.6545201493041457,0.00031996967603142856,False,False
1821,1821,0.0,0.0,1.64504675370426,0.0015714531071132493,False,False
167,167,0.0,0.0,1.6178375236216167,-0.00017801259511873724,False,False
2943,2943,0.0,0.0,1.5098714696904343,-0.0022367247394181403,False,False
1811,1811,1.0781048779544616e-248,7.939988282304819e-248,1.4171327489177294,0.0003772064091181679,False,False
1569,1569,2.845364450585963e-221,1.9236997014439947e-220,1.4126973324753511,-0.0029592155291568167,False,False
881,881,1.3071849827652576e-145,6.217508059050136e-145,1.3694494410787852,-0.0002905147938995281,False,False
88,88,2.2389591107484693e-221,1.5171759453656295e-220,1.3174686576323702,0.0009297507676116895,False,False
1445,1445,2.496931912645165e-112,1.012417201739187e-111,1.3033537028852156,0.0022819441279156305,False,False
1907,1907,1.059770396660962e-271,8.29920458387793e-271,1.2931361706017934,0.002684540930388467,False,False
1010,1010,2.6300910350914403e-120,1.1167539616811724e-119,1.2860234841100602,0.0032572978780046405,False,False
631,631,2.330308108074588e-142,1.0874771171014745e-141,1.2666979387429682,0.0019248548551737826,False,False
2543,2543,6.294997802043404e-84,2.2006541197249495e-83,1.2074660926388272,-0.0025678645013479037,False,False
2940,2940,5.680333212028346e-160,2.942273817329866e-159,1.2048061498415468,0.002509361209680018,False,False
2023,2023,3.4133613638761363e-155,1.694123165214778e-154,1.2025879767297547,0.006549821401325852,False,False
346,346,4.8715181247903445e-115,2.005362800884569e-114,1.1910533421869889,-0.005917003954116741,False,False
960,960,0.0,0.0,1.1896408164287056,-0.0006541148787449977,False,False
2096,2096,2.384937969366232e-144,1.1253570577232077e-143,1.1815168182053206,-0.0006495515137703162,False,False
1624,1624,0.0,0.0,1.1536516570412023,9.91724752477316e-05,False,False
179,179,4.081092048530663e-175,2.2725480675495324e-174,1.1487761101229768,-0.0010190015616845932,False,False
2692,2692,1.3992839984903357e-127,6.143601934200172e-127,1.1485477977794987,-0.005342058045037346,False,False
2329,2329,5.44800279964367e-78,1.825019448007044e-77,1.085383391006271,0.008939896219038006,False,False
726,726,1.5326832571937595e-157,7.789390252313491e-157,1.0850084473295587,0.0012408013694226658,False,False
1093,1093,6.301336962046527e-103,2.4100989823909915e-102,1.0430379516978183,0.0021740204153424883,False,False
397,397,3.6425790081346904e-109,1.4434144854664565e-108,1.027457962739289,0.0022613253423193064,False,False
784,784,2.176401508636492e-113,8.873021535210313e-113,1.0055176038973943,0.0003906966145464513,False,False
857,857,1.665514600030438e-122,7.174524430900347e-122,0.9862979675964867,0.003432105708068449,False,False
1041,1041,1.2067832048818668e-168,6.488645927698154e-168,0.9665997680717219,-0.002304079810539157,False,False
1865,1865,9.789836170291893e-174,5.4310717296124e-173,0.9576383809468282,-0.0017228483331280867,False,False
915,915,1.3085496403925194e-151,6.38778837612664e-151,0.9553655227265193,0.00414878504789155,False,False
685,685,4.77951735787078e-106,1.8714521791768437e-105,0.9424817917768916,0.00251453999863005,False,False
2648,2648,3.6575287662668926e-81,1.268171189051418e-80,0.9329347177344846,0.0013830729122729438,False,False
166,166,6.504839911793017e-262,4.963075799023568e-261,0.9226468015511967,-0.005650753735915406,False,False
2676,2676,3.76397418687444e-102,1.4359222862009434e-101,0.9047318417631078,0.000254875143395783,False,False
350,350,4.795641193133179e-111,1.9208452174384984e-110,0.886991401369982,0.006334313295609326,False,False
2599,2599,1.4038335161296806e-151,6.841671388953845e-151,0.8677125439181412,0.0023800348529652918,False,False
2479,2479,2.4107455552384786e-118,1.012035757842688e-117,0.8498460160568727,0.0014703335962649167,False,False
2318,2318,3.5056365108506225e-80,1.2014698803931464e-79,0.8267144543177528,-0.0005362358346633414,False,False
562,562,7.598729945757104e-56,2.2045973097758634e-55,0.8199144484086617,-0.00675383985507496,False,False
2576,2576,8.623527773676066e-92,3.1404454518123393e-91,0.8164287416621792,-0.00022076309496630447,False,False
2966,2966,2.970246703284637e-189,1.752622706828788e-188,0.8119562011522747,0.006562491120415979,False,False
2964,2964,2.888500045256665e-288,2.4081652062701633e-287,0.8039896557329838,0.008659928366848663,False,False
639,639,8.507315003429658e-93,3.113404553659584e-92,0.7816083656210239,-0.006401397500837347,False,False
2034,2034,1.4374035723267704e-71,4.683000881082168e-71,0.7810673968799638,-0.0014084216409637473,False,False
303,303,3.664827755543297e-145,1.7375732872927325e-144,0.7679101517091991,0.0006453656527459495,False,False
1377,1377,6.97544952726193e-177,3.90625173526668e-176,0.7448307463961823,-0.00022440599050463708,False,False
2561,2561,1.3173457514050229e-49,3.657513741973908e-49,0.7436638226122467,-0.0014737809438578192,False,False
2572,2572,6.607660786467263e-168,3.533610308871142e-167,0.7398377003934415,9.10197030947607e-05,False,False
17,17,4.1083122632996334e-79,1.3967320501114907e-78,0.714742846518337,0.0016820994348849018,False,False
260,260,1.7957424016249114e-106,7.049951650823726e-106,0.7079851698391896,-0.0009924970507635932,False,False
1712,1712,5.647299287207058e-81,1.9557974660945797e-80,0.6981442311910364,-0.0024748527762616657,False,False
2965,2965,3.694545901409755e-240,2.6744907891180865e-239,0.6898851190975673,0.0022660386207282515,False,False
1906,1906,1.7721609095897826e-96,6.582945656648904e-96,0.6736021134324314,0.0010682458316421707,False,False
376,376,1.796264716591075e-38,4.5450244491409297e-38,0.6704999118739994,0.0026726911952474237,False,False
2547,2547,5.08511719662568e-49,1.403965380426513e-48,0.6702214101559874,0.0035304156063306856,False,False
2769,2769,2.979854296729191e-69,9.550980078501335e-69,0.6561828157058158,0.004924439627170981,False,False
2609,2609,1.1624769856685003e-23,2.53320976025265e-23,0.6482147573766429,-0.004114408977034727,False,False
885,885,3.5971578629792045e-138,1.645048464918687e-137,0.6406468516186784,-0.006239277806273456,False,False
46,46,5.8189492712298144e-67,1.8179622565273777e-66,0.63778195387169,0.005296316823550688,False,False
1164,1164,1.8363123783723424e-71,5.97606923136964e-71,0.6354536366209358,-0.000576758004682501,False,False
903,903,1.6515156141170006e-64,5.111260002814659e-64,0.6334500763595889,-0.0007908827497479023,False,False
2308,2308,5.46503882136396e-65,1.696677324456928e-64,0.624739480248087,0.005111244179976302,False,False
210,210,2.6951302798629674e-65,8.39364813287858e-65,0.6171945126761812,0.005056409487700798,False,False
1058,1058,2.340474702168784e-78,7.858064384657185e-78,0.602403056110171,-0.0003704575153281875,False,False
2890,2890,1.2678106448119717e-63,3.903383810997855e-63,0.6006637875003087,-0.0013841523080568609,False,False
867,867,7.933764808420718e-42,2.061945179631584e-41,0.5978294946034871,0.00025150739659528937,False,False
798,798,3.817290437923239e-63,1.16921754589847e-62,0.5955853494241856,0.002482902988175502,False,False
1435,1435,9.193574370302557e-48,2.510260232848021e-47,0.5859332020437882,0.003959899287969391,False,False
2524,2524,1.3025560349848176e-62,3.973264452040019e-62,0.5769448969468055,-0.0008726799695395297,False,False
2337,2337,6.9307834433463624e-40,1.77485463846868e-39,0.5763595083117024,-0.0010096867210953007,False,False
1543,1543,2.0258652883033396e-31,4.817923217695763e-31,0.5418253234941128,0.005860370047960405,False,False
182,182,1.7215544374338314e-84,6.0396850712808645e-84,0.5399747915144435,0.0002192556625010833,False,False
1520,1520,1.2719074007209243e-43,3.3675478727383616e-43,0.53619953585186,0.0011979029019766468,False,False
2514,2514,1.3051673517707669e-23,2.8420665444281994e-23,0.5347247819334824,0.004441379823467947,False,False
748,748,4.493394302178158e-39,1.1418145795260935e-38,0.5056848341536094,-0.00035337378891314025,False,False
1577,1577,1.8009133988015767e-43,4.759671387037471e-43,0.5008359270792797,0.004509404479087315,False,False
187,187,6.055257062083308e-51,1.6986770283802699e-50,0.5002245139757034,-0.000759502086348271,False,False
298,298,2.2246231724050845e-19,4.578836044173572e-19,0.49420654542683257,-0.0019577437327949927,False,False
2698,2698,1.421114253768361e-80,4.881790631000573e-80,0.48689831466106837,-0.0055705723292254795,False,False
2299,2299,5.938123205462324e-53,1.688156099024155e-52,0.4845582004753565,-0.003471308477791684,False,False
2327,2327,1.1245688435330608e-44,2.9988502494214955e-44,0.481193147620141,-0.0026906154023782526,False,False
1413,1413,3.085203875775621e-39,7.846516798030885e-39,0.4800542677572118,-0.0016445679251443253,False,False
