,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
33,33,3.989068945737843e-48,2.233878609613192e-47,6.159682777191438,0.0023111752646419337,False,False
34,34,1.8483264424096084e-43,9.778668237204487e-43,6.043923952873517,-0.000551155134620545,False,False
35,35,1.6272118464939302e-45,8.813074380280994e-45,5.940139624851318,0.003440053979494012,False,False
1600,1600,3.999166281775829e-46,2.1799055482576764e-45,5.27054405956182,0.0016925953925595975,False,False
2738,2738,2.4915260810015866e-83,1.9667152681948697e-82,4.702302468274457,0.00041114050138196107,False,False
1645,1645,4.811786865000022e-15,1.8123583014365562e-14,4.4689455686459505,0.002529060586299871,False,False
559,559,1.8909488469877107e-23,7.90469884205567e-23,4.350653798625881,0.0006285093416155112,False,False
1601,1601,1.2369257128010518e-17,4.8819089303105345e-17,4.1900551752174175,-0.0006167033471439678,False,False
969,969,4.553416530239683e-52,2.702908052350276e-51,4.087916288520118,0.002360767266342264,False,False
868,868,1.7054077973402837e-19,6.895981393059894e-19,3.9864635004079543,0.004086104353348296,False,False
1729,1729,5.673862349063447e-16,2.170106114951071e-15,3.9489442348889776,-0.0009913478103345287,False,False
194,194,1.6868596623592793e-45,9.119489030751077e-45,3.8993596292852266,0.0016140576530733301,False,False
286,286,1.5194715365111625e-13,5.540284423052986e-13,3.5562167835300116,-0.0016128796482140703,False,False
198,198,7.70672350559577e-16,2.9438295192546002e-15,3.4879054197176655,0.0007070462094188584,False,False
196,196,1.7257814776987613e-15,6.5333155941453105e-15,3.424283296570733,0.00329632075542458,False,False
2266,2266,4.2960911632110805e-14,1.5898751337170182e-13,3.36454832798583,-0.008819480983967383,False,False
1602,1602,4.426302721859048e-18,1.7563190479248202e-17,3.2444737038464346,0.0034994550331818924,False,False
2056,2056,3.6611785740699767e-22,1.5197731479496072e-21,3.1271252962875526,-0.0003923258722595864,False,False
1259,1259,3.408884398259572e-10,1.1419377984237482e-09,3.1000444539410075,0.003421814781215886,False,False
1256,1256,6.296574953849034e-28,2.7604482220123978e-27,3.038262983848428,0.0018587368726071495,False,False
2055,2055,8.4223828780316e-17,3.267664363659842e-16,2.9071541973675066,-0.00013218177695379155,False,False
2370,2370,1.714543128242459e-26,7.375020296555969e-26,2.9047050260269307,-0.0017273457463338644,False,False
859,859,3.0531418096204733e-19,1.227876001484223e-18,2.8061304925331005,0.005011111042333865,False,False
404,404,1.3978990578559659e-15,5.29880511330333e-15,2.749037321232198,-0.0007431371313616252,False,False
1149,1149,1.8023237542710636e-18,7.19959206282169e-18,2.7198017379804624,0.005812286764152156,False,False
2781,2781,4.522426209675367e-15,1.7055350686552083e-14,2.709757453192965,0.0008403287807824851,False,False
1595,1595,4.66497165939685e-19,1.8710318763634932e-18,2.6182259659816065,-0.0004716570430083507,False,False
980,980,8.761603869169888e-43,4.627124605639898e-42,2.5381313203499736,-0.006885493418506444,False,False
1599,1599,2.2346059558951526e-12,7.942886798918338e-12,2.4577641016991327,-0.004158879642313552,False,False
981,981,4.723981030963698e-55,2.8731097745697245e-54,2.424664926684198,-0.006525120391481812,False,False
683,683,2.2897493771628084e-17,8.965667745935641e-17,2.4038134235952775,0.0023847067122015377,False,False
979,979,9.294228444611623e-57,5.807425268127852e-56,2.3576190864593105,-0.0017793446589417054,False,False
993,993,8.088215428095417e-33,3.7804446284389287e-32,2.346161727214975,-0.004675384631590678,False,False
1868,1868,6.570925977208391e-09,2.1314216721698912e-08,2.3396599325044076,-0.00019642265849153726,False,False
2411,2411,3.390136583909545e-10,1.1369407210218678e-09,2.333887111788197,-0.0014370005165438467,False,False
231,231,2.8977760949771165e-24,1.2199431843818557e-23,2.3002052461159948,-0.0022474703184372146,False,False
777,777,1.3675198086494147e-15,5.190279785257625e-15,2.297281254861447,0.0005318698912680775,False,False
232,232,1.2058422204191194e-24,5.0909526460938065e-24,2.2876774554319663,0.0006317729009559236,False,False
2122,2122,2.8536232575826646e-14,1.0586942285631687e-13,2.278760491560152,0.0075095673534459045,False,False
992,992,1.1821908487150032e-31,5.414725986089706e-31,2.258069073416052,-0.002760326342968731,False,False
2327,2327,5.592138513507336e-15,2.1009452035556676e-14,2.203207650435637,-0.002685067660786214,False,False
2035,2035,1.0388985432749907e-19,4.212364585300782e-19,2.1739960693446605,0.0020203457657966013,False,False
2294,2294,1.670490867604125e-09,5.502793446225353e-09,2.141196965090662,-0.002620040007308677,False,False
989,989,1.1978397900510426e-21,4.9446293419631355e-21,2.12438070437508,-0.0031918571119188563,False,False
684,684,6.970968322802613e-13,2.5139530962427893e-12,2.122612457360354,0.0030193170251471488,False,False
2769,2769,1.2484295137109378e-20,5.110812133371122e-20,2.1072729712753215,0.0049220472012730734,False,False
591,591,5.079704200444393e-09,1.649514449334678e-08,2.105247408067556,0.0030804300704135503,False,False
967,967,6.57711990277795e-14,2.42194688231327e-13,2.0730199210722544,0.00047010469201508916,False,False
235,235,6.861658978656384e-08,2.1414725392904465e-07,2.0620128177823354,0.002463584604056827,False,False
1939,1939,1.8617394524925458e-25,7.939141803157868e-25,2.0540067405384064,-0.0024353729049584596,False,False
1236,1236,3.047993694989716e-20,1.242643583341961e-19,2.0500388585964946,0.00249198417237869,False,False
355,355,8.697407597445639e-13,3.125170187556738e-12,2.0386756581739887,-0.0018067124654863338,False,False
2623,2623,3.8514127631938436e-16,1.4749668491818488e-15,1.9831836614759921,-0.0002065195452296822,False,False
1761,1761,3.9607029315818856e-55,2.4138329160030876e-54,1.9806997603888579,-0.003153261360667607,False,False
988,988,1.8291619685856144e-12,6.525183561012144e-12,1.9361977130549712,-0.001695067165632353,False,False
983,983,4.9969071248679746e-23,2.080058954643499e-22,1.9214664685555582,-0.004479614686434859,False,False
1169,1169,3.843995054174675e-07,1.1618103177994334e-06,1.9186849513231539,0.0036264540257438353,False,False
913,913,7.529354685439164e-25,3.1878922548335862e-24,1.9071970881676878,-0.0031345098271008997,False,False
129,129,1.73058830566691e-11,6.007469112537297e-11,1.9020218018574424,0.0069058396481809685,False,False
197,197,1.2052237078078734e-09,3.983411987498629e-09,1.8958397811741063,-0.005228684904502604,False,False
2041,2041,2.5367264680773764e-19,1.0229625213659855e-18,1.8597440953295743,-0.0025833903617981675,False,False
2007,2007,1.5477771814731009e-16,5.989312483197084e-16,1.8326445542364946,0.002930114118082366,False,False
163,163,1.227847836905377e-19,4.971694924877434e-19,1.8241113827503215,-0.0009164928142044301,False,False
803,803,2.6292814299797127e-08,8.382070122642091e-08,1.80835840208647,0.004197953129791981,False,False
2399,2399,5.764731103232859e-07,1.7300022158134606e-06,1.8070740966163326,0.003601462605839708,False,False
1850,1850,4.367487638360758e-09,1.4197922574649213e-08,1.7975980502330693,-0.00048108081898612983,False,False
2887,2887,1.1755922090486924e-08,3.788444816999478e-08,1.7617342010327437,0.0005592130392136109,False,False
250,250,2.417028565195384e-06,7.012454331866959e-06,1.7367207097312563,-0.0020114263817744655,False,False
