,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2230,2230,2.9231924882915747e-235,4.338017652624697e-234,4.268212619690455,0.0020151129526392586,False,False
1540,1540,8.408622913282371e-201,1.0850779481140034e-199,3.539969030277459,0.0011239614589024782,False,False
2056,2056,2.4383e-319,5.096416e-318,3.527584769192684,-0.0003773953233446384,False,False
2124,2124,0.0,0.0,3.5121608383664387,-0.00036484240956951436,False,False
2471,2471,1.925428920229264e-201,2.5064355417721293e-200,3.3565700635612203,-0.00013268647652318888,False,False
2138,2138,9.214194695407112e-227,1.3147947046138609e-225,3.0666389590142837,-0.0017104799899641046,False,False
1197,1197,1.4962700873154131e-238,2.300999802669506e-237,3.0623260694617294,0.0031231702374702186,False,False
1327,1327,3.777792006180483e-69,2.3958304859708707e-68,2.873644494390504,0.0032373917208542574,False,False
2597,2597,2.771686386816501e-91,2.0514626424118143e-90,2.864082769576027,-0.0014636923013550546,False,False
2577,2577,2.853620400182685e-110,2.333208084777468e-109,2.844690349830038,-0.0011137329091518225,False,False
1159,1159,6.709174967587973e-199,8.54627952952837e-198,2.79039234201385,0.00418184446521979,False,False
1517,1517,6.6480285060156654e-152,6.923280212580526e-151,2.788067851377077,0.0027682981349110083,False,False
457,457,1.0064704516370364e-95,7.58173680319473e-95,2.78589095947595,-0.0028439631634284146,False,False
1842,1842,1.888115618838391e-299,3.6154368752982863e-298,2.7341750454352374,0.004492891771263975,False,False
2583,2583,8.836611640744138e-292,1.6189545277610248e-290,2.7173738614175096,0.002830425522204326,False,False
598,598,1.892350242510023e-119,1.6374622506617342e-118,2.5806909398650157,0.0029370193480312556,False,False
2468,2468,3.1971416890118216e-98,2.451968096379092e-97,2.4317384857792455,0.0036258358847011257,False,False
980,980,2.5263432182052902e-257,4.1656592620185005e-256,2.4136671615147756,-0.006888097761588871,False,False
1555,1555,0.0,0.0,2.3917412115943484,0.004382228531299756,False,False
2576,2576,3.1023656340472987e-101,2.4167509716147983e-100,2.322791168710192,-0.00020942868860152064,False,False
2130,2130,1.1546123473482554e-85,8.257564932360535e-85,2.3206416327994677,-0.004159123857148964,False,False
2023,2023,3.337124105889158e-97,2.539637011866416e-96,2.2966715562099216,0.006558526905609305,False,False
1391,1391,1.4219590586980892e-223,1.9721376103812752e-222,2.2941679993868536,-0.0007059172263128785,False,False
1509,1509,4.3348307480441736e-159,4.69553929204201e-158,2.2880874291530686,-0.002195654170853746,False,False
2521,2521,5.601848181349214e-61,3.3386115265551137e-60,2.2267430932760908,0.004744268875919572,False,False
2667,2667,8.721467904611841e-52,4.793577174238508e-51,2.223334354140327,0.0005360548353512407,False,False
552,552,1.6033610777839094e-71,1.0322723815320267e-70,2.2196175940768685,-0.0013045928204101082,False,False
1288,1288,7.793956067372064e-152,8.088273289496603e-151,2.217550620587474,0.003447398642478658,False,False
1742,1742,1.4080562870921912e-79,9.673868194651906e-79,2.193945211711251,0.0008397938793959989,False,False
2563,2563,1.5495831765388885e-193,1.940575049775283e-192,2.18916211621678,0.0005992782438786898,False,False
596,596,5.3007278056921484e-64,3.243826830369958e-63,2.1886911927847414,0.004064798036499947,False,False
1544,1544,1.0246284363123418e-108,8.331773147876795e-108,2.1808583531275807,0.0013282566715125121,False,False
116,116,2.0428686296283963e-78,1.397058546713613e-77,2.169614635300436,0.004292910539220322,False,False
2536,2536,2.551534581510039e-48,1.3669593209245118e-47,2.1495584135794665,-0.0017186796406533505,False,False
2708,2708,7.9771003830647e-123,7.088632915250307e-122,2.134780151307452,0.0036057849846235154,False,False
1241,1241,5.026682386089759e-52,2.7730842605788853e-51,2.1302369474258747,-0.0009470797006110379,False,False
1006,1006,1.9280359411894808e-41,9.569248617809999e-41,2.1278632912487865,-0.0011093737790582245,False,False
981,981,0.0,0.0,2.1212563197419154,-0.006525387152637674,False,False
2045,2045,2.2827069407131916e-39,1.0909942351105882e-38,2.1042888258135743,0.004154558487337985,False,False
1223,1223,5.318428260066338e-97,4.037108715058028e-96,2.0889466942356463,0.00223167383872825,False,False
37,37,1.456849940804871e-299,2.807747158642115e-298,2.0694541617762527,0.002027387417189719,False,False
58,58,2.102959900008058e-37,9.81381286670427e-37,2.0536684573822312,0.004986901984378664,False,False
1222,1222,4.912488931268161e-39,2.336581273718574e-38,1.9850828645458558,0.0028179221924324767,False,False
