,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2174,2174,5.278824402410116e-41,2.3919924925730116e-40,4.234301744338869,-0.006483788236546148,False,False
1603,1603,6.174551666736155e-90,4.1936085461951735e-89,4.213187719138707,-0.0031388109909192934,False,False
2467,2467,5.440745222306098e-57,2.8939304336567206e-56,4.1938295239402406,0.0010855216409044605,False,False
218,218,6.607017037714989e-41,2.989272342673489e-40,2.9426006775927425,0.0013772941745834166,False,False
2792,2792,4.1487710389792045e-99,2.9671210707687415e-98,2.765076568362025,0.0005549665565236974,False,False
917,917,4.550833461505878e-38,1.9863049579043303e-37,2.6536263192506278,0.001121007550317802,False,False
393,393,2.348310426978075e-25,8.679682873313734e-25,2.5788806504820334,-0.004511429570995255,False,False
966,966,5.24889995855834e-57,2.7969003728906917e-56,2.560795824235856,-0.0015800175011290146,False,False
251,251,6.698914564575792e-40,2.985342106255398e-39,2.5386934738602225,-0.001224757958938701,False,False
982,982,1.7514518224834717e-67,1.0172816064835507e-66,2.5341567851651607,-0.0030941635436335067,False,False
1954,1954,1.56067370691298e-20,5.3924092690543945e-20,2.5036528780654805,-0.0009633728247259773,False,False
747,747,3.0224688902807424e-25,1.1143711386774214e-24,2.3989479725961034,0.0010827496945197187,False,False
1481,1481,1.2535335059683568e-22,4.477120873302146e-22,2.386195426787879,0.0026988639535502155,False,False
1145,1145,3.1433243735153403e-41,1.430887536900848e-40,2.3503781224078653,-0.0018869005391444447,False,False
986,986,3.8459533594280364e-14,1.2182272754303534e-13,2.344030342191989,-0.00030488542336846655,False,False
1845,1845,7.618548890920857e-16,2.4578101204622938e-15,2.3219769732814894,-0.00031177299778636057,False,False
2466,2466,4.8439487291447655e-48,2.3921530496009425e-47,2.297779338116177,-0.0022317328368480892,False,False
206,206,1.3684107019899491e-37,5.937782110389136e-37,2.2681663280202558,-5.5249012230241396e-05,False,False
49,49,2.849983088960113e-84,1.8881137964360748e-83,2.2221136118792018,-0.002082385271457241,False,False
979,979,1.066465789276673e-98,7.608823227339341e-98,2.1581622057775536,-0.0017777438174330223,False,False
2764,2764,1.0623951294383837e-25,3.946418953908789e-25,2.1387786216402533,-0.0011070826629841664,False,False
1974,1974,8.626299745968634e-20,2.9598679359577924e-19,2.10960208201439,-8.27558289081716e-05,False,False
428,428,5.009026283170105e-16,1.6212420947054383e-15,1.9746411770620942,-0.0035444019639042697,False,False
983,983,5.4092850827095594e-48,2.6669033431033174e-47,1.9347581114499,-0.0044791105052584285,False,False
817,817,3.909790344921504e-42,1.799109727709616e-41,1.9157917703238336,0.0049306718248485724,False,False
1355,1355,6.3153491101398705e-21,2.1948426415568074e-20,1.8930566692392898,0.0005375489163028692,False,False
992,992,2.7085008062036322e-56,1.4253245377326915e-55,1.8896808916534558,-0.0027618034187283074,False,False
2333,2333,1.5808673226740367e-21,5.526518508476491e-21,1.881133578289189,-0.003248760811241133,False,False
1831,1831,5.417938384911428e-28,2.074895629215112e-27,1.877287571248185,0.0014868290752106392,False,False
850,850,4.436995371345398e-18,1.478002498558153e-17,1.8732689181466786,0.007204248113537046,False,False
993,993,1.1387337808174306e-54,5.919022524459078e-54,1.8547541725586454,-0.004674049015848706,False,False
2250,2250,6.334307329010489e-12,1.8913706390848222e-11,1.8424457988185636,-0.005774532876363614,False,False
1651,1651,1.686450233407308e-31,6.7640328280444465e-31,1.8245942643510527,-0.0001407011913883184,False,False
2632,2632,9.035730411453231e-12,2.6871791444081353e-11,1.8224726460615752,-0.005402220722841319,False,False
668,668,4.567525094016104e-19,1.5493045118902624e-18,1.8064444958435721,0.0031117531254127645,False,False
255,255,1.8291518503285592e-20,6.312700804389725e-20,1.7751939327832436,-0.003554913130673496,False,False
2644,2644,1.3691304801040184e-14,4.369440069837341e-14,1.7470869640120121,-0.0010601032335319435,False,False
981,981,1.9176561800400178e-78,1.2084083954052595e-77,1.7153212658858432,-0.0065243829644704345,False,False
2419,2419,4.594853762183413e-19,1.5567952016164806e-18,1.7148949222379688,-0.0014753328458697208,False,False
1636,1636,1.0318666387350163e-42,4.7852815371336376e-42,1.7047386990823503,-0.004708414331508054,False,False
492,492,2.625000537652846e-19,8.924400453326056e-19,1.6852041356754237,0.00027560077591111485,False,False
1751,1751,2.817785341253699e-13,8.75726376213715e-13,1.6443048312973534,-0.003608982737471419,False,False
593,593,3.887649987752688e-14,1.23012208567697e-13,1.6364371369374893,-0.0008520629347824474,False,False
1795,1795,2.1720372973076566e-13,6.771645691606224e-13,1.6137689444940106,0.005299179193185861,False,False
2020,2020,1.6264856198389649e-12,4.956272402137626e-12,1.6131550420087437,-0.006925755355944919,False,False
2281,2281,2.0554070375466732e-08,5.500854903010393e-08,1.6078273432960988,-0.0029923191620346715,False,False
212,212,1.785623773601803e-18,6.0019607701587215e-18,1.5149430156961854,0.0031039353352692598,False,False
1672,1672,1.0892796145759775e-23,3.952300606432153e-23,1.4975031472321894,-0.0007452993197345943,False,False
991,991,7.9141275511372e-10,2.2413292530319858e-09,1.4498596379253534,-0.0014059153734448208,False,False
1383,1383,1.708367029239951e-07,4.4129097848426235e-07,1.4314222418704494,-0.004983283463708577,False,False
279,279,9.28674934843083e-09,2.512586332373993e-08,1.4211558490471943,-0.0015984821213851225,False,False
1101,1101,3.20982859759661e-10,9.169173510747583e-10,1.4162287963481681,0.004064075731385309,False,False
636,636,1.5607481008560663e-14,4.9756180057366325e-14,1.409027754777265,-0.001520495060542206,False,False
2270,2270,1.1934324997078046e-15,3.841765356976968e-15,1.4064558120090334,0.0022867739597075267,False,False
56,56,2.2265204937642677e-37,9.647172008018024e-37,1.402623702644195,-0.002210547152221071,False,False
906,906,1.0789934680038098e-11,3.205658271306614e-11,1.390971016791371,0.0010731096013950926,False,False
980,980,5.9284383203365065e-40,2.64595562928703e-39,1.352413641822148,-0.006885470677902324,False,False
2330,2330,3.973576656962352e-14,1.2559718336383663e-13,1.3515082687161988,-0.006224358557597497,False,False
1454,1454,1.1504523062122931e-08,3.1041294953073506e-08,1.3450550282013676,-0.0015915841062423136,False,False
491,491,8.904569807331313e-16,2.8695725502887445e-15,1.3309362609481832,0.0008271790528773196,False,False
1953,1953,8.670798022454578e-12,2.581236562752777e-11,1.3223651988204468,0.005730409113207043,False,False
1290,1290,1.635414738095988e-09,4.587817526152072e-09,1.3196677084231696,-0.003199817071732821,False,False
346,346,5.0677722144949576e-11,1.4789722647611636e-10,1.315763393217258,-0.0059425501759987984,False,False
2702,2702,2.0315896807170087e-10,5.859823296761984e-10,1.3110702863012367,-0.0020456891630811344,False,False
1869,1869,3.0289852274975164e-11,8.918678725409354e-11,1.3088536408790852,0.0034515326409012147,False,False
1178,1178,4.567182334457428e-11,1.3355071102137582e-10,1.3030039391313126,0.005043164052548271,False,False
1042,1042,3.762584762836451e-10,1.0727523127856471e-09,1.3019472784801946,-0.004158943561122582,False,False
1378,1378,9.817171191781388e-18,3.259212986264783e-17,1.2894321731961853,0.0022707912913975847,False,False
702,702,2.0085547346308258e-12,6.107982020885543e-12,1.2615665797241145,-0.0029643047146680887,False,False
935,935,6.310322034329964e-09,1.7151131683050672e-08,1.256063948287108,0.0038667978541285395,False,False
1576,1576,2.1635875077501006e-15,6.949705327924566e-15,1.2326014108070051,-0.0034802630048104775,False,False
988,988,7.311075377530729e-13,2.243978461273134e-12,1.2283165369595537,-0.00169393069992573,False,False
2762,2762,1.964107352148637e-07,5.055915543085129e-07,1.2275745964138518,0.00059433291333742,False,False
879,879,4.13433477978981e-09,1.1361764468903846e-08,1.226959175980149,0.0004511129301033104,False,False
1755,1755,7.945184675969173e-07,1.9799587001071795e-06,1.2122603737236768,-0.005339030283782012,False,False
2893,2893,5.449703467059182e-25,2.0067890682669544e-24,1.204346131856272,-0.000749642925621929,False,False
198,198,3.1602783264041234e-09,8.733432097548826e-09,1.1642051916952536,0.0007116894367793182,False,False
1649,1649,6.312624467636044e-11,1.836849943131743e-10,1.1567330769147834,-0.0021536362144740882,False,False
2763,2763,3.053296234985864e-10,8.730426999458616e-10,1.125240884948065,-0.0028200679502043127,False,False
1143,1143,3.126285146541215e-08,8.321806560479216e-08,1.117547114761958,-0.0033949359821903212,False,False
2887,2887,1.5141874425338177e-09,4.2517581167837e-09,1.1086025671570898,0.0005591140353758952,False,False
234,234,1.572700028028542e-33,6.565082536130397e-33,1.1020369406825705,-0.0010488816349046469,False,False
2489,2489,4.105063662109815e-09,1.1291778451475375e-08,1.101374669420363,0.0021941698509415075,False,False
1706,1706,3.5205648533777053e-12,1.062974210053411e-11,1.0946842624786668,0.007474410560337244,False,False
2055,2055,8.45514831422199e-09,2.289678850055736e-08,1.0925944018605627,-0.00013218552468885567,False,False
356,356,1.516257421150545e-10,4.381939655282198e-10,1.0912168013447419,0.0002694104172438049,False,False
1024,1024,1.3830583158077156e-09,3.887232084580777e-09,1.0749946278242763,0.001608195233503625,False,False
673,673,2.8239488890669728e-08,7.530530370845261e-08,1.067938508844918,-0.0014768610904592108,False,False
1254,1254,1.125256695083274e-06,2.7785040524186e-06,1.0599954303239756,-0.005091748322192951,False,False
2955,2955,4.3289708621264704e-06,1.0402588088321533e-05,1.0582662636794298,0.000799804661596429,False,False
2864,2864,2.141855498381282e-05,4.916494291721303e-05,1.0525766281498512,-0.018222296317242204,False,False
