,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1537,1537,1.8781531185601688e-31,7.155787491510373e-31,6.863979388091067,-0.0006523055446839322,False,False
967,967,1.0448276587130251e-29,3.9253778367851373e-29,6.257942711421178,0.00046877919204059947,False,False
2714,2714,2.7057169780614367e-24,9.817320282257145e-24,6.241883815945297,0.003062784258804672,False,False
2716,2716,3.214840144818738e-14,1.0237817113542934e-13,6.169476270125785,0.0010113742305476216,False,False
2823,2823,7.550062452433434e-17,2.5522306786813705e-16,5.845057630383498,0.0028884286172317286,False,False
1265,1265,2.9427890034621655e-18,1.0132480002640032e-17,5.512886602587064,-0.0010717082900938068,False,False
185,185,1.7105289540427387e-20,6.001004652008095e-20,5.496439464338547,-0.00044498762414821053,False,False
969,969,4.757071238225271e-38,1.9501363860569895e-37,5.322399936577202,0.0023577701753555464,False,False
194,194,7.2502163490824465e-31,2.748230156331635e-30,4.987529748564633,0.001613776102549887,False,False
1256,1256,7.049183966411107e-34,2.760155410594745e-33,4.950452220484397,0.0018589568927470318,False,False
1602,1602,3.879304151883729e-16,1.2922306086185081e-15,4.9232468287723625,0.0035000364705761416,False,False
2738,2738,2.6736391612115624e-37,1.0885268903259145e-36,4.9137248752818,0.00041370986644782403,False,False
868,868,9.645622894974886e-15,3.1151478511736086e-14,4.864658902172329,0.004087665918889001,False,False
1595,1595,6.412513736301981e-23,2.295819151911252e-22,4.847394711970767,-0.00047170893771625137,False,False
1169,1169,7.820921546618734e-13,2.415452148841249e-12,4.835603014758215,0.0036277551882877286,False,False
1599,1599,1.4336969840119945e-19,5.000249880784489e-19,4.835152436672232,-0.00415887708444608,False,False
2585,2585,1.409055918030449e-14,4.526058403370533e-14,4.725813369996802,-0.0015137567974095227,False,False
2828,2828,2.7815503262593802e-12,8.502205322696025e-12,4.701328562097561,-0.0016941112896147054,False,False
2266,2266,1.2693784832386594e-13,3.978368889390012e-13,4.594200189304032,-0.00881653258172541,False,False
129,129,2.8451238542281974e-21,1.0052770951606297e-20,4.574215557544858,0.006905701955399317,False,False
163,163,1.9100655246863136e-38,7.862794004533952e-38,4.560555375815982,-0.0009164761575208326,False,False
51,51,5.450821706764925e-15,1.7719648220896275e-14,4.344406911091603,-0.0010182258733905667,False,False
2822,2822,2.8390823045486844e-09,8.003182640503e-09,4.03648573669285,-0.00394928678667141,False,False
65,65,6.250622383643384e-10,1.7959193837999578e-09,3.8276162744170823,0.003777588998248187,False,False
2060,2060,1.2252053724132375e-14,3.939771988431732e-14,3.7736349951579995,0.004472586050738128,False,False
481,481,9.446515009503238e-13,2.9114492781106556e-12,3.722932548846291,0.003295857194532845,False,False
1939,1939,2.141316179341493e-23,7.731662311782908e-23,3.6616301386110637,-0.002434380021074196,False,False
2700,2700,7.000470897794413e-09,1.9527629346479153e-08,3.6403812252680474,-0.0020070026763317084,False,False
1600,1600,2.8464195861310297e-16,9.524434421236638e-16,3.625680403223138,0.0016928148247535519,False,False
2170,2170,2.8309887986037818e-14,9.034811563716156e-14,3.5208225356450957,-4.220501067746761e-05,False,False
747,747,5.543281783551756e-15,1.8000503647244652e-14,3.472600633231842,0.0010827363849087624,False,False
1042,1042,1.323185541539338e-12,4.065439634874488e-12,3.4664069487993316,-0.004158904242096541,False,False
2125,2125,4.4557002675344394e-23,1.5990953318067974e-22,3.4540519858996612,-0.0001711400788647708,False,False
2595,2595,8.768402172506586e-24,3.17373385951214e-23,3.413883524819565,0.0018305503457009095,False,False
53,53,1.8910587196942516e-10,5.535169901432484e-10,3.3332216011321334,0.00796517785032218,False,False
