,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
370,370,8.35254073895728e-10,1.830896670105259e-09,5.731719915346352,-0.00942273868916342,False,False
2070,2070,1.835020229293072e-15,4.1991827606336454e-15,5.27473174238551,0.0009461446616945346,False,False
2804,2804,3.2067027059174725e-33,7.846243719013239e-33,5.2320058109444325,-0.008221799101617192,False,False
1763,1763,2.045455768193496e-16,4.698848854487846e-16,4.98326066823335,-0.004037258790011593,False,False
2071,2071,1.507303913662141e-16,3.4652811895811263e-16,4.8292329107239915,-0.0030143246187990438,False,False
1851,1851,3.893687710152115e-15,8.896431965921075e-15,4.221557704281983,0.0006010052092627468,False,False
792,792,3.0125117127127983e-23,7.068090722001253e-23,3.76821137816039,-0.0014011335141564264,False,False
2300,2300,2.725021846722696e-09,5.929519678205983e-09,3.699526284291093,0.0012504828482863932,False,False
2410,2410,6.363233735529221e-29,1.5193948292076208e-28,3.393187102719313,-0.0021190617573554216,False,False
1840,1840,1.3600447222667705e-09,2.9724688775314984e-09,3.3443105597662726,-0.006868777407026256,False,False
2579,2579,5.182479875832094e-17,1.1942236235613085e-16,3.2182301335069403,-0.0037114239811013063,False,False
1630,1630,1.5215229590424704e-15,3.487166133156797e-15,3.215011293449055,-0.002180957931798239,False,False
2737,2737,4.235936987588046e-26,9.970072148422935e-26,3.1249955148684245,-0.0018885536705413285,False,False
2408,2408,9.724160822199641e-31,2.338841922227596e-30,3.049385879832498,-0.004490162723734793,False,False
1935,1935,7.449839874590849e-08,1.5850268636405476e-07,2.995917055464312,-0.006182627985278514,False,False
2637,2637,8.057438330777211e-12,1.795381153584592e-11,2.947246496669656,-0.0018037198280156288,False,False
2082,2082,2.044549780022598e-06,4.246482678171498e-06,2.6383479253836395,0.0017538636336961537,False,False
208,208,7.430997652263357e-08,1.5821521543699889e-07,2.533743579379475,-0.0012952221051863865,False,False
1847,1847,0.0004425105960414215,0.000870358813155029,2.484276463454938,-0.017280205102090083,False,False
2299,2299,2.134099019778612e-10,4.702305783743816e-10,2.4490725540098284,-0.0034672909710965734,False,False
2301,2301,7.186740669231267e-13,1.6208393849755623e-12,2.345041264275447,-0.005292464197334915,False,False
2239,2239,5.641781576019189e-31,1.3580541539030781e-30,2.3123154975218005,0.0020766638106960627,False,False
1283,1283,1.3692344345477647e-12,3.0740452358076893e-12,2.2560541189681818,6.308121555180469e-05,False,False
380,380,2.7486315246398443e-14,6.241727899870741e-14,2.1852745048258333,-0.0065617149410781735,False,False
1690,1690,1.7948528725425904e-12,4.0235070435849005e-12,2.1526434269499206,-0.0050949468972125425,False,False
371,371,2.6802663449199947e-09,5.836412701190421e-09,2.126380325494734,-0.0010274365196117985,False,False
2288,2288,4.9650948445016816e-14,1.124916144922213e-13,2.0706803295525673,-0.002291111929672357,False,False
