,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
194,194,4.485618635408145e-45,2.083461050061248e-44,5.357347329195899,0.0016140787537959897,False,False
967,967,1.484079181154799e-27,5.780507886702682e-27,4.90671120108323,0.0004690462934202758,False,False
2738,2738,6.314791420947778e-50,3.037650070887035e-49,4.827735702992568,0.0004115724532244803,False,False
969,969,3.461821077539178e-29,1.3736209837080589e-28,4.39632744888106,0.002357828235589012,False,False
1595,1595,4.077530334206975e-23,1.559550261846173e-22,4.356636317250842,-0.0004719785597439279,False,False
868,868,3.9895846247353024e-13,1.4197946242463284e-12,4.2169987992577305,0.0040875640997880755,False,False
2823,2823,2.4472457363221576e-11,8.479840449266198e-11,4.094318848233427,0.0028884371206205762,False,False
2716,2716,1.8051238302146145e-09,5.972806608781466e-09,4.042995855766803,0.001011609685667829,False,False
2714,2714,4.351893381850031e-17,1.610526129343004e-16,3.9918789633453104,0.003063480770753281,False,False
859,859,5.48189432289823e-20,2.062137180020526e-19,3.9794360311517716,0.005011312384639596,False,False
2781,2781,4.57315334049727e-15,1.65727950117166e-14,3.889010905814136,0.000838846309674862,False,False
1537,1537,2.4044967950977108e-15,8.745767754718143e-15,3.855628159623832,-0.0006563004291815109,False,False
163,163,1.0897234428779596e-35,4.5553509555799776e-35,3.8374385704146046,-0.0009167975490401844,False,False
2266,2266,7.719052051953744e-11,2.6424621095961607e-10,3.6997604893916884,-0.008816492671367061,False,False
1256,1256,8.429020029703013e-22,3.195061487631998e-21,3.5915935012770692,0.0018589528008302095,False,False
1601,1601,4.5865905927695956e-10,1.548691795146776e-09,3.3887745377998604,-0.0006173829811203027,False,False
1602,1602,6.151355993590104e-13,2.1760696768743063e-12,3.3258442444255416,0.003499833650409798,False,False
1169,1169,1.7623893290415784e-09,5.837914652450229e-09,3.311841655147955,0.003627856917001149,False,False
1265,1265,2.337921406478731e-10,7.957512310124854e-10,3.286543813038808,-0.001071697767100096,False,False
481,481,6.440155206507941e-10,2.167163339332831e-09,3.264796233144434,0.0032954693738016494,False,False
2883,2883,1.2289524040884734e-12,4.331984246240605e-12,3.2392932649426873,0.007560219349722468,False,False
129,129,4.454557608020313e-14,1.6064552831839963e-13,3.2319567945920613,0.006905580149037707,False,False
1600,1600,3.3978800968630983e-13,1.2106732445965996e-12,3.2203672755819834,0.001692858853320811,False,False
1939,1939,2.307279313218219e-24,8.858997414788711e-24,3.032416524326323,-0.002434983742623957,False,False
2370,2370,3.6122766108236925e-19,1.3468890679553666e-18,2.9439595864160046,-0.0017273108785498615,False,False
35,35,8.748994836575789e-10,2.9341261779612364e-09,2.907112281466961,0.003444156996509542,False,False
33,33,6.943786748796052e-10,2.333993099708571e-09,2.8768984192450695,0.0023123290376538,False,False
25,25,4.99802958364503e-15,1.8090429029583477e-14,2.770125395862682,0.009390028857348423,False,False
2347,2347,2.306977067997142e-09,7.616360331274213e-09,2.7558129029176377,0.00850225835365984,False,False
226,226,7.296454457877562e-08,2.3186163630600216e-07,2.722873202846559,-0.0012931128540106303,False,False
1850,1850,9.550948300721313e-10,3.1994598822280874e-09,2.712789989685268,-0.00048169096300854173,False,False
1149,1149,1.4411919742439443e-13,5.153563589826538e-13,2.712274129067619,0.005812292765051016,False,False
1599,1599,1.5553559505206004e-09,5.163642573987855e-09,2.669972653496101,-0.004158878296365105,False,False
185,185,3.1311975889468256e-10,1.063317442104597e-09,2.6460761465163043,-0.00044497955373069744,False,False
34,34,1.9810783731569358e-08,6.412039925332372e-08,2.638493653136149,-0.0005480014756337635,False,False
2828,2828,1.3467322148273086e-07,4.2432072331289297e-07,2.6100511079200723,-0.0016939300928230823,False,False
1189,1189,1.4701499290714756e-22,5.594108960877103e-22,2.609250580073559,0.0016276290334944345,False,False
51,51,1.6467658212339056e-08,5.353341683923584e-08,2.5601362163534116,-0.00101825881215388,False,False
1765,1765,1.5476937433672288e-40,6.866300493742803e-40,2.4206790856555127,-0.00047195837374996,False,False
65,65,2.9562472241716325e-06,8.747898067139986e-06,2.3928950316050637,0.0037777361548242522,False,False
2769,2769,8.855797575049351e-14,3.185940266999573e-13,2.3733830232913715,0.004921882860950814,False,False
591,591,1.492128519173845e-07,4.6715584861898434e-07,2.3678628536548207,0.003079650008650574,False,False
196,196,4.850351878362414e-08,1.5512763335107375e-07,2.3655084560076416,0.003296375323431934,False,False
2197,2197,2.2259569595335923e-13,7.950228948129605e-13,2.346408083628842,-0.0030411845165660904,False,False
2331,2331,1.0252473263765727e-19,3.8420884655122067e-19,2.331359102525574,-0.001413671007074463,False,False
1336,1336,7.035459975708286e-20,2.639854008584348e-19,2.279502884232119,-0.004570865052421892,False,False
2125,2125,2.926404893648215e-15,1.0618055897735822e-14,2.273794523083717,-0.00017132430918450356,False,False
168,168,1.0676420912461595e-11,3.710493825314522e-11,2.270823293367893,-0.003511738925689435,False,False
914,914,2.715735955495082e-07,8.404905438904486e-07,2.2685328741065938,-0.0021568236059281375,False,False
2822,2822,2.6660007083967126e-05,7.443734809521582e-05,2.2341670596323917,-0.003949246757881891,False,False
1813,1813,3.757371527361457e-10,1.2745004220810062e-09,2.2215705444123555,-0.003192791472551096,False,False
1253,1253,6.023166251492132e-30,2.4027899777457862e-29,2.1633013449959373,-0.0015552840375670594,False,False
739,739,4.5319887662908595e-05,0.00012477683356541068,2.1206873853453914,0.00038349164002240196,False,False
2585,2585,1.3281240137428225e-06,4.001900581511367e-06,2.1164385704151027,-0.0015123563816248952,False,False
2170,2170,1.1299190716999892e-07,3.5676593668144337e-07,2.115557475414733,-4.2187872703602046e-05,False,False
1441,1441,3.648290708347512e-12,1.279920428176763e-11,2.1066097652773297,-0.004682637606280852,False,False
1111,1111,3.029159092539199e-07,9.36515019443369e-07,2.106523237513825,0.0001422380222623307,False,False
2852,2852,1.1421445847757584e-08,3.725148491884012e-08,2.094867418687984,-0.008700449296407321,False,False
415,415,4.637922474232874e-16,1.7036329088518773e-15,2.0690194393486068,-0.00015315565792150404,False,False
1761,1761,2.5988133619745905e-36,1.0971946028933975e-35,2.0357314804557958,-0.0031534279114136523,False,False
1264,1264,3.7787389956572e-23,1.447135140530396e-22,2.034408391974154,0.0034251235983785815,False,False
2523,2523,4.454204922183664e-11,1.533651996408482e-10,2.014638381714943,0.0015263097473285881,False,False
1341,1341,1.0740620073916112e-13,3.854674773806895e-13,2.0138947233581543,0.0001953773040485429,False,False
169,169,1.608641475454818e-09,5.334578658268044e-09,2.0009042526527026,-0.0007538699102757618,False,False
686,686,3.768212356474204e-06,1.1095291938507378e-05,1.9702571390930466,-0.0031360239046918327,False,False
1151,1151,6.785616562037164e-11,2.3256016115619288e-10,1.9644866777638277,-0.001592109050351362,False,False
2954,2954,1.5911337097150342e-12,5.601998636339527e-12,1.9578368113653253,-0.00032274949883273315,False,False
876,876,3.322479210229585e-05,9.181674391025519e-05,1.9567443511986111,0.0014936306502187182,False,False
698,698,9.781436754705e-10,3.2729768081132404e-09,1.941315646678142,0.0007895252675307945,False,False
2399,2399,4.7918355958189185e-05,0.0001316867411888014,1.9385527065951635,0.003600740212795917,False,False
2700,2700,5.836459792747418e-05,0.00015819737593492547,1.9319008749925617,-0.0020073939605447185,False,False
2130,2130,1.0064454736304284e-09,3.3601014237740282e-09,1.9308790333543882,-0.004149202460454775,False,False
1378,1378,9.028950605281736e-11,3.0802213099397927e-10,1.9238591642533978,0.0022710198373618604,False,False
2923,2923,9.859783361356698e-14,3.542837411199356e-13,1.9121090873462094,-0.002481258477953317,False,False
2060,2060,4.954276477953162e-07,1.5190384903476222e-06,1.8879826059718483,0.004472652798232977,False,False
56,56,4.578475135667591e-23,1.7488950067775303e-22,1.879191412475164,-0.002211047775582522,False,False
1344,1344,1.8273218840243556e-08,5.9337979778821525e-08,1.8754524815134788,0.0020936456084736416,False,False
2055,2055,8.140502016727371e-07,2.4628960230017163e-06,1.8730599434384105,-0.00013219505888369077,False,False
2019,2019,1.9211528427185294e-19,7.190392985105416e-19,1.8694804678541956,-0.003588512727903032,False,False
1092,1092,0.00017103299257378792,0.0004524295204625691,1.8484209099290563,0.0016777838880002055,False,False
355,355,6.645489560690695e-08,2.1231230372583406e-07,1.8392491069014343,-0.0018085919459308215,False,False
658,658,6.663345033384427e-08,2.1265385009768797e-07,1.8291860667676436,-0.00024663238491551883,False,False
1645,1645,0.00041909103406878134,0.0010595078271858117,1.8247287392904732,0.002530843734883962,False,False
2294,2294,1.0905007061083727e-05,3.130179976527708e-05,1.821522461397968,-0.0026201656101729346,False,False
1477,1477,2.763729677041406e-05,7.696269795321364e-05,1.81614282929922,-0.0002636479278808083,False,False
1564,1564,9.546829092218428e-17,3.52425233155526e-16,1.8012852124853989,-0.004429252748360412,False,False
1780,1780,4.030408337466482e-10,1.3639968010947e-09,1.7973338262399208,0.0028502557711598655,False,False
2665,2665,1.0810220419039159e-09,3.605026315023396e-09,1.7701775895134797,0.00011675613833854546,False,False
1837,1837,0.0003171579590075376,0.0008185433237690188,1.7428883072172212,-0.003467318098927208,False,False
1796,1796,2.545258050647533e-06,7.561887782103981e-06,1.7371774419073696,-0.002499630664665145,False,False
232,232,2.8915297557959267e-12,1.0156284396689125e-11,1.7344119504684834,0.000631756790254164,False,False
1622,1622,6.690975715038968e-07,2.038892805157665e-06,1.7283360469436213,0.00013254614040326788,False,False
404,404,8.152227969078128e-07,2.463932037904672e-06,1.7235989833446417,-0.0007387490951076161,False,False
904,904,5.298718761002165e-09,1.737745556094412e-08,1.7150914577635676,0.005219016269570113,False,False
2824,2824,4.972587290132906e-05,0.0001361498069844508,1.7019972465856694,-0.0017643846776005038,False,False
423,423,1.3743168954880804e-07,4.320945493441338e-07,1.687494008757445,0.0019228118795197664,False,False
1778,1778,6.95978753278891e-06,2.0172509177067855e-05,1.6682185647581396,-0.0037395850553295982,False,False
906,906,4.420079760125635e-06,1.2963237873570043e-05,1.6607445443964617,0.0010731900703119576,False,False
1388,1388,8.420058422091773e-09,2.7492555992044423e-08,1.6526590269553036,0.001890021722128342,False,False
53,53,5.5439383730346004e-05,0.00015095788157033665,1.6518033420556948,0.007964837802390153,False,False
559,559,1.0684954437324704e-05,3.0699849728925195e-05,1.632566925353798,0.0006323882640747425,False,False
2357,2357,8.977316554597202e-08,2.843615318467929e-07,1.6125469859258954,-0.0032703382074658863,False,False
1950,1950,7.168866518482615e-08,2.2807860667440002e-07,1.6054436386043571,0.002023272665855296,False,False
2504,2504,2.422729542363798e-06,7.205071424584922e-06,1.5853233912610616,0.005381576363376371,False,False
400,400,0.0006003903585551517,0.0014974441883963783,1.583950941491273,-0.0027097232851380046,False,False
1729,1729,0.0006149667851763171,0.001531226022150427,1.5782865880831782,-0.0009917133321355079,False,False
286,286,0.00023876665925699872,0.0006238199336925811,1.5627145660865887,-0.0016033772190653388,False,False
1933,1933,4.432621957288612e-06,1.29871885184922e-05,1.5623693569337769,0.0013465435320315089,False,False
2513,2513,1.0446367063072277e-05,3.0043427755037324e-05,1.5591028688221442,0.001964227779771118,False,False
1772,1772,8.80712172421801e-06,2.545232451555896e-05,1.5568377910113051,0.003327008734502539,False,False
2056,2056,6.374476715370733e-07,1.94644515341773e-06,1.552684825421764,-0.0003897694546523608,False,False
2561,2561,6.307615200305628e-05,0.00017034578630124752,1.550292520883684,-0.0014749387333150596,False,False
2668,2668,4.2439916771427925e-06,1.2459117010642739e-05,1.541564865235289,-0.001976757216864274,False,False
1390,1390,5.802035424362958e-07,1.773474885634321e-06,1.5394498132316647,0.002514626980131273,False,False
2042,2042,4.9895059639421064e-06,1.456131140706015e-05,1.5386183485362492,0.001892800021627907,False,False
1041,1041,4.947832098366289e-12,1.7297014921026085e-11,1.5350662401112323,-0.0022956737343793414,False,False
1604,1604,0.0002569194947716205,0.0006683059250501049,1.5295088686454685,-0.0007184088360204528,False,False
1624,1624,4.101521993331482e-27,1.591283304079456e-26,1.5269695464849973,9.529734201442789e-05,False,False
758,758,1.726886443025267e-05,4.8953189712502324e-05,1.523517330168686,0.0006040840296409036,False,False
2043,2043,4.909386097383e-05,0.00013454347125607335,1.5226226416528734,-0.0025600249604439524,False,False
1081,1081,5.57467265030541e-12,1.9442571593544603e-11,1.5129357720522578,0.002457174007047156,False,False
170,170,5.91790047028481e-23,2.2547276759698736e-22,1.485303774215164,-0.004032476204537915,False,False
48,48,1.7585945683076998e-05,4.9804472125355466e-05,1.4831610747827633,0.0035049910125273817,False,False
421,421,1.8776807376085324e-09,6.205964843231765e-09,1.4763507322954261,0.0023402162069184516,False,False
910,910,0.001855443598189446,0.004423258312792189,1.466385074634712,-0.006433146114854165,False,False
2301,2301,3.675206375019147e-09,1.2106562176533662e-08,1.4617483847462458,-0.005292464807227792,False,False
1831,1831,6.897028884603514e-08,2.1987520654675864e-07,1.4572935816267298,0.0014847637094337904,False,False
896,896,2.8372002642815112e-08,9.103578793932459e-08,1.4523927453650924,0.0009836283516783228,False,False
980,980,8.243389447902959e-14,2.969220859390289e-13,1.4370324449285825,-0.006883029611764522,False,False
2134,2134,5.1894764233868515e-06,1.5115177649275934e-05,1.4366997337415728,-0.0023378509672252624,False,False
1638,1638,1.4870639043328564e-07,4.6606184456810113e-07,1.4307936788719076,-0.005231723037157288,False,False
254,254,3.7493321599027306e-06,1.1050663208134363e-05,1.4280013574676795,0.004762680770611953,False,False
1487,1487,2.6577505776757772e-06,7.880323391150556e-06,1.4211545139982766,0.0007054427847800497,False,False
1703,1703,0.003162537032454212,0.007344608695089281,1.413902444469465,-0.009500262678299256,False,False
1126,1126,3.581366277300775e-07,1.1026447210610685e-06,1.4133677547746795,-0.0014113164514412062,False,False
979,979,2.078749111059611e-15,7.570217621625675e-15,1.3980399955047247,-0.0017808768488687008,False,False
1687,1687,5.662672594566138e-05,0.00015376772425134766,1.3887416926872727,-0.0006021297249076984,False,False
1674,1674,9.341351826986107e-07,2.820461060274137e-06,1.3887043149285414,0.0028651138083695387,False,False
1836,1836,0.002404086516717888,0.005653984771488662,1.3839916047615264,-0.0029947666951904853,False,False
548,548,7.66678717443898e-10,2.5740977753093773e-09,1.3809661037074574,0.00198853042218981,False,False
540,540,0.0003282897910666958,0.0008443363083933737,1.3772573980038603,0.00015551279960725325,False,False
2805,2805,0.0011834060008332281,0.002867223682018793,1.3757620938382227,-0.0016158182636039449,False,False
2393,2393,5.153655037348268e-06,1.5025587574508508e-05,1.3645997977037314,-0.0041084256773310495,False,False
1057,1057,0.00093578324306162,0.0022878127392148995,1.362279087998049,-0.003441320560421594,False,False
26,26,1.3948568770443178e-06,4.190217824967141e-06,1.360967172426424,-0.00034014212252436813,False,False
278,278,4.0293817793728664e-06,1.1852532330206807e-05,1.357300667238704,-0.004721237571321788,False,False
747,747,1.5433428278276087e-05,4.391794355697356e-05,1.3397489400157434,0.001082733638347309,False,False
2599,2599,1.292002189831928e-08,4.209289241955172e-08,1.3265113485057605,0.0023785752221595407,False,False
1042,1042,7.755856591222419e-05,0.00020869793619898583,1.322257578367332,-0.0041601470868483665,False,False
1661,1661,1.0215663893524308e-07,3.232419023025602e-07,1.3139084434332446,-0.0055025085585250644,False,False
359,359,7.067408641893984e-07,2.146987599707405e-06,1.3127023669758764,0.0012159535835117685,False,False
