,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
850,850,1.0183527841000337e-84,7.7103853653288265e-84,4.205586540112258,0.007202673775412671,False,False
2866,2866,3.885942252316767e-67,2.523736675027607e-66,3.6801169507903797,0.0042845554907071995,False,False
2927,2927,3.3745695022957345e-43,1.592324687251787e-42,2.991795538262891,-0.0007272010476180625,False,False
908,908,1.387486148705559e-44,6.762001460358126e-44,2.6426834676041797,0.0026477885267045045,False,False
1936,1936,8.359822287394794e-27,2.9893918733720174e-26,2.4827774089254393,0.002108130660669165,False,False
2549,2549,4.962800808605605e-60,2.9637007645757415e-59,2.3875743621846657,0.0094183709615199,False,False
192,192,2.2954606244050165e-51,1.2319940566426925e-50,2.33365537725869,-0.002718727763106183,False,False
1806,1806,1.0463087371201984e-54,5.915132060519522e-54,2.256320016574849,-0.0027820197478913775,False,False
191,191,7.190771015455272e-33,2.845627783182833e-32,2.2454394132427122,1.5086960784990722e-05,False,False
2644,2644,1.0999278578241784e-40,4.968928283138755e-40,2.2381822559497966,-0.0010618711262705346,False,False
767,767,9.080837551915444e-28,3.2988893334253415e-27,2.23376332834407,0.00044988267569742724,False,False
2429,2429,1.326604336460155e-24,4.525703069670966e-24,2.1826488698801714,-0.0001905838881333423,False,False
1079,1079,4.410166073246384e-149,5.522942154175218e-148,2.174049734649802,-0.0018502587926304687,False,False
1894,1894,4.131890061191949e-54,2.3051597183491927e-53,2.152203850715038,-0.00263886486696676,False,False
1823,1823,8.104153058498144e-42,3.7407661395991433e-41,2.121623053934278,0.0018128941710572263,False,False
2302,2302,4.514832706457372e-105,4.060613173565297e-104,2.05125242091785,7.926653816913917e-05,False,False
1268,1268,1.9506786614142415e-51,1.0507466909396495e-50,2.035066198489487,-0.0037269324068974798,False,False
1320,1320,3.212301975106528e-57,1.8694337768855247e-56,2.0207221897236725,-0.0028588343924988227,False,False
139,139,5.144095393670991e-60,3.0657982185573295e-59,2.0054357590267924,0.0012406900921576314,False,False
1657,1657,5.984091478238667e-45,2.940527070763637e-44,1.9978080758615084,5.6963778576744895e-05,False,False
516,516,1.1100362001753273e-53,6.135172145475552e-53,1.9891152288970213,0.0024906710583196268,False,False
2593,2593,4.598817327978212e-22,1.5132250365232077e-21,1.8544564464049418,0.002189099772145639,False,False
1301,1301,5.338354274591816e-149,6.657241801255676e-148,1.8136892515750234,-0.0016322133482673078,False,False
1398,1398,3.52969535087428e-31,1.355256895393902e-30,1.8003506910073575,-0.0005062874400676119,False,False
668,668,2.017267220750402e-37,8.602369412625278e-37,1.784437130948564,0.003111176344981705,False,False
762,762,4.662728546162805e-44,2.2429462439240203e-43,1.7804937729936776,-0.00660194189541129,False,False
1027,1027,2.846187830190819e-41,1.2976168172052765e-40,1.7790304048642331,0.0032002967019737396,False,False
2860,2860,1.1781417166324193e-40,5.314171147363253e-40,1.7661261461728874,-0.0006541830307892835,False,False
2139,2139,3.1525723514080083e-91,2.5220578811264067e-90,1.7297495636175688,-3.987590383795758e-05,False,False
231,231,1.870527629398177e-54,1.0554612175007203e-53,1.7074428118613845,-0.0022530520985615116,False,False
1550,1550,1.4204893284815492e-36,5.9801593289833167e-36,1.6952582306959478,0.0033891217976025033,False,False
982,982,6.180414005565962e-72,4.256025236315494e-71,1.680401847992008,-0.003093598645899087,False,False
2206,2206,4.872977248340391e-57,2.830331990816885e-56,1.6740996404913815,-0.0030894392489499607,False,False
87,87,2.3269566379457383e-54,1.308031685875559e-53,1.633396992900115,0.002795419975817866,False,False
1532,1532,2.2457022532497086e-27,8.09871723893698e-27,1.6091017642985104,0.0010385706343434102,False,False
1023,1023,1.3573458400785587e-46,6.839732518426421e-46,1.5916313124821788,-0.0021496432106782627,False,False
317,317,4.047406816130089e-72,2.7936519605288612e-71,1.572882844151141,0.00341382708151506,False,False
301,301,2.82474202449166e-32,1.1089727948004294e-31,1.557221058631524,0.0012860994775404037,False,False
321,321,1.7299625294592734e-21,5.629965775696407e-21,1.5538440529820734,-0.0017886172849089048,False,False
2872,2872,1.8933163250585627e-45,9.365604754623024e-45,1.539380153498005,3.3838249032618756e-05,False,False
899,899,2.894475489522239e-24,9.84055355429783e-24,1.5097932122098339,0.0017882749027642482,False,False
1194,1194,1.7530356561421653e-38,7.629046667785845e-38,1.4779241014531472,0.00585563538202501,False,False
772,772,2.822161124256741e-32,1.1089727948004294e-31,1.4473129819812567,0.004969761244029912,False,False
2525,2525,2.1225668668200883e-25,7.350966698625464e-25,1.4243148142857123,-0.0020774215327662524,False,False
1105,1105,1.0415714926676687e-21,3.408361841496848e-21,1.3970798459244758,0.0025728419588304675,False,False
1254,1254,2.09288352109041e-15,5.955588006324388e-15,1.3877940000925848,-0.005083243595362465,False,False
1252,1252,1.5580112441555876e-35,6.494631141367674e-35,1.3466820512592528,0.004934776646943837,False,False
2762,2762,2.898214788457187e-14,7.986909463454904e-14,1.3218000151656752,0.0005981451850933187,False,False
1965,1965,1.7516737980402268e-45,8.679412074429704e-45,1.321477917189284,0.0033798903075811185,False,False
1206,1206,1.8709132184303176e-38,8.130117763252097e-38,1.3164558679248126,-0.004285365208572778,False,False
1845,1845,6.115759188575025e-17,1.8025395503168492e-16,1.3092521072141463,-0.0003087857273803476,False,False
350,350,8.018890374561563e-29,2.9824644901878093e-28,1.3076758801727237,0.00635001752383967,False,False
1355,1355,2.162502060471124e-25,7.480543258133212e-25,1.3059579555503635,0.000542526045742767,False,False
1911,1911,3.319255203344228e-22,1.0958341983899522e-21,1.3014302757902552,-0.0048641588610865705,False,False
614,614,2.1050216530492692e-36,8.82444105402575e-36,1.292541128096796,0.0019413590706155621,False,False
1283,1283,4.1147575852535456e-45,2.0286711815668641e-44,1.292485996908279,6.527785538664246e-05,False,False
53,53,9.988779453768645e-17,2.9295155552159426e-16,1.2681295754015214,0.007964322730806817,False,False
1761,1761,4.3460510867645015e-85,3.3245050581229484e-84,1.2539781825020224,-0.003154705009828236,False,False
419,419,2.4313615551849626e-44,1.1772073565724256e-43,1.233939492262525,-0.0005003157277385893,False,False
1672,1672,6.930735879521993e-33,2.746385058801238e-32,1.224444232024534,-0.0007437863839996131,False,False
69,69,3.271640534753653e-35,1.3542857890026279e-34,1.1998189216894175,-0.004274863326119061,False,False
154,154,2.4088732292846167e-20,7.66295363828161e-20,1.1651364502055794,0.0036109926578484653,False,False
2702,2702,4.4373798252018384e-18,1.3384291993088472e-17,1.1622299326570822,-0.0020401878539079866,False,False
665,665,7.403828376845925e-20,2.327813837126981e-19,1.1552927725993498,0.005896395233707278,False,False
145,145,1.7128726088981757e-14,4.7423562529942024e-14,1.1491175494295178,0.005557546212131705,False,False
182,182,6.210957722960243e-41,2.8186731684626912e-40,1.1369865032386202,0.00021397050188091613,False,False
1603,1603,3.268378455242553e-28,1.1990787707243384e-27,1.1248255938727374,-0.003145956009211026,False,False
299,299,6.32510303931087e-35,2.6001254599272386e-34,1.1206125698085272,0.0012428650622470575,False,False
817,817,5.163441267886368e-39,2.2670256927643105e-38,1.0947831303332742,0.004932321309819134,False,False
1178,1178,5.232655061707977e-18,1.5751034709076343e-17,1.0936122952876461,0.005047360028319904,False,False
926,926,4.370877683581255e-15,1.2343258767715667e-14,1.0894248529709445,-0.0009511837202997794,False,False
431,431,4.649132330358279e-16,1.3383729152767576e-15,1.0861973378662986,0.0023212457647429716,False,False
493,493,1.051610811060038e-27,3.810965674268855e-27,1.0783031957994063,0.0038125485047287386,False,False
1286,1286,8.587441826351198e-17,2.5235175584762727e-16,1.0780894374877574,-0.0037524846426984504,False,False
632,632,2.9278618066543935e-13,7.878416901314813e-13,1.071485331910529,-0.00129007891299587,False,False
676,676,5.889696490781902e-30,2.223997351735456e-29,1.0438053100700646,-5.2806525115049394e-05,False,False
1156,1156,6.877643980539016e-14,1.8779068384765226e-13,1.0362294004007626,-0.0051006491888653145,False,False
1080,1080,2.851709155702454e-35,1.1837584299475362e-34,1.0359369640571874,0.0016062523943121618,False,False
904,904,6.310693183492435e-24,2.138143535228944e-23,1.026908766375084,0.005221726752506109,False,False
1686,1686,2.3984120428882434e-21,7.788278931392019e-21,1.0239660390887007,-0.00016029009115839377,False,False
608,608,5.764708246310299e-11,1.4329693530191765e-10,1.0222566363410521,-0.001185142195886512,False,False
424,424,1.8811172420511873e-19,5.877006288850447e-19,1.0189790447254872,-0.004213300717969199,False,False
2254,2254,6.406838721860922e-19,1.9746103142765544e-18,1.018757952294309,0.007455966945726981,False,False
983,983,1.2081814324801006e-31,4.687428093595998e-31,1.0138508324516984,-0.004485839928890052,False,False
625,625,7.791132830375924e-23,2.609941562139474e-22,1.0133699736625366,0.00830982860984882,False,False
2041,2041,8.386613639476359e-27,2.995363331163157e-26,0.9870427626511084,-0.0025886273118356073,False,False
373,373,2.206894212390248e-19,6.880317250393127e-19,0.9670568455567513,-0.004213348854100699,False,False
2551,2551,2.7895962641803235e-19,8.66058756494477e-19,0.9665193352793109,-0.0017632587057929798,False,False
2374,2374,2.9554371711393723e-16,8.549451777720913e-16,0.9563635622345364,-0.0019071417641499996,False,False
2186,2186,8.997946845430723e-10,2.1624215576711243e-09,0.9488655969836657,-0.007335674971115525,False,False
1414,1414,1.1738125947682983e-18,3.591624516775577e-18,0.9456852279668021,0.0017579167799261271,False,False
2847,2847,2.1324900078364756e-18,6.47160566795364e-18,0.9426993659536066,-0.0008734560155362527,False,False
3,3,1.986125028712017e-11,5.0254212150189816e-11,0.9348095409199738,-0.003035170303130776,False,False
2792,2792,2.0912122751180465e-33,8.353590891723231e-33,0.9185016609203422,0.0005529864797693736,False,False
924,924,2.698175206351202e-16,7.820492199658562e-16,0.918222300968594,0.005602473477010802,False,False
1208,1208,8.757789794963123e-14,2.3890735396553816e-13,0.9061815325691582,0.005685708866096822,False,False
1367,1367,6.296231719181677e-20,1.9858890268364735e-19,0.9020514867749532,-0.0020921844345956116,False,False
644,644,3.2674251901635963e-12,8.469622676336727e-12,0.8927097828591222,-0.003600771649539149,False,False
78,78,6.872381632593333e-11,1.704029129952967e-10,0.8853900339584008,0.0026768305444235026,False,False
1722,1722,2.8783525671689956e-21,9.326365086634912e-21,0.8837897777159778,-0.0015797482701393108,False,False
219,219,9.082461543157224e-14,2.4708291347470796e-13,0.8822392976866422,-0.0028800698534706785,False,False
1651,1651,1.2028564855512618e-19,3.773866859530809e-19,0.8765598259286453,-0.0001407147260983968,False,False
1802,1802,1.378470918314023e-16,4.03083909906997e-16,0.8498190026881571,0.0013459784503569508,False,False
218,218,2.764280512049968e-16,8.004277619282249e-16,0.845642740587376,0.001376499356404019,False,False
927,927,4.578762000633927e-16,1.3193947201826695e-15,0.8388452479091321,-0.0001917139845046198,False,False
1183,1183,5.889740252939225e-16,1.6905946876908725e-15,0.832244184275041,-0.004308877138749572,False,False
2628,2628,2.2865667281466257e-09,5.403288255684065e-09,0.8255568485000965,-0.006506631884807681,False,False
1392,1392,2.9332888629865634e-08,6.691776591348287e-08,0.8146219792671544,-0.003930439806750088,False,False
93,93,4.952618506754149e-09,1.1556109849093013e-08,0.8079796196426394,-0.004156904715170277,False,False
2653,2653,5.521325206627986e-20,1.7451856457158533e-19,0.8070217306937192,0.0019446158997589447,False,False
2330,2330,2.404954136211238e-14,6.639910582581353e-14,0.8065870210304104,-0.0062237826716137114,False,False
1918,1918,4.120391467064742e-08,9.314030368810475e-08,0.8041325424127181,-0.005223653218769407,False,False
2888,2888,6.808327831583277e-10,1.6401880685177893e-09,0.8013959692519482,-0.0010492985912958271,False,False
1191,1191,2.439995160096266e-11,6.140812265749553e-11,0.7979145721488456,0.003164971294810793,False,False
1095,1095,1.179565041960392e-11,3.0154599866825524e-11,0.7889635543685459,0.0019565124565007978,False,False
2736,2736,3.2905378276769993e-13,8.830304043892708e-13,0.7847771963487133,0.0006702867913890914,False,False
2654,2654,1.0547930727868194e-11,2.7011439517094737e-11,0.7810869592346923,0.003444833962124645,False,False
2910,2910,1.3020435595800992e-11,3.3257016220600125e-11,0.7609050873920867,0.004909292894179851,False,False
2424,2424,1.4726536413359462e-11,3.755013752134956e-11,0.7298718862173885,-0.0012417070256085351,False,False
