,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2751,2751,2.2208802733812997e-159,4.882646408441257e-158,5.466508522142867,-0.001963129805377571,False,False
494,494,2.3439176198391167e-50,1.505789501229978e-49,5.11319428651201,0.0003403867212869588,False,False
1647,1647,1.7322264318054003e-91,1.8901647241170692e-90,4.757120702111674,-0.0017850531832330901,False,False
2802,2802,1.872446613820133e-34,9.340204285408663e-34,4.181608493201736,-0.007437733697229332,False,False
1906,1906,5.75402628086631e-182,1.538554054199208e-180,4.142332019804437,0.0010681042574340535,False,False
1907,1907,2.7573329836592115e-169,6.443908894094913e-168,4.114076447273944,0.002669827064054591,False,False
2135,2135,2.3338701011575634e-75,2.1183261346286384e-74,3.3901550183532763,-0.005453512250842955,False,False
2757,2757,1.9970026079305797e-25,8.289655580892252e-25,3.2929212622773796,-0.007554353212047005,False,False
1029,1029,4.863116784750642e-77,4.5105408178562205e-76,3.0626924892483083,0.003997348517410768,False,False
2368,2368,6.367247946100364e-72,5.60771273116495e-71,2.8787589171490913,0.0008200092502048464,False,False
2183,2183,2.6494662845167254e-41,1.489321199326826e-40,2.867159179111287,0.001241369652014615,False,False
367,367,1.5789274979198518e-31,7.403249310941738e-31,2.769593605351997,0.004473412620228576,False,False
2481,2481,4.309860616429165e-36,2.2207754009655837e-35,2.5569662583331905,-0.001743618345558532,False,False
493,493,1.550660092263957e-76,1.4293040850432993e-75,2.5480584639582573,0.0038146933656686977,False,False
837,837,1.2316229701640485e-47,7.615535365514367e-47,2.5065625961036213,-0.0035763396692227584,False,False
2276,2276,1.5330844325995157e-20,5.767040045570802e-20,2.4792782149770085,-0.0003825445636743488,False,False
2889,2889,1.0512022649737461e-47,6.527130381677988e-47,2.476579847493405,-0.004760849649941515,False,False
1393,1393,3.5965647806459495e-36,1.8564529163403788e-35,2.451002169792991,0.0032821991048954235,False,False
500,500,5.118938596435067e-19,1.8596095170403035e-18,2.3462200212719306,-0.009630375053714318,False,False
901,901,7.984185847066303e-46,4.806706611377848e-45,2.315651682484442,0.002553196150000039,False,False
1707,1707,2.8385892274594925e-45,1.695157510482852e-44,2.306579036020585,0.002957273933400466,False,False
2547,2547,7.61085502305077e-35,3.8351473189159057e-34,2.259023747767377,0.00353951919383348,False,False
1475,1475,4.0402880423242797e-35,2.0428577358804875e-34,2.2338919176223366,0.0026578439725872677,False,False
1142,1142,6.0107061247743485e-28,2.6196440203128145e-27,2.2318996168501637,0.002945003262875877,False,False
1569,1569,2.532197685319945e-64,1.9725886430523876e-63,2.2158860273820618,-0.002960886139249193,False,False
2546,2546,3.4576739749678756e-35,1.7512587641134224e-34,2.205601857195888,-0.0020468946221420207,False,False
1797,1797,9.451234750231934e-24,3.795840965993015e-23,2.0775190221528015,0.0056379871413315425,False,False
662,662,3.105973628903157e-29,1.3779566114476187e-28,1.9928564319947342,-0.004350660515416355,False,False
688,688,1.4981244993977211e-21,5.767099240223653e-21,1.9288234375922395,-0.002763003375207771,False,False
1518,1518,2.973936929244611e-31,1.3791632509371883e-30,1.9236148234291726,0.005004090510813982,False,False
430,430,4.442563300177796e-49,2.79947513268104e-48,1.8142788524414581,0.0038881193905317135,False,False
943,943,3.9186582874318e-14,1.228149714582638e-13,1.808326192960638,-0.0035772408146744344,False,False
2299,2299,9.66452172192099e-50,6.168666767884193e-49,1.7542567930831088,-0.003470564881616383,False,False
675,675,9.913711108195568e-41,5.469125384595622e-40,1.7479325489617261,-0.0006060306702486504,False,False
2178,2178,1.8871853255527694e-68,1.5822502955481975e-67,1.724954974845008,0.0018051717872955078,False,False
1559,1559,6.282572355828948e-24,2.5404189035559013e-23,1.7169206440762168,0.005799451395139614,False,False
2415,2415,1.3773693237398473e-38,7.352575814496164e-38,1.7002940546958616,0.0010840344767265846,False,False
166,166,4.8066000793088754e-91,5.225637009299906e-90,1.6878019551145378,-0.005655285541975908,False,False
1367,1367,2.149709969139475e-37,1.1232991528883735e-36,1.6651476291081886,-0.002093252414770024,False,False
2648,2648,1.372933947862054e-27,5.940040754015417e-27,1.6515246629805742,0.0013734206036889619,False,False
38,38,2.937434562813518e-23,1.1749738251254072e-22,1.6411799683374413,-0.0036274577258326845,False,False
1047,1047,6.159707495506052e-16,2.0449677680829932e-15,1.633176774490143,-0.003365057575635485,False,False
2590,2590,9.828861364308308e-21,3.7067421257010237e-20,1.6155422552557317,-0.002408942959876422,False,False
2031,2031,7.384935233464221e-54,4.970178633315603e-53,1.608594064795091,0.0023408184698400832,False,False
2573,2573,6.809433135025264e-51,4.393564683642388e-50,1.598877374206885,0.00010609695431827715,False,False
2175,2175,6.0036068966562424e-27,2.5564856914312377e-26,1.5861330392266249,-0.00047078586378976675,False,False
622,622,4.316508383566341e-20,1.603428896423642e-19,1.5655809633073143,0.0037939966751258415,False,False
60,60,5.281856001017666e-41,2.9467196637256454e-40,1.5510673057489535,-0.001733761432381721,False,False
1497,1497,3.1275668509954106e-70,2.690614032972284e-69,1.5498111411080155,0.006540494664064184,False,False
738,738,4.1092765398492997e-23,1.6370916470164726e-22,1.5416699869433999,0.006405012356495953,False,False
31,31,1.3090399663776876e-35,6.698673483118926e-35,1.5342399575268488,0.0015946936102533057,False,False
1556,1556,1.6760967823450225e-22,6.571539299867934e-22,1.5066219784276829,-0.0036824372134474995,False,False
894,894,4.672728813026881e-22,1.815269517940286e-21,1.5057042991568959,0.001112235303388609,False,False
2629,2629,1.9555268799209626e-12,5.786643848061233e-12,1.4606493040872324,-0.006077390854540838,False,False
