,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
404,404,3.114440921837255e-105,4.108293624894654e-104,5.730825003622587,-0.0007262936721582139,False,False
1600,1600,1.7335017209164122e-148,3.3627667370456937e-147,4.903553959702063,0.001692228072337952,False,False
2738,2738,1.0650137807803959e-285,5.964077172370217e-284,4.889466893016638,0.00040552095750886336,False,False
1602,1602,4.454099319353281e-114,6.417362514485698e-113,4.791029172393376,0.003507609401150344,False,False
686,686,3.961679938428607e-72,3.6403300486861e-71,4.725881241337627,-0.003146928698988756,False,False
194,194,2.769399349867901e-195,7.540896578355898e-194,4.639175784820805,0.0016120515495110788,False,False
969,969,2.7417448246167396e-205,8.389173855115961e-204,4.493587225394585,0.002364194459199165,False,False
1256,1256,5.369616926614538e-148,1.0281950347220612e-146,4.2112651062741095,0.0018590759559120595,False,False
33,33,2.05670418228471e-95,2.403266934260244e-94,4.2071330511044795,0.0023100271523266297,False,False
250,250,5.28236688565235e-46,3.3357584928970584e-45,4.112169482143346,-0.0019940849904550306,False,False
35,35,5.246962912803546e-83,5.561780687571758e-82,4.108092160452353,0.0034498001358637675,False,False
683,683,2.9483136132406975e-103,3.7881362788304724e-102,4.0385434997051215,0.0023908698320681404,False,False
34,34,6.819646461521404e-80,6.81505410700186e-79,4.035062382745634,-0.0005626949928004762,False,False
2781,2781,1.2747488926578722e-80,1.2912814721530937e-79,3.9239031538081712,0.0008500080961600723,False,False
868,868,3.946211332407432e-66,3.355975711915547e-65,3.8931598361095747,0.004084010000297667,False,False
2769,2769,9.017814539401836e-113,1.2806159594710357e-111,3.757660485724174,0.004927715527236132,False,False
684,684,2.7619825830337884e-77,2.6789425838053214e-76,3.7028906730648616,0.0030078609008784563,False,False
859,859,4.1382735370727787e-94,4.779142357210898e-93,3.62926135040109,0.005001856081491382,False,False
967,967,1.0884448074731122e-94,1.2668643876785087e-93,3.448230396681208,0.00047123889855646417,False,False
559,559,4.698239691988797e-65,3.916959383658076e-64,3.4401218661474853,0.0006274620408142952,False,False
2294,2294,2.8892358509324653e-49,1.9141187512427585e-48,3.3531330332793896,-0.002620021561374069,False,False
1265,1265,7.754464683905921e-46,4.865803632522786e-45,3.3278484099852026,-0.0010763264561400206,False,False
1595,1595,2.996479918439072e-91,3.394485648063804e-90,3.219432317765146,-0.0004702921960317574,False,False
2409,2409,6.037074213406701e-65,5.019057777420473e-64,3.1777172754889733,-0.0008036767472521383,False,False
2055,2055,6.163123955394565e-62,4.877907173229618e-61,3.1472000074871045,-0.00014337848035319428,False,False
1537,1537,4.6090930054810536e-58,3.4544919293605474e-57,3.1274745863333826,-0.0006460721992257515,False,False
1601,1601,2.9740641388884854e-48,1.9357505184695228e-47,3.120822912773432,-0.0006159809706633296,False,False
413,413,6.399171691263782e-46,4.032429210121211e-45,3.0466681293666964,0.0007114867247006232,False,False
254,254,5.869085935717549e-56,4.279962421918842e-55,3.03807062797151,0.004773157278612522,False,False
2370,2370,1.552311833259805e-102,1.9605368174957877e-101,2.9817901573282235,-0.0017275584145960317,False,False
1939,1939,8.570285639084286e-160,1.870338807117806e-158,2.9452572747900176,-0.002428785539560139,False,False
2823,2823,4.087670936798158e-41,2.3421249691924585e-40,2.9304891433710307,0.0028992057535547587,False,False
1336,1336,5.280316587421601e-153,1.0589175426667102e-151,2.8228109373400434,-0.004571348368545707,False,False
2513,2513,5.5936885886317305e-50,3.756123921054068e-49,2.817020071881637,0.001970305904138745,False,False
286,286,1.1390746737533366e-36,5.962563724338453e-36,2.8066267813907197,-0.0016154258421198081,False,False
2623,2623,1.3235497367377669e-98,1.5968681376575983e-97,2.7978361837870485,-0.00020644818191218814,False,False
2056,2056,7.686632105514744e-99,9.349968889003181e-98,2.763141690984638,-0.0003975212533491451,False,False
196,196,6.760318656390587e-43,4.061665136066248e-42,2.7293034890519574,0.0033056017163035287,False,False
1149,1149,3.81192829059921e-68,3.3374050638638514e-67,2.7188138533425814,0.0058183948721895196,False,False
1850,1850,5.439415059806702e-47,3.486864772679544e-46,2.6957925378571224,-0.0004758071734527365,False,False
1729,1729,8.190216476940539e-37,4.3024004431078795e-36,2.660859513179652,-0.0009745053843524358,False,False
2152,2152,3.535839119227566e-67,3.041846523439831e-66,2.651651962449566,0.006564547845480367,False,False
2197,2197,2.0835664699737608e-64,1.7130263941501724e-63,2.6010733616173223,-0.0030481780594718844,False,False
355,355,6.49176811036569e-58,4.853291625079438e-57,2.569192886569534,-0.0018156262633061589,False,False
1248,1248,3.2767843334833407e-79,3.2526742146416573e-78,2.562119199831113,0.0017091868082030927,False,False
541,541,4.161837437572935e-29,1.8602911919753721e-28,2.5582581087023755,-0.0006950022095190689,False,False
129,129,8.141111500669303e-54,5.780578692341265e-53,2.5441443134944994,0.006908377461348184,False,False
685,685,9.000168221554144e-81,9.148116192319418e-80,2.48568220127297,0.002507794066959161,False,False
1189,1189,1.6321776647344034e-110,2.2636931350148177e-109,2.48058517294718,0.0016199152676931242,False,False
758,758,2.6311580025037874e-46,1.6650910344203072e-45,2.475268092819612,0.0005970147765111677,False,False
1081,1081,1.529675424127276e-114,2.2146715408828074e-113,2.4434783090606356,0.002451520229177162,False,False
1169,1169,1.0612369286321136e-30,4.8985244232972214e-30,2.429255612557173,0.00362573089147886,False,False
591,591,1.5542013420141126e-36,8.064457313108192e-36,2.4249582417516304,0.003081773997663746,False,False
220,220,2.2709241262783927e-39,1.2621915368528595e-38,2.415198562218781,-0.0029623717717254423,False,False
2411,2411,1.705917337838167e-32,8.20609831232363e-32,2.3539048617963374,-0.0014410377207212423,False,False
279,279,6.26721141378585e-26,2.642199357402898e-25,2.3484141893677832,-0.0015982851953851504,False,False
2714,2714,9.611911856719928e-49,6.353709218428674e-48,2.2840071541974933,0.0030583962643733996,False,False
2954,2954,2.432279709066042e-82,2.550885574737814e-81,2.275036278467284,-0.0003237656404480316,False,False
911,911,7.441479321994681e-42,4.356274285538504e-41,2.257199861006061,-0.0034339362160496316,False,False
1761,1761,9.922181289232364e-232,3.8245498787586566e-230,2.252389788420465,-0.0031536191942020987,False,False
846,846,4.1413321862237915e-52,2.8785653228834227e-51,2.2444297487823883,9.757366736267564e-05,False,False
1645,1645,2.7575088425359043e-27,1.1947863130870895e-26,2.240884173262803,0.002528938963079437,False,False
2822,2822,1.4345299443287939e-24,5.8970704636673966e-24,2.238894874125333,-0.003949976854046772,False,False
163,163,1.375575363109343e-95,1.613718449687166e-94,2.2124287031474297,-0.0009097912343005131,False,False
1599,1599,8.510290857579095e-38,4.534747444397622e-37,2.2099899112285564,-0.004158896238312695,False,False
1068,1068,4.5130223596403037e-41,2.5808574881334144e-40,2.2083698601861035,0.004074292978069863,False,False
170,170,1.1116057311975337e-214,3.665828677993644e-213,2.186646190078995,-0.004033798751218804,False,False
913,913,2.1467150919338786e-94,2.4888478097108404e-93,2.1663325345147437,-0.003134453320005899,False,False
1765,1765,3.896273838211494e-216,1.3292115806680131e-214,2.1576522100370226,-0.00046568349164666234,False,False
1976,1976,5.6088029806688124e-36,2.870159870107765e-35,2.107989959640865,-0.003090471520755613,False,False
2170,2170,4.060151908410331e-36,2.0921060528058788e-35,2.106242949124485,-3.622300732495504e-05,False,False
2923,2923,2.1943470013206744e-70,1.9735823939150793e-69,2.0837088846739804,-0.002487998940746805,False,False
2043,2043,7.239871609346117e-31,3.352252564202695e-30,2.026480752003235,-0.002555144992342828,False,False
1813,1813,2.1176413093110897e-49,1.4060759297618152e-48,2.020726994488981,-0.003192040868864217,False,False
2595,2595,6.871213590911344e-66,5.810188586274892e-65,1.9997455867232372,0.001832742585322981,False,False
415,415,5.6382701814780935e-80,5.653508749536142e-79,1.9934107911975012,-0.00014980670083174566,False,False
2134,2134,9.060867199115978e-43,5.421906017535529e-42,1.9931336895257563,-0.0023367143193915307,False,False
25,25,1.6538439221383608e-53,1.1687163716444417e-52,1.9597253071715581,0.009390902163374513,False,False
2139,2139,1.9989024461410365e-96,2.3636424144010344e-95,1.9274369806417067,-3.9513385124527456e-05,False,False
185,185,1.5960988318964356e-37,8.489643966072797e-37,1.8964848115114685,-0.0004454416496927592,False,False
65,65,1.5776998451479734e-21,5.890079421885767e-21,1.8955293430839977,0.0037847609863844757,False,False
56,56,1.196181825516016e-114,1.7403272833978114e-113,1.8819387123819742,-0.002214185152391253,False,False
640,640,5.4869828607701225e-39,3.010233850418803e-38,1.8673989174915258,-0.0014342571402318864,False,False
316,316,6.274217925092906e-39,3.435770996619141e-38,1.8613340191768009,-0.004916283715602467,False,False
1264,1264,2.3376760017794518e-125,3.812210095209568e-124,1.8416040068924697,0.003429255607927232,False,False
2599,2599,7.752715323283703e-75,7.281664265666465e-74,1.8384151771353523,0.0023750438046730247,False,False
739,739,7.14589320047727e-19,2.533932021387878e-18,1.8206478281754388,0.00038609210480047666,False,False
713,713,3.808124115622493e-41,2.186172606415389e-40,1.8086334238430308,0.00016469668723637435,False,False
2399,2399,7.073865264394323e-23,2.744474784931026e-22,1.7998231530364384,0.0036049943597065513,False,False
1255,1255,4.7224159409164734e-36,2.4207479296442303e-35,1.7893453868172005,-0.0025325326355990947,False,False
1604,1604,7.548417038935419e-20,2.732158752629308e-19,1.7829890262793835,-0.0007223419923968206,False,False
53,53,1.3943021737423559e-24,5.739651666667562e-24,1.7829282949057974,0.007965353207817874,False,False
2824,2824,7.38942943851283e-26,3.106491016077348e-25,1.7666656906826201,-0.0017627851627299018,False,False
2042,2042,7.571820605196984e-31,3.500492765767079e-30,1.7552289344224121,0.001889003289155658,False,False
979,979,3.085430862074261e-140,5.6879247196499416e-139,1.7499459458245337,-0.001780072282089179,False,False
1837,1837,1.6688730323222181e-19,5.982143912961768e-19,1.740652081301546,-0.0034623889612643045,False,False
2357,2357,1.5032729646985547e-42,8.959265379970502e-42,1.7319047185239644,-0.0032783128237980127,False,False
548,548,3.1280603138616007e-65,2.6226223196444155e-64,1.7220411802805962,0.0019897008326528846,False,False
2331,2331,6.234759749307336e-92,7.089949017603132e-91,1.720969395149335,-0.0014129726199676867,False,False
1624,1624,4.048935009595435e-153,8.174992590802211e-152,1.690191486096469,9.399602984593372e-05,False,False
1447,1447,1.4008308704829433e-28,6.196223582106371e-28,1.684869735565038,0.0015137908710716515,False,False
980,980,4.283063220567181e-85,4.639464101694669e-84,1.6695683383466893,-0.0068865298034813845,False,False
2651,2651,4.408038557126191e-19,1.574375263243145e-18,1.668278561174616,0.002193741531205405,False,False
1388,1388,4.3573821056434055e-43,2.6232677666429265e-42,1.6591317458489596,0.0018864759677579956,False,False
1145,1145,1.250300950254815e-38,6.784082669755559e-38,1.6543771027342906,-0.0018877808211906055,False,False
166,166,7.310679807531523e-108,9.907807154681991e-107,1.649433499056444,-0.00565585592827913,False,False
2266,2266,4.652293523984308e-24,1.8760879319545414e-23,1.6439156157478485,-0.008821561727537112,False,False
1042,1042,8.074037293305103e-29,3.576678012914858e-28,1.6386435144579383,-0.004167624224728994,False,False
481,481,3.8085002693060796e-22,1.44363075342279e-21,1.634668183853365,0.0032904748570340373,False,False
2716,2716,1.688442772060042e-18,5.951660507689079e-18,1.6343017922826897,0.0010116126444066845,False,False
2585,2585,3.0028651934396924e-24,1.2208909444012337e-23,1.6267788183358776,-0.001514824194118353,False,False
1111,1111,2.1351299247166376e-29,9.587088678606627e-29,1.6244088759091566,0.00014221530172451972,False,False
896,896,3.378057646330732e-44,2.0629784144669986e-43,1.6133269695714136,0.000990170794987066,False,False
1259,1259,2.332006682421782e-17,8.029461523698201e-17,1.6103740328305571,0.0034211256435405894,False,False
1942,1942,1.1522555330798958e-23,4.572051366552314e-23,1.6102337661990194,0.003166410595636054,False,False
48,48,6.204402906928488e-26,2.6194406582878735e-25,1.6028706810293167,0.0035045790065560984,False,False
226,226,9.506658462372095e-22,3.5761422454144965e-21,1.6028035862976489,-0.0012933323260606363,False,False
914,914,8.579799683314681e-23,3.320058078237024e-22,1.6014852600055323,-0.0021567959351210045,False,False
2347,2347,4.8430537559635165e-24,1.9503641177340185e-23,1.6008418117741967,0.008502678086244851,False,False
2412,2412,2.023506315670072e-32,9.686720556304473e-32,1.5982804089895957,-0.0013193970141186402,False,False
198,198,9.415158804147077e-24,3.755939694987705e-23,1.5949819443233966,0.0007037114275385541,False,False
1778,1778,3.959147947960218e-27,1.7104441207490435e-26,1.5868130089144015,-0.0037302435653543964,False,False
1772,1772,6.743549694051622e-28,2.939038985601353e-27,1.5853243553044367,0.0033253515036462972,False,False
989,989,1.9640721952505566e-54,1.408059486836631e-53,1.5750693348339697,-0.003196008229674816,False,False
884,884,8.694509909975803e-42,5.069804599765851e-41,1.5669151254394549,-0.001585044283651917,False,False
1933,1933,2.7956601406291152e-24,1.1382056649365177e-23,1.5550866894408224,0.0013423930023075195,False,False
2041,2041,1.7052899938290592e-44,1.0435671549865252e-43,1.538553723116031,-0.0025920312976158415,False,False
2852,2852,9.82343046147804e-30,4.437738448959943e-29,1.5347436275305029,-0.008691919810394213,False,False
232,232,6.689725354025877e-46,4.206590010751865e-45,1.5342937800348821,0.0006249600940971718,False,False
2007,2007,2.6171612782069e-47,1.6813278514541296e-46,1.5332699686579103,0.002931526394948567,False,False
540,540,1.2033390932227748e-17,4.1772051797487667e-17,1.5252137329425797,0.00015922626894446928,False,False
2737,2737,2.2977391044385395e-61,1.8041507042258161e-60,1.5251054752383195,-0.001891826009239185,False,False
2060,2060,8.977343570977855e-23,3.4693692342008167e-22,1.521224595355817,0.004473569951031096,False,False
2523,2523,4.598917601551305e-38,2.463824447906908e-37,1.5184112480648102,0.0015267067524555242,False,False
1734,1734,7.534345821628875e-24,3.009682153242867e-23,1.517059635068065,-0.0015343676158268826,False,False
197,197,2.2596479713127475e-20,8.269587150254297e-20,1.515703809839988,-0.005231759337571277,False,False
695,695,1.774437749671607e-31,8.319954567180614e-31,1.5131659680067477,0.000141622597309779,False,False
1253,1253,7.72372778328183e-109,1.0564066387456439e-107,1.5052817821230031,-0.001555382108103227,False,False
1836,1836,1.3414874265477766e-14,4.327755089123696e-14,1.5035112126706838,-0.0029876639010592565,False,False
876,876,5.749128083285318e-17,1.9568133200906907e-16,1.4975619659705917,0.0014944465787360105,False,False
182,182,1.4035626704156538e-62,1.125884866430719e-61,1.4959663042178142,0.0002146125157008634,False,False
2035,2035,3.258917664278236e-39,1.8012043999213787e-38,1.491396250888485,0.0020203324875665233,False,False
168,168,5.685312727190026e-42,3.341387757287128e-41,1.4910992140089991,-0.003517375225477567,False,False
2672,2672,6.866265286931608e-42,4.027485251306919e-41,1.486368601438945,0.007541345808872933,False,False
2925,2925,9.348798001591261e-41,5.315561775617406e-40,1.4820705117996662,-0.0029611015817630933,False,False
1780,1780,1.1705933267453188e-40,6.617754273866869e-40,1.4797577683841163,0.0028466397293915816,False,False
1826,1826,2.4578831753303153e-22,9.352560595359457e-22,1.476034777980407,-0.0028437751392241806,False,False
1041,1041,1.2197063043996181e-49,8.153352052833483e-49,1.473522037552506,-0.002301601381757473,False,False
1003,1003,2.8607459800419668e-30,1.306260625963778e-29,1.472720074389846,0.0020151113612488225,False,False
51,51,3.0558703567479312e-21,1.1337279023534825e-20,1.4682644916380396,-0.001017777843155196,False,False
