,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2471,2471,3.0408523316068656e-249,4.75013143168904e-248,3.6906187274000155,-0.00013083137399529793,False,False
1159,1159,7.776598167726755e-290,1.5085583896609808e-288,3.2280304775314175,0.0041829212522974946,False,False
2124,2124,0.0,0.0,3.203030369973565,-0.00036451035486885497,False,False
2138,2138,1.9530401757462388e-261,3.293535932735703e-260,3.195260473279391,-0.0017102125195487192,False,False
820,820,3.3901071119882398e-105,2.6975436751691943e-104,3.172048329606655,-0.0024926941965741703,False,False
1544,1544,5.189635515684368e-185,6.016733675996564e-184,3.0613398403248144,0.0013209193671168754,False,False
509,509,3.4968357043303416e-106,2.7974685634642733e-105,3.00511376725655,0.003373439464155241,False,False
1540,1540,1.5108283161163425e-172,1.6485803096445972e-171,2.9747659182891546,0.001126489761625618,False,False
1241,1241,3.4127632328259965e-71,2.1829916541007666e-70,2.569608952910405,-0.0009481991473957105,False,False
2230,2230,1.3742544727622766e-113,1.132996465321788e-112,2.5477611959770843,0.0020152334835395677,False,False
446,446,4.2572277587468595e-123,3.6624498515828056e-122,2.5352390263041484,0.0004142286998771727,False,False
552,552,9.9350321211276e-79,6.716896431778295e-78,2.3195537726648086,-0.0013038834836009497,False,False
1197,1197,2.833760123017461e-168,3.0145519874967112e-167,2.307429949745247,0.0031231143380555694,False,False
525,525,2.894585845395825e-159,2.9522786216958104e-158,2.2966957009617652,0.0027990716287974206,False,False
1678,1678,3.523166708796181e-89,2.550428973587089e-88,2.2732710028559366,0.0037088881131399666,False,False
980,980,7.322372268327828e-230,1.0705813247486205e-228,2.200566936104891,-0.00688745307514552,False,False
1656,1656,1.869094856897548e-100,1.4371693096559387e-99,2.194276238005728,0.005973174063548432,False,False
1842,1842,4.7081900748867735e-214,6.238351849224976e-213,2.1713619763459735,0.004494679410283156,False,False
981,981,9.3e-322,1.9145e-320,2.1145407089442774,-0.006522202287854592,False,False
178,178,1.1830331132128468e-82,8.22304983610241e-82,2.08807200928396,0.004267021735181981,False,False
1960,1960,1.3412054196455114e-76,8.945388057321075e-76,2.0815237537289852,-0.0024211676033154134,False,False
2423,2423,3.020528700843929e-250,4.768579353247224e-249,2.070794384953222,-0.0007347249894116455,False,False
443,443,3.4472187007923574e-74,2.2685909321400702e-73,2.054853823618243,0.0056713580386639414,False,False
2577,2577,1.0261515848758251e-79,7.017552773989513e-79,2.0313047336857197,-0.001133775811124383,False,False
430,430,5.210153274030257e-100,3.995797136258863e-99,1.9708628337734817,0.0038902084775313886,False,False
2495,2495,8.411146234084645e-127,7.320903818992148e-126,1.9593215080307058,-0.0013072164820688292,False,False
2563,2563,1.0225718508181274e-170,1.1076617712511687e-169,1.925663439114202,0.0005993841001796403,False,False
109,109,2.759185283228968e-115,2.287503329783122e-114,1.913301605641991,0.0035211478640544587,False,False
1555,1555,0.0,0.0,1.9128138144740234,0.0043783196645482345,False,False
2056,2056,1.8810177796159434e-132,1.6765347657357717e-131,1.910730830474725,-0.0003974939359303008,False,False
726,726,3.8066770025479037e-94,2.838748076271904e-93,1.890492804281191,0.0012560680315092006,False,False
596,596,5.42020579727144e-56,3.117668760911169e-55,1.8761268086083551,0.004058278575515991,False,False
1352,1352,4.692080921910949e-63,2.8076806806918744e-62,1.840917152524201,-0.0009947444418770303,False,False
224,224,9.598612205849689e-70,6.035737505712262e-69,1.7863268494439553,0.002127384309682581,False,False
2035,2035,9.237607942902779e-68,5.7478449422506174e-67,1.7713450188323556,0.0020203646467122464,False,False
187,187,1.3031748100356037e-70,8.282275880483237e-70,1.7462200249976874,-0.000760370345669982,False,False
718,718,2.290232810082299e-58,1.3433618538190243e-57,1.7395176138685031,-0.0003322390181602179,False,False
1995,1995,4.3880784835777284e-41,2.14914470944863e-40,1.7287030626232132,0.0027242433781256813,False,False
2583,2583,6.833534800629222e-140,6.357972190679477e-139,1.7148784898331246,0.00282692421660757,False,False
979,979,4.061345769416434e-242,6.181576535193834e-241,1.694990064060361,-0.0017821128360070403,False,False
1225,1225,2.11863335476964e-48,1.1391492385790382e-47,1.687215147622565,-0.0016551483157015608,False,False
992,992,6.878451589683177e-149,6.606875183876916e-148,1.6736230255084912,-0.0027646445231155233,False,False
1517,1517,1.1379378334935253e-77,7.623926613563844e-77,1.6662540230607072,0.002776257691407529,False,False
1227,1227,6.935853707019557e-58,4.060278856495867e-57,1.6491496121316769,0.0013864694902479269,False,False
667,667,1.0580925506626944e-67,6.569913578173382e-67,1.646028857944783,-0.0012100119218065065,False,False
626,626,3.43117524309383e-77,2.2936324597978575e-76,1.6335792730121983,0.005743931621398055,False,False
