,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
552,552,2.4350083767028327e-32,1.0550518046794172e-31,4.206131468485132,0.0009097348756163057,False,False
1540,1540,1.5604833010271372e-45,7.876725233756026e-45,4.049564747224459,-0.003906673428055483,False,False
446,446,1.2729377904661245e-36,5.812429787851473e-36,3.334263542906723,0.00030125245741422814,False,False
2047,2047,6.73043371892069e-13,2.339101554772437e-12,3.197374522316809,0.0024035331672817633,False,False
2138,2138,7.01764793128884e-48,3.673435460328973e-47,3.1323347649894164,-0.0023280233124109966,False,False
2471,2471,2.3111573359966788e-35,1.0456577703106926e-34,3.1078829340916707,-0.0007406061764685772,False,False
2577,2577,2.3838827077117226e-21,9.248841668612278e-21,2.935532521171438,-3.4379769006900006e-05,False,False
2124,2124,3.7395910975002185e-52,2.0707288017501208e-51,2.7729045468220703,-0.001384113390553672,False,False
1517,1517,9.34397091686056e-28,3.862521682624254e-27,2.6838718345099166,0.0018128625458166776,False,False
1159,1159,8.689354689472635e-38,4.010887203476638e-37,2.6499543190156705,-0.0006580229635434875,False,False
2576,2576,4.523091352547762e-24,1.797126524010945e-23,2.6130138375949197,-0.0013873303493361156,False,False
1544,1544,1.20876339179128e-26,4.934813957134139e-26,2.6047918549434343,-0.0018917281296064459,False,False
1231,1231,1.1097460186343153e-08,3.3990982283866334e-08,2.506102827358829,-0.0022592711328387124,False,False
509,509,2.7966381258207805e-15,1.0197078571788793e-14,2.4943771765227614,0.0009381022118838322,False,False
596,596,1.4409662899960442e-15,5.319387995905795e-15,2.4814027851874543,-0.0018428859085362998,False,False
1842,1842,8.392916316352385e-47,4.317188150248506e-46,2.4408071860474343,-0.0031366585197286903,False,False
2230,2230,5.200371752156068e-21,2.0123472438590888e-20,2.4151362594880843,-0.00030408099619883087,False,False
2056,2056,1.8993007550049568e-33,8.363686410763668e-33,2.3916823317214884,-0.009391615671615937,False,False
525,525,7.40850662781833e-30,3.1189287477113195e-29,2.368040525673162,-0.0006612697505593628,False,False
1241,1241,4.9445259651894035e-12,1.6791021813137473e-11,2.3604711271595327,-0.0008084989927623354,False,False
2667,2667,5.7572894109918535e-12,1.9484190389764906e-11,2.3575614271132292,0.006436369918370624,False,False
980,980,5.735375735537371e-44,2.837099197179153e-43,2.3339070134055766,0.0016333650404367316,False,False
723,723,2.107992532693321e-24,8.431970130773284e-24,2.2823137444927606,-0.0004554203348203813,False,False
1555,1555,8.410044184468666e-111,7.235075692609566e-110,2.2748043004076557,0.0031124764684073033,False,False
2423,2423,7.338473868295311e-50,3.967320663224132e-49,2.271715746277196,0.0008836575371179139,False,False
58,58,1.0248395683507437e-08,3.1487824418892415e-08,2.2410119415926353,-0.003816588985079864,False,False
2583,2583,3.527049931469862e-36,1.6031063088212174e-35,2.2278786644884128,0.0028109311079906334,False,False
981,981,8.379400905410868e-61,5.044637299646948e-60,2.212207008105166,0.0030154101664154995,False,False
1338,1338,2.134801133904408e-15,7.832002182235208e-15,2.0899614766913994,0.004882846788540646,False,False
116,116,2.7901200928605067e-15,1.018582587405902e-14,2.0133562392961344,0.00010715682042711314,False,False
178,178,1.6215441497673134e-14,5.812491589987182e-14,2.001148726662711,0.007556845554936429,False,False
193,193,2.61806801449564e-11,8.750479579980922e-11,1.9832536570712789,-0.003305433817752978,False,False
1180,1180,1.4191463482295443e-08,4.3333604542646995e-08,1.9831603034104146,0.0025378141538000575,False,False
1960,1960,1.6060730808711613e-15,5.906846225558372e-15,1.9650694833001319,-0.00037835392756905856,False,False
726,726,1.1550823296529703e-18,4.400878503735578e-18,1.9338889023989454,-0.0016244456549641684,False,False
109,109,6.916129288523355e-22,2.697381304643537e-21,1.933252981767621,0.0027467606194337404,False,False
468,468,1.0346785231853965e-12,3.5750009974554795e-12,1.9242121682175468,0.0005486105795023,False,False
2495,2495,3.0400836519115846e-23,1.196680143086682e-22,1.922013566193977,-0.00011960612026369437,False,False
2597,2597,2.4047937751388178e-11,8.046705664726056e-11,1.8966795949638116,0.003720803742340064,False,False
1656,1656,1.174150142436751e-16,4.3724938804921923e-16,1.8915317993413185,0.004091629176529665,False,False
1388,1388,2.766800209121578e-15,1.0113131798858182e-14,1.885986493029549,0.0026355047981568348,False,False
601,601,1.8564711717456593e-10,6.021864959279909e-10,1.883180623960722,-0.0008651996535120141,False,False
1327,1327,7.754610622462709e-09,2.389998372530563e-08,1.8773019642142308,0.004011529634824726,False,False
682,682,3.4144934117317705e-41,1.6451650074707621e-40,1.8709173278139615,0.0021751884491206562,False,False
2563,2563,4.111455307281335e-31,1.753275768967098e-30,1.8663062593096305,-0.0030140020395262824,False,False
37,37,6.438608883264839e-38,2.981246671689554e-37,1.8556371563450427,0.0021554906112333165,False,False
2023,2023,4.692042137963019e-15,1.7045264462024777e-14,1.8200449295566947,0.0027663020946918537,False,False
2943,2943,2.803680753542893e-23,1.1050895719143834e-22,1.7701100035227748,0.003200779216127385,False,False
1174,1174,3.0542153836683103e-07,8.858107311975063e-07,1.7652835054183587,0.0020992510158671083,False,False
979,979,3.382289730568822e-46,1.7307992966083214e-45,1.7305365626940614,0.004712540567480239,False,False
580,580,1.923611187420274e-06,5.370910634302327e-06,1.7195390322372897,-0.0024420263606047222,False,False
1742,1742,5.158753323942872e-13,1.7991985740848935e-12,1.7157893731019738,-0.0004795411891846662,False,False
820,820,2.95487161440209e-10,9.511994524452716e-10,1.7072908606546484,0.0027580045022657165,False,False
1860,1860,3.9453413862224913e-22,1.5427896224385183e-21,1.704956631332319,0.000136254051729341,False,False
187,187,7.383959406397487e-14,2.621482239017672e-13,1.7047757190197559,0.0009335100333118934,False,False
1196,1196,4.1122373626460485e-08,1.2365876891928543e-07,1.682432905995083,0.0006972981635587319,False,False
1584,1584,1.6820373659267547e-19,6.441660518800785e-19,1.681486183825939,-0.0037881254845693836,False,False
1424,1424,6.478982908853061e-10,2.0566439864680093e-09,1.6441165882242974,-0.0019475803076756783,False,False
992,992,1.3057438501084406e-24,5.2370915501646644e-24,1.598371732449011,0.0006454864210985968,False,False
322,322,3.109417792950258e-09,9.724712338752757e-09,1.5875343646147708,-0.005238152478380351,False,False
79,79,2.3529600802697785e-10,7.607391632070483e-10,1.5786708692085794,-0.004846725082759489,False,False
1678,1678,2.1637024286851373e-11,7.248158925888812e-11,1.5454459211312856,3.397365705141726e-05,False,False
2929,2929,5.602804319744679e-24,2.2231448156420063e-23,1.5394193457240886,0.007925952550374551,False,False
132,132,1.5829326975318413e-19,6.0699538065562075e-19,1.5380812641006167,0.0024355713961858455,False,False
1653,1653,1.7208425145304063e-13,6.051493581903134e-13,1.5343723942451215,0.0011994022887676843,False,False
1877,1877,2.1922428612349847e-07,6.416742418289384e-07,1.5173439895706642,0.0017440408255254727,False,False
1553,1553,2.753108011958016e-38,1.2827668099672514e-37,1.5117068999474303,0.004862885382394449,False,False
2730,2730,2.9254522432112157e-07,8.504155002792251e-07,1.511457700613318,0.0007348340196434095,False,False
2651,2651,1.704310492075511e-05,4.54482797886803e-05,1.5107830771674773,-0.0018418142497311383,False,False
508,508,2.3359620931061325e-15,8.548872370331692e-15,1.4817864179582723,-0.0002629511855230353,False,False
869,869,1.8671256992235975e-06,5.21810647391303e-06,1.4781832557947443,-0.0012657410306027086,False,False
2521,2521,5.450056532838897e-08,1.6372234604722518e-07,1.4724442061561753,-0.0011071533105029225,False,False
667,667,2.7543825201070466e-11,9.195733767916439e-11,1.4696548252521928,9.703468016836799e-05,False,False
457,457,6.634002943555665e-09,2.05101257671596e-08,1.463084309511612,0.0038495394130072854,False,False
2618,2618,1.5160245483165432e-11,5.1015429244937647e-11,1.450058499667462,0.003239569745825666,False,False
2468,2468,1.4153850723005253e-10,4.611265526441228e-10,1.4496247059293352,0.0021600807980842645,False,False
2932,2932,1.6055020182803705e-07,4.72731149826998e-07,1.449402470586107,0.0056496009107093745,False,False
1791,1791,1.5605292571963127e-15,5.746465056276248e-15,1.4333476042740876,0.004408143086792018,False,False
2672,2672,5.164023020850155e-11,1.6992040272597848e-10,1.4226591168157354,0.0005498301155737162,False,False
60,60,1.3645315163586244e-12,4.7037509181793225e-12,1.4197192488248986,0.003552128233311597,False,False
2310,2310,3.977361890258762e-09,1.2386999045422881e-08,1.4157785890997756,-0.00043526522428479365,False,False
1288,1288,1.1490330858164015e-15,4.246986548820772e-15,1.4137522821174304,0.0014374097785595326,False,False
1352,1352,8.499851911536097e-09,2.6169668540911967e-08,1.4011107749594947,0.00558443534871739,False,False
2348,2348,7.140553624479145e-05,0.0001817595468049237,1.3887820377345628,-0.002428852756840163,False,False
1509,1509,4.638073333301754e-15,1.6869854967205398e-14,1.3801772466431004,0.004293786037418459,False,False
1286,1286,1.2054150407250535e-06,3.4040645488791235e-06,1.3760722376767645,-0.001307947675704094,False,False
1225,1225,6.363028758612306e-08,1.90569821953192e-07,1.3725452544222676,-0.0028616320504814318,False,False
989,989,4.4890100759207057e-13,1.571153526572247e-12,1.371452261680372,-0.002340775944850887,False,False
420,420,1.7887534184430334e-07,5.246067337884312e-07,1.3625164789764808,0.00482873638862657,False,False
443,443,1.9589696314637707e-09,6.152615731412139e-09,1.354544325478386,-0.003194554074446241,False,False
1573,1573,2.957530049170526e-05,7.795691994616449e-05,1.3500854433133216,0.0029065096375772187,False,False
620,620,2.3560303494731842e-06,6.553606445394949e-06,1.3432419602236827,-0.0018431038854158132,False,False
2626,2626,1.3002501566991608e-06,3.6579549432067384e-06,1.329370579936656,-0.005908217099479991,False,False
817,817,3.542334876307486e-14,1.2651804949314825e-13,1.3243305611723983,-0.0031899530599870224,False,False
1197,1197,1.5853921118056756e-14,5.689774834146608e-14,1.3228811196068302,-0.0014333617213667825,False,False
1407,1407,0.00022239491906990593,0.0005411800708483922,1.322278169594833,0.0013729877659542406,False,False
2130,2130,1.0286945045849548e-08,3.157358107143894e-08,1.3101066298872475,-0.004356907039147967,False,False
2305,2305,7.035685788820012e-07,2.011745223624065e-06,1.3082579084280628,-0.0004584011360450283,False,False
993,993,2.1096773520371855e-18,7.996835735435974e-18,1.3027919706820759,0.0025373795966161937,False,False
1822,1822,5.013514937031772e-12,1.700584266641177e-11,1.302295461051806,-0.0002692423039683846,False,False
610,610,3.195514511535457e-11,1.0620702206312695e-10,1.3015079323392884,0.006087827887711078,False,False
104,104,1.1233129030349073e-10,3.667758741702535e-10,1.2979194864490358,0.0009315195339507179,False,False
1560,1560,2.0901355316688977e-14,7.483139032561265e-14,1.2904817272184972,-0.001954599407094121,False,False
