,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1685,1685,1.6384388888963843e-209,3.0973800141684512e-208,12.084570921445206,-0.001311934107141477,False,False
2896,2896,3.0447777428862185e-201,5.347278308216743e-200,9.548468499238062,0.001953557288255879,False,False
358,358,2.8232518311083056e-184,4.480968681673503e-183,6.28648125117234,0.0005434064761751303,False,False
1029,1029,4.992599708878868e-171,7.37215718206591e-170,5.888558386662375,-0.007818322179742848,False,False
336,336,2.6265314613632864e-69,1.8003569000753427e-68,5.645307726870454,-0.0033408805591077576,False,False
2518,2518,3.136723534438137e-57,1.8845739777757878e-56,5.29772864506804,-0.01007849945227636,False,False
494,494,2.000081689214001e-62,1.2657233376518454e-61,4.92100143839836,-0.0021086881011362635,False,False
1907,1907,9.260401308235982e-268,2.4540063466825355e-266,4.894627834395054,0.003517415949182111,False,False
1393,1393,1.8868280041988893e-123,2.0513207020008438e-122,4.8825174959902125,0.002638696090931574,False,False
1647,1647,2.199976109301759e-110,2.1911171451032285e-109,4.530635201346583,0.00013611771895177122,False,False
2889,2889,1.0691287544542723e-105,9.978535041573209e-105,4.471867582100013,0.001935767706895821,False,False
2751,2751,1.271208670440598e-144,1.6192907012307704e-143,4.439680795202123,-0.0017795259764876448,False,False
2318,2318,1.804007774100634e-102,1.64747540724021e-101,4.434789823589898,0.001403511779642621,False,False
2868,2868,1.0254632911513323e-83,8.051785841632684e-83,4.427147110753266,-0.0010906155431599264,False,False
1906,1906,1.8622206941174933e-235,4.1556924963464066e-234,4.38710682209505,-0.0014814280160145125,False,False
1475,1475,3.0831789746930008e-90,2.548990305540063e-89,4.282941587435165,0.0006819089703818844,False,False
1358,1358,1.3031328647998602e-192,2.1728642374865086e-191,3.9254282905815647,0.0016260785660853448,False,False
1939,1939,2.6212247346164416e-178,3.9896384678674866e-177,3.8389621425489597,-0.0034073472299132497,False,False
210,210,7.883838278960421e-142,9.790473645169259e-141,3.8351612883436865,-0.00011326190203793385,False,False
1711,1711,9.665163311877358e-101,8.799449297439264e-100,3.816289656249571,0.002186526899722499,False,False
52,52,6.963815679284231e-106,6.540697764593544e-105,3.721449530523323,0.0010366321284421866,False,False
1968,1968,3.027755641263995e-97,2.650849186805763e-96,3.558071193181012,0.0013019537664112103,False,False
2236,2236,4.746880210648425e-83,3.6881519542420227e-82,3.5026953915896977,0.003940483196966469,False,False
2757,2757,2.493982163828959e-41,1.2055601078573862e-40,3.3963513087260315,-0.0028312802760703595,False,False
1016,1016,1.7668477996604306e-55,1.038416687008348e-54,3.39587954687857,0.00205452245837226,False,False
463,463,3.285568337525707e-108,3.17640613217469e-107,3.388479923457246,0.00543287614496743,False,False
425,425,6.443567697669241e-43,3.198078415833162e-42,3.377269185990633,-0.005529661832011316,False,False
2067,2067,1.57090480982539e-43,7.862471290997904e-43,3.346666418426225,0.00029118399597643715,False,False
856,856,6.684155046623345e-137,8.164021472583575e-136,3.311028595409374,-0.0008668279111670139,False,False
2368,2368,3.69469355296008e-108,3.560341060125168e-107,3.293670899718515,-0.0016471002347375613,False,False
1787,1787,2.1943782876620737e-65,1.4345627219782015e-64,3.1541670246735567,-0.0017486482292449895,False,False
2125,2125,2.2624977555157424e-76,1.6745868674241205e-75,3.096457082606419,0.00339009831469219,False,False
2034,2034,6.358372863861181e-72,4.482577353904985e-71,3.0920906446431813,0.0015423824687531354,False,False
1477,1477,2.8653558854404367e-50,1.5633044610270618e-49,3.0624928066417407,-0.0019059890993084992,False,False
1707,1707,1.1824731625082108e-72,8.376086745404223e-72,3.031667867051936,0.001702044588599124,False,False
1136,1136,1.584679287952357e-63,1.0158376083461329e-62,2.970953846246756,0.004495921791967259,False,False
1467,1467,2.3690149164450009e-91,1.9750663685417874e-90,2.968572771974235,-0.002195336918635979,False,False
2944,2944,1.7128714171233778e-82,1.3239068661516107e-81,2.9612156739505657,0.0012453724695569227,False,False
2922,2922,2.1570600777951927e-69,1.4819801645592896e-68,2.9295353759594662,0.0005740769908698269,False,False
1015,1015,6.411568379237588e-73,4.585430108331846e-72,2.917090015350743,0.005625964472391495,False,False
837,837,1.5831847175382832e-64,1.0214983134029618e-63,2.89045197727282,-0.006316997512735262,False,False
1564,1564,1.5879718541518228e-136,1.915894497204313e-135,2.8298696562133814,-0.001767348283983429,False,False
