,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2638,2638,3.7181610856765577e-13,1.606332183739159e-12,4.071485816801265,0.00274585775013554,False,False
1683,1683,1.1927716305775733e-18,5.575033385124784e-18,3.8417936010910783,0.00027540012486668413,False,False
1456,1456,7.566686838991876e-08,2.8072408172659865e-07,3.4360452726955297,-0.0053252844322245075,False,False
2152,2152,9.129830390540653e-18,4.220768940673623e-17,3.2411843865074785,-0.0005269849101788909,False,False
1457,1457,1.768683414398218e-20,8.399123798294258e-20,3.2065798728782164,-0.004310101006058507,False,False
1424,1424,4.3951090357648344e-09,1.71190073729003e-08,3.1199360620646193,-0.001947322504144749,False,False
193,193,6.059708200885249e-09,2.347939156687653e-08,3.0845125966114666,-0.0033053904767379773,False,False
2594,2594,3.7825263425775314e-19,1.776350978602866e-18,3.0609051561901803,0.001670348783232222,False,False
2215,2215,2.699254175245953e-07,9.710771384399987e-07,3.0378438245070702,-0.0009069334090789699,False,False
2332,2332,9.014671669132648e-19,4.226784441387946e-18,2.983507507555402,-0.0018469904406933722,False,False
682,682,7.984881023917317e-44,4.74932402384501e-43,2.9388806718606038,0.002176246810360792,False,False
109,109,6.527056174949556e-23,3.1602451431077135e-22,2.5642488534389156,0.0027478222497675474,False,False
1631,1631,2.8888828120824965e-11,1.2025531818037656e-10,2.5410325507755713,-0.002787832486082434,False,False
1779,1779,4.3565612051517337e-11,1.803385447265041e-10,2.528980717207203,0.0021843495827046098,False,False
1161,1161,8.944933936084943e-12,3.7497971641666824e-11,2.515835452248806,0.003588802332455991,False,False
2260,2260,2.0199511576821828e-07,7.320164879121755e-07,2.5088926056367877,0.00044152635026641724,False,False
2236,2236,1.8011292721567603e-08,6.88885525742431e-08,2.4835178162390905,0.003935111568106995,False,False
89,89,4.9905875374100576e-05,0.00015365211422233455,2.346701518277961,-0.0041462159541541446,False,False
2879,2879,2.126651834473422e-09,8.404663974323723e-09,2.3158583498707794,0.0068970936840818415,False,False
2423,2423,5.2922322073927436e-27,2.662261896871468e-26,2.3077445772252414,0.0008837231867060199,False,False
1857,1857,4.645797916014758e-06,1.5426179935090578e-05,2.293469146541458,-0.0022287946250460784,False,False
