,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
791,791,9.319777254767101e-06,1.6063355918785572e-05,3.6673178195175065,0.0029869393789032526,False,False
792,792,2.773005739630817e-08,4.8130298451603885e-08,3.481018359012298,-0.0010445951639019993,False,False
2408,2408,1.6604695438502253e-14,2.888788749207191e-14,3.2117564028715964,-0.002890520921171108,False,False
1630,1630,9.381147930041034e-06,1.615974872684956e-05,2.8985337966192124,0.0014791299909685078,False,False
2410,2410,1.859720364740291e-07,3.222212517541847e-07,2.768138528727742,0.0014440971287384703,False,False
1840,1840,0.0016925913789111475,0.0028222534902293743,2.670550625715289,0.002781432046274829,False,False
2239,2239,2.7741234734378583e-18,4.8290900112396265e-18,2.496102207522,-0.003156787052981869,False,False
2288,2288,3.43216628338019e-08,5.953635025758272e-08,2.1635489993203785,0.0010521082684751505,False,False
371,371,0.00029116724877601075,0.0004938196539241142,1.9918267579240185,0.0002685288663923256,False,False
1935,1935,0.0075592173650282785,0.012443570238160805,1.9901743746470588,-0.0011903845208799584,False,False
2007,2007,0.00010874390755760765,0.00018506417295354328,1.9653175311776458,0.0008630297680716502,False,False
2291,2291,0.008430390252367073,0.01383926895410701,1.9134574864171667,-0.007786386865910476,False,False
2893,2893,4.785691961490277e-05,8.186705326630054e-05,1.8799917283664962,-0.004558536830493809,False,False
555,555,0.03978827876157264,0.06331989885487807,1.8546274669438754,0.0006317770895351987,False,False
2579,2579,0.0008845124269666415,0.0014865418364875377,1.8506456601805874,0.0010520211578066636,False,False
1689,1689,1.2692473954535703e-05,2.1825760542909597e-05,1.770237441155498,-0.0011707255830169165,False,False
2446,2446,0.007361206341844148,0.012124339857155069,1.7575240660755258,0.0046474973919628645,False,False
2804,2804,0.0007698383752368066,0.0012945497437409869,1.7562838689488287,-0.002975478194274025,False,False
1223,1223,0.0009435755872914511,0.0015831160786212704,1.7528339707033642,0.002040937555993784,False,False
137,137,0.0005242884158467945,0.0008841409194507308,1.739144698377818,-0.0003171424241702113,False,False
380,380,1.49291846524904e-05,2.565710483415837e-05,1.7164889968461656,0.001453606568755966,False,False
2637,2637,0.002930307681298108,0.004869626650667852,1.6824528941076435,0.001381605297068226,False,False
1385,1385,0.017316435368240613,0.028115525258718892,1.6360698552222344,0.005719953482999505,False,False
2082,2082,0.028970131829237834,0.046654015881268524,1.5929714268263766,0.006394239245787956,False,False
787,787,0.004357069565577716,0.007212371706990886,1.5749636854212796,0.002983106415875735,False,False
1691,1691,0.0038271650251385284,0.006349371601235971,1.564803812413084,0.00078790616520919,False,False
170,170,5.218050677978937e-11,9.072744236813993e-11,1.5614321787940446,-0.005250996971297775,False,False
237,237,0.07042162354320627,0.10971725914763056,1.5439985593759316,0.0007089377286777186,False,False
190,190,0.004800924922993971,0.00793824243534602,1.5166829850009886,0.003819121236459291,False,False
2737,2737,0.001107249238740676,0.0018514454876520149,1.5092746747762777,0.001542471603924754,False,False
1053,1053,0.07323541707483233,0.11392175989418361,1.5091989375805004,-0.0013277243247361687,False,False
372,372,0.008371953272548785,0.013750944832830543,1.5024389038656867,-0.0012132315541956923,False,False
2662,2662,0.07656586425594754,0.11885328719228676,1.5003102971014999,-0.0014476302270526277,False,False
412,412,1.5225910802806188e-05,2.615191161037544e-05,1.4858052447219474,-0.004948941609393379,False,False
1846,1846,5.162367698484367e-05,8.8209023195749e-05,1.4745375267074774,0.00028710872439443187,False,False
370,370,0.03582248601868381,0.05725424798247364,1.4307025146308057,-0.010201932040524324,False,False
382,382,0.10609517215331338,0.16189741437071162,1.424201872741445,-0.0055411700200611634,False,False
2139,2139,7.377837595963006e-05,0.0001258472527863115,1.387724179838985,-0.003848846285918511,False,False
2080,2080,0.003945918996759831,0.006539077377098368,1.364223369333041,-0.001307434502215361,False,False
808,808,0.020339090563804483,0.03295110305315049,1.3574722822430603,0.0010695335133784538,False,False
1690,1690,0.0014914826157755457,0.0024897190121607534,1.3497475756699184,-0.0010674219648715132,False,False
234,234,9.576372816519497e-05,0.00016306755318089424,1.3385581189569524,0.001230451124544749,False,False
209,209,0.0363430555039444,0.0580549993195409,1.315181271580714,-0.003643819865414767,False,False
1636,1636,0.0017791366064836783,0.0029632308911580005,1.3091835818689823,-0.0023815685515591414,False,False
2646,2646,0.08275165788627478,0.12778715952469488,1.3043726670050717,-0.00041055240092216733,False,False
1900,1900,0.02943762237047265,0.04735548140680912,1.302770573201923,-0.0016523491982191646,False,False
1226,1226,0.05813919504592294,0.0913967854323619,1.2890711831655783,0.0009897790031118013,False,False
2283,2283,0.0379973815453818,0.060632380874566225,1.2853125105186223,-0.003037730753642052,False,False
2963,2963,0.11757511961319465,0.17722851955914765,1.2841481134016786,-0.0036752704291412412,False,False
1553,1553,9.036334581336218e-06,1.558387044590697e-05,1.2801243925223333,0.004862355113756366,False,False
1283,1283,0.007704973459518529,0.012676475181735584,1.2766353624294602,0.0005115868832781107,False,False
965,965,0.02208058691947035,0.035733468907845144,1.2662756790112444,0.0034495323141988613,False,False
2070,2070,0.03762335884894422,0.06006784780186469,1.2640361847533959,-0.005358245490836111,False,False
101,101,0.0382708768858728,0.060993553043934716,1.2523632203993362,-0.005431529018871007,False,False
434,434,0.010354896777646528,0.016951645690046827,1.2470320412948637,0.000519034320618324,False,False
