,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
320,320,0.0,0.0,3.3335052391523217,-0.00016588092057964743,False,False
682,682,0.0,0.0,3.134509574288131,0.002187955228916849,False,False
2350,2350,0.0,0.0,3.0519963829921135,-0.0002468137998614256,False,False
514,514,0.0,0.0,3.049919821469933,0.0006532756553294244,False,False
2207,2207,0.0,0.0,2.7026372001364014,-0.003562040373890657,False,False
2121,2121,0.0,0.0,2.7018413504195338,-0.0009700364988128457,False,False
1597,1597,0.0,0.0,2.571907081831475,0.002084502586867751,False,False
2961,2961,0.0,0.0,2.492807348445204,-0.00030868310961575107,False,False
1964,1964,5.97045181e-315,7.9463233083e-314,2.4803183445515957,-0.0006601548711493432,False,False
2297,2297,1.3606148283138232e-224,1.2463903735911813e-223,2.433340939503118,0.0024110880527866,False,False
1172,1172,0.0,0.0,2.2989742265478657,-0.0001657394179587629,False,False
487,487,5.1441280556759375e-306,6.609425138201811e-305,2.275327128002182,-0.0023466416988327243,False,False
1310,1310,2.796e-321,3.79e-320,2.2642985900307853,0.0013741069515511573,False,False
2423,2423,0.0,0.0,2.257328326671798,0.0009145906928420405,False,False
2613,2613,3.7437231712115e-311,4.96043320185525e-310,2.193782414008836,-0.002895874513202848,False,False
429,429,0.0,0.0,2.173185825486084,0.003590177433104455,False,False
872,872,0.0,0.0,2.1266122249529165,0.0037043474627600353,False,False
225,225,3.1731593641722456e-240,3.108230030647929e-239,2.0770370004653245,0.0029844873834673907,False,False
2960,2960,0.0,0.0,1.9982532207065198,-0.0007990964457963851,False,False
1832,1832,7.438324332697566e-305,9.39444536997718e-304,1.9864755693036271,-0.002198820550786504,False,False
1632,1632,1.8369967984477075e-197,1.522962708880669e-196,1.9858809715350159,0.006551199615365114,False,False
2761,2761,2.15629e-318,2.882824e-317,1.9652918105129986,-0.0033913998303201492,False,False
2417,2417,6.499790543211871e-184,5.185854390390546e-183,1.9629269523233939,8.5593697709066e-05,False,False
2021,2021,0.0,0.0,1.9544265808175114,-0.001843459255188598,False,False
1264,1264,0.0,0.0,1.9373137051173839,0.0009452677769943296,False,False
2380,2380,1.9106628578231297e-160,1.3933285901766707e-159,1.9297974398375697,0.0005527950875227339,False,False
485,485,4.349335607670561e-197,3.5957738394334886e-196,1.9271404261198117,-0.0023525947386898727,False,False
2264,2264,1.3846064503397127e-94,7.31229883382254e-94,1.8816152963197978,0.0018350360623012318,False,False
1696,1696,7.869029010476765e-227,7.2985244072172e-226,1.8739491481597568,0.004722320945213063,False,False
233,233,8.8861897189185e-272,9.87798168005622e-271,1.8501643882509733,0.001617419484756133,False,False
1920,1920,4.6678478464339867e-281,5.369834266750416e-280,1.8441163926061532,0.008868252099183377,False,False
31,31,8.709699184625608e-180,6.820682633237152e-179,1.8302336843056153,-0.0018809447811351937,False,False
2929,2929,0.0,0.0,1.8222365447850732,0.00793150988916902,False,False
2497,2497,1.45433e-319,1.953145e-318,1.8158623088004822,0.0031799480890147835,False,False
2332,2332,1.6872682183487184e-242,1.669270690686332e-241,1.7937621082079842,-0.0018621225701807298,False,False
1683,1683,1.7622282652879173e-214,1.5612816392162802e-213,1.7817854943758744,0.00029873526054807753,False,False
723,723,2.050520158950382e-284,2.3960408786475327e-283,1.7790468318946193,-0.00046000660166715945,False,False
2796,2796,1.59980233672742e-170,1.2112789120936179e-169,1.7740970099690525,0.0019760270982669276,False,False
1872,1872,2.4259519754536822e-207,2.0809900182504417e-206,1.7659091846843662,0.0020064270441852022,False,False
2053,2053,2.200627704495083e-198,1.8346806255453387e-197,1.7461520219826447,0.0002783618166471574,False,False
1523,1523,8.14128995708239e-160,5.907909191349764e-159,1.7305776493325575,-0.0006278539043997194,False,False
2544,2544,0.0,0.0,1.7135017069067027,-0.00188955674369784,False,False
83,83,3.777229690424133e-297,4.594597426712633e-296,1.702374364902385,0.0007668876832266636,False,False
344,344,2.7960779441862906e-304,3.5015862187109325e-303,1.70183131893337,-0.00025541807820157747,False,False
84,84,7.964939083233213e-277,9.092284307321607e-276,1.688343654781864,-0.0021459268607225135,False,False
1909,1909,2.1899422405165973e-265,2.3808602819975314e-264,1.6772894806465726,0.0011696107555764917,False,False
2594,2594,6.810268624633618e-237,6.605515450298228e-236,1.660371181818065,0.0016790081062175582,False,False
2897,2897,0.0,0.0,1.631666750692194,0.0009173394897985104,False,False
1230,1230,1.7250727825773126e-233,1.662342863210865e-232,1.6309316215999967,0.0022873019066214084,False,False
110,110,6.789446931235677e-83,3.3034554904766373e-82,1.589100840374251,0.004899055920930692,False,False
447,447,1.5100433479951137e-243,1.503962636526677e-242,1.587125071434392,0.0005459714914552022,False,False
201,201,1.44078443401733e-152,1.0157359145281319e-151,1.5720630243523095,-0.0023976144436032854,False,False
171,171,2.5917268723105075e-239,2.5303438674399956e-238,1.5229885649739094,0.005565057956461082,False,False
2880,2880,2.5626791786928698e-290,3.0669483074034023e-289,1.51501925439606,0.003659977973519926,False,False
1229,1229,9.407513438901797e-201,7.909773338997318e-200,1.4906022217692105,0.0031140235249433323,False,False
267,267,1.3483816201132762e-209,1.1599990285496243e-208,1.4896530333957252,0.0006353948979219912,False,False
1055,1055,3.1604184542992044e-137,2.0615652686505582e-136,1.483385168680693,0.0033848692860960483,False,False
1741,1741,1.1874034770639557e-274,1.3400051406562055e-273,1.435804088404313,0.0013161063914670784,False,False
1457,1457,2.8190517264160774e-160,2.0507219421575778e-159,1.4329881358448686,-0.004295870720146006,False,False
1865,1865,2.665934459152029e-229,2.5039536312541844e-228,1.429496845036691,-0.005127087683264392,False,False
2572,2572,8.675287546372247e-303,1.0818593881358332e-301,1.4223445272928494,-0.002857594085591185,False,False
1765,1765,0.0,0.0,1.4204023648378608,0.0003817228678263396,False,False
897,897,2.0223331288250988e-109,1.152070005058137e-108,1.416528084789585,0.0035225808269990014,False,False
619,619,1.4090965502456997e-140,9.419366128669452e-140,1.4099746643806264,-0.0004095436505428193,False,False
743,743,2.6823184047605352e-140,1.7850047141993874e-139,1.4023440951314825,-0.000867638652592588,False,False
1340,1340,4.1326305943725197e-153,2.9273621966820137e-152,1.4004826785310738,-0.0023417333854875155,False,False
2492,2492,6.889114498038574e-108,3.9020785935455133e-107,1.3863149519823936,0.0029461469910130253,False,False
1959,1959,3.0533983917534115e-104,1.6907623930455457e-103,1.3826403599151431,-0.0005595428375884184,False,False
625,625,2.28775335673383e-146,1.5790818518106995e-145,1.368375038586556,-0.0003253766546473663,False,False
2900,2900,5.021109409482538e-94,2.637637650857376e-93,1.3666256203130638,-0.0048366788748768555,False,False
1122,1122,9.745461823270339e-151,6.821823276289238e-150,1.3566304992184122,0.0018105724021688571,False,False
1377,1377,0.0,0.0,1.3522191281004077,0.004445481597598423,False,False
1864,1864,6.299818671613844e-144,4.249514049397702e-143,1.3497027316975614,0.0007468066875942897,False,False
1629,1629,2.2583924697719003e-112,1.3091618848208984e-111,1.3426711242767944,0.0035295598922810076,False,False
821,821,9.332687117068711e-130,5.856113184663834e-129,1.3334829457799908,0.0013611870120159436,False,False
737,737,5.195202948397485e-112,2.9998759437439176e-111,1.3267944652455266,-0.0011812261425815443,False,False
239,239,1.1114114550290275e-105,6.223904148162554e-105,1.3135704075021304,0.00030195299951352866,False,False
1555,1555,0.0,0.0,1.2959485491467746,0.0031196436835031066,False,False
672,672,6.848745639316379e-113,3.977901576808417e-112,1.2852273011768065,-0.001811847158866682,False,False
2216,2216,2.7313188782656757e-49,1.0300577421464455e-48,1.2802902489630663,0.0008440492544907335,False,False
