,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
33,33,1.930694976625093e-105,5.509906433291611e-104,5.813698466325414,-0.004071423383285096,False,False
35,35,2.272267433545749e-101,6.021508698896235e-100,5.568445713499138,-0.004119848164405963,False,False
34,34,1.5000251554193816e-94,3.590382791358649e-93,5.539704499583814,-0.0061673112756416015,False,False
1645,1645,3.159560414694877e-47,3.8275817595160796e-46,5.409049951530568,-0.006736454514076819,False,False
1600,1600,3.740555166757668e-98,9.329384651207362e-97,5.298064779784694,0.00010757112550881243,False,False
1729,1729,1.531934115116234e-44,1.7691752737996041e-43,4.699785190460525,-0.0016408786604405305,False,False
559,559,4.906811508313654e-63,7.787923292339532e-62,4.650364731548107,0.0012774552968807112,False,False
2738,2738,2.958566849947292e-178,1.5139700708006142e-176,4.628309853758569,0.00017378516166791785,False,False
868,868,1.3624815304006401e-46,1.6240342097305622e-45,4.171869032379279,-0.0016336536639499945,False,False
2056,2056,3.188661078147948e-105,9.0132819808982e-104,4.123984588142922,-0.009376879842648438,False,False
1601,1601,2.4529494449091016e-39,2.4847624411229396e-38,4.076725136921487,-0.0058244126958519014,False,False
196,196,9.152946071138586e-41,9.7021228354069e-40,4.041257901883689,-0.0018721279087259603,False,False
969,969,2.0772940323173155e-108,6.165408687917793e-107,3.9547859333132442,-0.0003013520966379489,False,False
859,859,2.479052941508133e-64,4.042763258459417e-63,3.8426959745777456,-0.004597534894217138,False,False
1602,1602,1.154130436688435e-52,1.515689883226228e-51,3.7147857536843176,-0.0016983151375868227,False,False
194,194,2.2434931200629804e-92,5.243061086887342e-91,3.7014215247060105,0.0026751322820845573,False,False
2266,2266,1.1731285631255578e-29,9.09098061450824e-29,3.342014518822073,-0.00625887827387428,False,False
2370,2370,3.265742234065293e-67,5.635304041108017e-66,3.1529492128355683,-0.00341961541730431,False,False
198,198,2.5839873498667196e-30,2.03429030620807e-29,3.0918175899381897,-0.0012564592471710316,False,False
1595,1595,4.372959445493398e-54,5.926458280467765e-53,3.085585193957669,0.0034060001345954105,False,False
2055,2055,2.2430987284514344e-36,2.0675518714421916e-35,2.911781158143669,-0.0009430351703194791,False,False
2122,2122,6.154360555776323e-40,6.364509452802832e-39,2.803436758503962,-0.002004807098886556,False,False
777,777,7.323250388417616e-40,7.520902129004666e-39,2.730443760899467,-0.0013697305721756016,False,False
1259,1259,4.677305641582062e-19,2.7113756141046012e-18,2.7005392966421407,-0.00454741800853908,False,False
2409,2409,1.6671220326083687e-36,1.5414386893400743e-35,2.6768783104973997,0.004664865209031805,False,False
2781,2781,4.545821982178224e-36,4.113414525336881e-35,2.662913378366376,0.0005306927879607341,False,False
1336,1336,1.6327591991435097e-69,2.9018139539269082e-68,2.467518312721131,0.0026393813429090186,False,False
989,989,7.533125609052447e-58,1.0959959219444933e-56,2.353300536259037,-0.002341267407465958,False,False
2822,2822,4.402229850633009e-17,2.428590742877095e-16,2.3508710152799366,-0.0017215546853616148,False,False
980,980,7.531752124763047e-90,1.668226888529606e-88,2.3446295646815707,0.0016268806761832212,False,False
2623,2623,1.7006484041352708e-45,1.9950689578946575e-44,2.3042632170715365,-0.0027541696462631167,False,False
2399,2399,1.0658102501170528e-18,6.11861667765457e-18,2.276329128485627,-0.00423708141450692,False,False
981,981,5.7553098280898035e-115,1.8567129967141887e-113,2.2303634933413314,0.0030117991092077825,False,False
1836,1836,2.2602483675335567e-14,1.1646557560485412e-13,2.159079886391955,-0.007242004029931097,False,False
780,780,7.398853674966044e-55,1.0166573012638526e-53,2.156391585267885,0.002700464621818742,False,False
979,979,1.6053472766015113e-118,5.3535626033182984e-117,2.13033072768433,0.004714021090026336,False,False
1248,1248,3.4158553231195596e-39,3.425087364533396e-38,2.1207622794230954,-0.0018247285691710326,False,False
992,992,3.3250473065265696e-74,6.285821914503731e-73,2.0954765960170993,0.0006388291859553454,False,False
2327,2327,3.5039605169085064e-33,2.9798724395943975e-32,2.0913940288552553,-0.0028694471381325425,False,False
404,404,1.951463546920524e-24,1.3469636761070036e-23,2.086138479551876,0.0021186874219767185,False,False
1256,1256,6.602359754027204e-37,6.24070183119514e-36,2.0711035049575455,-0.0029090802113355164,False,False
2411,2411,2.5385763699380773e-19,1.4831682413339002e-18,2.0459027326109553,-0.0005099204523863927,False,False
896,896,3.599785289408766e-37,3.435422102561163e-36,2.0279674452797027,0.004871662689714904,False,False
2035,2035,8.747314679867689e-38,8.429230509690681e-37,2.019335169798681,-0.00012567492375778998,False,False
1149,1149,7.391025957931301e-30,5.742556294015733e-29,2.018273746622134,0.0015363792089167008,False,False
1111,1111,1.277318988233102e-22,8.387351232468688e-22,2.0137702116138696,0.003514636391489634,False,False
683,683,1.261848588253196e-33,1.0887112238184552e-32,2.0066454943982626,0.003149092409279103,False,False
286,286,2.1525409969955776e-16,1.1700992086232371e-15,1.9783276090599649,-0.004261355843481925,False,False
2357,2357,3.239667229596176e-32,2.6635269632801804e-31,1.9754679137881652,0.00025678927737878346,False,False
1826,1826,2.4010593447731468e-20,1.442579784470992e-19,1.9696982519095498,0.0008935494691691241,False,False
2824,2824,8.28162926172967e-18,4.6552794789419814e-17,1.9641818438896312,-0.002751104565876761,False,False
1938,1938,2.3517558205916965e-16,1.271404603919154e-15,1.951153634077134,-0.00139412335468736,False,False
1813,1813,1.1787327763528308e-30,9.354221604853481e-30,1.9499446659095205,0.0025023981496056866,False,False
540,540,6.160405363065555e-15,3.2247060172096236e-14,1.9481667038904429,-0.0009216964642604093,False,False
988,988,4.16181445295811e-27,3.1035842453215253e-26,1.9362626035871178,0.002710932408386815,False,False
