,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
966,966,1.8188981080530845e-16,5.453019782526823e-16,2.1146591042196374,-0.0024797528763959033,False,False
2239,2239,2.1197462082412464e-36,7.100910548600473e-36,1.9929757839235895,-0.0031565928323014046,False,False
1843,1843,4.021182941783686e-12,1.154242840542938e-11,1.987546850579466,0.00011380575356367568,False,False
965,965,6.2705788460748e-10,1.7557620769009442e-09,1.9459666848259822,0.0034494147401041525,False,False
137,137,1.3443100794528336e-12,3.885016860580341e-12,1.8814331183224136,-0.00031648617146945576,False,False
775,775,9.66216568588321e-18,2.9173253057681964e-17,1.8754110517494402,-0.0005009068624947308,False,False
234,234,1.5961080986770326e-25,4.970880206582826e-25,1.7894956230680303,0.00123041910645934,False,False
1689,1689,1.4629773247203015e-18,4.4307313262957706e-18,1.7887016483651415,-0.0011707355024971771,False,False
1846,1846,2.221038210865844e-20,6.781935606841384e-20,1.7034257697536155,0.0002868776188141831,False,False
1344,1344,3.600527549984883e-07,9.627356548067687e-07,1.5566146373075938,0.003327545179177182,False,False
555,555,9.781645525151892e-05,0.00023757711881056316,1.543239835511078,0.0006314059995639319,False,False
205,205,1.9711164964323904e-07,5.3136001466043e-07,1.521543012836299,-0.0010869131336286005,False,False
1283,1283,1.701187449610758e-11,4.854927260043009e-11,1.5023559786684528,0.0005115855982353677,False,False
49,49,8.224329796597985e-19,2.4933412498777138e-18,1.4257084649480634,-0.0020220702443841825,False,False
1606,1606,2.6987432037219423e-05,6.736644094740727e-05,1.4130776868874932,-0.0058232157219941984,False,False
776,776,1.67237416918903e-11,4.777292140667027e-11,1.4019532195463125,0.003483195259997791,False,False
1605,1605,2.8300937901637043e-06,7.361716362143624e-06,1.3899369865546247,0.003688369625532299,False,False
2446,2446,7.091324945514305e-07,1.8842482039647677e-06,1.381108513131137,0.004647613391527977,False,False
1690,1690,2.8722295194837505e-10,8.095704856436631e-10,1.369878632853411,-0.0010677358296136072,False,False
1636,1636,6.514771036830423e-12,1.8681971437017096e-11,1.304485010137049,-0.002382229443664297,False,False
380,380,7.97099265491264e-11,2.2639144688785372e-10,1.291480997309408,0.0014534790761247746,False,False
