,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
717,717,1.5876786128793292e-55,7.946425165304973e-55,2.3743509117550055,-0.0015782620757818187,False,False
843,843,5.353771761806079e-59,2.7443859393852232e-58,2.372276612879576,-0.006021915970183537,False,False
775,775,1.3920634498010683e-162,1.3200141594279777e-161,2.237069076744256,-0.000496554594943615,False,False
372,372,5.545063897774491e-66,3.0253216265799063e-65,2.0586722039305303,-0.0012212378230437963,False,False
1852,1852,1.6789835523062627e-52,8.102801923975591e-52,1.9577846011946438,-0.004119294435757384,False,False
412,412,3.539427444145623e-196,3.8763913853225865e-195,1.9361687333064936,-0.004951898318976664,False,False
1689,1689,2.072874061091971e-136,1.6809536101969862e-135,1.8919404440597685,-0.0011690777156920136,False,False
791,791,3.2826998805791825e-37,1.3383314897745898e-36,1.8043716480717589,0.002982824020993969,False,False
212,212,1.6735948738136235e-49,7.797848642823916e-49,1.6869167711594626,0.001785217126538969,False,False
829,829,2.1017003848734918e-42,8.962423480322591e-42,1.6835849835110444,0.0033798906829716722,False,False
1690,1690,3.6645391283681903e-82,2.2471801927679313e-81,1.6215862160263286,-0.0010700946670899152,False,False
2128,2128,7.467471725040313e-43,3.212095084046326e-42,1.4950543877094455,0.0017477016179251962,False,False
318,318,6.728856890101817e-75,3.915930833298469e-74,1.485820246849199,-0.0038179050138916967,False,False
1580,1580,1.1054596184876256e-30,4.137457941577897e-30,1.4601087424613537,0.0054316257260412955,False,False
334,334,1.5367298421570505e-189,1.6289336326864733e-188,1.4481911992953576,0.0031515727266415595,False,False
776,776,3.015599161074551e-67,1.6605377198644282e-66,1.4118887815709944,0.0034824702874222905,False,False
1605,1605,8.718830162702582e-36,3.478156978884579e-35,1.4015514499351016,0.00368194746995891,False,False
1415,1415,7.0142826284541135e-37,2.8518343618153162e-36,1.392672494900935,0.004852127606249193,False,False
371,371,1.2702363667517248e-53,6.190577235663578e-53,1.383794116277372,0.00026422542606499913,False,False
