,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2734,2734,0.0,0.0,4.774041166846691,-0.0034713903954345926,False,False
1063,1063,0.0,0.0,3.680323475081777,0.0014436632259482995,False,False
2768,2768,0.0,0.0,3.519314908183536,-0.0036518710948902078,False,False
2425,2425,0.0,0.0,3.2336828324623856,0.0005433638891371023,False,False
2031,2031,0.0,0.0,2.6638020342212156,-7.162263128984714e-05,False,False
1718,1718,0.0,0.0,2.5213131611071598,-0.004991831121451559,False,False
681,681,0.0,0.0,2.4790217888445722,0.004850706975289942,False,False
1449,1449,0.0,0.0,2.2574936449949394,-0.002254094116853095,False,False
1416,1416,0.0,0.0,2.065241355377585,0.004112137459936743,False,False
179,179,0.0,0.0,1.9494540034374521,0.0031985681283349388,False,False
1641,1641,6.125343040914554e-262,4.860967418565347e-261,1.8785046138668953,-0.003504539372344573,False,False
2301,2301,0.0,0.0,1.6827429860119383,0.004640137286045121,False,False
68,68,7.732466371038199e-171,4.3139022912107846e-170,1.6758007988207042,-0.0006480527755174659,False,False
260,260,0.0,0.0,1.5885815495088864,0.0006074353754787903,False,False
865,865,2.046515720985886e-194,1.2787491915549704e-193,1.5619463975148231,0.0013636262702315452,False,False
2177,2177,1.8059712513921408e-249,1.3779235666148776e-248,1.5603077038217397,0.0015094995624721635,False,False
2166,2166,1.4715322410890444e-147,7.517224942430781e-147,1.4986712715356447,-0.0004809072318674376,False,False
960,960,0.0,0.0,1.4659479229521224,0.005035772567421985,False,False
1510,1510,9.839362516868102e-108,4.095824396923496e-107,1.4501483981397667,0.003853293225541281,False,False
351,351,1.6711163941334755e-115,7.198655236267279e-115,1.3054557554609285,-0.001896380805672504,False,False
1017,1017,1.0222524935250572e-66,3.319524508514628e-66,1.2718884718862489,-0.00740894454396359,False,False
2543,2543,5.66021357542544e-93,2.1427951392682022e-92,1.2663508508812378,-0.0010664709742902664,False,False
639,639,1.3316504342342114e-210,8.782974419571421e-210,1.261507953794387,0.0014688379871025253,False,False
3,3,2.776155933377701e-82,9.820775697574513e-82,1.225839305574598,0.0013063389074563572,False,False
2550,2550,8.03992525018147e-202,5.142779772098837e-201,1.2112992043400528,-0.0011170514343103247,False,False
1037,1037,6.856130414545279e-70,2.2534878261761224e-69,1.1922600584567677,-0.00563148858977347,False,False
849,849,0.0,0.0,1.188475166391278,0.003402049636613627,False,False
1860,1860,1.4069289740099878e-266,1.1255431792079903e-265,1.179229153353664,0.00012634119459252469,False,False
1821,1821,0.0,0.0,1.1639074178432365,-0.001955419692781485,False,False
1148,1148,0.0,0.0,1.1580897768358738,-0.00535614876147969,False,False
20,20,7.921751863339077e-86,2.863795314298463e-85,1.1412665199197993,0.001789177734597143,False,False
2570,2570,1.3920123948062778e-177,8.006768968575644e-177,1.1397666968428297,0.004236260464326652,False,False
1010,1010,2.6004220542584578e-129,1.2250877233395401e-128,1.0751552334197,0.008838356962649146,False,False
443,443,2.81271534523045e-129,1.323001449230424e-128,1.0751067558099883,-0.003177522368950955,False,False
1569,1569,5.3366535598076675e-142,2.6575818398505295e-141,1.0727532753476297,-0.002161219775662568,False,False
592,592,1.6989952093301028e-155,8.909218694861741e-155,1.0723391841200147,-0.003628463975919191,False,False
1497,1497,4.167492507237127e-309,3.8896596734213185e-308,1.053637387580855,-9.509026833140477e-05,False,False
857,857,1.34504534753588e-126,6.227916679386103e-126,1.0482588397789763,-0.0011635840612902876,False,False
2072,2072,6.030090536625788e-83,2.1433902649946514e-82,1.0200241040215274,-0.0010537483714966947,False,False
346,346,3.6631921539202784e-101,1.4633047527369293e-100,1.018353362436347,-0.00621656068296763,False,False
17,17,5.77592703223029e-144,2.905584988416865e-143,1.0076926899806877,0.004451724904476373,False,False
2128,2128,2.742352936449954e-119,1.2130109560929155e-118,0.9789075076257787,0.0017473444997715207,False,False
2135,2135,1.2566746462601628e-115,5.421235973982795e-115,0.9770013486638565,-0.0018970614073796285,False,False
798,798,2.9621237327901652e-145,1.5028347416959333e-144,0.9398217683627436,0.005048526899985282,False,False
2648,2648,1.4529050785819242e-85,5.246012497848115e-85,0.9355836213953627,-0.0014789967068352325,False,False
2943,2943,3.3351262227441966e-183,1.991681011892309e-182,0.9238323209592568,0.0032027853940363935,False,False
2329,2329,3.819373692632781e-55,1.1461982931985939e-54,0.9049807920246896,-0.005754823541077349,False,False
1393,1393,9.426089927986542e-92,3.545834588880109e-91,0.8996703601014684,0.0026448146969028016,False,False
1624,1624,9.977742428857852e-301,8.973921069348517e-300,0.8993542559891825,0.0028893981999581417,False,False
303,303,3.781116926378413e-228,2.6656425267199834e-227,0.8781439903724897,0.0037610304133110888,False,False
182,182,2.4533916091238246e-226,1.7214341125010665e-225,0.8712199204786325,0.0018789211405898856,False,False
2572,2572,1.9147980278009197e-247,1.453483515732258e-246,0.8669106371872886,-0.002858723376999245,False,False
1435,1435,5.385195421329794e-92,2.0283324886429984e-91,0.8600274588559028,0.004451401410892841,False,False
2599,2599,1.0574499058498821e-144,5.337604286670833e-144,0.8391753121756559,0.0017704395888047363,False,False
2420,2420,1.8669521755299673e-94,7.149824589642508e-94,0.8260049130193291,0.002814134500768159,False,False
1848,1848,3.596648129435249e-121,1.607658380747563e-120,0.8247588288458761,-9.898771229502334e-05,False,False
2698,2698,2.252510405695522e-252,1.7275066883990463e-251,0.8158685565471141,-0.002028143068687229,False,False
1048,1048,3.1024824240788382e-80,1.0858688484275934e-79,0.7951380472839188,0.0002805579210034756,False,False
167,167,9.262885971272577e-244,6.924998882301514e-243,0.7817609276684838,0.0011017666945259304,False,False
2939,2939,1.3728373654801075e-123,6.201798022442861e-123,0.7786704128686237,-0.00023356831406680725,False,False
276,276,4.893303784511112e-58,1.5003435570691095e-57,0.7655913687466521,0.0026533017286043785,False,False
2093,2093,1.5015314990685964e-97,5.856170156682778e-97,0.7546634191281784,0.0008243772164561458,False,False
2576,2576,6.577415353552156e-82,2.3130057783581517e-81,0.745463153475694,-0.0013890329067133209,False,False
2754,2754,8.738095197184592e-218,5.961992309251465e-217,0.7272596632312647,-0.0011038842066047085,False,False
2327,2327,4.818092842631017e-80,1.6843462375652365e-79,0.7189781530847497,-0.0028771761089536607,False,False
1811,1811,2.259109320052929e-96,8.776225735493577e-96,0.6925040225347857,0.0017028768514822379,False,False
2583,2583,8.419085719055383e-124,3.8149383838406684e-123,0.6761975949823853,0.0028145107457957265,False,False
2964,2964,8.623131501939279e-155,4.4900797013606637e-154,0.6690726197928022,0.0023670021781648544,False,False
809,809,9.109856054982839e-65,2.9293664974202668e-64,0.664758486053258,0.002148559722276889,False,False
2689,2689,4.508126015016479e-184,2.703054143953315e-183,0.6610126689834902,-0.005509378513900074,False,False
1093,1093,1.2020074148995266e-57,3.674107113719665e-57,0.6609546624600289,-0.0018856621896760559,False,False
483,483,9.795970144367205e-84,3.507170010673325e-83,0.6493326714795404,-0.0013722346312082315,False,False
1079,1079,2.927006000871034e-129,1.3745812991432325e-128,0.6372046564828641,0.002528924731819527,False,False
1539,1539,8.983078618164323e-43,2.4618446296132698e-42,0.632011159326085,0.0032854689668268926,False,False
2438,2438,3.896710591626699e-95,1.502004809863382e-94,0.6295270365425647,0.0008446714069791465,False,False
1098,1098,1.8907958590686442e-75,6.420917745670179e-75,0.6229613193740694,-0.0002532909779548141,False,False
2299,2299,1.7581421854550648e-84,6.309753333047923e-84,0.6196288733545658,-0.0006989681752141534,False,False
2033,2033,8.836149429133061e-44,2.4441464590556314e-43,0.6189357725226731,-0.004083358971155228,False,False
2096,2096,2.2002707751942086e-65,7.098264848670012e-65,0.6129741686003936,0.0037422018547900032,False,False
2917,2917,2.5746035723450003e-71,8.518866669698953e-71,0.6126004664234422,-0.006700780596979386,False,False
244,244,3.7478711528184836e-66,1.2157029050890995e-65,0.6088877882607124,-0.000617939989212217,False,False
784,784,1.2674845656411574e-56,3.8425885503809553e-56,0.605625978740593,-0.00017522266922275972,False,False
885,885,9.810504566150058e-141,4.852929592055562e-140,0.6033669973704257,0.0017130308494557114,False,False
1041,1041,2.4253531012271166e-76,8.312295617138663e-76,0.597901810620946,0.007544221443389322,False,False
1068,1068,6.744285848646869e-46,1.8937597349842865e-45,0.597483637492602,-0.0007499175830824323,False,False
2965,2965,1.8206120799284748e-139,8.961155312152094e-139,0.5949023149518262,0.005359164204172342,False,False
2530,2530,7.37807032583458e-48,2.093509820944267e-47,0.587120100000284,-0.006223532574135455,False,False
2547,2547,4.6275416182428565e-39,1.2241126134531906e-38,0.5804314770426869,0.0025577807376931556,False,False
631,631,3.793016154008868e-54,1.129154658485288e-53,0.5779125868914032,-0.0016765609603261525,False,False
1658,1658,4.967884467585717e-28,1.1805189031060373e-27,0.5748230690534724,-0.0069182604200655785,False,False
881,881,8.833532822322614e-46,2.473389190250332e-45,0.5692747851241079,0.001919311013144711,False,False
846,846,3.2601629228116963e-47,9.241799001819595e-47,0.5572033658557101,-0.004371859413299168,False,False
178,178,2.897661628465098e-58,8.91218623138281e-58,0.5561451216709752,0.0075569626074388566,False,False
37,37,3.4656344418503597e-103,1.4013628097291372e-102,0.5513732776039911,0.002161827350509085,False,False
2626,2626,2.0056230404908873e-36,5.1583095183509136e-36,0.5474171821840254,-0.005896935839174118,False,False
1526,1526,5.4709322304378e-38,1.4256125425758902e-37,0.5459505302608408,-0.001172826845970202,False,False
2936,2936,7.44093299441378e-41,2.0076990115836456e-40,0.5450265212223333,-0.002324890105793058,False,False
2609,2609,4.018974919764835e-20,8.713161111659627e-20,0.5381358079010568,-0.004525459218056752,False,False
771,771,1.2350382857970465e-31,3.009518581482458e-31,0.5260911588071573,0.0013448800040555889,False,False
228,228,2.745514799666985e-51,8.076003890398029e-51,0.5254454203849747,0.005118900845807689,False,False
347,347,4.186427780203304e-68,1.3639207081935683e-67,0.52303352225313,0.0021758978523545303,False,False
1411,1411,1.0071068936956202e-35,2.5723694152225476e-35,0.5215051688667196,-0.0016115755392445974,False,False
1712,1712,1.791952698991017e-49,5.1837384118960416e-49,0.5177455609381356,0.0019589020397048768,False,False
1058,1058,4.7120883346041833e-63,1.4973745371632992e-62,0.5154163622762957,0.0025055516546503807,False,False
46,46,3.372115243606883e-53,1.000843804302523e-52,0.5118428933205237,-0.0025875871696609404,False,False
2529,2529,4.0837771456055784e-41,1.1048906625485283e-40,0.5110642311198267,0.0004676298982038106,False,False
2422,2422,9.040534485187319e-19,1.927608214945112e-18,0.51064467138136,0.0024267824883631266,False,False
243,243,9.964711737488116e-73,3.3193338312979495e-72,0.5101495655762731,-0.00020424901489012742,False,False
1905,1905,4.8035808332395183e-73,1.6055211613800551e-72,0.507318172199456,0.0007471616867457329,False,False
1721,1721,9.779935592886877e-34,2.435138325477202e-33,0.5065849322291891,-0.002063852572612438,False,False
758,758,2.1259096772360554e-38,5.569020231276798e-38,0.4983876452114764,-0.0034281692160630754,False,False
561,561,1.6492338287994608e-38,4.335629764284145e-38,0.4959368601899343,-0.001821463511624058,False,False
1434,1434,1.4359515089737449e-24,3.2859707622467807e-24,0.4946077809512955,-0.007849668572123738,False,False
