,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
985,985,1.2833152568084296e-14,4.5182439883836526e-14,7.8279949972518885,-0.020520368235079738,False,False
2757,2757,1.0527364260109806e-11,3.5586807658321076e-11,5.058444276042607,-0.0028322866050208484,False,False
984,984,1.7585899565672752e-09,5.773777645012913e-09,5.0248887128168604,0.0016189404267333155,False,False
2963,2963,9.940484436543363e-10,3.2781508675178554e-09,4.525320185010825,-0.003672617654187407,False,False
868,868,5.369158919985743e-13,1.8529841481997307e-12,4.183235149452874,-0.0016314806927722391,False,False
591,591,5.954378331626116e-11,1.9924007765801932e-10,3.845636969273283,-0.0005626115470942919,False,False
1111,1111,5.376060328093433e-13,1.8532110399281428e-12,3.7801279690396377,0.0035146447300827667,False,False
1047,1047,3.828141486587108e-08,1.2230273339279373e-07,3.5621234490724487,-0.0008093642811025908,False,False
2738,2738,1.2548043325993384e-27,4.824170024811965e-27,3.4997439583534216,0.0001796951074516627,False,False
2769,2769,4.457644861110966e-22,1.6704911550223923e-21,3.2669403040712948,0.00033262190106135656,False,False
230,230,1.8051722381639448e-10,6.006447536850435e-10,3.0663360747246684,6.684925732755587e-05,False,False
1850,1850,2.949666740637746e-10,9.795606599702419e-10,3.0136300223007697,0.0020274320017258695,False,False
967,967,6.36022219909141e-13,2.1873858038126657e-12,3.0114493773485522,0.007282615702209343,False,False
969,969,3.265925822861241e-18,1.2011484315058442e-17,3.0032078582069173,-0.00030466899412070775,False,False
983,983,2.3025978906250192e-20,8.542638174218821e-20,2.958386562367005,0.001684160507946631,False,False
695,695,3.1919412367927886e-13,1.1080329345966077e-12,2.875976389014758,-0.0022447022365224435,False,False
1837,1837,7.016901833749227e-07,2.171654290153045e-06,2.8544581787204906,0.0008162571334022644,False,False
1595,1595,2.2023158386405862e-13,7.662923105609917e-13,2.829301305785292,0.0034075494355435025,False,False
993,993,3.782899345399307e-22,1.4194241791586779e-21,2.7804867813884906,0.0025373342013028186,False,False
979,979,5.7710917485406e-34,2.3399727199000682e-33,2.68123935326075,0.004712571870422982,False,False
982,982,5.97804845540927e-18,2.1958970068879594e-17,2.679843659202236,0.0037370613158785324,False,False
980,980,6.661604852714328e-22,2.490131385750142e-21,2.555384100241638,0.0016325640807314436,False,False
231,231,9.956732233880415e-15,3.509688986954522e-14,2.512237557011973,0.0002916249843140143,False,False
981,981,2.4164014774665375e-26,9.230218256268574e-26,2.4858769466842285,0.003015472440449408,False,False
992,992,1.2864818014251481e-21,4.8028653919872194e-21,2.46765630293387,0.0006453923202437784,False,False
194,194,4.912511557812509e-12,1.670141386436143e-11,2.4446310837445493,0.0026835065874047733,False,False
2585,2585,5.357009744940965e-07,1.6614007234048884e-06,2.4366655703891156,0.005488818040973227,False,False
185,185,7.863140149030645e-09,2.5505792308549678e-08,2.4128772703501458,0.0037329710086659016,False,False
1058,1058,8.212155031619248e-18,3.005385466565466e-17,2.3973670027635894,0.0025100944664545087,False,False
232,232,1.8514359872073025e-15,6.628542834778376e-15,2.3911433214664553,0.004882394044889077,False,False
97,97,4.79085454961957e-06,1.4162605879751876e-05,2.384675210330638,-0.0005740953298906479,False,False
2033,2033,3.353786098182352e-06,1.0014121870628995e-05,2.348259001897669,-0.0040901581817344435,False,False
913,913,6.473656279898714e-16,2.3261273412517415e-15,2.293098539380415,-0.002507438011490172,False,False
220,220,4.926164510384774e-07,1.530979713803352e-06,2.2081538338532463,-0.0008881591408081888,False,False
989,989,1.2631395002553783e-15,4.527775406712516e-15,2.1909935634966615,-0.002341168374201752,False,False
355,355,2.746861764852027e-09,8.978728764406185e-09,2.1862849559724236,0.004257869224321491,False,False
163,163,3.4104648586585524e-15,1.216617752463772e-14,2.1858598447549125,0.0008764741388603866,False,False
198,198,2.198239131340583e-06,6.6439651138684834e-06,2.129564446219073,-0.001260288352169459,False,False
1189,1189,2.8037664316762515e-18,1.0324539415899646e-17,2.083442605144903,0.0011880574605950135,False,False
1975,1975,0.0001708789626933161,0.0004610625102488747,2.0164424518424937,-0.004392933919155077,False,False
421,421,6.62043502730803e-10,2.193019102795785e-09,2.0056841490011443,-0.0011017515714000143,False,False
700,700,1.847036833252256e-05,5.3171729593527605e-05,1.9740138273474093,0.008361328154711462,False,False
2266,2266,4.082116827515341e-05,0.00011527804704153693,1.933861220582036,-0.006251059605066127,False,False
988,988,3.1562086851303055e-08,1.0105315401798001e-07,1.9124835896836232,0.0027091212892365896,False,False
471,471,7.723657031396426e-07,2.380458366478151e-06,1.8911777266998184,0.00401207833381453,False,False
516,516,8.603271639598398e-10,2.840323718167747e-09,1.8774921341983744,0.004421167200094286,False,False
404,404,2.92689131004742e-05,8.328871915839639e-05,1.8710471960452424,0.0021254565418656252,False,False
2019,2019,9.527166902294951e-15,3.366265638810883e-14,1.8686027779087704,-0.0008458018073872696,False,False
1944,1944,1.2333293042885858e-11,4.159683380827867e-11,1.8597901215147041,-0.004199112214647778,False,False
2041,2041,7.152573500069777e-12,2.4261529312236683e-11,1.8535214566772609,-0.0020838246493395866,False,False
683,683,3.882465542532632e-07,1.210415727966056e-06,1.8488062114456638,0.003150447396816103,False,False
196,196,2.48685171586604e-05,7.103922899605782e-05,1.8290192644223309,-0.0018856504740859788,False,False
2055,2055,6.260369357924461e-06,1.8433309776110916e-05,1.7897738513604997,-0.0009398184067425804,False,False
2823,2823,0.00013274405499554275,0.00036079153409044956,1.78120592569078,0.001922788736017656,False,False
418,418,7.12352163512899e-15,2.5229847509621527e-14,1.7681996461015692,0.0005520991391854411,False,False
1751,1751,1.2399036978530644e-06,3.786043390152156e-06,1.718381687584694,0.000671517591103836,False,False
1729,1729,0.0007678463618846368,0.001962935402302844,1.686405868479171,-0.0016497515607625242,False,False
1510,1510,5.261985097240458e-05,0.00014733558272273282,1.6795571185888012,0.003842862992551238,False,False
413,413,5.080164149703007e-05,0.000142513489568228,1.645164415366125,0.005875535065126492,False,False
182,182,2.1065453064472082e-11,7.080664178409189e-11,1.6414004570658476,0.0018775181037258377,False,False
1599,1599,6.246844549762228e-05,0.00017360144778739975,1.6340409745463913,-0.00046708665663240103,False,False
1600,1600,1.3250929966887206e-05,3.8444535817909315e-05,1.5811348105670089,0.00011104880784812378,False,False
1778,1778,5.489048065107666e-06,1.619432868512878e-05,1.5809279628004307,-0.0013425558847110198,False,False
33,33,6.27301654310337e-05,0.00017416569784780919,1.5761512703006682,-0.004061741503599153,False,False
1772,1772,5.3629709719481865e-05,0.00014988039401828831,1.5735449870981677,0.005380532636621407,False,False
324,324,1.427570006369919e-07,4.517087184334669e-07,1.5687011498590866,0.0025544904622110177,False,False
2781,2781,5.299155399440826e-05,0.00014823650542450866,1.5650891550680153,0.0005244040597661786,False,False
1413,1413,1.8922390709168803e-06,5.7366348952822275e-06,1.5636457177375769,0.0017605883329496269,False,False
35,35,0.00013176918784447967,0.00035847016454850194,1.5524126796719544,-0.004127492858437685,False,False
1110,1110,1.8060906832516394e-06,5.497925279888068e-06,1.5321772958642077,0.003659174848788956,False,False
1645,1645,0.0018055586216390097,0.004417887872237907,1.514025463396965,-0.006756017491887739,False,False
301,301,8.86786293953228e-06,2.5956427223404152e-05,1.4949008985680083,0.009512060537661722,False,False
395,395,3.064172855027766e-05,8.6945172406524e-05,1.4603687714959641,0.005146893756880569,False,False
1602,1602,0.00013326732414911124,0.00036155157045206774,1.4541475997347375,-0.0016928907361722025,False,False
2619,2619,0.0023261413862694126,0.005635908273018462,1.452154107512442,-0.0021090884172410614,False,False
226,226,0.00016809395322308875,0.0004543741832114093,1.448213123052499,1.3961854231794076e-05,False,False
347,347,8.732956730089779e-09,2.8234657489004863e-08,1.4427229566627406,0.0021700893391048675,False,False
1256,1256,6.6984997407206715e-06,1.968430418857322e-05,1.436552676482555,-0.0029029907957779434,False,False
1826,1826,5.2136355663956115e-05,0.00014611964458037936,1.4236483988126551,0.0008925058492326857,False,False
1601,1601,0.002358374574902276,0.005709343995358854,1.4161868833028033,-0.005825581489039993,False,False
396,396,0.0005377043397339701,0.0013950231471419783,1.4146991159745266,0.001411924415269897,False,False
1236,1236,2.3113143152604278e-07,7.259239034595714e-07,1.4014113084276605,0.0028441585479701713,False,False
170,170,6.1166744851326525e-15,2.1741664517214028e-14,1.4006952228870582,-0.005250719030448273,False,False
1248,1248,4.215660333729194e-07,1.3129149916587877e-06,1.384920836765343,-0.001820546296156367,False,False
938,938,0.001581945839162218,0.0039061690937050443,1.3665175519744666,0.0018895021520272974,False,False
1845,1845,0.00079646480323121,0.0020308483986170374,1.3651658141055523,-0.0025876698867849457,False,False
2716,2716,0.0032256886239641095,0.007702207430350343,1.3560652826030986,-0.00118799157756782,False,False
2674,2674,0.000555308900336475,0.0014394382674224084,1.348071548305453,0.003611662474553654,False,False
1378,1378,1.891285782181211e-07,5.965288205647007e-07,1.3418528327554349,0.0012095924735408114,False,False
911,911,1.76255319364666e-05,5.0937272431774944e-05,1.3322038815819097,0.004121181553672635,False,False
1253,1253,4.989122689727626e-16,1.794874684013527e-15,1.3263561150588388,0.006669275631098364,False,False
893,893,0.000490045307007539,0.0012769573935016469,1.3226505013690113,0.0010349254969297342,False,False
34,34,0.00028624115041236183,0.0007626245371848203,1.3204174237939434,-0.006148396461172316,False,False
822,822,1.4738110876881907e-07,4.6584358980389244e-07,1.3173365084475919,-0.0011661998100381918,False,False
1911,1911,0.0001630044546850452,0.0004414208225412538,1.3128437569530784,-0.0008403189131058748,False,False
2805,2805,0.001784037280294314,0.0043784167819998845,1.3073370556868793,0.0016845762252566743,False,False
965,965,1.844303067928194e-06,5.6027548675648725e-06,1.2994908714398488,0.003449436912703048,False,False
1957,1957,0.00037229072505017685,0.000978705821035363,1.291411516486411,-0.00444129427584509,False,False
498,498,1.8318582023206365e-06,5.5706507627947225e-06,1.2898521518064596,-0.0022756716310296477,False,False
1068,1068,0.00025216875825976535,0.0006748754504192819,1.2785798600024043,-0.0007590942039358902,False,False
1004,1004,8.645181299806477e-05,0.0002378025773663172,1.269596846935663,0.0017353513431379822,False,False
1976,1976,0.00022245865303826363,0.0005969776511912897,1.2643126042048987,-0.001234153184823964,False,False
587,587,0.0007434371750384495,0.0019021737375121708,1.2580012937163065,-0.0015313086791789324,False,False
456,456,3.1132045105767e-06,9.323906142675728e-06,1.2572371045946675,-0.006316324633478027,False,False
63,63,0.004259176947212365,0.009961573821376123,1.2553202141840543,-0.014011918252894306,False,False
