,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
192,192,9.444747857674365e-10,2.9853047541616096e-09,2.9848299468193322,0.005177779258943482,False,False
2866,2866,4.92636315946804e-06,1.4348818309422123e-05,2.9077211539635455,-0.00016727950036765247,False,False
231,231,1.1587138312506322e-14,3.872818300846708e-14,2.858278409189889,0.00029135710836251764,False,False
850,850,3.0980781576006542e-06,9.104055417582913e-06,2.638399338119139,-0.0016234663500772203,False,False
908,908,2.050227199272911e-05,5.7953088832780954e-05,2.4445219159094442,-0.006377997790064917,False,False
1846,1846,5.351462484740597e-20,1.8555070858306184e-19,2.3979260248123877,0.0002869064053818509,False,False
2593,2593,0.00030491827239002985,0.0008153130022104582,2.335829378205355,0.0010658827563396218,False,False
1823,1823,1.8150697203047367e-06,5.371013888199859e-06,2.3220855712561117,0.004648018187981717,False,False
899,899,2.7078324360860352e-05,7.609387405672571e-05,2.2573310978766212,-0.0013765480337420031,False,False
1845,1845,0.00013126122569073815,0.00035939420465877384,2.179809578737559,-0.0025876806395978176,False,False
913,913,1.1460557169114363e-10,3.66540233598399e-10,2.1476489479823586,-0.0025074247571429975,False,False
1301,1301,1.6537956840746589e-25,5.850376150576386e-25,2.1426782595562783,0.0009254410866499573,False,False
665,665,1.3136123311981444e-05,3.7380646203222366e-05,2.128431085252538,-0.00031848525488419694,False,False
2429,2429,0.0006155907226888336,0.0016097561805642805,2.090212326655876,-0.0025630992621505145,False,False
2330,2330,2.533244031631568e-07,7.687799883315433e-07,2.0739864030654647,0.002703314038683696,False,False
1398,1398,1.1076238126648154e-05,3.1640302945035345e-05,2.0601791250707637,0.0016645935363778699,False,False
139,139,1.2075685489520752e-08,3.764772534968235e-08,2.04215724472673,-0.004191509299507307,False,False
431,431,3.25840716267295e-05,9.097791588723722e-05,2.019312418710936,0.0050351424333609455,False,False
2333,2333,1.9174068948825387e-06,5.668190900409736e-06,2.0152941160408755,0.001560232610114021,False,False
668,668,1.0707614391657224e-06,3.2036491446006693e-06,1.9768663090051017,0.0016199974959336186,False,False
424,424,6.223827818201192e-07,1.8772683906932049e-06,1.9612504997049518,-0.000473180702904094,False,False
2302,2302,3.6804327230240346e-13,1.2177842053439615e-12,1.942944039550969,0.004996551765726252,False,False
1355,1355,1.2780217313582448e-06,3.800770038748768e-06,1.916499600193339,-0.0017717217576836831,False,False
815,815,5.62663563357964e-10,1.7841724957761081e-09,1.9060555413980076,0.0034490505721402444,False,False
1005,1005,0.00010761377754353475,0.0002954650247448762,1.898194500113093,-0.0013150850566418333,False,False
2644,2644,3.202093056294965e-05,8.948975697818697e-05,1.8953822058799195,-0.0018979665464508725,False,False
2792,2792,9.966361822414007e-14,3.3087429405956117e-13,1.8637521082537,0.002182266736858281,False,False
1603,1603,2.0467335405970697e-08,6.334416213234726e-08,1.8228232620029494,0.0028715273392328077,False,False
2525,2525,8.37165087069433e-06,2.407660831804338e-05,1.8214625940524556,0.0014116558304706564,False,False
817,817,8.925033287887954e-12,2.8887130641713682e-11,1.8005428688553593,-0.0031904774460006988,False,False
1806,1806,3.631018933661792e-06,1.0649075291608891e-05,1.7839533457671086,-0.004377851968948965,False,False
1178,1178,1.620705906287119e-05,4.5943219960460074e-05,1.7719971105355117,-0.0026932777083433536,False,False
87,87,1.788434166014565e-08,5.546575344546738e-08,1.7480449757337035,0.00011669012874917671,False,False
982,982,4.469392286575149e-09,1.3978036150216063e-08,1.744017018605918,0.003736288042581896,False,False
1268,1268,1.9664177940709476e-05,5.563706399239821e-05,1.702493163262083,-0.0009026247423416349,False,False
218,218,1.2449062806955566e-06,3.705999840626291e-06,1.6952679289051191,-0.0021406538360093817,False,False
317,317,6.318411077806025e-13,2.081358943277279e-12,1.6829264238158304,0.0008357319851464329,False,False
1206,1206,1.1392420627937628e-06,3.4016805255250384e-06,1.634270518312522,-0.0022115314185321205,False,False
581,581,0.0007870314742313289,0.0020436652804187087,1.6253218345165028,0.0013981645752286994,False,False
2908,2908,0.0026649859513844815,0.006607934048131095,1.5997546284853217,-0.0009029030138150759,False,False
2704,2704,6.260221010745834e-12,2.0328595142115574e-11,1.5914628601783092,-0.000869296189481551,False,False
2764,2764,5.007817944301174e-06,1.45717682928293e-05,1.570232493081586,-0.001645492707478873,False,False
145,145,0.0006015731567486233,0.0015744877682803474,1.5682313368824115,0.0030330856541226146,False,False
2186,2186,0.005635170923933221,0.013412339456482599,1.55983872695115,0.005284389151664312,False,False
1105,1105,0.00016195827900030867,0.000441001992727446,1.548912901923041,0.005995791699261767,False,False
1535,1535,0.00225994386943716,0.005646055054284083,1.5457324042550928,-0.001072143115751365,False,False
1021,1021,0.010528029436287103,0.023964662484635756,1.5388137407299185,-0.010730717197682451,False,False
1145,1145,3.3809535016865184e-07,1.024991827681878e-06,1.5341129651343672,0.00010387125923004776,False,False
1878,1878,0.0004542790675380118,0.0012027656310908286,1.5179567872689415,0.00761083798546833,False,False
2549,2549,3.15559775632157e-05,8.827346032763824e-05,1.490614844187302,0.002883192741119794,False,False
1079,1079,5.574200024942725e-12,1.8120729106276022e-11,1.4627197996939818,0.0025284740895161403,False,False
979,979,3.281253549588378e-11,1.0574115673374927e-10,1.4545838176052774,0.004712456429713796,False,False
419,419,1.0984224121639925e-08,3.4280943420638586e-08,1.4510289567020638,-0.0007171627570344084,False,False
128,128,0.0005176175906631424,0.0013607520009638677,1.442088471515515,0.0038609187990047843,False,False
69,69,1.1657807435355174e-06,3.4739329787283288e-06,1.4275649827301513,0.0012354774566973204,False,False
412,412,8.692950460651355e-09,2.7158607333908655e-08,1.4261936656273522,-0.004948441404701789,False,False
2041,2041,9.066343591082958e-06,2.6024088760477968e-05,1.4176642213276909,-0.002083826759467166,False,False
772,772,6.607365281803765e-05,0.0001827647731257556,1.4059237667154567,0.0031436938772394663,False,False
1378,1378,3.1492025624691424e-06,9.245136701689828e-06,1.402796361385059,0.0012096618150332415,False,False
983,983,3.4300775960787045e-08,1.0560653843528625e-07,1.3973968632537208,0.0016842002049467985,False,False
632,632,0.001236505881027152,0.0031610245089479646,1.3905039834590975,0.0026463780789945336,False,False
1952,1952,2.3221478924845542e-10,7.394994576066693e-10,1.3823552601263982,0.0009356097320549059,False,False
126,126,1.4075005712638301e-07,4.293383037524201e-07,1.3681627968797285,-0.0018481548046048134,False,False
191,191,0.0029900045950605318,0.007376835941928228,1.3647034797289488,-0.0030636223443959738,False,False
590,590,0.0019986638028701665,0.0050101639923299445,1.352172804976482,-0.003743905848460143,False,False
1183,1183,0.00018486461098546906,0.0005019928320264156,1.2797611266187712,0.0015045852818583705,False,False
747,747,0.000494713616499169,0.0013040053408255184,1.2772138095323842,-0.0013139709123777955,False,False
