,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
775,775,8.317792896948765e-38,2.57695295596492e-37,3.8528682767676052,-0.0004987220273529862,False,False
231,231,1.2396844174851432e-25,3.561842547043471e-25,3.702122884064181,0.0002919542113121983,False,False
1843,1843,6.152635331763444e-28,1.7902962416346964e-27,3.600965102630054,0.0001151278177066806,False,False
517,517,2.6624501975962605e-14,7.303282981946119e-14,3.530840004407251,0.002539670847325049,False,False
1062,1062,2.3623945068559695e-29,6.914779976675067e-29,3.015938711359687,-0.0038409834220388297,False,False
1689,1689,8.652912287985755e-34,2.6232731022208087e-33,2.8143100068905453,-0.0011707127624093106,False,False
2129,2129,5.9041474073010945e-22,1.6689056671304428e-21,2.700011281016281,0.006173897084103302,False,False
2719,2719,6.648683259852728e-08,1.693844799591665e-07,2.6157082388965893,0.0015267153264329134,False,False
1846,1846,5.354454047323832e-30,1.5781548771059716e-29,2.6106718279051084,0.00028694776764982095,False,False
612,612,8.339924989863443e-08,2.1174420333545508e-07,2.599719863361538,0.0015272788280131617,False,False
1690,1690,4.7483484042530816e-17,1.3220542273755296e-16,2.4227176054214907,-0.0010681222822404462,False,False
1691,1691,7.276046468352121e-13,1.9721740564446663e-12,2.396764092892074,0.0007879521243566558,False,False
1078,1078,8.610024708846065e-12,2.3022120122392e-11,2.37457555804643,-0.0014720009440363823,False,False
578,578,7.054240081622709e-11,1.8660414048356683e-10,2.3617353825428924,0.00156768483499286,False,False
884,884,1.8966424884103713e-11,5.044117298926507e-11,2.3354887653896585,0.0003007338822226045,False,False
2252,2252,5.221467541706345e-10,1.3594136547179327e-09,2.3333782090780293,0.0012599588954074281,False,False
1206,1206,5.378720540997326e-12,1.4420995994290935e-11,2.322977643586619,-0.002211492064523714,False,False
137,137,1.0915748841932019e-14,2.999809496560577e-14,2.287160226678894,-0.00031660256335702946,False,False
1301,1301,4.468061650322149e-33,1.339515856379408e-32,2.282528940135978,0.00092517128357685,False,False
778,778,1.2572395099201347e-11,3.3496291431265345e-11,2.2653154107916618,0.0032698341939468483,False,False
877,877,1.4563517067554473e-08,3.7423825676624826e-08,2.1915601905712543,-0.002507454905318822,False,False
2507,2507,8.438236055896573e-15,2.323254602402693e-14,2.1900867282022762,0.0009683186005918078,False,False
2041,2041,5.449085952135871e-13,1.478326060871962e-12,2.151176880500471,-0.002083820928216197,False,False
59,59,3.8028444752509965e-12,1.0205101629787485e-11,2.1305724929675876,-0.0009349022602478359,False,False
2925,2925,2.535748635714398e-12,6.817121332246679e-12,2.114780741972593,-1.454359544163751e-05,False,False
419,419,7.656241906532469e-14,2.0885777553849603e-13,2.1109382683017146,-0.0007169814952562147,False,False
2696,2696,3.30284731002149e-10,8.621680577083363e-10,2.0948644325048473,-0.004589407760415392,False,False
2288,2288,3.200034384546078e-19,9.002561187993137e-19,2.075190871342288,0.0010518570262738876,False,False
1039,1039,1.7966256550103203e-11,4.7824080215880096e-11,2.0725149514365198,0.0025056029240419285,False,False
1363,1363,1.0382878948616961e-13,2.829787393893034e-13,2.060382961377458,0.00504565006452027,False,False
815,815,8.465431507335159e-11,2.235355935388857e-10,2.03980155124738,0.003449135915798136,False,False
2239,2239,1.4880736467266804e-30,4.399006557255764e-30,1.9716772831453173,-0.003156629459676384,False,False
2893,2893,1.9051702590232044e-13,5.182901309606664e-13,1.9551593827694642,-0.004558761670210805,False,False
2469,2469,1.7829222623113394e-08,4.57760663887548e-08,1.931685951767176,-0.001531726405016268,False,False
2408,2408,2.366853534047697e-15,6.528644320681751e-15,1.88053214085117,-0.0028908143190154905,False,False
2794,2794,9.291404621264183e-08,2.3569990526420593e-07,1.879765001991936,0.004165473843799399,False,False
1952,1952,1.0164117020870038e-34,3.0972381229920198e-34,1.8655788108215412,0.0009357293660434314,False,False
1863,1863,2.577749932255623e-21,7.279201031986295e-21,1.8584208514085345,-0.002770316236478972,False,False
2527,2527,1.209677839023562e-07,3.058197466969278e-07,1.8550814185938398,-0.0018087860278618254,False,False
1614,1614,7.885705378214776e-12,2.1104394555943602e-11,1.8150715104021764,-0.002044403945118847,False,False
776,776,1.933076885162583e-12,5.206326855864379e-12,1.783066730694682,0.0034835848211478807,False,False
390,390,1.2167094501255987e-07,3.0733562961470443e-07,1.7809879396122572,-0.0031456200686650095,False,False
472,472,7.952780612712088e-05,0.00018585710912227935,1.7740700595822647,0.003984529242549126,False,False
1385,1385,1.5949856144241235e-05,3.8269339560313646e-05,1.7433307215017464,0.005719569343209914,False,False
434,434,4.568309523852668e-09,1.1810751451911775e-08,1.709484137766162,0.000519048431904448,False,False
2280,2280,5.499422276898811e-07,1.3727742067145223e-06,1.7009589305546997,-0.0014399328882263788,False,False
2080,2080,7.849903417008525e-08,1.9947357313083307e-07,1.676336646711154,-0.0013076706205439829,False,False
1766,1766,1.1000329460278555e-07,2.7857489622957977e-07,1.6762613784368232,-0.001549921387732489,False,False
2450,2450,4.441042063404756e-05,0.0001047775265833491,1.664082909037661,0.004043405122920313,False,False
49,49,2.304841799495112e-19,6.496458177494296e-19,1.6593419052892777,-0.002022375139357073,False,False
787,787,5.390163743186319e-08,1.3755809105569213e-07,1.6490127099947227,0.0029829999687725596,False,False
2283,2283,2.9261707902897942e-05,6.953462694619783e-05,1.6433617919754437,-0.0030366347784159943,False,False
184,184,4.929041435100827e-06,1.206050699041983e-05,1.635102492111854,0.005443980928120581,False,False
2019,2019,1.157959858592502e-11,3.087892956246672e-11,1.629340245977346,-0.0008457650486993463,False,False
1127,1127,1.4955131664063362e-07,3.7743903723588483e-07,1.6132166846888372,0.003578608852636664,False,False
2904,2904,0.00022799522717914462,0.0005201305413279795,1.611371304798814,-0.000735397474355152,False,False
2290,2290,6.546359388519352e-08,1.6692091636705702e-07,1.6086519500573473,-0.0013380006632837237,False,False
459,459,9.561503552448744e-09,2.4676993516232933e-08,1.5935868334880312,-8.711631876001441e-05,False,False
334,334,3.176154032130428e-26,9.161151766144907e-26,1.5727484229143112,0.0031502606431057685,False,False
1636,1636,2.7572675951845436e-10,7.203847026855392e-10,1.548700919869708,-0.002382063970770976,False,False
412,412,3.0076616210691615e-14,8.242603593105514e-14,1.5073626156673585,-0.004948111013482782,False,False
