,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
404,404,9.308076897555908e-55,4.283158485573013e-54,7.317064641189614,0.0021170090582379487,False,False
967,967,6.15466263438623e-49,2.6745298241373836e-48,5.0923853343494185,0.007281400073278768,False,False
194,194,1.393460762571236e-83,8.440390904717201e-83,4.913674344629194,0.002683341884851833,False,False
1537,1537,1.5593845929935647e-34,5.8808811588372296e-34,4.777484950134797,-0.00038096175844026976,False,False
1602,1602,2.081871935769765e-31,7.5170266488621195e-31,4.720636274341734,-0.0016955447693419983,False,False
1256,1256,7.622005625388473e-57,3.613756021749679e-56,4.633843761013213,-0.0029086470582801015,False,False
1599,1599,3.8431243966110616e-31,1.3842710205268969e-30,4.625280928901935,-0.0004670952039704593,False,False
2738,2738,4.937461474629218e-83,2.9785336700608775e-82,4.552286683079607,0.00017704511901674332,False,False
163,163,1.3976122511904725e-78,8.085990568291077e-78,4.493121313644482,0.0008736890099062394,False,False
969,969,2.7138071008941527e-60,1.3161077574270987e-59,4.434338999286565,-0.00030270446721327067,False,False
286,286,1.547500891263188e-20,4.891355319775444e-20,4.389566340610582,-0.004261492339223733,False,False
2714,2714,3.047460432821206e-32,1.1070823212501028e-31,4.295001307852461,0.00023847697199940072,False,False
185,185,6.549838787795623e-27,2.252598090634694e-26,4.187193502145132,0.0037282178368558665,False,False
1939,1939,1.1363393517395267e-60,5.528942944201501e-60,4.103072799760416,-0.003410276322822344,False,False
1850,1850,1.2445488336334597e-24,4.141054863479942e-24,3.843104524739328,0.0020294021249148645,False,False
2197,2197,2.0780710461977108e-38,8.201748490844157e-38,3.8139869966605424,-0.0004887355234571879,False,False
1600,1600,2.2280452852508904e-35,8.521698977609076e-35,3.7969882112950453,0.0001110921324720543,False,False
226,226,7.634478242122209e-18,2.333587170197602e-17,3.7715231929798625,1.281109230327239e-05,False,False
2170,2170,5.92873162193205e-24,1.9551639393215916e-23,3.599224730240913,0.0036290666920393237,False,False
2409,2409,6.883135953161895e-25,2.303173338104228e-24,3.526690020718076,0.004665040809173119,False,False
2769,2769,2.932260411974842e-37,1.1436200923444587e-36,3.3944106296214063,0.00033165261686507637,False,False
2700,2700,1.255067370743173e-13,3.487865127683275e-13,3.3720301960636645,0.0041400912997610105,False,False
51,51,2.1000661220907028e-19,6.609752121278055e-19,3.330173726944868,-0.0008471061897379235,False,False
1595,1595,2.3194199403493029e-29,8.234495673393218e-29,3.3018217433588077,0.003407145944121991,False,False
686,686,9.037816905325754e-19,2.814715695173855e-18,3.2673906298936637,0.0013483986291202878,False,False
230,230,2.840705290130253e-21,9.056083030189678e-21,3.252291403655862,7.355621792773381e-05,False,False
355,355,1.62782391963491e-27,5.644137141911698e-27,3.216964287452012,0.00425833917665224,False,False
1189,1189,9.26289513516328e-58,4.427097062989471e-57,3.183126303184874,0.001186949120662975,False,False
1837,1837,7.939888912741582e-13,2.165954990167005e-12,3.0915373603319822,0.0008162899444725587,False,False
683,683,5.440645477561258e-24,1.796199752769946e-23,3.0625233960403415,0.0031514352225446695,False,False
2781,2781,1.759192528161294e-24,5.840361771345326e-24,3.056164766809509,0.0005277857726132835,False,False
2411,2411,2.122738341534741e-14,6.017466473424176e-14,3.0257907737919534,-0.0005069264319813149,False,False
169,169,4.1111053443993185e-25,1.3818528496236894e-24,3.0179289886484835,-0.0017131297047351356,False,False
168,168,2.5071772992477813e-26,8.572928829685962e-26,3.0081839222665,-0.0015546713872657218,False,False
129,129,1.3557344786114272e-21,4.340690326341657e-21,3.0044686791437663,0.0006676335180287058,False,False
65,65,3.2755468584874174e-13,8.993360847354908e-13,3.0002900435480417,-0.002923732922737841,False,False
35,35,8.009664375264576e-16,2.3444461406099867e-15,2.989983482026894,-0.004131713701375108,False,False
1149,1149,1.3493831287505258e-26,4.630022111134752e-26,2.9763446672949185,0.0015306045986180385,False,False
2266,2266,1.741779609456962e-14,4.951725939528987e-14,2.9189299153091914,-0.006254419538728077,False,False
1169,1169,4.0015959645218584e-14,1.1257570448057702e-13,2.8880646719882415,0.003025297989587252,False,False
2823,2823,2.3756215878624085e-14,6.727905412953844e-14,2.8758150189027063,0.001922693190749657,False,False
1265,1265,5.811671993932405e-16,1.7146165485080892e-15,2.8671303740326897,0.005357423800359612,False,False
2585,2585,2.1262996951844659e-16,6.329847036416745e-16,2.8636150130432707,0.005487907572105927,False,False
2331,2331,1.286179704966896e-63,6.448279331658357e-63,2.856823469889855,0.0014286082940285867,False,False
1796,1796,4.583171863339871e-18,1.4081629493160182e-17,2.8482454354527706,0.00573865047123717,False,False
2042,2042,2.368565304445773e-19,7.439049548777835e-19,2.847291034526988,0.0007607920844311033,False,False
1068,1068,7.182380258023978e-18,2.199928235894238e-17,2.825372566523681,-0.0007655193018386262,False,False
1042,1042,3.0176320301863094e-16,8.938454955681604e-16,2.789539773627981,0.0019333493531279522,False,False
1813,1813,3.8722774853426205e-24,1.2812619371791412e-23,2.7520505150507364,0.0024983930528994242,False,False
1772,1772,2.2909136216110997e-18,7.082741280147651e-18,2.7326057319620176,0.005382289973578001,False,False
481,481,3.8799243267438854e-14,1.0925631310982782e-13,2.7222494419260963,-0.0038886536464652465,False,False
2125,2125,5.382452667479791e-39,2.1357111653850294e-38,2.709173147511117,0.0033879474265950888,False,False
33,33,3.4836197714793584e-15,1.0028499982299453e-14,2.6856196283535265,-0.004066144500488066,False,False
2923,2923,3.041888439722498e-34,1.1413811490640169e-33,2.6443360730813805,0.0028697803028780635,False,False
2896,2896,3.1573426274314206e-18,9.720947010597983e-18,2.6174637187187657,0.001945323029618284,False,False
1780,1780,3.418264179878759e-22,1.1063694750141937e-21,2.5551639784039555,0.005749438228344133,False,False
1957,1957,2.4515929539637925e-13,6.749840340783429e-13,2.5518896408546605,-0.00443856069983242,False,False
1761,1761,1.475263366185558e-98,1.0254289627256993e-97,2.547854953394094,-0.0006102894231946095,False,False
698,698,3.5677794995973434e-22,1.1522491354521126e-21,2.5237287982451244,0.007231004005509022,False,False
747,747,1.5530505171186556e-18,4.8115385540795095e-18,2.511173588021928,-0.001314146082872697,False,False
25,25,2.712571249843838e-25,9.148763033564217e-25,2.5091149536756783,0.004734656909196408,False,False
914,914,2.6774727394112434e-14,7.575537741251259e-14,2.4981485316725682,-0.00043618788794898364,False,False
776,776,5.245811892061425e-42,2.1416189402528625e-41,2.49798467251473,0.0034851858899712785,False,False
1933,1933,8.92227760107654e-16,2.601308440078111e-15,2.4816949111560893,-0.00021817726729154996,False,False
1111,1111,7.811136887885051e-16,2.290855166328343e-15,2.443495695095842,0.0035146371053032532,False,False
2370,2370,9.571727190466973e-28,3.326567482588522e-27,2.4413012962342067,-0.0034189071062184877,False,False
1081,1081,1.6586915687941223e-43,6.904623529005547e-43,2.4264446488382183,-0.0009864256642776537,False,False
906,906,1.2086383843626778e-16,3.616168069343173e-16,2.4195330241732953,0.00026223104175576804,False,False
1107,1107,9.59790836519734e-16,2.795543869274358e-15,2.3940268858811824,-0.0009587493171819431,False,False
2665,2665,1.1867735398730504e-22,3.8664586897291035e-22,2.3887547696435614,0.005520932168226741,False,False
541,541,1.0750075177207153e-09,2.674452902426725e-09,2.3831664004883533,0.0005383235612963222,False,False
2852,2852,1.7275859593569858e-17,5.258948848586188e-17,2.381880380734117,-0.0025006765806267683,False,False
772,772,2.5969897085547864e-19,8.147849318171889e-19,2.3700381676487168,0.0031433226761875045,False,False
2595,2595,4.251222223029889e-27,1.4671659951107803e-26,2.369603059267817,0.002081001481331791,False,False
1253,1253,1.1171139553469725e-87,6.90748795722878e-87,2.3596122011574336,0.006669195756248152,False,False
1378,1378,8.1433329368867945e-25,2.7217806482747754e-24,2.345466308648139,0.001209568760917614,False,False
1341,1341,3.703227534898846e-33,1.3619800896629214e-32,2.3163767552942147,0.0004486958884815312,False,False
685,685,1.8212053768006766e-26,6.241729282152896e-26,2.3069403917242646,0.0031426617826380665,False,False
803,803,4.5532967113717984e-14,1.2773331417156425e-13,2.3035761987823036,0.0006653974756821507,False,False
859,859,6.218888010981435e-18,1.9087548724501446e-17,2.294378936108137,-0.004588626755637297,False,False
1663,1663,3.5628512932505886e-14,1.005184661441801e-13,2.257756804147386,0.005292823957895757,False,False
2019,2019,1.289951739487515e-42,5.3322796139261066e-42,2.2552011458184564,-0.0008459562930268547,False,False
684,684,6.469417103614024e-16,1.9067755673809757e-15,2.252400395584818,0.0016175567073715659,False,False
758,758,7.387655610128593e-14,2.0646480085557123e-13,2.2505163007877487,-0.003425673081483226,False,False
2400,2400,1.1730407702852794e-23,3.847055255477027e-23,2.2473202961294154,-0.00926236678725131,False,False
739,739,1.827829212652525e-08,4.371472282959464e-08,2.2353330123189763,0.002740502537661772,False,False
1447,1447,4.6465514150571895e-15,1.3324603478154337e-14,2.2278664100527314,-0.007770034101185057,False,False
1248,1248,3.622466458783638e-21,1.1523558895680427e-20,2.2054117894943954,-0.001820286826261363,False,False
301,301,1.8736535886382235e-15,5.420081726197122e-15,2.2014281926377617,0.009511869132686968,False,False
254,254,3.3297432244758663e-16,9.85311853464045e-16,2.190967758037345,0.0016294842763266903,False,False
548,548,4.778995778623773e-31,1.719279935873377e-30,2.1758267991344202,-0.0033383828372674984,False,False
34,34,2.710388265572517e-12,7.313120338381119e-12,2.175193721591293,-0.0061479081024741564,False,False
1336,1336,1.6783552982271945e-35,6.43586372756888e-35,2.167587602430379,0.0026430779284845407,False,False
2043,2043,3.4403809578710614e-12,9.249140111377999e-12,2.1492347025939162,-0.0012527939894306141,False,False
2270,2270,9.252893893950374e-18,2.825369246630114e-17,2.0990868921016017,0.0018546872072579875,False,False
