,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2866,2866,4.1190929403964185e-72,2.469791484261933e-71,3.5183064825357437,-0.00014999551957577822,False,False
192,192,1.7797581360682176e-103,1.3107499126179826e-102,3.0163006206325242,0.00518893524662184,False,False
850,850,5.2498341799395535e-67,2.9735701996298844e-66,2.873466040892403,-0.0016324565854156023,False,False
1355,1355,7.86713754377399e-88,5.2471155572856645e-87,2.5689034585787343,-0.0017638441126842028,False,False
1603,1603,2.3667519498837961e-113,1.888311770767502e-112,2.5225053125961936,0.0028689080187894456,False,False
2644,2644,3.397899430802514e-63,1.8606947436571701e-62,2.34254269360564,-0.0018906500523849165,False,False
231,231,6.014684500503275e-118,4.9725859603046575e-117,2.335130483204056,0.0002767498816469982,False,False
668,668,7.322016335967409e-68,4.2034322021569184e-67,2.1923403341068934,0.0016332242651442806,False,False
982,982,1.3594090964346847e-137,1.2890499035840715e-136,2.1485692473013422,0.003738946038439026,False,False
2593,2593,3.2735343546658007e-36,1.336430531588459e-35,2.1479924846710716,0.0010560644518537998,False,False
218,218,2.644522941930157e-82,1.7025909092513464e-81,2.1252358155513145,-0.0021468927322081215,False,False
1301,1301,5.3857108e-316,1.149984866e-314,2.1065811583818643,0.0009260542459472026,False,False
2302,2302,4.1887145606130314e-164,4.570626770551278e-163,2.0984333996803715,0.004994226483605143,False,False
1398,1398,2.7603094401209174e-54,1.3885760030981157e-53,2.0747328225919563,0.0016710697499209733,False,False
317,317,2.534559020788389e-141,2.450348916514638e-140,1.990332000777418,0.000842131964572064,False,False
87,87,1.066615871457457e-100,7.646656778951045e-100,1.9667850606280306,0.00012093881427732017,False,False
908,908,1.8458458602202352e-40,8.104246321203637e-40,1.9628246495184196,-0.006377956741464394,False,False
2908,2908,1.02451422446594e-34,4.103587339021471e-34,1.9588190526545235,-0.000904378758069032,False,False
2704,2704,2.4351481575423167e-180,2.9026183660986328e-179,1.944208419722522,-0.0008672859108486732,False,False
139,139,1.6655298143785758e-80,1.0562590788623104e-79,1.9381671958945796,-0.004184397864092047,False,False
