,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
662,662,1.0800890018963354e-68,8.391895700597706e-68,9.039783116021598,-0.002359565801343451,False,False
1393,1393,3.1032496169900636e-77,2.516514989952598e-76,7.338682629301382,0.002641114986114891,False,False
2757,2757,9.761390343994047e-41,5.4767120115263385e-40,5.787827489680942,-0.002831749107846785,False,False
38,38,1.1009037030629215e-35,5.783154319806638e-35,5.441646207622331,-0.0012399848490475922,False,False
378,378,1.7179978195710751e-40,9.602669545173166e-40,5.421793691289622,-0.0013335402225504202,False,False
1659,1659,9.939528612963669e-39,5.383306737824119e-38,4.652110609397497,0.006504444850423051,False,False
856,856,3.1860744695378063e-80,2.6267413959967245e-79,4.494728569446434,-0.0008665469853480247,False,False
2543,2543,4.974416510395312e-25,2.2235042474176635e-24,4.341725725077905,-0.0010736633659847936,False,False
1164,1164,2.8862052059980165e-47,1.7809266219131212e-46,4.206662004059911,-0.0004514065956992483,False,False
2445,2445,1.6631143488265628e-21,7.041545488327016e-21,4.133550625959815,0.0056521111361095555,False,False
2318,2318,2.4197657061405807e-40,1.3438963614705852e-39,4.089326211697193,0.0013929443271531172,False,False
1647,1647,5.629748592222472e-38,3.0106475354443777e-37,4.0531781242169185,0.0001353691449059828,False,False
2922,2922,3.2936298227901e-34,1.688340814169433e-33,4.03395505901191,0.0005740516077817163,False,False
528,528,2.9592218666888277e-24,1.3069896577875656e-23,3.8421889858463754,-0.000911201212182286,False,False
1906,1906,4.7911118093414865e-84,4.039778366512935e-83,3.8143618059758087,-0.0014757088220517661,False,False
1559,1559,1.2066432756590001e-25,5.434472294622022e-25,3.5899215255820076,-0.0019699776083586563,False,False
1982,1982,4.6659219862621236e-35,2.4252988538049006e-34,3.580603670822839,4.620416444976912e-05,False,False
2481,2481,2.157835040185222e-22,9.268385527163154e-22,3.400926487944525,-0.005508532947392097,False,False
1091,1091,1.2592143934455378e-21,5.346707181325259e-21,3.3482055798473507,-0.0017126389141846974,False,False
1901,1901,1.0119787312931885e-19,4.16004553251826e-19,3.304044711830607,0.0016979768947437482,False,False
