,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1631,1631,8.990464513223879e-11,3.2620658527198623e-10,3.3885157207054926,-0.002788713530513128,False,False
2961,2961,7.536935844592378e-25,3.0352273523405938e-24,2.889137072830829,-0.0003260456894087498,False,False
142,142,4.851954831773345e-12,1.8023281527788845e-11,2.761121172881217,0.002808166209680297,False,False
2591,2591,2.690283526248619e-07,9.156836589341629e-07,2.730489340500741,0.004734341173745765,False,False
2960,2960,9.955421426152614e-22,3.944952041765148e-21,2.7116708381134527,-0.0007821121334198873,False,False
164,164,3.3325660531099995e-12,1.2457249427746195e-11,2.6812360062331546,-0.0014354656339824524,False,False
651,651,2.2127890244015245e-12,8.292370990433995e-12,2.649180852215192,0.002848055537381187,False,False
1832,1832,1.4121758501511712e-11,5.219598908155263e-11,2.6319770927744752,-0.002220780872773777,False,False
1122,1122,4.729425212922246e-11,1.7329548187596574e-10,2.5973954766869345,0.001822050618368272,False,False
2152,2152,2.407255110761897e-11,8.875444930113428e-11,2.5049514273604587,-0.000525978142215664,False,False
1909,1909,9.612900428161148e-10,3.4333439796368578e-09,2.435675807378219,0.0011882401883630462,False,False
1229,1229,3.119552894629756e-11,1.1444787381039697e-10,2.339660852628385,0.0031309457216146326,False,False
2761,2761,4.0740433348931053e-14,1.5582165744797342e-13,2.321675169929707,-0.0033693172917888636,False,False
2350,2350,1.6918842634341112e-16,6.546952404005792e-16,2.285702784896928,-0.00020233145951847106,False,False
514,514,1.4093817718114476e-09,5.003642462603321e-09,2.2825696615632687,0.0006213830444710446,False,False
1172,1172,3.6142652391000244e-12,1.3476305564885517e-11,2.2715831436225375,-0.00018514249571751013,False,False
1597,1597,2.0107940470198195e-19,7.915168078985178e-19,2.235046408815711,0.002084464087137126,False,False
897,897,1.4167068884483762e-06,4.703340094982976e-06,2.201342094159077,0.0035037345285086376,False,False
2613,2613,9.759175712766685e-10,3.477218909422751e-09,2.170977445308283,-0.002911294296284737,False,False
2207,2207,1.463811998271525e-13,5.555746816969164e-13,2.1004585330154857,-0.0035784337050105935,False,False
313,313,6.138112024775539e-07,2.063184200400204e-06,2.079510013502485,0.002278567855746302,False,False
2801,2801,7.016626435054847e-09,2.4645381371884957e-08,2.0752086046598452,0.002014769879156487,False,False
1920,1920,1.5090348669899618e-09,5.351034032528324e-09,2.0600484124617706,0.008871561141096416,False,False
1377,1377,1.3577866651819198e-22,5.394793604096303e-22,2.011208207561798,0.004432988796462203,False,False
872,872,1.4768003352854312e-15,5.685010888621478e-15,2.0003413910576335,0.003723272349889572,False,False
2332,2332,1.1322439514608736e-09,4.029376556278025e-09,1.9398263373843208,-0.0018504869368660098,False,False
2498,2498,8.259582421495675e-11,3.0005435283964704e-10,1.9390290845980533,0.0005858310232500054,False,False
2638,2638,0.0001059529283212299,0.0003262119203915045,1.9077960128787153,0.002745464671312309,False,False
2178,2178,4.3972813555610635e-13,1.6668111191960712e-12,1.9019290611366995,0.0028946666533140996,False,False
182,182,1.3706713291860446e-12,5.149560132942e-12,1.8908599408021085,0.0018774427754977363,False,False
233,233,7.481850933256926e-10,2.6819001896022413e-09,1.8613799957321717,0.0016167129354246403,False,False
1310,1310,2.0819287837874488e-08,7.252540645869891e-08,1.8406747169452795,0.001380678210236394,False,False
849,849,4.760181558717371e-13,1.8020687329430047e-12,1.8328484225380082,0.003413581606478566,False,False
1461,1461,2.1308700467657717e-05,6.815110235776735e-05,1.8168308895614669,0.010095987203455743,False,False
1938,1938,0.001155502039841914,0.0032693327495241188,1.8158135621319746,-0.0013975856892379885,False,False
1110,1110,1.914728373950274e-05,6.14369060960477e-05,1.80293122434259,0.0036591811994746174,False,False
2760,2760,4.071187230356017e-09,1.4384861547257927e-08,1.788165291580715,1.616976591163697e-06,False,False
2061,2061,1.4892285440119765e-06,4.938581361595023e-06,1.7749676936368768,-0.001427294145402253,False,False
1523,1523,1.7489415608345505e-06,5.786910315002169e-06,1.7702372654779073,-0.0006312501142117129,False,False
303,303,1.8150422156364457e-11,6.70030509453852e-11,1.7597747610394154,0.003758429503909085,False,False
1488,1488,0.0015785656704246978,0.004403367396447842,1.7506699941282806,0.004281780431457135,False,False
1358,1358,3.869746709625385e-08,1.3386256683179654e-07,1.7295013282428555,0.0016305792683220417,False,False
672,672,1.2325864947585119e-06,4.1104682207227675e-06,1.7255605354999008,-0.0017959002675627244,False,False
572,572,1.06708400282594e-05,3.45753855937488e-05,1.720465805090741,-0.0024924882494991706,False,False
2897,2897,2.4441148413939585e-21,9.672177132343025e-21,1.7030651852846357,0.0009171785181993012,False,False
447,447,5.804263506884487e-10,2.0830778825191242e-09,1.6761820678983899,0.0005451734456545499,False,False
826,826,2.9783539611225934e-07,1.012572114159434e-06,1.6643515912852966,0.006801376246107051,False,False
682,682,7.769110817286609e-17,3.014211883098909e-16,1.6417485981533626,0.002177111668489215,False,False
2929,2929,7.047317938385233e-15,2.7023823825745956e-14,1.6370729702338735,0.0079259281346116,False,False
675,675,3.7396304908336545e-06,1.2291498667546275e-05,1.6160280198332142,0.0007988700305699055,False,False
1560,1560,2.76989926727722e-11,1.018718838324509e-10,1.6093664452622845,-0.0019550260273214,False,False
1230,1230,3.3833418327267946e-07,1.1489426269488702e-06,1.5905329441907567,0.002282710195751197,False,False
2880,2880,1.0504098032756068e-11,3.892155176182273e-11,1.583426095451924,0.0036379540499003583,False,False
2236,2236,4.809701799716156e-05,0.00015122028539785542,1.5729222493401165,0.003934821380036218,False,False
171,171,9.731729694709324e-10,3.4716074199395764e-09,1.5642556841462716,0.0055400078132687245,False,False
91,91,0.0009393653192689343,0.0026782288833719467,1.5625147272848403,0.0006150942724133203,False,False
1629,1629,1.738879146326061e-05,5.585490591229165e-05,1.5589422482370217,0.00351574518303347,False,False
2495,2495,1.7519265409187103e-08,6.110126878315784e-08,1.526575457141991,-0.00012252992092807872,False,False
1264,1264,5.70002429587462e-13,2.155117466261894e-12,1.5200211860571273,0.0009540149887169998,False,False
1457,1457,1.2653279131376584e-06,4.21019422218898e-06,1.5114723157796053,-0.004304900220254573,False,False
2819,2819,8.517867473332816e-10,3.0495815031184314e-09,1.5022373653916465,-0.0045414181319376615,False,False
2796,2796,5.030976142314711e-05,0.00015734391138451067,1.4916851458842237,0.001963013501369976,False,False
243,243,4.1661747058385406e-07,1.4083378732265133e-06,1.456793175766454,-0.00021238479259405325,False,False
109,109,4.301385082657574e-08,1.4793176043253394e-07,1.4531971933747443,0.0027478045648530874,False,False
2594,2594,2.2195111225794748e-08,7.71371078666965e-08,1.4506367622018466,0.0016694552740282747,False,False
1965,1965,5.60531145143764e-16,2.1634023911400412e-15,1.4482317482361418,0.006605304246617904,False,False
1765,1765,4.105886880898662e-14,1.5683748085594888e-13,1.4466025443240365,0.00038842869451104906,False,False
1555,1555,4.0575211909353684e-24,1.6251987712140586e-23,1.4174834207030798,0.003111902198975208,False,False
2160,2160,0.0008195024740324525,0.002356863704387906,1.3680100084332323,-0.002148918796886475,False,False
1478,1478,2.4757843200684093e-07,8.436426936811756e-07,1.3618184217187972,-0.0036162408585030327,False,False
437,437,9.47189161479096e-05,0.0002922305022110142,1.3569875143545853,0.0016115652775615548,False,False
1245,1245,0.0005151595326768479,0.00151235755982679,1.3498489579310358,-0.002432409236145654,False,False
200,200,4.8562294207067414e-05,0.00015252157587997467,1.3483629159716772,-0.0008019878976530846,False,False
222,222,2.0568900395910585e-05,6.585598314461987e-05,1.3370969999541376,-0.0075410831416374445,False,False
1860,1860,5.135620509240561e-07,1.730138668720316e-06,1.3307670626023849,0.00013818637027482208,False,False
2748,2748,0.0006422181774377335,0.001874241446052304,1.310166484888302,-0.00045700500948466123,False,False
1683,1683,4.40460114373509e-05,0.0001386305004730196,1.283752553472646,0.00027817243631689617,False,False
2053,2053,3.976871565469133e-06,1.304238100145015e-05,1.2813491154092478,0.00027128852228877425,False,False
485,485,8.93014514357828e-06,2.909404037995646e-05,1.2810832515608934,-0.0023362444979803908,False,False
1945,1945,0.00015933160837250162,0.00048502175758931775,1.2602521603269434,-0.0018975089988849721,False,False
2573,2573,3.509060584656004e-07,1.1902733503153164e-06,1.2547372619418464,0.0005441130993555608,False,False
225,225,5.1681122112138755e-05,0.0001614627057145556,1.2525698392476008,0.00296312066294798,False,False
2754,2754,5.350548306113633e-10,1.924900287581244e-09,1.251864702821232,-0.0011039366641771879,False,False
2423,2423,1.1850133778085312e-08,4.1475468223298594e-08,1.2409987275876713,0.0008838881434926435,False,False
1048,1048,0.0004424213254570691,0.001306573625827444,1.2383690332468222,0.00027547327056409135,False,False
1702,1702,0.003641289071329105,0.009666677963957768,1.223571885969719,-0.002011337831715522,False,False
2428,2428,0.0009327371751148222,0.002661888399750762,1.2229982922541518,-0.0013013390584066767,False,False
2121,2121,1.337097316581136e-05,4.308908616300556e-05,1.2094950052255138,-0.0009364333366022333,False,False
2380,2380,0.00040125895694691384,0.0011921287129313715,1.2054286477644172,0.000536284318897669,False,False
2352,2352,0.00021696068437377337,0.0006557426794514861,1.1998508822465743,0.003473455203761396,False,False
1660,1660,0.0008884754726455371,0.0025453621648764036,1.1995380165810403,0.002487330778012519,False,False
29,29,0.013794349040637071,0.033044090357232304,1.1956292120233147,-0.007885080908233696,False,False
201,201,0.00017796297897721547,0.0005400757889615291,1.194176469868826,-0.002378428422709904,False,False
1696,1696,1.0614481627000746e-05,3.4430362261134665e-05,1.193265075354675,0.0047275713861158536,False,False
84,84,6.603503489479778e-07,2.2171038865131205e-06,1.1853635259412654,-0.0021549638432719342,False,False
888,888,0.0012150503561555149,0.0034280127918912243,1.181177843087699,0.00018115372343610126,False,False
1009,1009,0.0036916035728976845,0.009782749468178864,1.164613422748402,0.002699800824529958,False,False
104,104,5.374741678850748e-05,0.0001677416751086122,1.1608857029477577,0.0009320638402718265,False,False
2088,2088,0.021313826770002053,0.04915263236469782,1.1602491120627578,-0.001877029061477925,False,False
1653,1653,5.0060868526148094e-05,0.00015673065167258178,1.1555623180248031,0.0011994516623973737,False,False
1371,1371,0.00013801520830301756,0.00042142915457135405,1.1492197722894317,-0.0016650787218673569,False,False
122,122,0.0007484427930079723,0.0021608737447934455,1.1463017063326641,0.0008644039785718952,False,False
1408,1408,0.005936797225557377,0.015176928652415414,1.143678297630198,0.0022755148468051184,False,False
1086,1086,0.0037786178943577838,0.00999548833373788,1.141797062044699,-0.0003061774554067977,False,False
821,821,0.00012578462733818876,0.00038527221252811585,1.1415010027706964,0.0013806008619348061,False,False
2259,2259,0.0009733778984948248,0.0027672275888243674,1.1394879206915642,-0.0018349972635856866,False,False
429,429,7.354310891038888e-06,2.401275547261102e-05,1.137147637546334,0.003602271749129732,False,False
1175,1175,0.015945083741255524,0.03761924367571256,1.1327364478162816,-0.01329327080402338,False,False
1626,1626,0.000704984469561092,0.0020433534234934776,1.1288133532469682,0.0025270372371923554,False,False
768,768,0.002455203324597563,0.006649719496219007,1.1245901251027424,-0.002051703675538254,False,False
