,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
775,775,1.508951694577711e-54,6.975963597362378e-54,2.189554043180265,-0.0034899104797801415,False,False
380,380,6.484677726772536e-40,2.5458364408810698e-39,1.8329143872899152,-0.004583041804310958,False,False
2239,2239,1.2272497823563682e-63,6.205242511130666e-63,1.762930783090459,0.0006296585747555591,False,False
1843,1843,1.4834618838852346e-22,4.790984626084196e-22,1.678340054136356,-0.0014467065354279926,False,False
1689,1689,1.1292300384992987e-31,3.994701733332442e-31,1.583679925721224,-0.0018450153692447574,False,False
1062,1062,1.504834128978244e-29,5.151496764483769e-29,1.4964780305337697,-0.006816384430926341,False,False
334,334,1.1361845026722469e-48,4.995845339157376e-48,1.4763336717350763,-0.004876582644469371,False,False
1761,1761,3.690098718125283e-58,1.7722027500640518e-57,1.4730954305561976,-0.002725797146027757,False,False
170,170,1.4525119745110474e-57,6.908742853123058e-57,1.4435392392285549,-0.0025187943887117733,False,False
1846,1846,2.2905487382028714e-41,9.100868346701636e-41,1.4303883668211732,-0.004687644307842932,False,False
49,49,3.2135502480766535e-38,1.2386775501677284e-37,1.3686588368327688,-0.002482935897659826,False,False
2014,2014,1.842534120964464e-21,5.905660119894739e-21,1.3629540218188299,-0.004179926764067778,False,False
41,41,3.6252278240391614e-13,1.0355799982433333e-12,1.3425198682225894,-0.0023975535907541983,False,False
412,412,1.2250189937778032e-32,4.4124470552579124e-32,1.2899958197980024,-0.004116614381317099,False,False
1690,1690,3.127462963884068e-18,9.750325710932684e-18,1.2131629064286578,-0.0028917826557009405,False,False
2737,2737,2.3138421446165452e-17,7.101844348729997e-17,1.1487528400641465,-0.0036980913892845,False,False
2118,2118,2.558111756485507e-11,7.004128868310872e-11,1.0765159393273027,0.00044807048258374126,False,False
2041,2041,2.0592354232311208e-13,5.910842104593778e-13,1.0306004122688663,-0.0056292337098028805,False,False
1605,1605,1.725119423676708e-08,4.4101244181502747e-08,1.0206505918075361,0.0003214729951675731,False,False
966,966,4.835220645583995e-12,1.3437204940162265e-11,0.9946086503001542,-0.005043346779640257,False,False
2408,2408,1.2819037904605503e-14,3.755864215288167e-14,0.9802266064962097,0.00010409857010839144,False,False
1363,1363,5.337780941697285e-12,1.481995681474045e-11,0.978632315566085,0.0010378155805146052,False,False
498,498,4.527272421020732e-10,1.2029493774028229e-09,0.9751655023902335,-0.0004870795045030683,False,False
965,965,7.440301286186749e-10,1.9576962958689955e-09,0.9531683691193372,-0.000985397715560078,False,False
2128,2128,2.7848236266065458e-08,7.0704504052765e-08,0.9525989211261858,-0.006473830430410003,False,False
2507,2507,7.449491604099381e-12,2.06443427460009e-11,0.9476996570614185,0.0010000257993938756,False,False
1301,1301,2.9037709679255202e-24,9.51257420839177e-24,0.9444499276430041,-0.004276478496582621,False,False
1743,1743,1.67293962744971e-12,4.684230956859188e-12,0.9353367053660732,-0.005080735807843674,False,False
1636,1636,4.939081413796054e-13,1.4054835701003536e-12,0.9222184666666928,-0.003234086721432848,False,False
39,39,1.695033428254612e-07,4.164618555512987e-07,0.9200058253415957,0.0035719085662821626,False,False
776,776,4.198389845392494e-12,1.168932557328792e-11,0.918244605640435,0.001777877500972273,False,False
1065,1065,2.5676738783976184e-13,7.341865193722669e-13,0.9019533411131178,-0.00028907964778972575,False,False
1705,1705,7.967831432881754e-11,2.153781757084977e-10,0.8942264642667197,-0.006456992823759193,False,False
1213,1213,8.707990532924701e-10,2.28517381978077e-09,0.876342219841087,0.0005967540856626915,False,False
1863,1863,3.0857808665207045e-16,9.288638551555225e-16,0.8716101827038018,-0.005986753358644219,False,False
1385,1385,4.264684185419259e-06,9.796890605514212e-06,0.8379809537998716,-0.0023228682251214446,False,False
234,234,7.25674971338868e-15,2.138831494472453e-14,0.8188307749766595,-0.0024795680676686534,False,False
1078,1078,6.88903842798689e-08,1.722549793956621e-07,0.8028515010859593,0.0010831766990675212,False,False
1030,1030,8.484950882298382e-06,1.9268044543734965e-05,0.7964938647862126,-0.00024034237867223565,False,False
1212,1212,5.475624014656798e-07,1.3106171028630141e-06,0.7957239143297457,0.003843370211574798,False,False
137,137,1.1421164665649255e-08,2.9298199418882448e-08,0.7951436991981443,0.0018129857203195202,False,False
1766,1766,3.364813533389981e-07,8.165794413002014e-07,0.7792666370825385,-0.002569099582792002,False,False
1952,1952,2.832426690840921e-17,8.675585571120592e-17,0.7682111925597754,-0.0042925936037122095,False,False
578,578,8.131453567333853e-07,1.926109671815393e-06,0.7632045155883393,-0.0051130078321045686,False,False
473,473,1.3708947740534946e-05,3.073123632470372e-05,0.7630133457031102,0.002947513338533149,False,False
1553,1553,1.3030165537256453e-16,3.950309633766818e-16,0.75316618586808,-0.0019375656411914537,False,False
778,778,1.173906373531982e-07,2.896221210841997e-07,0.7489109360322396,-0.0014419258822937816,False,False
318,318,4.862583199603669e-09,1.2615513056314415e-08,0.7398576469379297,0.002261980092260936,False,False
190,190,1.1590821181124556e-07,2.8634517096989685e-07,0.7234287184442594,0.006442770221190331,False,False
1039,1039,3.3907783504690093e-07,8.208670590694959e-07,0.7204607711785608,-0.0017739831787424811,False,False
1344,1344,1.1151956468513641e-05,2.5208687584576152e-05,0.7171930282569866,-0.0014233823034777823,False,False
2637,2637,1.1695646006562476e-06,2.746256119262455e-06,0.7143205444627578,-0.0035258405003342676,False,False
2288,2288,1.1255036992940959e-09,2.94316738282368e-09,0.7102972636171481,-0.002665811774339387,False,False
792,792,1.7593465900564442e-06,4.111606834084667e-06,0.6842496048622877,0.0021538690785912955,False,False
2875,2875,0.002089077829490944,0.003914383205763335,0.6774785755105899,-0.004429190534222747,False,False
2300,2300,0.00023013754863123514,0.0004753293280010479,0.6743674545355178,0.0013463045183004314,False,False
657,657,0.00042326834953167837,0.0008563465994615006,0.6651938819676523,-0.0006394723743089084,False,False
708,708,2.353231483624973e-05,5.208345297090917e-05,0.6610975101749439,-0.0047937369512174,False,False
2719,2719,0.00015978402028751312,0.00033350138692921164,0.6483874353479887,-0.0013390812368217035,False,False
829,829,2.9198743205031192e-05,6.433694865072945e-05,0.6475367628021225,-0.0027513459602679824,False,False
1718,1718,3.387654336669806e-05,7.414865834244825e-05,0.6421344840816536,-0.0037322778125388834,False,False
418,418,4.3063948390465e-09,1.1192101473108591e-08,0.6404573643586324,-0.006228769607769201,False,False
2290,2290,4.591175270315935e-06,1.053875344338569e-05,0.6380570381063234,-0.0023797408650423606,False,False
2701,2701,0.00013259456115824654,0.0002785142657591477,0.6364644193043939,0.0051796390302407975,False,False
454,454,3.293630305998486e-05,7.214387268046868e-05,0.6348153236840657,-0.0003597496645715865,False,False
2607,2607,3.522392718132919e-07,8.492657666465072e-07,0.6345283148711011,0.0003691312241449712,False,False
2527,2527,4.8352038923222935e-05,0.00010475098651396034,0.6339566595818168,0.002664469480922144,False,False
