,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2961,2961,0.0,0.0,2.53036500573195,0.0005973098242425118,False,False
2960,2960,0.0,0.0,2.3855677707290974,-0.00035434216005240937,False,False
1400,1400,4.330622275144979e-230,5.492857654970213e-229,2.316202911065518,0.0006049791025081463,False,False
872,872,0.0,0.0,2.2405902011679,0.0036560693084517065,False,False
1597,1597,0.0,0.0,2.139055223487419,0.0003507080795791123,False,False
2332,2332,9.799313520773257e-301,1.8525071674939509e-299,2.1257413908002727,0.0011653865153299775,False,False
83,83,0.0,0.0,2.0760263766642764,0.00019858864568414458,False,False
2880,2880,0.0,0.0,2.066185916342871,0.003236628361239058,False,False
1122,1122,1.283914214883689e-255,1.9847173905077027e-254,2.029559620352957,0.0024457027489208777,False,False
2801,2801,1.9117007441027884e-194,2.0783618346143137e-193,1.9116985338554673,0.002918899586956611,False,False
1124,1124,1.4686060983698372e-131,1.0924368170330017e-130,1.8998666219262275,0.004516231764209025,False,False
2350,2350,0.0,0.0,1.8636890071745833,0.0003710910253106464,False,False
1480,1480,5.860424451257402e-231,7.497301625574124e-230,1.8354830785111538,-0.0007080006190041677,False,False
313,313,3.036059719526317e-150,2.4961288774388117e-149,1.8077799948721003,0.008099031258894045,False,False
793,793,2.7882676395842985e-231,3.5825014520719475e-230,1.8010093066305233,-0.0002245380668155078,False,False
1842,1842,5.614957e-318,1.14145157e-316,1.794217249544577,0.004955941076844647,False,False
2897,2897,0.0,0.0,1.790193425206918,-0.001948504102084067,False,False
1264,1264,0.0,0.0,1.787934239607353,0.0020249203817448713,False,False
1457,1457,1.2931742332296883e-263,2.074670877959846e-262,1.7755739539789996,0.00660524606821139,False,False
1832,1832,4.3012284001764755e-247,6.167171928368976e-246,1.7663904136393118,-0.0019370627595128864,False,False
164,164,1.3819872563177191e-218,1.6673732425817035e-217,1.7507649836397496,-0.0016823243300623514,False,False
1683,1683,3.428015939941314e-179,3.4257075116989295e-178,1.6721751143197927,0.0017915146181301037,False,False
2761,2761,1.4624976357896514e-257,2.284575254222992e-256,1.6534358363116606,0.0028393238812579533,False,False
30,30,2.5871919356167e-225,3.2263805314749434e-224,1.6272654781804698,0.0060923716318672175,False,False
1172,1172,7.1223288427721706e-211,8.225319846438834e-210,1.613799301111406,-0.003598586831876298,False,False
2594,2594,7.886704891592283e-256,1.2255361318453348e-254,1.6083997875494955,0.004001894065617205,False,False
1909,1909,2.563436561346808e-202,2.8283567710324634e-201,1.5871805358392952,-0.003064858791762645,False,False
651,651,7.611260928347656e-187,7.95430367441403e-186,1.5821599323039828,0.0018565568332702467,False,False
294,294,0.0,0.0,1.5661941056427005,-1.4152365650429988e-05,False,False
233,233,5.177087961455365e-204,5.776540251729145e-203,1.564649647693374,0.0035013923662027407,False,False
1555,1555,0.0,0.0,1.5620117347987776,0.004184357506682147,False,False
2260,2260,6.330364706608275e-114,4.175227210936302e-113,1.554725781160758,0.00448740276988592,False,False
2536,2536,1.4745247288548537e-83,7.971565382953016e-83,1.5497160447791967,0.00011411938649533854,False,False
1377,1377,0.0,0.0,1.5185896572236346,0.0009201289165504251,False,False
2053,2053,2.812360457174095e-163,2.5371081571102474e-162,1.5065416544680432,0.001240653654444611,False,False
1865,1865,2.292715674207622e-248,3.303291320897195e-247,1.478690923723224,0.0016098820603695566,False,False
1629,1629,1.092899623996421e-129,8.068970358262134e-129,1.4696938501982761,-0.0034525799781844058,False,False
37,37,0.0,0.0,1.4685706153821176,-0.0021240653668990195,False,False
2498,2498,1.7289823922329258e-202,1.9147834851295984e-201,1.4549661105171816,0.0046290006040551335,False,False
2497,2497,2.1277645777513235e-238,2.8446870571017696e-237,1.4497358171348047,-0.0003805204367684223,False,False
682,682,0.0,0.0,1.4428272149306094,0.0013469468107778007,False,False
