,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
164,164,4.675404782957825e-267,6.869604651395458e-266,2.7336103618989607,-0.001691174578256363,False,False
1597,1597,0.0,0.0,2.4241964714719226,0.0003507520793836344,False,False
2497,2497,6.9342487026e-314,1.247324251473e-312,2.2791601805843715,-0.00038043106638156743,False,False
1909,1909,1.0275049114151625e-241,1.3553931453689788e-240,2.272650336279575,-0.003076206840415055,False,False
2961,2961,0.0,0.0,2.2448810500688547,0.0005769729441189725,False,False
142,142,8.10997913998219e-188,8.658423772470195e-187,2.2414138583296292,0.0001075972965483285,False,False
83,83,3.592912914898267e-275,5.413078949958404e-274,2.1538620053199584,0.00020968982944542802,False,False
2960,2960,3.7619305749487437e-299,6.2376591879597045e-298,2.110062044239665,-0.0003347150637650065,False,False
2761,2761,9.675500300340247e-245,1.3053129496095388e-243,2.0469282718761224,0.0028394347464046413,False,False
201,201,1.9711580031870935e-145,1.6763315052891958e-144,1.9986961405259858,-0.0006979211178390829,False,False
2350,2350,0.0,0.0,1.8956737440172284,0.0003876489243056988,False,False
84,84,3.124553090225941e-218,3.769786004792924e-217,1.8931513120982284,-0.00035655377671656163,False,False
447,447,9.37224686370586e-224,1.1542252569078421e-222,1.8858479882124717,0.0034190862887091417,False,False
2897,2897,0.0,0.0,1.883687945236671,-0.001958399159882371,False,False
203,203,9.084628611949772e-156,8.270913411124823e-155,1.8562271797782253,-0.0034027988813473756,False,False
1832,1832,2.4882635376277774e-195,2.7151346248820747e-194,1.835176782784425,-0.0019531167426861812,False,False
429,429,8.112577217558826e-195,8.819827539089597e-194,1.7801181010779281,-0.0024157964434974658,False,False
1172,1172,6.497200662389741e-207,7.503381932285118e-206,1.7792299772944147,-0.003598966921817638,False,False
2423,2423,0.0,0.0,1.7191099912833872,-0.00489352901321935,False,False
1310,1310,1.5363660395457617e-158,1.4161286973204411e-157,1.7127470524091746,-0.0015481293060632048,False,False
86,86,1.3991297800721833e-90,8.854194429113518e-90,1.7046237528653088,-0.0006802021680676479,False,False
514,514,2.5626376016303602e-166,2.485590980927748e-165,1.6850455649840992,-0.0014889391644390473,False,False
2417,2417,6.24318253228014e-106,4.370227772596099e-105,1.6442047857646718,-0.0025623932542959207,False,False
2613,2613,9.789571455106368e-155,8.831443185032128e-154,1.6358506317587698,-0.0033813706024806225,False,False
821,821,4.447218693999773e-122,3.3844474573823915e-121,1.6275611378551345,0.0015923726901360055,False,False
1555,1555,0.0,0.0,1.581486045158866,0.004180622428007402,False,False
1920,1920,5.996877835643032e-166,5.7976330345890945e-165,1.5731290211924778,-0.0006206675482084492,False,False
