,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2174,2174,9.852753311341473e-05,0.0001849650337005787,2.9546241231068504,-0.00041343020294410337,False,False
1603,1603,9.439460707312625e-07,1.8133540051329367e-06,2.7377955932980687,-0.003800584098836304,False,False
2467,2467,0.00017344696231445076,0.00032417543082448986,2.5274047076633708,-0.0007461817041706663,False,False
2792,2792,1.7093088339419995e-11,3.377648880918678e-11,2.5234396748559216,-0.0003587543371701581,False,False
2333,2333,0.00024064297669375287,0.0004486359012732779,2.347821914036766,-0.0044067550235137925,False,False
747,747,0.00037624153780084995,0.000700555134374481,2.321828702066807,-0.0010114484930134858,False,False
913,913,9.46067202146255e-06,1.804580627230132e-05,2.182804516866431,-0.0035844365965857,False,False
966,966,1.7893587835372796e-07,3.4575630661058893e-07,2.1778616830796698,-0.0050423916162746565,False,False
2764,2764,0.0002157549693962684,0.0004024894715073065,2.017568509592633,-0.003971844855143817,False,False
393,393,0.003078132402087995,0.0056048447665013315,1.9092309267388998,0.0013893236327309625,False,False
2302,2302,1.6385158561645316e-10,3.2184745606196757e-10,1.8860919778494676,-0.002341659004565888,False,False
850,850,0.005976915286249034,0.010783881197317408,1.8790973403164672,0.000791914452438614,False,False
979,979,6.940949764120472e-10,1.3588877902315015e-09,1.877068308148094,-0.003156746087166395,False,False
1845,1845,0.022129454132541002,0.0387951682607098,1.8348276643853423,0.004912880317128991,False,False
1378,1378,0.00021563222926820956,0.0004024894715073065,1.8126109297594146,-0.004396842421738429,False,False
2020,2020,0.009798743122130863,0.01747756585726226,1.8058812315000687,-0.001282609411713291,False,False
993,993,4.152195967551497e-07,7.992034780604956e-07,1.7975792540744866,-0.001984075117237398,False,False
1355,1355,0.0032113536176686026,0.005836679447177228,1.7407900301981405,-0.0011108656692728769,False,False
981,981,9.770728618139307e-11,1.921770877311959e-10,1.6801577837844095,-0.002687511639863747,False,False
49,49,1.9280108573378517e-07,3.720634736397103e-07,1.6775247421640374,-0.0024832586980368864,False,False
218,218,0.000521999666600098,0.0009683093815431819,1.6669818801755443,0.002148466853044796,False,False
2702,2702,0.01039585269531977,0.018509232633298785,1.6629608503880102,0.0004047099100889731,False,False
817,817,3.7295639191032587e-06,7.1323103813778815e-06,1.6598859757643183,-0.0019178028000048052,False,False
593,593,0.007466008421469432,0.013389192141946388,1.5962372137812006,-0.0022120789285854313,False,False
982,982,1.8074945846861828e-05,3.434471144269264e-05,1.593715742210636,-0.00606203827910222,False,False
983,983,2.2843426613412326e-05,4.3294565893108424e-05,1.537871541167046,-0.0023631367331729434,False,False
1990,1990,0.05200152906119213,0.08804366129698703,1.4183564437716305,0.0027438087660447393,False,False
1287,1287,0.014084653378187581,0.024957164911319846,1.4180612906396173,-0.00248038631384464,False,False
491,491,0.002852279173253387,0.005206374284265715,1.3980262489851858,-0.005986721958834672,False,False
917,917,0.0022039903194872703,0.004035436932904514,1.3940209621970656,0.0008497332865817515,False,False
1134,1134,0.033359053484108926,0.05759724883120145,1.3538438300643134,-0.003381197536778676,False,False
2250,2250,0.04975318855554544,0.08428508198222538,1.3482193181420021,0.0005858120353691021,False,False
492,492,0.008115874193699675,0.01451953864189309,1.3448092256925617,-0.001767630419379857,False,False
564,564,0.04768696523022578,0.0810159775634288,1.322875888915738,-0.0012151662171006568,False,False
1831,1831,0.0036899135079906916,0.006690081424383856,1.3048199215767127,0.00030090586368472006,False,False
992,992,5.300567049402051e-06,1.0130124277286082e-05,1.2901977183607178,-0.0020248896288079764,False,False
2825,2825,0.10408618670164708,0.16826133013643169,1.2793146518473724,-0.014424414777325466,False,False
2941,2941,0.05553991412287537,0.09371373798561347,1.27029995278794,0.007630965150303712,False,False
56,56,9.937905173862731e-05,0.00018644565458928307,1.2674380361855344,-0.0017112151474175477,False,False
692,692,0.04171489606470668,0.07144247635317336,1.260426290073713,0.0022163991222711003,False,False
2270,2270,0.009348176923816221,0.016693976600413083,1.2489482937090453,0.0010650349025866208,False,False
2607,2607,0.00037649786649530655,0.0007005928951461253,1.2372978883898391,0.000369307475564771,False,False
2466,2466,0.0023325791245957213,0.00426824589506788,1.21399309154124,-0.0015768688516640192,False,False
2629,2629,0.07170251592992141,0.11922300687955562,1.2119252460460608,-0.006633103261906297,False,False
234,234,3.142191382997084e-08,6.119438336440515e-08,1.20691553384956,-0.002479811578640631,False,False
2614,2614,0.006299720295239301,0.011350532734661162,1.1996781800901681,-0.004564371050501455,False,False
1080,1080,0.0014945558815065475,0.0027483530708249273,1.1823632402268431,-0.004862450746036244,False,False
356,356,0.0314537279381236,0.054465965297754285,1.1818885909519077,-0.006020317602737056,False,False
1022,1022,0.029970123994281537,0.05201832047662432,1.1698695772661192,0.0011807996267436242,False,False
