,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
1540,1540,1.4945130849215793e-165,1.9891097919494383e-164,4.236540004486836,0.0019236184509512158,False,False
446,446,7.151918235365004e-149,8.628818423806233e-148,4.000241007055321,-0.0018388497211584212,False,False
2471,2471,2.20054633322582e-176,3.201579175006977e-175,3.89034520297953,0.002356842703225996,False,False
820,820,5.167192157295239e-92,4.406961587026514e-91,3.785630126348692,0.0014456473226019707,False,False
1517,1517,1.1231065707559621e-135,1.2722825580166778e-134,3.6023866453849775,-0.0023121067542370734,False,False
1241,1241,2.5329058957322022e-71,1.824675897702227e-70,3.5829625351483383,0.004261630958294481,False,False
552,552,5.572847837511889e-88,4.620171056350638e-87,3.576032644716641,0.00016346983784651728,False,False
2047,2047,8.470869595204416e-48,4.807178003550039e-47,3.386326620051576,-0.0017050211290795363,False,False
1544,1544,3.60218958254579e-134,4.049734348862086e-133,3.2854488445118486,0.0018919213771231638,False,False
2138,2138,1.162542568837577e-151,1.4620450611482748e-150,3.1017586198019163,-0.000839507510143566,False,False
178,178,5.5732801659959606e-95,4.893933589549116e-94,3.069429100739954,0.0029909243216601836,False,False
1853,1853,1.82498603255046e-102,1.6666333983414665e-101,2.8494259673639557,-0.0026040832002611515,False,False
2577,2577,2.3198723867421863e-73,1.7043022880818833e-72,2.719234716387074,0.0038017598451326115,False,False
1584,1584,3.8875657411866887e-115,3.79549181573753e-114,2.6889586782381003,-0.0014959461943751563,False,False
580,580,7.377723358998423e-36,3.6253448558786955e-35,2.6449561511546085,0.001991146859582016,False,False
2583,2583,2.149420607686813e-172,2.995061203574864e-171,2.5742383012894625,0.002295967303951995,False,False
79,79,2.5772306053397247e-65,1.7788884736391402e-64,2.562646211105164,-2.005102024191935e-05,False,False
2597,2597,5.462587311448183e-53,3.3223276927004525e-52,2.5360895288827856,-0.004039853348306942,False,False
718,718,9.934706969106071e-61,6.567084695836708e-60,2.5151285413696027,0.006088281632265841,False,False
1660,1660,2.3264192114552721e-60,1.5310004921506094e-59,2.417980311728535,-0.0019345497918011254,False,False
1159,1159,3.5450853068825007e-121,3.6789556611284133e-120,2.3856711255841936,0.004344696738258541,False,False
2563,2563,4.4175344282278716e-160,5.725433267676997e-159,2.357854104782558,0.0032256349583743744,False,False
2056,2056,2.2323239980517717e-118,2.2535842266046455e-117,2.337470987037961,0.0010929726838684803,False,False
1678,1678,3.7272674418898447e-62,2.4859617455121482e-61,2.308896577483371,0.004844053710067731,False,False
596,596,3.050631769384231e-47,1.71807876499666e-46,2.299042277933029,0.0024872543712110874,False,False
2576,2576,2.8364057594730456e-67,1.9901778473087468e-66,2.280053517591989,0.0005675734915315186,False,False
1180,1180,9.250356675204408e-31,4.172501308815605e-30,2.273285411777404,0.006623686188518241,False,False
420,420,5.646746743426466e-42,3.019737717926081e-41,2.2603857482475114,-0.001333120937754468,False,False
2124,2124,2.597119209039936e-145,3.0956826555945904e-144,2.2572841405666706,-0.0017665703429404593,False,False
2488,2488,6.933273681501133e-34,3.281970699632434e-33,2.243493229349645,0.0029020792470420675,False,False
116,116,1.5972149138901927e-59,1.0441704547194036e-58,2.233840086350933,0.000816952129966568,False,False
