,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
194,194,8.043805749175035e-89,6.744072164845058e-88,5.535685703051463,0.0006630890780479487,False,False
2738,2738,5.731846227037054e-107,5.633152186041715e-106,5.140074896713674,2.030081040142219e-05,False,False
1537,1537,1.928598365326995e-33,8.568981958518744e-33,4.613746252707121,1.745346236217693e-05,False,False
969,969,3.033950796168023e-67,2.0844365655154377e-66,4.607919163402876,0.002555589659096049,False,False
2197,2197,8.231049540306573e-44,4.2208384175199915e-43,4.3239501572283405,-0.00304147731218766,False,False
1939,1939,1.840676905813595e-80,1.4376655411723024e-79,4.170966092559117,-0.001259115313884552,False,False
226,226,9.79078240126521e-21,3.7065104804789727e-20,3.9941749451704736,0.0018094624798808238,False,False
1595,1595,8.797782880602791e-38,4.099186748764377e-37,3.949683025330578,-0.003299140229486082,False,False
1256,1256,3.568202664414059e-46,1.8744115943329074e-45,3.9045063216322964,0.0006544521276512314,False,False
2781,2781,2.9077376444863847e-29,1.2138066566576075e-28,3.89625235289498,-9.297377401090712e-05,False,False
185,185,2.7572150874440334e-27,1.1256415927832037e-26,3.8765775309182025,-0.0009193398389456316,False,False
686,686,2.929066210481631e-23,1.1423743117883682e-22,3.867163454553105,-0.004006899250473617,False,False
683,683,2.7298167343646434e-30,1.1492334847651435e-29,3.7268378544640117,0.0035623441851599423,False,False
168,168,5.874116199937489e-41,2.8960758939226685e-40,3.6806458646225058,-0.0010882375067922598,False,False
404,404,2.8493063239955465e-26,1.1381885827212358e-25,3.6679277543092734,-0.003547346895492182,False,False
169,169,5.039746241034278e-38,2.36302793734435e-37,3.4811256701401714,-0.000818305679174812,False,False
2823,2823,1.785152298206381e-18,6.5170135560597035e-18,3.391110396086771,0.0029079777561605057,False,False
2769,2769,2.2690863703602913e-38,1.074106594454441e-37,3.3786575061985182,0.0092165037361839,False,False
967,967,1.1446508315071462e-31,4.93797044754827e-31,3.373254599002386,0.0016583042356113128,False,False
1850,1850,9.519521487587319e-22,3.650379815912036e-21,3.3241690910822825,-0.0028038371255810716,False,False
286,286,2.3278679876093192e-17,8.29425232559959e-17,3.3100177714097714,-0.004017338496764151,False,False
859,859,9.32113771287087e-29,3.8746690100561262e-28,3.2882048329015636,-0.005438482346250764,False,False
355,355,2.153720117954043e-26,8.67332606524776e-26,3.1384552419162737,-0.001847600523281534,False,False
1600,1600,1.885565526131404e-26,7.624466596128075e-26,3.0938023167556525,-0.003351517906589484,False,False
2409,2409,9.221313906093156e-21,3.4998541781693715e-20,3.092964560375589,0.0017459882266709142,False,False
196,196,9.518153352071818e-18,3.424227775630201e-17,3.089880558746823,-0.00041936075103166104,False,False
2700,2700,7.86873151535162e-14,2.6123484493919023e-13,3.0504601573685823,-0.004292995699554195,False,False
481,481,5.0576202188477904e-17,1.7934309210920243e-16,3.0317890375629633,0.001994109218276875,False,False
163,163,8.67401196917906e-47,4.6137038574414785e-46,3.00015047626783,0.0012468209831473214,False,False
684,684,5.273620754650628e-21,2.0092562772532816e-20,2.9716531088945617,0.0031437253283364093,False,False
65,65,7.233934785776665e-13,2.346482890074879e-12,2.866636502337484,0.0038509576532939783,False,False
2266,2266,6.590411673143553e-16,2.290438155256448e-15,2.7498371587967827,-0.0011701419239657455,False,False
2125,2125,7.85860756426489e-39,3.7378761619772745e-38,2.707621293635996,0.0017686733260281516,False,False
2170,2170,1.6987923182829126e-18,6.209378818551336e-18,2.6783752145719557,0.0024284680714374883,False,False
2294,2294,1.8578494167693392e-13,6.106419788451161e-13,2.6746900885673397,0.0017378305775874407,False,False
1853,1853,2.9248218962087043e-32,1.2691332438519642e-31,2.666923680568111,-0.0026044936382793194,False,False
2954,2954,2.8346313453441233e-34,1.2689571392128744e-33,2.636501414170241,-0.004031857341264796,False,False
2331,2331,3.5062997280252555e-57,2.1635545930933385e-56,2.6248181651192986,-0.0027725077619678382,False,False
2370,2370,2.9375714143697774e-33,1.3013002922163432e-32,2.6206091275591907,0.0004200592163632385,False,False
1336,1336,1.3624100141735394e-41,6.761927963322851e-41,2.593081298608113,0.004173283804613029,False,False
1761,1761,1.4084836491671917e-83,1.1207451664150737e-82,2.586839562827578,-0.002724354460074548,False,False
1255,1255,9.065867555722874e-21,3.445261831675479e-20,2.545795173616517,-0.001066963367760826,False,False
2585,2585,2.108232833058237e-15,7.242170195042646e-15,2.543893449925927,-0.005882205300410892,False,False
2665,2665,2.585755993705333e-22,1.0005898030400819e-21,2.5333978297577464,-0.0012860562880828838,False,False
1189,1189,4.872311585585555e-38,2.2881362003192926e-37,2.501986352070668,0.0026900953212977132,False,False
687,687,1.3385326109984504e-25,5.318292890821152e-25,2.4698316029877656,-0.005109977349255436,False,False
1602,1602,1.1159246044493523e-17,4.0049144208049304e-17,2.41458024562411,0.0014130174346917573,False,False
232,232,8.31193370725595e-31,3.5192324169951014e-30,2.4096713999087256,-0.005383653447404464,False,False
2822,2822,1.782931535930647e-10,5.345192725901172e-10,2.4057513993476096,-0.00541458342157689,False,False
2714,2714,2.0240028728375908e-20,7.623401683479657e-20,2.394401990119823,-0.0010485301474617674,False,False
1813,1813,1.3137885139842396e-21,5.031386205813192e-21,2.3841879230180925,0.0022945722285835123,False,False
1601,1601,2.7505896885712305e-12,8.78767512990249e-12,2.294827273381105,-0.0012599191078807035,False,False
2399,2399,2.8546099454499226e-11,8.807154176814313e-11,2.2891958331528195,-0.008005193801294483,False,False
2824,2824,1.0813824531055676e-11,3.3963419267908195e-11,2.2792774358028622,0.0020976643170684487,False,False
56,56,1.0641416754593915e-53,6.180768087599753e-53,2.2672498942800727,-0.001709070250075521,False,False
739,739,1.835231013561058e-09,5.237466969470404e-09,2.2587347134556137,0.0024490297415086567,False,False
129,129,3.906469058889434e-16,1.3608450899981033e-15,2.2113469302580806,0.0014286300178086029,False,False
1837,1837,9.227608911394271e-10,2.6824234328127517e-09,2.197223472446817,-0.004779303388444115,False,False
758,758,2.6230090334962664e-15,9.000104984297016e-15,2.1917453251922576,0.0011043784438894292,False,False
2923,2923,1.9010248876910158e-26,7.676519546485625e-26,2.187651712847746,5.603165510749235e-05,False,False
685,685,4.0853853028854746e-23,1.5912629368719277e-22,2.181693419591496,0.0013714058668937842,False,False
2828,2828,3.4441664862886035e-10,1.0222286131304575e-09,2.1740154563577017,-0.0006049875998064185,False,False
1081,1081,1.1342799592685692e-40,5.5645337505935766e-40,2.173951022150616,0.004312169408353437,False,False
2595,2595,6.116998873642508e-28,2.511099952554767e-27,2.149495106496961,-0.0019499434046547576,False,False
2716,2716,3.8632063796300666e-10,1.144311031411381e-09,2.138121971725042,-0.0033947014814151655,False,False
1253,1253,8.460258129665046e-71,5.99285110473648e-70,2.133735417166111,-0.003106561304559661,False,False
2060,2060,4.5215967227417445e-13,1.474736161878846e-12,2.1009549320494902,0.0016891732145836958,False,False
1265,1265,1.2745153387898508e-11,3.9818542373981864e-11,2.094873544898114,9.225350062688764e-07,False,False
51,51,8.528854885402668e-13,2.7514827499864257e-12,2.093281547517872,0.002678288123665029,False,False
2411,2411,1.3044545596425102e-10,3.9425877118319454e-10,2.0883292093383257,-0.0005141088856841806,False,False
415,415,7.457608741390546e-32,3.2265572513771343e-31,2.0754125880503347,0.002430117597646925,False,False
423,423,3.0779108004270224e-16,1.074734030078518e-15,2.0636686815246015,0.0032491359160352613,False,False
846,846,3.93015654084881e-17,1.39529959488508e-16,2.04183521191564,-0.0017167099659417574,False,False
1599,1599,1.9316476384181196e-12,6.191285303266715e-12,2.0401165268074957,-0.0020545552332617402,False,False
559,559,1.0628323224855202e-13,3.520632068233286e-13,2.014797560727714,-0.003517725901590097,False,False
1111,1111,1.4019639984655377e-13,4.6285085066137e-13,2.0099328312495053,0.004575504786953945,False,False
1169,1169,1.2533420778795476e-09,3.6150819117069946e-09,1.9708580175874504,-0.0010751956817671889,False,False
868,868,1.5458828719287664e-11,4.8144599830897995e-11,1.9689907300636593,-0.002873775096355111,False,False
1126,1126,1.3878005543382392e-18,5.078905111314296e-18,1.92455967402735,0.004940096531228581,False,False
1765,1765,4.055677571211179e-50,2.237407254898658e-49,1.902335041215748,-0.0009374610072431736,False,False
2524,2524,5.780623429248315e-19,2.1310199242822236e-18,1.8941553562192668,-0.0014339675408261048,False,False
2357,2357,1.0451377577610348e-17,3.755410248226091e-17,1.893270626405879,-0.0011729018518789897,False,False
803,803,7.698932806457239e-11,2.343634109698983e-10,1.8914954893362033,-0.0011918763510739092,False,False
776,776,1.546080093781634e-29,6.472166034335529e-29,1.8818420692170086,0.0017778155014980196,False,False
2523,2523,2.3560806888905054e-18,8.527862786130514e-18,1.865731224567555,-0.0013460721856239002,False,False
1564,1564,7.859847941379515e-28,3.2221034102229834e-27,1.8594015871777303,-0.006721647519812188,False,False
2623,2623,5.672895507728884e-22,2.183807246036229e-21,1.8556054960857176,-0.006273653069585789,False,False
2042,2042,6.035687165730728e-14,2.0105409099762962e-13,1.8545463140580898,-0.003986606951383083,False,False
1264,1264,4.2148728378732915e-40,2.0407410412410976e-39,1.851244069132608,0.0020350669252658373,False,False
170,170,9.481521014664843e-52,5.3196889171125245e-51,1.8060340202824687,-0.0025190593751332063,False,False
413,413,9.546537900694853e-11,2.8971497432783563e-10,1.7997716993206978,-0.004268144110725882,False,False
1248,1248,2.273387196509149e-18,8.238599754870762e-18,1.797859732249369,0.002069276438204367,False,False
911,911,7.22002081959547e-13,2.3445319247876757e-12,1.7494427383601572,0.002501750188297678,False,False
2393,2393,3.7201415818444225e-15,1.2749861680039545e-14,1.739850338155754,0.00602644087377175,False,False
26,26,3.640995819445219e-17,1.2957404786706727e-16,1.713923757706378,0.0009940673640719024,False,False
1388,1388,1.5435596921794883e-16,5.421639250164168e-16,1.7126953756534338,-0.003499303109478354,False,False
1378,1378,2.870774141591013e-19,1.0650572065302658e-18,1.6962064852573835,-0.004392540321508667,False,False
1441,1441,1.7369657748841665e-16,6.086557756618897e-16,1.6850555974173675,0.003597293343970396,False,False
1772,1772,4.0362436482850876e-11,1.240121236864404e-10,1.6633578130505389,-0.0001900110787910374,False,False
591,591,6.859626344090469e-10,2.001904718708015e-09,1.6514066741485882,-0.0024762794417531207,False,False
640,640,5.165451591043814e-12,1.629230639980663e-11,1.643769774459917,0.0023136730543819105,False,False
2347,2347,1.7849272696142983e-09,5.098810525712452e-09,1.6433859373990947,-0.0051543613684208005,False,False
910,910,2.829142619699713e-06,6.815661765640217e-06,1.6425157320580182,-0.006317501356011026,False,False
359,359,1.3896488826113109e-15,4.790334359570697e-15,1.6414205841585285,-0.0029519379989585955,False,False
230,230,3.1604252839607347e-12,1.0053743025504246e-11,1.6293808360663233,0.0029063018190162108,False,False
2925,2925,2.0444386899818176e-18,7.43614464689465e-18,1.608632789779246,0.001478220237473191,False,False
2019,2019,2.7103065282476004e-25,1.0711304628280797e-24,1.607680452645274,-0.0036306781547037663,False,False
979,979,1.1636340087236573e-36,5.3462317924021904e-36,1.6063419714644522,-0.0031560583793677262,False,False
1037,1037,1.307066964377444e-06,3.2382093074058878e-06,1.6046039483851942,-1.5737135244018284e-05,False,False
197,197,2.7901371947663066e-09,7.871793910709504e-09,1.5645674245346952,0.006826425123161404,False,False
254,254,6.080337568803331e-11,1.8604579282688957e-10,1.5410817461507018,0.0007658828454457059,False,False
710,710,4.24095548593725e-09,1.18746753606243e-08,1.5362352787443276,0.0006359678714945886,False,False
167,167,2.8224978942048543e-55,1.6855480382293778e-54,1.5239618940683952,0.003895189993829046,False,False
896,896,1.271835580756262e-15,4.389311632191378e-15,1.519870762707984,-0.00527266434584788,False,False
1341,1341,1.8742394722488756e-18,6.825451231453574e-18,1.5057757552611004,-0.00014471702180604562,False,False
913,913,6.63270300124315e-20,2.4855887004658673e-19,1.494307147276507,-0.0035844625607793727,False,False
25,25,2.5995767526944767e-14,8.737875200449837e-14,1.4937572172988067,0.0010695084314017488,False,False
