,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3359,3359,3.244061116449992e-144,7.170827632033489e-143,12.920620889646973,-0.004876754162035729,False,False
389,389,9.650861568867638e-87,9.657382421279036e-86,10.724818329799897,-0.004816911109911788,False,False
1431,1431,2.2393495281367786e-77,1.950868618335629e-76,10.493491915122899,-0.0110323055161263,False,False
1408,1408,9.437677925422895e-107,1.2084035453214386e-105,10.19769734694106,-0.002557243163774446,False,False
472,472,2.2850428440580634e-72,1.8129366707410674e-71,9.854806721805023,-0.00688706346654256,False,False
4050,4050,4.165129527505264e-65,2.979979145041206e-64,9.651602173896386,-0.009683345902823146,False,False
663,663,8.555760008318641e-145,1.9296061785258742e-143,9.440904777220743,-0.0043991325783506036,False,False
522,522,6.596988810561126e-87,6.631317032878526e-86,9.329091589627833,-0.0026914029128474945,False,False
156,156,2.991781132578582e-82,2.757776674698473e-81,8.862271556149935,-0.000234867333393049,False,False
3453,3453,1.4011320221860674e-186,4.4150564358671614e-185,8.85207736513691,-0.0027567152507983333,False,False
2791,2791,2.2292141840819526e-108,2.9216515102879395e-107,8.822715680812935,-0.0015214973654573347,False,False
662,662,8.091556889987903e-75,6.732357165209036e-74,8.742657735338467,-0.004766027695566007,False,False
895,895,1.3875751128238293e-49,8.058818596439573e-49,8.36846884748516,-0.01077487399924993,False,False
1646,1646,3.6557281344497546e-69,2.7482910492995363e-68,8.28993391318601,0.0003828187487253318,False,False
4214,4214,1.5210254967434238e-92,1.6167263832610126e-91,8.288024878889143,0.001549905105501126,False,False
1698,1698,1.6301356634605002e-70,1.2574119362421878e-69,8.22824388680634,0.00030786581714643477,False,False
2629,2629,2.545330762135542e-50,1.4998547183246969e-49,8.21225310385008,-0.008635950059797236,False,False
66,66,1.2725055746818135e-49,7.409885017445999e-49,8.08223851398961,-0.009236053637969699,False,False
927,927,9.563798986200197e-52,5.736322924197684e-51,8.06753564192494,-0.002350011924188388,False,False
685,685,2.157506477122192e-79,1.9365255106775552e-78,8.062472177088356,0.00033649777818285653,False,False
1430,1430,8.815750276363272e-119,1.3651567443484987e-117,8.008218379562354,-0.0009020106163148689,False,False
210,210,1.6323432213703488e-69,1.2355197500082554e-68,7.938483886186408,-0.002967427312089172,False,False
2603,2603,5.914293367414793e-108,7.705925346458629e-107,7.894714070440137,-0.0014700125584563087,False,False
844,844,3.835376483010463e-76,3.2644784892749976e-75,7.867584927840988,0.0009947942458011054,False,False
4107,4107,2.12015079186244e-49,1.2281395004230536e-48,7.81801180745364,-0.003171727643711337,False,False
2904,2904,6.571712691655315e-55,4.135710975782516e-54,7.780583223146367,-0.0025777917738996625,False,False
3029,3029,1.3683489798312623e-68,1.0132624195650496e-67,7.368073779090461,0.0011639231734222252,False,False
571,571,1.1614712268444402e-41,6.092581653919537e-41,7.297011187314432,-0.012765442531406723,False,False
1546,1546,5.08821972308791e-54,3.157396680122847e-53,7.282437947172848,0.0024130576514762546,False,False
963,963,4.403931411564758e-41,2.299255847424468e-40,7.266929927579247,-0.015586420173984372,False,False
2929,2929,2.808954987982596e-46,1.5600233764508342e-45,7.2334591907651955,-0.003082638064187064,False,False
185,185,7.196115060981433e-140,1.5010487894807748e-138,7.222490298526901,-0.00746879716424656,False,False
413,413,6.928194442060908e-79,6.181118053429038e-78,7.188053102519096,0.000197733057529393,False,False
1940,1940,2.352078344738639e-68,1.7359275889823545e-67,7.0374556961840895,0.002009359753661885,False,False
319,319,3.610144997489675e-48,2.069661190173758e-47,7.020375403134613,0.0015577681796283167,False,False
2994,2994,1.819215782838469e-72,1.445934834195227e-71,6.967815414366839,0.0033918407078525822,False,False
72,72,6.699283303028405e-159,1.672186276143551e-157,6.934620223318988,-0.0023960664496894615,False,False
3176,3176,9.686481573612762e-98,1.1149491614394171e-96,6.7808898170948995,0.0008291306186422008,False,False
1805,1805,6.730782628773961e-36,3.2790424582941564e-35,6.676910514491199,-0.01788616246122524,False,False
823,823,3.7879242028792e-70,2.911720974635344e-69,6.635206656461791,0.0018147604450223474,False,False
4045,4045,8.204519900134409e-69,6.11622179803644e-68,6.629777747302727,0.00088324458908174,False,False
771,771,1.5352843747956365e-55,9.800673099449732e-55,6.5742095024995555,0.003367764097480231,False,False
3521,3521,1.5638116720005984e-39,7.958780365061465e-39,6.546493227253735,-4.8587721045191545e-06,False,False
892,892,4.2947819043440976e-54,2.6687714686714444e-53,6.5027889019634655,-0.0008504799169020555,False,False
2427,2427,2.9363283962903107e-33,1.387883730289133e-32,6.348367552752307,-0.021024570290458233,False,False
4347,4347,8.842896917116515e-34,4.211038692684745e-33,6.296373596509727,-0.012693835084085961,False,False
807,807,1.0571533865646694e-40,5.493488300007984e-40,6.28742990478727,-0.007563535459856999,False,False
2508,2508,1.62277543498066e-47,9.184702239005188e-47,6.2855445207921266,-0.003618014111010131,False,False
323,323,1.2695077297256585e-111,1.724899952040092e-110,6.163287409940993,-0.00044714457500004065,False,False
3794,3794,1.1946334700673819e-39,6.100869548861354e-39,6.064066681867871,-0.0030187021588849415,False,False
1896,1896,4.2749131728199214e-38,2.1316991275913477e-37,5.911624871778746,-0.000893269623366607,False,False
90,90,1.4955868613267887e-37,7.407906828177171e-37,5.885160640980121,-0.001208182728112666,False,False
2849,2849,4.676475254546346e-89,4.787460727177285e-88,5.884907356218292,-0.00028299360344615984,False,False
2493,2493,1.1377023125389853e-44,6.202222545534615e-44,5.878591817374995,-0.002111864476366517,False,False
442,442,4.928997132576653e-31,2.2600138555250842e-30,5.844570588280592,-0.008976235503384347,False,False
3095,3095,1.0354934493097084e-39,5.300342621293819e-39,5.828374678391973,0.00034740068474009567,False,False
787,787,5.357775067587742e-71,4.1762446711039186e-70,5.73254245462085,-0.0031127161838390323,False,False
2608,2608,3.462297997033134e-95,3.807670792281736e-94,5.7255560786372595,-0.0016242006682939195,False,False
4164,4164,8.106849789269568e-31,3.709447334060215e-30,5.722561081389351,-0.0055841361777204425,False,False
2535,2535,7.123877560311799e-54,4.414419525866851e-53,5.651258575158982,0.006735395718070971,False,False
