,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2105,2105,5.823891148503649e-192,2.587554837280171e-190,9.59912522587669,-0.0012374071071991066,False,False
2026,2026,3.8138841352321616e-143,8.734581037544585e-142,8.924043059310451,-0.005342839667337729,False,False
633,633,1.404047555998841e-120,2.6210854165138024e-119,8.177104187201198,-0.006065025529081627,False,False
1445,1445,3.6666981423846856e-84,4.2535613176540884e-83,6.524043095711309,-0.007571669792750008,False,False
2294,2294,1.0460311661642595e-153,2.670986477740118e-152,6.434323976454501,-0.0031310342402666447,False,False
1908,1908,2.075753429996606e-172,6.831535177388831e-171,6.185835504413687,0.0008061938011040062,False,False
3869,3869,1.5887341908060784e-78,1.7258547701103684e-77,6.133415950229258,-0.0038864761861265446,False,False
3165,3165,6.274933579081798e-68,5.748356678734109e-67,5.496177926424898,-0.005816557676794676,False,False
37,37,1.3428985927640768e-72,1.3377799209979356e-71,5.445525961555917,-0.0040038254745098575,False,False
1082,1082,2.84436049420186e-85,3.3432522951690113e-84,5.18501501005979,-0.00522713670492745,False,False
3442,3442,1.387529301781008e-76,1.4643213035185317e-75,5.042535402511049,-0.0013362775866590168,False,False
1679,1679,4.4291688222731614e-185,1.7889815524872414e-183,4.787098594899232,-0.0038453554110711094,False,False
126,126,4.8042087539732274e-185,1.9229819363876622e-183,4.441856515471441,0.005225712608266729,False,False
2783,2783,4.422895551349958e-181,1.6513382298023415e-179,4.254842274579126,-0.0012355442240396183,False,False
1074,1074,6.189011674217473e-74,6.292397910422937e-73,4.097932941036489,0.001766359383265359,False,False
281,281,2.4627702445471943e-134,5.210518188820564e-133,3.971321645985992,-0.005879262004593981,False,False
3790,3790,2.899106210973113e-43,1.897014564853246e-42,3.885409540063141,-0.01677536786121809,False,False
3786,3786,1.2647452918781824e-106,1.957931474499918e-105,3.8385218615882932,0.0002679436615250358,False,False
1028,1028,4.094770779871101e-116,7.219470863082263e-115,3.793599203137625,0.0001818256945197369,False,False
110,110,4.212576224504309e-47,2.9062851188622124e-46,3.78604470665197,0.0026187132245086217,False,False
