,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2053,2053,8.176996615754138e-28,1.211013198793188e-25,1.6459961772102758,0.0005681737617266695,False,False
1114,1114,1.0141906845188138e-32,3.0040328075447267e-30,1.6100758605968526,-0.003121362831242947,False,False
1265,1265,1.5699626672005114e-57,3.487672065185936e-54,1.6006371665276218,-0.0011408024245743824,False,False
2216,2216,2.419549928364821e-31,6.323564901014646e-29,1.5913379974147468,-0.0014373587804266987,False,False
1510,1510,9.038783820402886e-37,4.015931651405002e-34,1.5481245495748595,-0.002735274275721837,False,False
1785,1785,5.907983603679565e-43,4.374861858524718e-40,1.5426896720803653,-0.0017575431827177995,False,False
2499,2499,9.042941029351383e-32,2.511111687088012e-29,1.5345603061172133,-0.0028833382832249427,False,False
2190,2190,5.662776833502278e-20,2.329603469560243e-18,1.5267947398924435,-0.0027211173449347183,False,False
2339,2339,1.015466094535066e-21,5.185880296573907e-20,1.4923722793044207,-0.0015726410359583505,False,False
3160,3160,4.1951425785120138e-22,2.3011133921393676e-20,1.4894575979544655,-0.00023507058791312138,False,False
1841,1841,5.363492465088104e-41,3.4042852889123497e-38,1.4803260890847358,-0.007231514816887266,False,False
2686,2686,1.1220435524365701e-25,1.2782665393527388e-23,1.4758080739434372,-0.004590899169872882,False,False
3088,3088,3.51023307922556e-30,7.79798278549958e-28,1.4411148656364505,-3.519389414970327e-05,False,False
1902,1902,1.6070258731746265e-33,5.100011396082047e-31,1.438029293994188,-0.001956409764148459,False,False
185,185,9.65241520596751e-34,3.57380673000947e-31,1.4379367512046506,-0.007474905797425012,False,False
234,234,1.1134247271106985e-24,9.333860495382705e-23,1.4342238916539687,-0.0006145128015690726,False,False
117,117,1.2216296143604976e-29,2.261541823584871e-27,1.4045654727637615,-0.0008406089825599133,False,False
3176,3176,9.075140100663446e-23,5.7601210667496704e-21,1.3917474042527875,0.0008233008524251555,False,False
1275,1275,9.967427529194571e-23,6.150733404473816e-21,1.3679967573715255,0.0035792390022688176,False,False
1487,1487,2.1447516949380767e-28,3.403261350217813e-26,1.353866791091818,0.0026862031249326743,False,False
4024,4024,2.905308613300032e-23,2.048934312522546e-21,1.3482713698081652,-0.0008540639699188817,False,False
833,833,2.9331588971020957e-24,2.3271473178258234e-22,1.3471570189708153,-4.456364767917685e-05,False,False
323,323,3.699117662075342e-29,6.574071909040298e-27,1.3434676095233016,-0.00044293564926422245,False,False
981,981,2.854089512425973e-26,3.522422139919055e-24,1.3425407829252716,-0.0031631666409621846,False,False
1430,1430,1.8199680909470966e-25,1.897250304286103e-23,1.340023248480978,-0.0009192147205953852,False,False
1684,1684,3.49918613951916e-23,2.429200627794317e-21,1.3361288531806237,0.0006236779221637442,False,False
687,687,9.845166019664079e-20,3.940727263546622e-18,1.3303056133318065,-0.0025434772418906,False,False
3031,3031,3.8266161845827294e-30,8.096026527667174e-28,1.3269254394394598,-0.0027695764235300506,False,False
1772,1772,1.0114715729252034e-29,1.953899216742034e-27,1.3257943431350967,-0.0017099326910263845,False,False
2200,2200,1.7968408167815965e-23,1.2876393143484893e-21,1.320122030154942,0.0015032379891289811,False,False
1835,1835,1.3759001986362298e-37,7.641405728175961e-35,1.3149925441346453,0.003111973458984619,False,False
3025,3025,8.7074732045468e-21,4.0299274424793156e-19,1.3110493326337351,0.0003422784910911518,False,False
528,528,6.082228156534259e-21,2.9057354515571734e-19,1.3016873508884756,0.00025731026412978766,False,False
1918,1918,1.9399747423682777e-16,4.634036441044224e-15,1.2956391053313663,0.002463657388079376,False,False
2844,2844,1.242860882634693e-16,3.0340829129373307e-15,1.2951425900747109,0.0016537490085711025,False,False
3721,3721,6.911637333592754e-17,1.7251912737726183e-15,1.294024052534704,-0.0008875937785652304,False,False
413,413,4.152895708772505e-21,2.0055777863126346e-19,1.282481612935541,0.00020976314512699372,False,False
2645,2645,6.970687281114745e-31,1.7205979772218227e-28,1.2804851812207108,0.0024412607048528616,False,False
1097,1097,1.168599031474038e-19,4.554460962139606e-18,1.2746731209160072,0.0028437885964531203,False,False
233,233,1.2422770815100486e-33,4.2457208254993434e-31,1.2701141846527189,-0.0018845818821963348,False,False
4286,4286,3.718909262763333e-24,2.8488127335271533e-22,1.270063533074811,-0.002929456788174259,False,False
2547,2547,2.7354369584661583e-25,2.7007880903255873e-23,1.2505795070385632,-0.0036821511565066356,False,False
1118,1118,2.6686822743393753e-24,2.1558100627072445e-22,1.247573938903892,0.0019510630047482984,False,False
2065,2065,1.6447117345446697e-47,1.4614908473163933e-44,1.2388818477225385,0.0007391957591081667,False,False
1211,1211,5.038335895018632e-24,3.794123115519963e-22,1.2380791697569857,-0.004077433473938078,False,False
4045,4045,2.5190358969418296e-20,1.0866093679720922e-18,1.235961517817394,0.0008896207742854958,False,False
2603,2603,5.590229697919998e-22,2.956832208078399e-20,1.2271439928363326,-0.001454763566772526,False,False
2479,2479,2.3750182271403928e-26,3.0149159951956474e-24,1.2270619685325939,0.004845802112054528,False,False
907,907,2.6054775411502446e-36,1.0523760650300487e-33,1.2215203590080588,-0.0041459818481048225,False,False
2163,2163,6.173278481585241e-18,1.8532348847083261e-16,1.2212729801035878,0.0021106511693647816,False,False
1043,1043,7.34000493996237e-26,8.582011039013898e-24,1.2193504055320021,-0.003219532665294185,False,False
2278,2278,6.352974755426911e-13,9.47190162361133e-12,1.218304987490901,0.005485956374424313,False,False
1922,1922,9.86710858552988e-22,5.0976236564545644e-20,1.2174484292418934,0.0007321542855266202,False,False
1208,1208,8.68773209208024e-25,7.560827227262458e-23,1.215935786739362,-0.001194221453486452,False,False
2199,2199,1.323227773839465e-15,2.8129669852482022e-14,1.2154234759511164,-0.00018733388859427068,False,False
3157,3157,3.070914532200496e-17,8.474579668675034e-16,1.2014934885449648,-0.000766217225944988,False,False
1721,1721,3.313645400207287e-24,2.582899388266838e-22,1.1923961686169737,0.0033274709689768787,False,False
72,72,1.1630250490801362e-25,1.2918300732657613e-23,1.1923396259614665,-0.002380406687668089,False,False
2998,2998,7.66127850824859e-23,5.00574417825713e-21,1.185669444112331,-0.000582449051650542,False,False
2608,2608,3.5725581772199146e-25,3.306849162789183e-23,1.1717070312584195,-0.0016289213959627524,False,False
462,462,4.441908422751734e-28,6.805310042167571e-26,1.1716603393123246,-0.0011129633364088693,False,False
1769,1769,4.0592377659361354e-17,1.0864574333767619e-15,1.1684395839320265,-7.744787419744145e-05,False,False
1940,1940,2.2509129709565744e-17,6.329624259468392e-16,1.1675795067567483,0.0020027501757834357,False,False
1342,1342,5.648526323656434e-17,1.4423219802302034e-15,1.1672942856228223,-0.0007236628862151064,False,False
2037,2037,1.3129503483566946e-26,1.7677086053784224e-24,1.1654181497260059,-0.004636771630310985,False,False
2238,2238,3.4839782594530584e-18,1.1136198134352472e-16,1.1652071955377346,-0.008684064042077347,False,False
2005,2005,1.0320838916903963e-15,2.270073629099223e-14,1.1630612524520758,0.0011850895711047584,False,False
592,592,3.5061053101836325e-22,1.9971315247622922e-20,1.1627307380747078,-0.0027986093674392115,False,False
2994,2994,7.846035609834929e-20,3.169085110408781e-18,1.1607239242509466,0.0033936454053862712,False,False
3453,3453,2.1017085806736096e-26,2.7464385952743667e-24,1.1606984298383778,-0.0027596761851922235,False,False
2255,2255,8.577966722667326e-19,2.9316850883700717e-17,1.1551439867803293,-0.0014905985847147724,False,False
322,322,5.321183659501645e-18,1.6304840689079866e-16,1.1551175350424578,3.774864759047321e-05,False,False
1371,1371,1.4029256506855702e-19,5.373447125858611e-18,1.1549239477428876,0.002655455871987876,False,False
1823,1823,1.3058714748894493e-28,2.1488840603458606e-26,1.1467835036785141,0.0007750355046674817,False,False
2073,2073,7.746430391873865e-22,4.0491047330700686e-20,1.1432598378081187,-0.003354850036787118,False,False
9,9,1.1866322156519191e-15,2.571419656417404e-14,1.140867568539918,-0.006427785942970013,False,False
2395,2395,6.653022103068553e-26,7.989020865927996e-24,1.1390245917043567,-0.00042104867655148523,False,False
1740,1740,1.0773128541401506e-19,4.273661616914902e-18,1.131684608641677,-0.0006600678556636791,False,False
2482,2482,2.137831009500458e-20,9.404339777436173e-19,1.1262152566873715,-0.0018551204562071936,False,False
1545,1545,5.423932809493619e-25,4.918068055628602e-23,1.1261710128068227,-0.0006630772109313399,False,False
1160,1160,2.703207817565293e-20,1.1461454405540599e-18,1.1231114454788167,-0.0008036199706342485,False,False
144,144,7.924417230944702e-30,1.600372079867605e-27,1.122705497898443,-0.00026457212730431057,False,False
2982,2982,5.658607270847542e-16,1.2827138828763077e-14,1.1201739804584656,-0.0007750748805514292,False,False
1659,1659,3.5551284823947576e-16,8.269861700146549e-15,1.1160541481495772,-0.005370961636728672,False,False
2287,2287,2.6833035524071898e-14,4.926412265845101e-13,1.1155463021921816,-0.00079830857916636,False,False
1191,1191,1.4538533136309845e-13,2.428372282880626e-12,1.108413495073912,-0.005226772553076195,False,False
1641,1641,2.4779431661711175e-17,6.924214771885708e-16,1.107733971466136,-0.0006441834542147938,False,False
157,157,6.8559874808706e-37,3.3845724863897865e-34,1.1072367333449014,-0.0011229094216166566,False,False
903,903,3.002883664730047e-25,2.8635193148578634e-23,1.106420116722942,-0.00026246990179473045,False,False
2792,2792,3.939248302329473e-16,9.068435340543963e-15,1.1062362135245913,0.0008595513588535459,False,False
863,863,1.2623591418703397e-50,1.4021654168324798e-47,1.104037242007045,-1.2572883724387696e-05,False,False
2583,2583,2.554592258885903e-15,5.230439357709708e-14,1.1037230847921113,0.003209855741333629,False,False
1615,1615,1.215915865529433e-15,2.60981361862187e-14,1.097447319624055,-0.0006219062564525955,False,False
2338,2338,9.019701304854994e-19,3.059124648661888e-17,1.0957266305149438,-0.000203838198083609,False,False
795,795,5.597555924788278e-16,1.2753815884017601e-14,1.0956837477158428,3.4610387349126755e-05,False,False
1677,1677,4.161134715602495e-15,8.36557535810945e-14,1.0896510262802026,0.0030061825314840534,False,False
943,943,1.9237693446720235e-27,2.757195870444452e-25,1.0883527588083572,-0.0042524884285557,False,False
2939,2939,3.943773568779243e-23,2.695720917859412e-21,1.0870913265269293,-0.0044891306079973365,False,False
