,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
2239,2239,6.673758781292853e-22,2.5605794702317916e-21,11.071590087417956,-0.003314409433960137,False,False
4343,4343,1.0495085912574484e-12,3.733360024785303e-12,10.06670544685646,-0.009566073055269925,False,False
2169,2169,1.9414611388661215e-13,6.967618610647962e-13,9.733366876205729,0.0021944318714818955,False,False
1893,1893,1.1898836569416491e-23,4.581155188727684e-23,9.721641264670385,-0.0035503925969775007,False,False
3446,3446,2.6596265355366345e-10,9.089785151837898e-10,9.04687963614415,-0.018201686929536665,False,False
2050,2050,1.5696128090814358e-21,6.011887681680016e-21,8.8571456626188,0.0014568029239856541,False,False
430,430,3.797796845046132e-18,1.421534236102777e-17,8.3467645187082,-0.0034887278276312115,False,False
134,134,3.230387400669879e-11,1.1230525212188005e-10,8.202994208237024,-0.002896779082175516,False,False
1321,1321,1.0316742744580004e-08,3.4232477979215054e-08,8.088139932045774,-0.020258478443364654,False,False
4193,4193,3.3198266909718334e-16,1.2240655591691167e-15,7.888453757090296,0.003849157846458147,False,False
130,130,4.346667907544791e-10,1.478732428271172e-09,7.772601588264885,0.00219701847417291,False,False
780,780,4.514518787050552e-20,1.712895556862989e-19,7.668978323674736,0.002043954934364282,False,False
1866,1866,5.624599413584145e-12,1.9817680566656903e-11,7.2942395579087895,0.0005800835583776465,False,False
3099,3099,9.002463927867486e-11,3.112680718405855e-10,6.7837734992438445,2.065826754946848e-05,False,False
289,289,3.1747488757265837e-07,1.0082494106399722e-06,6.7534026200528,-0.0166416819976818,False,False
1183,1183,6.433636384750023e-12,2.2650274530463037e-11,6.7271635179031914,-0.0006344665746317677,False,False
4441,4441,5.969777904607709e-07,1.8705023434536002e-06,6.688798691619561,-0.02128298627907776,False,False
2264,2264,3.3531808743262482e-09,1.1260909013326925e-08,6.6857240539758696,0.00045057954927817676,False,False
1170,1170,3.507228239555578e-08,1.146623625338148e-07,6.684222404590945,-0.0025315651026916845,False,False
1751,1751,2.955755495404723e-08,9.691824107810468e-08,6.61752418765815,-0.007040434545391258,False,False
1012,1012,1.641075713178361e-08,5.4170129224750795e-08,6.54577062870999,-0.0035034599521706357,False,False
2547,2547,1.6278627742722012e-16,6.027161921742824e-16,6.5362812897809235,-0.003677850383598322,False,False
3388,3388,7.791018357526345e-07,2.4308633821972996e-06,6.5111204886209,-0.021155151063304872,False,False
867,867,1.4561477714061688e-09,4.919896994948751e-09,6.505537266684735,-0.004370459952046673,False,False
2914,2914,5.09141388220994e-13,1.8213487825007056e-12,6.467634275289033,0.0031397961079019025,False,False
2986,2986,1.286875877898274e-09,4.3512857880532964e-09,6.433227519874528,-0.0007348730698936725,False,False
1242,1242,4.837069781347068e-07,1.5198798471375547e-06,6.27366292468739,-0.0056358242009802145,False,False
464,464,2.72549751893861e-07,8.693026185674259e-07,6.073570849597924,-0.003345620466348657,False,False
1808,1808,1.133703059082711e-07,3.6553285134285086e-07,6.070116337548356,-0.0035943773204925532,False,False
3915,3915,1.0069907167084623e-08,3.343841370953437e-08,6.058427126208247,-0.002463623620829945,False,False
909,909,4.010863286681303e-07,1.2665433960714304e-06,5.958350827442747,-0.002486796026267234,False,False
2857,2857,3.6666462675322683e-07,1.160321179960532e-06,5.926071021443992,-0.0019932422840915807,False,False
2780,2780,5.417821647269742e-07,1.6999563261878154e-06,5.875205710081193,-0.015961915693010413,False,False
1922,1922,1.755995603032499e-15,6.431894859252591e-15,5.850156671443749,0.0007322106734605192,False,False
2933,2933,3.715845305809821e-11,1.2908131895006282e-10,5.843270657749949,0.00370682477570276,False,False
4372,4372,6.202941630405753e-08,2.0160694706578463e-07,5.8249787672473134,0.0017847258485931318,False,False
2079,2079,3.1629347977260607e-06,9.540338972367201e-06,5.722875914442358,-0.012455175369967108,False,False
1278,1278,7.076578830341873e-08,2.289966478019588e-07,5.661623080053712,-0.0010259302498628609,False,False
956,956,6.865772916665835e-08,2.2249911793396284e-07,5.624586017610164,-0.0012958311083847763,False,False
1091,1091,2.806532714826949e-06,8.494158618512353e-06,5.594637553338313,-0.008640779829272124,False,False
114,114,1.0396406050885035e-06,3.2189011905283767e-06,5.5173402995759755,-0.0034905986090346505,False,False
521,521,6.279488965133577e-08,2.039456832755006e-07,5.450418940528144,-0.006180052631020935,False,False
1772,1772,1.3939507884896743e-15,5.118449052280681e-15,5.436127522175903,-0.001713377290231337,False,False
1813,1813,8.353644217766818e-09,2.780167884609586e-08,5.3639630768565185,0.0003262187974880505,False,False
2540,2540,2.6526504045822193e-11,9.24370646867357e-11,5.339295320061097,-0.0008983713507285471,False,False
1075,1075,1.3508328259924383e-05,3.987873917531165e-05,5.311958023366211,-0.006135913946057166,False,False
2014,2014,8.296298076372477e-06,2.472119669766688e-05,5.256807083716442,-0.010123227461057973,False,False
663,663,1.5340854884704975e-10,5.271416724883543e-10,5.255630170830805,-0.0044069782691031865,False,False
2174,2174,2.445937029585991e-05,7.075063946907916e-05,5.127179206251739,-0.013835407086849074,False,False
1138,1138,1.6219784830063485e-05,4.753595250657788e-05,5.11739382874873,-0.01723442539221703,False,False
194,194,1.0663583962019213e-07,3.440690162908596e-07,5.044422024646918,0.005888575507705726,False,False
4379,4379,1.3054957194895094e-11,4.570460698010412e-11,5.03351951435282,-0.0028648381574551316,False,False
2390,2390,2.3773250175620245e-05,6.881078210441742e-05,5.021552320601689,-0.023416470613735987,False,False
2710,2710,1.6696441517723255e-05,4.880413793634502e-05,5.0137016713348626,-0.010046314018007428,False,False
2593,2593,8.066413031659028e-07,2.513258983145937e-06,4.949904265619954,-0.001826790983439477,False,False
903,903,2.678244506158629e-13,9.604068071721379e-13,4.869104719534241,-0.0002625611207533801,False,False
2920,2920,6.185983769705154e-11,2.1421921971005456e-10,4.862849813308867,-0.0023765709649598266,False,False
