,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3459,3459,2.846478300060798e-25,1.6930258483494146e-24,2.7126376688166034,-0.0033038406273811494,False,False
3089,3089,1.1938783946838996e-63,1.3327642481358205e-62,2.557626695897564,0.00028203073014583177,False,False
1266,1266,6.789556078701729e-66,7.876239597303338e-65,2.357563408419708,-0.0007037305524408913,False,False
2586,2586,1.2364348801309517e-130,4.06924457216431e-129,2.2656202498303766,0.005402450586428929,False,False
4346,4346,8.442670176288059e-25,4.994778108288661e-24,2.2446269645128076,0.0001058346953242556,False,False
1185,1185,1.2085352717281309e-87,2.073174599339029e-86,2.1263214560348858,0.0033009311545910865,False,False
2905,2905,5.040345323964733e-59,5.256867200557584e-58,2.124243025544992,0.0038520596012582495,False,False
1202,1202,5.200431704336186e-35,3.690977326256497e-34,2.084424297567594,0.0014159173900521356,False,False
1587,1587,2.796884189373676e-97,5.265490022621713e-96,2.080162414307165,0.00015615427023822105,False,False
1470,1470,2.35738050184448e-174,1.325802730341142e-172,2.066211892441223,0.00534351362630197,False,False
589,589,5.5117959727971e-106,1.2063502220264786e-104,1.941441720038333,0.004182300709462631,False,False
1378,1378,1.8994414111968242e-57,1.9093253823410612e-56,1.8759366885058986,0.002791193245216022,False,False
3882,3882,9.987930268904438e-19,5.065796139810778e-18,1.8666333152233787,-0.0027255885060363076,False,False
2115,2115,2.1126884424799214e-63,2.3466686874845726e-62,1.7916850965749598,8.61339183199205e-05,False,False
3066,3066,4.54075485893678e-71,5.6990321576994676e-70,1.7698396815616426,-0.003566317880424181,False,False
2912,2912,5.628718256732759e-72,7.269882329844084e-71,1.7619939714215707,0.0017186421682766385,False,False
653,653,0.0,0.0,1.7404178395874565,-0.001290381902736568,False,False
3295,3295,5.0209223134369305e-83,7.995683813118381e-82,1.7206289077936388,0.005969943393999965,False,False
370,370,9.489484831329523e-128,2.990197241531707e-126,1.712636071198404,0.0018820806626092448,False,False
3121,3121,1.41562529491831e-28,8.972358324282527e-28,1.7114106961546212,0.0016392070926390338,False,False
705,705,2.6337861930177086e-83,4.2552407474827924e-82,1.6971146450197225,0.00264553867590369,False,False
1585,1585,3.064004807047688e-28,1.9309749443564367e-27,1.6438029684551478,-0.0017594155106747562,False,False
1297,1297,1.0163209081074856e-48,8.853948617101096e-48,1.6092395143401645,0.004151366755463605,False,False
1623,1623,6.646294011013477e-56,6.489996547457775e-55,1.5547331831328173,-0.0007133814263420458,False,False
378,378,7.398116995104416e-45,6.064544983256259e-44,1.5476167627365003,-0.002354343523916518,False,False
765,765,4.921810351489658e-55,4.7332474873741455e-54,1.5114195903327783,0.0003338353250644608,False,False
828,828,1.2436451692217375e-17,6.04542175804396e-17,1.4982350523214902,0.0034916733718120957,False,False
829,829,6.96898251182882e-21,3.748570133178626e-20,1.4842430329229557,-0.0038134290400231516,False,False
3725,3725,2.742625483678525e-55,2.649018483474714e-54,1.4794231049252964,0.002237566215295141,False,False
1243,1243,2.688543884817447e-110,6.456865124456172e-109,1.4456433488780058,0.0016281098603734157,False,False
4344,4344,1.0362822552668824e-17,5.0502380540742485e-17,1.4422113746173877,-0.0013403355531340887,False,False
1288,1288,8.226350153391018e-46,6.844508189422527e-45,1.4186660911446294,-0.002367531091325356,False,False
3194,3194,1.1149607354004978e-38,8.367855654365561e-38,1.4080627574360447,-0.0019292677692841886,False,False
2577,2577,4.5722379470067295e-78,6.74898777360495e-77,1.4016540416171848,0.0012195733408338488,False,False
1190,1190,3.752908855908496e-35,2.6850521814495085e-34,1.3927966462206411,0.0039378723399821685,False,False
1437,1437,1.4052931334339214e-51,1.2847155127257023e-50,1.3840756532204488,0.0018530032587258539,False,False
2425,2425,4.942702936661372e-37,3.623833192671035e-36,1.3808353637013258,0.00617089185239973,False,False
1988,1988,2.5987938133447045e-27,1.6148868409357376e-26,1.3639779111254404,-0.0011031649000242533,False,False
1425,1425,1.149637337198238e-40,8.867775502034325e-40,1.354401510010218,0.0004100124290299517,False,False
97,97,3.840893043329966e-32,2.593478387768243e-31,1.3536280818596493,0.009133231797633892,False,False
3227,3227,2.588285014630896e-78,3.858976617451366e-77,1.3484954390171793,-0.001408180806039494,False,False
814,814,2.523796972745331e-43,2.016767976602069e-42,1.3427012373640688,-0.001984012334447718,False,False
1732,1732,2.8745485294233212e-40,2.1982132730168357e-39,1.333960188230834,0.005808184551325813,False,False
2578,2578,6.580013000192265e-55,6.300646068934102e-54,1.3308748906859216,0.0012335017892534418,False,False
3226,3226,7.909179228804162e-23,4.476494689627629e-22,1.3257114878058145,-0.0006805690255746767,False,False
4151,4151,8.663992530055161e-17,4.073451726035458e-16,1.3155645302155112,-0.000763659389601502,False,False
3798,3798,3.31953648698261e-14,1.4195092022775492e-13,1.3136918057558082,0.0008685863375647654,False,False
721,721,9.372630190224723e-27,5.767672567197846e-26,1.2987213784001295,-0.0012268409411358965,False,False
3143,3143,4.114542130362031e-35,2.939053164822911e-34,1.2975564935511368,0.005647157051206013,False,False
1985,1985,8.15492047812689e-131,2.7039038570386396e-129,1.2902954176066488,-0.004044740949845499,False,False
1286,1286,9.148536040221294e-43,7.258383147625574e-42,1.2901178495504764,0.0015811174756129847,False,False
1881,1881,1.7656175405905642e-35,1.2652643117490122e-34,1.2897287361156704,0.0017222769650326614,False,False
86,86,5.037490173710575e-36,3.64520665175832e-35,1.2620500431099066,-0.004186236027678836,False,False
3207,3207,2.3260401371558887e-25,1.3853346286037016e-24,1.260261887087922,-0.004268913487737445,False,False
2335,2335,4.741060934150315e-86,7.948880652992395e-85,1.2540340029647574,0.0014477685745677722,False,False
3021,3021,6.019480923608154e-49,5.285484929563445e-48,1.2270120740814339,-0.0025275012446786833,False,False
1525,1525,1.0667140340539813e-42,8.433114685590461e-42,1.2241549504877103,-1.0618245405482826e-05,False,False
299,299,1.292691531167397e-61,1.4036004118382777e-60,1.2235542124010177,-0.0005346505857281927,False,False
2230,2230,1.641141649736389e-35,1.1779632229044874e-34,1.2208767932104578,-0.00208541578853904,False,False
2407,2407,3.354575809123005e-52,3.1050792333194817e-51,1.218190492728318,0.004171082461879784,False,False
3595,3595,1.6958114013291696e-11,6.450762034336902e-11,1.213824035954478,-0.007408168784517477,False,False
405,405,3.476305417956817e-15,1.5522839167821243e-14,1.20893307240394,0.0011691688988453054,False,False
58,58,1.6142316529683666e-55,1.565945684309706e-54,1.20057559295225,-0.0002561649157157928,False,False
3747,3747,1.7386297839278335e-24,1.0204401756923863e-23,1.1991442485298416,0.002898479355247817,False,False
1764,1764,1.1549677572323752e-45,9.555906415984065e-45,1.1904003912423857,-0.00236576309407404,False,False
3061,3061,3.924897549705749e-39,2.9707529494621196e-38,1.1898365904608093,0.0032190355804768466,False,False
1624,1624,3.1374564684936304e-44,2.543744359400949e-43,1.1797304088821339,-0.004694613334294313,False,False
1231,1231,3.693222861129035e-12,1.448277949867282e-11,1.1763640641416153,0.002555036026988094,False,False
3237,3237,6.822232170136846e-124,1.968258281293377e-122,1.1657827421969194,0.002383534222596669,False,False
163,163,6.251238346887354e-29,3.9962952482331677e-28,1.1572672711517369,7.754712139368923e-05,False,False
1885,1885,3.089073874800574e-17,1.4741949759118098e-16,1.1425672287811062,0.008487274804180175,False,False
1798,1798,4.727031399032422e-67,5.556137699973823e-66,1.140000802851859,-0.00038500031781417594,False,False
2619,2619,5.276446676408776e-15,2.3349853170601783e-14,1.13430257961046,-0.006221231717581157,False,False
557,557,1.5618185576932626e-53,1.4795650003904404e-52,1.1287763309582373,-0.0017880543265497133,False,False
447,447,3.577727840051047e-18,1.7721120170955187e-17,1.1233051510164593,0.0007632640544281734,False,False
4328,4328,6.691352799545872e-17,3.1526702532748997e-16,1.113029872198974,-0.0007325252105044588,False,False
2900,2900,9.187230559428751e-25,5.4208320551848535e-24,1.1092393194857648,-0.00495987585895428,False,False
584,584,6.236151588075918e-17,2.9413186311912217e-16,1.1086556775494594,-0.0014125310342522363,False,False
2928,2928,4.2373423751903985e-30,2.776771706927867e-29,1.1058024571557417,0.004259470704522531,False,False
103,103,4.767775419066936e-86,7.963618867261052e-85,1.0887123651260102,-0.00047831137701134785,False,False
3866,3866,5.162024782076658e-32,3.474981228297968e-31,1.0812498148650727,-0.0005492930015471385,False,False
2746,2746,2.682222603100979e-26,1.6324815103531026e-25,1.0715172568619027,0.0014187266751356283,False,False
2981,2981,5.8386748506069743e-33,3.997108222071924e-32,1.0632286490720035,-0.006299671811576443,False,False
3046,3046,5.682652035466897e-10,2.0328520928807906e-09,1.0621932369277853,-0.011463135144545064,False,False
1305,1305,1.884551748580718e-32,1.2783302929685696e-31,1.056490226388066,-0.002213427400734382,False,False
965,965,5.162493730599227e-22,2.874305719931374e-21,1.0557228572669042,0.002803355454120599,False,False
973,973,1.3516012738056555e-21,7.432134232077386e-21,1.0360106599666965,-0.0019288653987799267,False,False
798,798,7.350512232099704e-16,3.3913110952460004e-15,1.0230212026824508,-0.0010772895084504974,False,False
1752,1752,1.3961220338687647e-15,6.368552563120043e-15,1.0219727971145984,0.0019649852077513897,False,False
1924,1924,1.6284441450894952e-38,1.2159961910306936e-37,1.0157993025047691,0.0019827155771345896,False,False
35,35,2.8091037517993826e-32,1.9025682879946124e-31,1.003023450360124,5.45864833608016e-05,False,False
1344,1344,2.627953719644389e-18,1.3104375282132457e-17,1.0013355071508212,-0.002568117015073366,False,False
2410,2410,7.937375383143461e-22,4.3917507879584556e-21,1.0005952723236764,-0.008905606309488796,False,False
2827,2827,3.035817880889316e-29,1.9633389875969768e-28,0.9935783096287146,0.005532566485104742,False,False
627,627,5.137479237811105e-11,1.9213653412116782e-10,0.9895578490298562,-0.006296032681918528,False,False
43,43,9.516368573501247e-81,1.457973295588484e-79,0.9868041635953254,-0.003514723259264927,False,False
809,809,8.453087766349874e-30,5.490799553493053e-29,0.9694889603835662,0.0023618924226622698,False,False
1849,1849,6.495016508101899e-31,4.3199638241761584e-30,0.9610237096160502,-9.91020647612105e-05,False,False
1110,1110,4.8395729767681796e-26,2.9175336140815496e-25,0.9456787598067924,-0.0032607700261628363,False,False
864,864,4.126076673353127e-11,1.5470176084141724e-10,0.9427924078959161,0.003960955546866169,False,False
283,283,1.4766763784961865e-10,5.417731750337372e-10,0.9419640178522521,-0.0016822058614262073,False,False
451,451,2.1354613251195432e-49,1.89001088994146e-48,0.9281172378023711,-0.0011890194355325262,False,False
2944,2944,1.6078038304218209e-40,1.2380368143092114e-39,0.9271848674510799,-0.0016620205427951432,False,False
2945,2945,2.6822024711318403e-18,1.3359894147128661e-17,0.9247127958815538,0.003502944698832407,False,False
53,53,5.349944049936214e-11,1.9974623036862688e-10,0.9226244491810425,-0.0005220109847405971,False,False
2756,2756,2.1028082700299754e-36,1.5290960955389822e-35,0.9172342482109535,-0.004331363745169592,False,False
1879,1879,1.2227282113808416e-10,4.497170068845264e-10,0.9169204054018035,-0.0003179706822616212,False,False
3064,3064,2.610661618797483e-18,1.3032774800356423e-17,0.9166456805840382,0.0024924872203094675,False,False
3320,3320,4.83109513693601e-17,2.285895175016687e-16,0.9027821275230473,0.00016750103653153,False,False
2545,2545,1.925848514075508e-39,1.4651618061708019e-38,0.9010638018317709,-0.00031787321955169083,False,False
1788,1788,3.64664577457141e-23,2.077185535438561e-22,0.8921181454090698,0.0042769651205635095,False,False
1063,1063,1.483338376619266e-26,9.090306768716413e-26,0.8894975231530536,0.0008140094978499783,False,False
2968,2968,1.2946816508761525e-14,5.6339574680144416e-14,0.8894473310912909,-0.004498119291332946,False,False
1205,1205,9.851165000906958e-49,8.598963870143343e-48,0.8809447795709473,0.0016311673878646122,False,False
669,669,8.724271228146978e-29,5.553286112701579e-28,0.8776006192487754,-0.002284572488569503,False,False
1163,1163,3.5024791292833974e-08,1.1227644135213661e-07,0.8673500716708454,-0.016963147169849684,False,False
1555,1555,4.8559351674081595e-49,4.2722613759989015e-48,0.8620177186777115,-0.00205874670296675,False,False
1234,1234,1.6627619009283398e-09,5.821632092848395e-09,0.8602068730383432,-0.0004370914924694772,False,False
1514,1514,1.165247120903242e-21,6.423316325276805e-21,0.8520984916458253,-0.003956510604253216,False,False
929,929,6.18922930017031e-60,6.547320423965877e-59,0.8493661014927726,0.0027487561160230256,False,False
242,242,4.424205603038345e-59,4.6251165868939686e-58,0.8415597928467361,0.003972365125690432,False,False
1448,1448,2.5504181916581475e-13,1.059019441638986e-12,0.8375106658974728,0.0005497313361033122,False,False
