,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
3630,3630,2.194664105250588e-31,1.495535677857111e-30,13.194473868236072,-0.017741768831926463,False,False
1203,1203,1.0103468705874457e-21,6.601428155911796e-21,11.661304556455422,-0.01753319318515995,False,False
2604,2604,1.552150239852758e-19,9.894122691055672e-19,11.035228069643383,-0.01698999676892609,False,False
3202,3202,3.5144414004041866e-17,2.1869276109237818e-16,9.973146954655045,-0.00846097390194717,False,False
190,190,6.559262638929455e-21,4.223594768806314e-20,7.964245575246137,-0.0006262220134248785,False,False
3095,3095,1.3747427923405655e-12,7.76109558623778e-12,7.2584559307213565,0.0040099137199256195,False,False
2210,2210,1.8147042325278968e-11,9.929471558031337e-11,7.240851965783618,-0.0028906764129430097,False,False
2603,2603,1.3506938621441026e-19,8.622317283773346e-19,7.157815309683916,-0.0014682978092314409,False,False
3118,3118,2.329380473469348e-11,1.2714296613789083e-10,7.027949147569213,0.0006609140599962903,False,False
2279,2279,1.1585953422852062e-12,6.5491591676503454e-12,6.747360666306302,0.0018062164689761143,False,False
2994,2994,3.4121129480527466e-15,2.0514232514476797e-14,6.564899925749074,0.0026754893775264277,False,False
1740,1740,2.6197995770362795e-16,1.6077029724823466e-15,6.403083380998043,-0.0020259175025230435,False,False
1940,1940,5.90026856038485e-15,3.537772363534398e-14,6.3562991677226295,0.0036315530622047457,False,False
1484,1484,6.519874418635459e-09,3.2992940822320434e-08,6.317300313792497,-0.013214189855591666,False,False
729,729,2.2324889766903036e-08,1.0911934569235444e-07,6.0710331132384185,-0.016246214771185617,False,False
3549,3549,5.194950421390918e-16,3.161803386608198e-15,5.911059103273792,0.0001270553586761574,False,False
3210,3210,8.32954459408395e-13,4.714416131403184e-12,5.56790830668001,0.0007294769917951943,False,False
1043,1043,7.385012295483019e-26,4.941507474221543e-25,5.482710924376556,-0.0025966390301668425,False,False
175,175,1.88711673876556e-09,9.681824099694437e-09,5.472943678950682,0.001411265013827375,False,False
167,167,1.0493860478798578e-07,4.954752615016162e-07,5.323117121026481,-0.0011293111822244023,False,False
1576,1576,4.1744213353794316e-11,2.2645853471417358e-10,5.313379497596797,-0.004915314561849014,False,False
4106,4106,5.811031290547965e-13,3.2973706288511628e-12,5.244601139752901,-0.0010724146617760427,False,False
982,982,2.838371723804365e-12,1.5842821066410545e-11,5.165391521209355,0.0007276080121256818,False,False
2080,2080,3.082390962255971e-13,1.7716769786938268e-12,5.130068329367439,-0.0008947457931153526,False,False
562,562,9.895522624634726e-10,5.130199185677023e-09,4.865490738083227,0.0023513063757989853,False,False
2216,2216,2.1382782792465574e-14,1.2633471269537838e-13,4.845164795668596,-0.0011770567378791598,False,False
72,72,2.985870361456572e-17,1.8632334292066782e-16,4.809698972097789,0.0025569435812465057,False,False
603,603,9.453234355708888e-07,4.204276300542001e-06,4.8038830495733205,-0.008136506595659784,False,False
212,212,1.6672252703439806e-08,8.185062846561663e-08,4.796815014749124,-0.002765094866529089,False,False
1387,1387,4.116402612988933e-07,1.875813006103572e-06,4.760983769025475,-0.0016026482896746804,False,False
1160,1160,9.195097462872779e-14,5.354366713963795e-13,4.7198584110877855,0.00229354708333971,False,False
1300,1300,1.9881126635759916e-07,9.268819060092477e-07,4.682854289871998,-0.001832887461104044,False,False
4171,4171,1.7498378208111034e-06,7.652095903409186e-06,4.664877307496828,-0.019854708380501178,False,False
564,564,3.5499296538313456e-10,1.8709771591901148e-09,4.638049420726569,-0.0027540216570049116,False,False
274,274,1.3789915096186271e-08,6.838012586200403e-08,4.634090490615996,0.0009896361264051454,False,False
413,413,6.575398646795063e-11,3.5411510530558143e-10,4.538262695398132,0.002806651119199582,False,False
1281,1281,5.203595251092197e-06,2.1728922650942324e-05,4.460494256534841,-0.021411452949912382,False,False
1403,1403,9.210219678732695e-08,4.371902353911257e-07,4.435257381939522,-0.0005463801354554472,False,False
3536,3536,2.317689952924306e-06,1.0026773574335628e-05,4.40648501867427,0.002075007701785578,False,False
832,832,1.0513573614019827e-08,5.25442154860406e-08,4.38219886786786,-0.0023667964214004653,False,False
1772,1772,1.3397107719466684e-14,7.957667058501402e-14,4.381927858144076,-0.00010111307692741746,False,False
1646,1646,1.576561756275603e-08,7.782959870147225e-08,4.302222984318335,0.0009708113220495028,False,False
1482,1482,5.936602346555858e-07,2.6723732751517406e-06,4.269079817350563,-0.0037157958020303987,False,False
4164,4164,8.156042020442823e-07,3.630991452587922e-06,4.254291282474195,-0.008236852928534781,False,False
4214,4214,1.9198468330501097e-10,1.021542452603789e-09,4.251256424887913,0.001537520661814183,False,False
845,845,3.4891525432873094e-08,1.6923913482342268e-07,4.203471553903755,-0.0022998535643914964,False,False
367,367,3.021704213248225e-08,1.4704744599629644e-07,4.159106892827908,0.00040505197345938604,False,False
1636,1636,1.8681522985723933e-07,8.718698174954982e-07,4.126432217853857,0.002745971085797609,False,False
2998,2998,1.7538859695876132e-11,9.620389336886131e-11,4.105130075040639,-0.004608839807042931,False,False
1010,1010,9.583977744504545e-10,4.986137367544929e-09,4.099223739355552,-0.0032503395378513733,False,False
1487,1487,4.514632784666594e-13,2.574905450869535e-12,4.09121773802584,-0.00024292186991223307,False,False
2277,2277,2.8447841080727947e-12,1.5858689827060762e-11,4.001596668908277,0.0037424518771987238,False,False
2530,2530,1.4506293593192363e-05,5.790787280732585e-05,3.9905935596383038,-0.015391568964061988,False,False
117,117,4.170166873946375e-13,2.3814976119464968e-12,3.951488471991143,0.0012010092520985645,False,False
2701,2701,8.867823721210101e-12,4.906567969282252e-11,3.9398170081185317,-0.0078548711955464,False,False
4021,4021,6.241997295120379e-06,2.5870516774458808e-05,3.864423392025583,-0.00835749562456414,False,False
1785,1785,5.258446943171328e-19,3.3376113955014587e-18,3.861470699150751,-0.0029491841779951543,False,False
1054,1054,1.9055254893582714e-12,1.067622919195309e-11,3.8096519010238583,0.0011927909814761003,False,False
1430,1430,8.79922524254802e-11,4.721613255149862e-10,3.7585492242113028,-0.001985516489986739,False,False
4420,4420,2.736429398854846e-16,1.6746495618611684e-15,3.7556855041423884,-0.0017624184724859423,False,False
2762,2762,1.0935601097444567e-06,4.848989588417785e-06,3.7276162734704914,-0.003957031991365609,False,False
144,144,2.5385222144595387e-23,1.6733908306889807e-22,3.7233691886117715,0.003914068833538402,False,False
1738,1738,1.0538287096990084e-13,6.120471839467574e-13,3.7136274777389495,5.7700792247321504e-05,False,False
278,278,1.1595870704376474e-08,5.782318017906248e-08,3.699280768643974,-0.0011939186854801878,False,False
4272,4272,1.5072716244670361e-06,6.604346969928048e-06,3.6814244361292268,-0.0021207331479993125,False,False
2802,2802,3.751371210089983e-08,1.8175945786728238e-07,3.677397095552527,-0.0026694080144422697,False,False
197,197,9.566312739613087e-10,4.98278165323575e-09,3.6188765095656072,-0.00016016697698336725,False,False
4332,4332,2.807405277628999e-08,1.3676865842659695e-07,3.605217507362276,-0.00273738903840981,False,False
369,369,3.9186186190607525e-06,1.6581354785225642e-05,3.6037450256639016,0.0024136035082261875,False,False
3119,3119,2.524602064993747e-06,1.0868999006557381e-05,3.579658395054661,0.0017623277622519377,False,False
1461,1461,3.0156790082751312e-05,0.00011580520167473128,3.575865800047473,-0.008868749326256784,False,False
1298,1298,8.101834139282354e-12,4.488335296861783e-11,3.5751308415103358,0.0034267806858337543,False,False
1254,1254,3.923994059433053e-06,1.658830219415895e-05,3.5452139489032315,-0.009960563197925447,False,False
3717,3717,2.3467921984236538e-07,1.0872573240454947e-06,3.528852241692916,0.0007467027993208917,False,False
1952,1952,1.511131801171169e-09,7.788815072625874e-09,3.5141517708352366,0.0011080475045292984,False,False
1003,1003,3.6519132796992974e-06,1.5526747082970316e-05,3.4930825435886366,-0.0009067465373909715,False,False
2645,2645,2.7330212638751964e-16,1.6746495618611684e-15,3.4904950242979718,0.0019983128671866588,False,False
1330,1330,2.979775750050878e-05,0.00011452546416501775,3.454343468948777,-0.006545946845227361,False,False
1118,1118,2.755475593072676e-10,1.4539878931142398e-09,3.4314928220592393,0.0011099768908090799,False,False
2192,2192,4.249869586855025e-05,0.00016001839469827862,3.4294122941871734,-0.016592009396864754,False,False
4347,4347,6.828185403443347e-05,0.0002492820685907871,3.4223966865273945,-0.01769348072342191,False,False
547,547,7.82587339092752e-08,3.7267262032037485e-07,3.4140563457178987,0.004527580786397243,False,False
4024,4024,2.2699081800905783e-07,1.0538351143304535e-06,3.395414398343468,0.0024969569170190734,False,False
1537,1537,1.6781913907497166e-07,7.848636156948411e-07,3.3870773498512667,-0.0031155769234491658,False,False
1221,1221,6.890941054083626e-05,0.00025118298461582233,3.364271820191677,-0.02234301989715841,False,False
1835,1835,9.785099932993378e-21,6.291635166756812e-20,3.356471398592396,-0.00161298781866624,False,False
4262,4262,1.9091098801153108e-05,7.503839451982178e-05,3.3236213909167542,0.003276658190823286,False,False
3150,3150,1.6041188452166226e-08,7.901441274165692e-08,3.3092859492886633,0.0008928559366434322,False,False
455,455,3.892116076030324e-05,0.00014729703343954623,3.2847628823035815,-0.004424906858592009,False,False
78,78,4.666908726776641e-14,2.728299404351134e-13,3.2710803069094005,0.002611254471482222,False,False
2769,2769,5.906790806901293e-07,2.6643524421383196e-06,3.2707022854948224,-0.004147981888283062,False,False
1934,1934,4.945005722030214e-06,2.072703813488702e-05,3.237283502368048,0.002739522209560688,False,False
326,326,4.6424338883426225e-05,0.00017420890004988407,3.1994270270938925,-0.004550467785470297,False,False
916,916,1.1614177983090756e-13,6.727743517454006e-13,3.1788428099012798,0.00041411206946004656,False,False
442,442,7.98559208705763e-05,0.0002872873331400571,3.1695467626766023,-0.008254527348450008,False,False
3174,3174,1.2146539440560735e-08,6.050120485920554e-08,3.1637565935463896,-0.0009747412842266412,False,False
1707,1707,1.4874537427735893e-05,5.911231645029569e-05,3.1580978950756533,0.0057553069114879,False,False
3460,3460,2.7133956286762277e-05,0.00010492268736473872,3.1569959662898883,0.001029089632792773,False,False
787,787,2.2067267816173362e-09,1.1282493775288636e-08,3.1512321568599564,-0.0026942714156541984,False,False
540,540,2.0145643273498454e-09,1.0323770826315297e-08,3.1389474777608743,-0.002014407986322179,False,False
1114,1114,2.7629798521764637e-13,1.5901450107797965e-12,3.1235545367303392,0.003282156472290969,False,False
1311,1311,9.50548116504093e-15,5.668839304198235e-14,3.1222461619187194,-0.0009928576848952397,False,False
4045,4045,1.3311224914221176e-07,6.25838860252748e-07,3.1025972592725837,0.0003556301010876526,False,False
3157,3157,2.734567699293708e-06,1.1738825398997049e-05,3.0983716996213664,0.00042674660725973944,False,False
296,296,1.5963439247120724e-08,7.871871317975292e-08,3.097031000133071,-0.001424059578183836,False,False
46,46,5.927070169262823e-07,2.6707883125795864e-06,3.0768904934770345,-0.004873380477832305,False,False
927,927,2.6360807793228048e-05,0.00010208513268886793,3.061092757687332,-0.003963371453186909,False,False
1641,1641,5.379300250646523e-07,2.43631304929893e-06,3.050898449108041,-0.0011797190349509715,False,False
2749,2749,1.0619102477160365e-10,5.684418350123314e-10,3.0496055569337948,0.004098470661483301,False,False
3117,3117,2.040928346390664e-05,8.003393330109198e-05,3.042888035348443,0.000361379768795138,False,False
4009,4009,1.021041881158472e-05,4.131592967201358e-05,3.0419912633904587,-0.0030906665037496142,False,False
240,240,1.8250989273468727e-14,1.0811886045602874e-13,3.025199552190576,-0.0010671639672451363,False,False
2454,2454,1.8139106607284905e-11,9.929471558031337e-11,3.01982383425069,0.0024266558008174633,False,False
1691,1691,1.2885160665555778e-08,6.396510484588193e-08,2.9947051743405493,-0.002197190336714998,False,False
3034,3034,8.53573033851938e-09,4.304682167314598e-08,2.989389152309368,-0.004459116087048857,False,False
1902,1902,2.0942991698485902e-10,1.1117050432063664e-09,2.97534365235268,-0.0035639332630120683,False,False
1466,1466,4.3347363669813576e-07,1.969246797392451e-06,2.933152934616028,0.005040461143274161,False,False
2606,2606,1.4811345853484616e-07,6.948976729359256e-07,2.923038184807942,-0.00016982887098959546,False,False
1676,1676,3.0871907412460557e-05,0.00011824472813238124,2.8770360957238323,-0.0039748702035191635,False,False
1883,1883,4.430525513430667e-09,2.257434043139043e-08,2.851097168465281,-0.0026325506696348883,False,False
548,548,7.059769627401106e-06,2.9070024517648855e-05,2.8373163666874275,0.0021447691919898966,False,False
2037,2037,3.5925419508196543e-10,1.891192403731247e-09,2.830993294785685,-0.004204295632904241,False,False
20,20,4.728252078031861e-06,1.9837227556841886e-05,2.8198787755659653,-5.5308147260796445e-05,False,False
2568,2568,1.7709834511678824e-08,8.67528056619504e-08,2.814827208435425,-0.0038031611593010396,False,False
736,736,2.637716235129876e-05,0.00010208513268886793,2.812913797314456,-0.00489029972494921,False,False
938,938,7.940074198984578e-05,0.0002858812776830509,2.8088613036032597,-0.00545172037905999,False,False
1845,1845,1.857583976237099e-06,8.099357808068137e-06,2.8074149127982984,0.0017821532893891963,False,False
2038,2038,4.2081881357927534e-08,2.0322804225355655e-07,2.804213882602006,-0.0007215444951632777,False,False
1208,1208,2.293353632661116e-08,1.1197110098805865e-07,2.802698054725494,-0.003930968909180765,False,False
