,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
4024,4024,6.873035133109955e-33,5.338618023847471e-32,7.035966799379907,0.002492974462206263,False,False
2287,2287,3.6936134627802975e-19,2.3310688373768267e-18,6.605021215548617,-0.005821230542251617,False,False
72,72,7.147573812030133e-38,5.826912008596309e-37,5.559634425576399,0.0025587982459073493,False,False
2499,2499,5.36915871317597e-56,5.242894980800183e-55,5.051186876899089,0.0009617455247283866,False,False
2088,2088,6.812400224834809e-17,4.0846820781296975e-16,5.049783264679132,-0.0008165965647064857,False,False
2216,2216,1.1144520527705717e-32,8.641379529597994e-32,5.017918462894018,-0.0011694709932023942,False,False
2373,2373,1.1408573314586772e-18,7.149265336630329e-18,4.973823672492796,-0.0030905805830653017,False,False
2190,2190,2.2122288957082555e-18,1.3727560033005278e-17,4.854790509449917,0.0011772350900538468,False,False
4414,4414,9.17954547485909e-17,5.481817277526739e-16,4.770051102165951,-0.0006637033955337142,False,False
117,117,5.148119297247653e-34,4.0411826921680785e-33,4.749387687634424,0.0012012040243327285,False,False
3337,3337,2.1747663149659528e-16,1.2814969147737042e-15,4.724593491007966,0.0013557167139418317,False,False
1430,1430,1.300694345065163e-26,9.172992024007173e-26,4.6303231619428225,-0.001985622247272615,False,False
1043,1043,2.8008270001262e-38,2.300198588088855e-37,4.584549159810865,-0.0025969907134525657,False,False
2277,2277,4.021699381088863e-25,2.7875835179684583e-24,4.354967110073376,0.003745396586284591,False,False
1221,1221,1.145742361187145e-10,5.479583757539812e-10,4.3523527211807425,-0.022348115606106222,False,False
2994,2994,2.0294274499605606e-19,1.2881065943106816e-18,4.337817264821385,0.002673250334286624,False,False
528,528,1.1001409500361944e-17,6.723419863838806e-17,4.2537504964647015,0.002528195438754823,False,False
185,185,1.845308448043245e-28,1.350692822842856e-27,4.170491015342976,0.004308969482407811,False,False
3549,3549,5.759369081932829e-18,3.5540106709760504e-17,4.149401811404538,0.00012996032308695664,False,False
2140,2140,6.656366028161954e-14,3.642147076739355e-13,4.144582119211217,-0.00016514781230759275,False,False
144,144,5.682026351359215e-55,5.488096321541086e-54,4.13378420090523,0.0039124563273103714,False,False
1408,1408,1.0022140559600194e-17,6.150327417997743e-17,4.122805080737763,0.0017786759511221103,False,False
1179,1179,2.682017206975284e-22,1.7811961809553344e-21,4.09688032928357,-0.0024994642739146825,False,False
1940,1940,1.5128008067308367e-15,8.706442984851176e-15,4.060097981879444,0.00363170363971628,False,False
2686,2686,2.5040590330757934e-20,1.610062848618777e-19,4.039705063810977,0.002462839856846825,False,False
2255,2255,2.525474996473813e-16,1.4842176467371892e-15,4.03814333571319,0.0009078019378834078,False,False
323,323,1.1052788412785219e-27,7.984965677724346e-27,3.9774216388386012,-0.0001921129383691553,False,False
1794,1794,6.447797832984305e-13,3.4349599246941565e-12,3.95453573953648,0.0010601023990836579,False,False
2603,2603,1.1751754115216747e-19,7.491110980474606e-19,3.954336114033527,-0.0014666572869850396,False,False
212,212,1.1163795107812076e-12,5.862971827897051e-12,3.913786082234299,-0.0027651030724127187,False,False
2802,2802,3.9465974356079465e-16,2.3011459850926646e-15,3.875979187152477,-0.0026691107686339956,False,False
1403,1403,1.1096310195654595e-13,6.019646666580387e-13,3.8657673108141237,-0.0005410027579688306,False,False
1537,1537,1.2543936445643821e-15,7.256863232811914e-15,3.8555387252863476,-0.003112491153046142,False,False
1707,1707,5.726217376594547e-14,3.1370633544031537e-13,3.8149963486465284,0.005755898052848027,False,False
389,389,1.5441031175704163e-12,8.071117825135717e-12,3.732549034179647,-0.0026928297327428246,False,False
1248,1248,6.004412648191127e-15,3.3940973786149085e-14,3.727724298057643,0.0015285753867890581,False,False
1841,1841,7.233724858889153e-37,5.864861231394983e-36,3.6902355245252183,-0.0032226470997063278,False,False
2037,2037,1.0452304846305391e-23,7.111729009515292e-23,3.6658548810087854,-0.004204076362445456,False,False
3150,3150,3.0879415514055763e-17,1.8640929772955128e-16,3.6620591365693036,0.0008933910627533523,False,False
833,833,1.3467736589230332e-17,8.19687036519868e-17,3.6530512456043396,0.0018882748192493243,False,False
1902,1902,3.672071404852262e-24,2.5216403789425967e-23,3.647689749613571,-0.003563000044913893,False,False
1785,1785,2.8964651587978067e-31,2.2073747342261843e-30,3.6319585516273425,-0.0029494556329180584,False,False
3253,3253,1.0673406035681387e-13,5.804399390028446e-13,3.5108340345388878,0.0007177470140870921,False,False
1769,1769,2.629779441629959e-13,1.409422202552703e-12,3.456055131655947,-0.00021782971550220707,False,False
1510,1510,4.240858456270221e-28,3.0687514855388585e-27,3.423668246974621,0.0021985920203306045,False,False
1545,1545,1.0617292706187572e-23,7.212940595350364e-23,3.3983150993429807,-0.0027537726867412514,False,False
3521,3521,1.8240859949009316e-10,8.612554809080594e-10,3.3708620213746667,-0.0006521133179163913,False,False
2501,2501,3.5038062932620235e-11,1.727792603880485e-10,3.362162841283423,-0.0005311283741916651,False,False
2395,2395,7.608718443790152e-25,5.2493068394036724e-24,3.3545915086367786,0.001217002921382884,False,False
